gx,gy,land,dry,temp,predicted,region
0,0,46,0.8089,-25.44,0.00236,0
1,0,25,0.6904,-23.73,0.0,0
2,0,15,0.6835,-23.73,0.0,0
3,0,55,0.7963,-28.06,0.00545,0
4,0,64,0.8959,-31.0,0.00236,0
5,0,64,0.9189,-31.37,8e-05,0
6,0,64,0.9394,-30.66,8e-05,0
7,0,64,0.9576,-29.46,8e-05,0
8,0,57,0.968,-26.17,8e-05,0
9,0,19,0.889,-23.21,0.0,0
11,0,11,0.6904,-23.34,0.0,0
12,0,31,0.8092,-26.35,0.0,0
13,0,54,0.8815,-26.34,0.00236,0
19,0,45,0.7349,-25.6,0.0093,0
20,0,63,0.8683,-29.4,0.00236,0
21,0,64,0.9281,-29.83,8e-05,0
22,0,45,0.9561,-27.05,8e-05,0
29,0,2,0.4873,-18.74,0.0,0
30,0,53,0.8135,-27.35,0.00236,0
31,0,64,0.9167,-29.16,8e-05,0
32,0,64,0.925,-29.5,8e-05,0
33,0,64,0.8923,-30.11,0.00236,0
34,0,64,0.8901,-29.86,0.00236,0
35,0,64,0.918,-29.05,8e-05,0
36,0,64,0.9152,-28.76,8e-05,0
37,0,64,0.905,-29.43,8e-05,0
38,0,57,0.9009,-27.77,8e-05,0
39,0,17,0.8418,-24.79,0.0,0
45,0,52,0.7976,-27.42,0.00545,0
46,0,64,0.8839,-31.12,0.00236,0
47,0,64,0.9121,-32.03,8e-05,0
48,0,64,0.9301,-32.11,8e-05,0
49,0,64,0.9556,-29.66,8e-05,0
50,0,10,0.9724,-23.46,0.0,0
57,0,54,0.8042,-27.55,0.00236,0
58,0,64,0.9324,-29.69,8e-05,0
59,0,64,0.9547,-29.99,8e-05,0
60,0,64,0.9641,-29.34,8e-05,0
61,0,62,0.9658,-28.53,8e-05,0
62,0,30,0.9726,-25.55,0.0,0
63,0,22,0.8049,-23.78,0.0,0
0,1,13,0.8216,-21.42,0.0,0
1,1,47,0.8358,-25.67,0.00236,0
2,1,64,0.8598,-28.31,0.00236,0
3,1,64,0.8729,-28.79,0.00236,0
4,1,56,0.9373,-27.7,8e-05,0
5,1,46,0.9596,-27.3,8e-05,0
6,1,61,0.9604,-28.56,8e-05,0
7,1,59,0.9704,-27.83,8e-05,0
8,1,13,0.9812,-23.81,0.0,0
9,1,3,0.948,-19.51,0.0,0
13,1,18,0.8503,-22.34,0.0,0
14,1,6,0.8137,-18.03,0.0,0
18,1,7,0.5186,-18.35,0.0,0
19,1,5,0.4698,-17.1,0.0,0
20,1,19,0.8683,-24.54,0.0,0
21,1,33,0.9389,-26.33,8e-05,0
22,1,56,0.9539,-26.79,8e-05,0
23,1,13,0.9241,-22.2,0.0,0
30,1,7,0.7751,-22.21,0.0,0
31,1,47,0.7889,-24.52,0.00545,0
32,1,58,0.8758,-26.53,0.00236,0
33,1,63,0.9173,-27.38,8e-05,0
34,1,27,0.9033,-24.31,0.0,0
35,1,27,0.9427,-24.6,0.0,0
36,1,21,0.945,-23.53,0.0,0
37,1,15,0.9461,-22.99,0.0,0
38,1,1,0.9687,-19.14,0.0,0
45,1,18,0.7949,-24.82,0.0,0
46,1,59,0.8993,-28.63,0.00236,0
47,1,64,0.942,-30.04,8e-05,0
48,1,64,0.9643,-29.53,8e-05,0
49,1,38,0.9767,-26.01,8e-05,0
56,1,7,0.5291,-19.44,0.0,0
57,1,45,0.8086,-25.76,0.00236,0
58,1,31,0.9387,-25.54,0.0,0
59,1,24,0.9673,-25.05,0.0,0
60,1,24,0.9742,-24.81,0.0,0
61,1,12,0.9781,-22.94,0.0,0
63,1,3,0.7352,-20.34,0.0,0
1,2,1,0.8002,-18.47,0.0,0
2,2,29,0.8793,-23.64,0.0,0
3,2,15,0.9139,-23.82,0.0,0
6,2,15,0.9394,-23.53,0.0,0
7,2,20,0.9578,-23.6,0.0,0
14,2,6,0.5592,-16.97,0.0,0
15,2,21,0.6194,-20.03,0.0,0
16,2,2,0.5655,-18.28,0.0,0
22,2,3,0.9187,-18.65,0.0,0
23,2,1,0.9415,-18.17,0.0,0
30,2,1,0.0129,-18.21,0.0,0
31,2,59,0.7065,-26.75,0.0093,0
32,2,64,0.8814,-28.21,0.00236,0
33,2,46,0.871,-23.71,0.00236,0
34,2,16,0.8853,-22.93,0.0,0
46,2,11,0.8845,-23.03,0.0,0
47,2,50,0.9366,-25.69,8e-05,0
48,2,35,0.971,-24.84,8e-05,0
56,2,7,0.5795,-19.19,0.0,0
15,3,6,0.6489,-19.39,0.0,0
16,3,5,0.6652,-18.99,0.0,0
28,3,3,0.0322,-19.01,0.0,0
29,3,12,0.2724,-21.54,0.0,0
30,3,44,0.5189,-25.58,0.02827,0
31,3,64,0.7604,-28.29,0.00545,0
