gx,gy,land,dry,temp,predicted,region
10,0,45,0.7784,-31.17,0.00545,0
11,0,64,0.9732,-33.05,8e-05,0
12,0,57,0.9872,-31.1,8e-05,0
31,0,8,0.506,-28.13,0.0,0
32,0,62,0.8681,-31.71,0.00236,0
33,0,64,0.9746,-32.67,8e-05,0
34,0,22,0.9919,-30.07,0.0,0
46,0,31,0.8158,-30.91,0.0,0
47,0,64,0.8996,-35.0,0.00236,0
48,0,64,0.5514,-40.04,0.02325,0
49,0,64,0.2447,-41.74,0.05643,0
50,0,64,0.7823,-42.57,0.00545,0
51,0,64,0.9764,-40.3,8e-05,0
52,0,58,0.9962,-31.89,8e-05,0
53,0,2,0.9165,-25.87,0.0,0
1,1,9,0.0625,-26.02,0.0,0
10,1,13,0.789,-28.49,0.0,0
11,1,27,0.9534,-30.67,0.0,0
12,1,24,0.976,-29.28,0.0,0
31,1,11,0.6064,-27.84,0.0,0
32,1,64,0.9201,-30.55,8e-05,0
33,1,64,0.9611,-31.47,8e-05,0
34,1,53,0.6429,-31.77,0.01831,0
35,1,17,0.6068,-28.39,0.0,0
36,1,35,0.5026,-29.72,0.02827,0
37,1,34,0.6863,-30.51,0.01417,0
38,1,1,0.659,-25.48,0.0,0
47,1,41,0.7892,-31.26,0.00545,0
48,1,64,0.9378,-34.63,8e-05,0
49,1,46,0.9808,-32.27,8e-05,0
50,1,53,0.9322,-33.07,8e-05,0
51,1,64,0.9741,-32.97,8e-05,0
52,1,64,0.9773,-31.06,8e-05,0
53,1,11,0.9382,-28.01,0.0,0
0,2,36,0.4707,-27.16,0.03522,2
1,2,64,0.7118,-28.35,0.0093,0
2,2,10,0.7411,-26.21,0.0,0
32,2,22,0.7295,-26.51,0.0,0
33,2,64,0.4078,-31.34,0.03522,3
34,2,64,0.3836,-33.92,0.05643,3
35,2,64,0.4197,-34.62,0.03522,3
36,2,64,0.5969,-34.49,0.02325,0
37,2,64,0.6785,-33.11,0.01417,0
38,2,29,0.7972,-27.83,0.0,0
47,2,11,0.6897,-27.08,0.0,0
48,2,23,0.9542,-28.09,0.0,0
50,2,2,0.7365,-25.47,0.0,0
51,2,24,0.7599,-26.77,0.0,0
52,2,64,0.8212,-31.04,0.00236,0
53,2,33,0.8134,-26.46,0.00236,0
54,2,2,0.8349,-24.18,0.0,0
60,2,2,0.056,-23.02,0.0,0
62,2,18,0.296,-26.3,0.0,0
63,2,36,0.1222,-29.21,0.05643,2
