gx,gy,land,dry,temp,predicted,region
22,4,64,0.4783,7.42,0.05087,1
23,4,64,0.4963,7.7,0.05087,1
24,4,64,0.4258,7.01,0.05087,1
25,4,64,0.3828,6.56,0.06287,1
26,4,64,0.394,6.76,0.06287,1
27,4,64,0.3898,6.84,0.06287,1
28,4,64,0.3805,6.74,0.06287,1
29,4,64,0.4449,7.9,0.05087,1
30,4,39,0.5136,10.23,0.04852,1
35,4,45,0.5352,10.18,0.04852,0
36,4,64,0.737,9.67,0.02001,0
37,4,64,0.6435,9.66,0.02961,0
38,4,64,0.5683,9.81,0.03395,2
39,4,64,0.6484,9.32,0.02961,0
40,4,64,0.6871,8.73,0.02437,0
41,4,64,0.6427,8.35,0.02961,0
42,4,64,0.6363,8.18,0.02961,0
43,4,64,0.6288,8.25,0.02961,0
44,4,64,0.6519,8.41,0.02437,0
45,4,64,0.675,8.17,0.02437,0
46,4,64,0.6829,8.21,0.02437,0
47,4,64,0.6682,8.0,0.02437,0
48,4,64,0.6663,8.07,0.02437,0
49,4,64,0.6634,8.5,0.02437,0
50,4,64,0.6192,9.28,0.02961,0
51,4,57,0.6144,10.28,0.03871,5
52,4,30,0.5541,11.68,0.0,0
53,4,2,0.4518,14.24,0.0,0
15,5,60,0.5498,14.59,0.04852,1
16,5,64,0.7072,13.14,0.02505,0
17,5,64,0.6285,11.95,0.03871,1
18,5,64,0.5119,12.41,0.04852,1
19,5,64,0.5363,12.51,0.04852,1
20,5,64,0.5814,12.13,0.04594,1
21,5,64,0.5188,11.54,0.04852,1
22,5,64,0.4678,11.71,0.06117,1
23,5,64,0.4738,11.6,0.06117,1
24,5,64,0.4526,10.92,0.06117,1
25,5,64,0.4304,10.94,0.06117,1
26,5,64,0.4356,11.18,0.06117,1
27,5,64,0.4506,11.2,0.06117,1
28,5,64,0.4545,10.83,0.06117,1
29,5,64,0.5283,12.02,0.04852,1
30,5,63,0.6065,14.16,0.03871,1
31,5,2,0.4842,18.72,0.0,0
34,5,13,0.4118,16.26,0.0,0
35,5,55,0.539,14.89,0.04852,0
36,5,64,0.7378,14.22,0.02505,0
37,5,64,0.763,14.47,0.01921,0
38,5,45,0.6455,15.01,0.03871,2
39,5,53,0.6249,14.51,0.03871,2
40,5,58,0.6953,14.11,0.03248,2
41,5,64,0.7438,13.56,0.02505,0
42,5,64,0.7548,13.38,0.01921,0
43,5,64,0.7337,13.36,0.02505,0
44,5,64,0.7187,13.45,0.02505,0
45,5,64,0.73,13.43,0.02505,0
46,5,64,0.735,13.59,0.02505,0
47,5,64,0.6268,12.88,0.03871,5
48,5,64,0.5505,12.76,0.04594,5
49,5,64,0.6197,13.32,0.03871,5
50,5,51,0.6457,14.71,0.03871,5
51,5,57,0.5401,14.48,0.04852,5
52,5,64,0.6371,14.04,0.03871,5
53,5,8,0.6263,16.09,0.0,0
15,6,38,0.4753,18.89,0.06117,1
16,6,64,0.6582,17.71,0.03248,1
17,6,64,0.6772,16.61,0.03248,1
18,6,64,0.5652,15.79,0.04594,1
19,6,64,0.4548,15.73,0.06117,1
20,6,64,0.508,15.69,0.04852,1
21,6,64,0.5338,15.54,0.04852,1
22,6,64,0.4679,15.46,0.06117,1
23,6,64,0.465,15.63,0.06117,1
24,6,64,0.4707,14.91,0.06117,1
25,6,64,0.4477,14.04,0.06117,1
