step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn
100000,28.00,16,0,6,0,8,0,1.00,0,0.214,2369,2.74,108.13,49.09,588,1,0,0,1.00,1.00,1.00,4,4,4,36.7,36.522,14,2.000,0.000,4,1.000,2
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,2343,0.00,64.37,106.50,588,2,1,0,1.00,1.00,1.00,4,4,4,43.0,19.039,15,2.000,0.000,4,1.000,1
100000,28.00,16,0,6,0,8,0,1.00,0,0.214,2333,0.00,77.95,85.78,734,0,0,0,1.00,1.00,1.00,2,4,4,20.9,43.083,14,2.000,0.000,4,1.000,2
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,2332,1.78,67.42,109.54,588,0,1,0,1.00,1.00,1.00,4,4,4,23.6,11.781,14,2.000,0.000,4,1.000,2
100000,22.00,16,0,7,0,4,0,1.00,0,0.318,2329,0.89,69.88,169.78,588,2,0,0,1.00,1.00,1.00,3,4,4,40.3,32.767,11,2.000,0.000,4,1.000,4
100000,28.00,16,0,6,0,8,0,1.00,0,0.214,2322,0.02,73.82,37.14,734,0,0,0,1.00,1.00,1.00,4,4,4,13.4,16.528,14,2.000,0.000,4,1.000,2
100000,26.00,16,0,6,0,7,0,1.00,0,0.231,2247,2.14,74.80,56.14,487,1,0,0,1.00,1.00,1.00,4,4,4,35.8,16.935,13,2.000,0.000,4,1.000,3
100000,28.00,16,0,6,0,8,0,1.00,0,0.214,2240,3.31,66.93,202.38,487,1,0,0,1.00,1.00,1.00,4,4,4,39.1,52.333,14,2.000,0.000,4,1.000,2
100000,22.00,16,0,0,0,11,0,1.00,0,0.000,2227,0.00,79.34,9.05,734,0,0,0,1.00,1.00,1.00,3,4,4,3.1,13.000,11,2.000,0.000,4,1.000,5
100000,24.00,16,0,6,0,6,0,1.00,0,0.250,2195,0.00,64.43,92.00,734,1,0,0,1.00,1.00,1.00,2,4,4,35.3,33.450,12,2.000,0.000,4,1.000,4
100000,28.00,16,0,7,0,7,0,1.00,0,0.250,2179,0.00,77.38,62.10,487,0,0,0,1.00,1.00,1.00,2,4,4,4.5,41.745,14,2.000,0.000,4,1.000,2
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,2169,0.00,76.07,100.40,588,2,1,0,1.00,1.00,1.00,4,4,4,44.6,34.886,15,2.000,0.000,4,1.000,1
100000,28.00,16,0,7,0,7,0,1.00,0,0.250,2162,0.00,80.93,84.33,719,1,0,0,1.00,1.00,1.00,4,4,4,31.5,30.100,14,2.000,0.000,4,1.000,2
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2147,0.90,75.42,80.75,588,2,1,0,1.00,1.00,1.00,4,4,4,45.0,40.741,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,5,0,11,0,1.00,0,0.156,2136,0.00,64.18,67.98,487,2,0,0,1.00,1.00,1.00,4,4,4,51.8,25.743,16,2.000,0.000,4,1.000,0
100000,30.00,16,0,4,0,11,0,1.00,0,0.133,2133,0.00,51.22,64.80,487,0,0,0,1.00,1.00,1.00,2,4,4,14.8,4.506,15,2.000,0.000,4,1.000,1
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2130,0.39,66.73,81.71,588,0,0,0,1.00,1.00,1.00,2,4,4,0.6,16.533,16,2.000,0.000,4,1.000,0
100000,2.35,49,0,0,0,4,0,1.00,20,0.000,2124,0.00,101.61,6.25,692,1,2,0,1.00,1.00,1.00,2,2,2,38.0,2.959,4,0.588,0.516,7,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2124,0.00,81.51,73.27,588,0,0,0,1.00,1.00,1.00,2,4,4,4.9,22.340,16,2.000,0.000,4,1.000,0
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,2117,0.00,64.63,39.87,487,2,0,0,1.00,1.00,1.00,2,4,4,40.3,1.456,15,2.000,0.000,4,1.000,1
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,2111,0.00,83.72,40.41,719,2,0,0,1.00,1.00,1.00,4,4,4,42.8,37.867,15,2.000,0.000,4,1.000,1
100000,30.00,16,0,4,0,11,0,1.00,0,0.133,2106,0.00,71.60,47.92,743,1,0,0,1.00,1.00,1.00,2,4,4,28.4,32.073,15,2.000,0.000,4,1.000,1
100000,32.00,16,0,4,0,12,0,1.00,0,0.125,2105,0.00,76.93,27.94,743,1,0,0,1.00,1.00,1.00,4,4,4,35.8,43.136,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2104,0.00,76.87,55.18,487,2,0,0,1.00,1.00,1.00,4,4,4,53.4,48.306,16,2.000,0.000,4,1.000,0
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,2100,0.00,75.93,52.74,719,0,0,0,1.00,1.00,1.00,4,4,4,17.4,26.742,15,2.000,0.000,4,1.000,1
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2069,2.81,68.67,68.44,487,0,2,0,1.00,1.00,1.00,1,4,4,10.3,26.917,16,2.000,0.000,4,1.000,0
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,2042,0.35,80.58,40.97,719,0,0,0,1.00,1.00,1.00,4,4,4,23.7,35.401,15,2.000,0.000,4,1.000,1
