run,births,births_by_month,bodies_seasonal,cohort,d_broken,d_cold,d_hunger,d_suffocation,d_thirst,d_wear,d_wound,err,fat_in,fed_end,grown_causes,grown_n,grown_p50,grown_p90,grown_p99,grown_seasonal_p50,grown_seasonal_p90,kinds_at,last,lived,moved,placed_at,pop,pop_land,pop_min,temp_winter,top_share,torpid_fed,torpid_seasonal,torpid_winter,torpid_winter_grown,travel,young,young_seasonal
c1225_life10_yq,62629.828125,22428/21515/19919/15520/9937/13639/23864/31511/30204/25357/20356/19392,0.1265137237027825,11715.0,0.0017971544223886347,0.0,0.35117290006819113,0.04011434170617473,0.45061054132794454,7.479832501617514e-07,0.15630431449205082,5.34e-14,133.0010152284264,0.9706820285978809,hunger 56% thirst 26% wound 14% suffocation 5%,324160,437,926,2342,598,1125,7.235294117647059,100000,0.8367909098734613,1.0267523917292458,3.8627450980392157,7122.59375,3389.953125,5006.0,-9.330703229336873,0.45512567110007773,0.13098765936381174,0.424492212860569,0.9550973016851294,0.9723599375893199,4.25,0.5687833497635691,0.4067134402409212
c1225_life11_yq,87592.203125,32836/34891/34432/23204/14368/22770/42207/54819/57745/47955/33634/29703,0.12531023569706,8761.0,0.0029369591489522553,0.0,0.28561392823278575,0.013717696034712889,0.441779135394316,5.349002821064087e-07,0.255951746288951,5.18e-14,165.34385026737968,0.9544548818673498,hunger 50% thirst 27% wound 20% suffocation 3%,342952,430,869,2316,540,972,6.705882352941177,100000,0.807493391564188,1.9148505550811272,1.9019607843137254,8826.203125,4321.890625,5177.0,-9.921367308315308,0.7822535459236873,0.1382312104295874,0.42323279052816587,0.9575803194788003,0.977935108968522,12.75,0.6058312286767007,0.4896595407065177
c1225_life9_y,55713.328125,18468/15064/10227/8365/7566/8879/10987/11863/12525/13975/15771/17738,0.07134336568547929,16232.0,0.0016038883500860527,0.026388476221976803,0.34959440292859584,0.07159559140930266,0.456345477886971,0.0,0.09447216320306763,5.09e-14,162.1176100628931,0.8676675977653632,hunger 57% thirst 23% wound 9% cold 6%,489797,450,966,2324,478,1118,5.784313725490196,100000,0.3578658003248782,3.737515712290503,4.03921568627451,8689.0625,4361.828125,6251.0,15.632305621830625,0.406883111865349,0.0,0.0,0.0,0.0,8.75,0.47777727949234683,0.29108017046054874
c1225_life9_yq,61570.078125,24885/24772/24310/20302/12252/15274/27205/35823/33578/28332/22400/21412,0.13345077196284386,12659.0,0.0024267227626493687,0.0,0.3273394870504615,0.03402585900355233,0.5225440718520957,5.072581025604867e-07,0.1136633520731385,5.57e-14,159.01227621483378,0.9732747924024052,hunger 53% thirst 30% wound 12% suffocation 4%,399271,439,919,2264,608,1102,8.058823529411764,100000,0.8366874301229835,1.1630256752887278,3.8627450980392157,8128.375,4030.640625,5570.0,-9.898954364516722,0.6074252713854613,0.11463717057617152,0.43084591996660604,0.962644203969172,0.9802393423547702,10.25,0.5128871104041358,0.37762137457335937
c1225_life9_u0,64979.34375,,,,0.0020053750685944997,0.01617135609072285,0.3428237113548264,0.058901492890328845,0.45084571639818966,0.0,0.12925234819733775,4.44e-14,,,,,,,,,,7.450980392156863,100000,,,4.745098039215686,9450.125,4027.8125,6516.0,,0.5799305003796769,,,,,5.75,,
c1225_life10_u0,62419.21875,,,,0.0013548613531052366,0.01739630970389425,0.3388594298825478,0.06535479931366366,0.46919579122427085,0.0,0.10783880852251819,6e-14,,,,,,,,,,8.27450980392157,100000,,,4.647058823529412,9298.078125,3734.828125,6430.0,,0.6281520392234675,,,,,4.25,,
c1225_life11_u0,65822.078125,,,,0.0014619619424876224,0.018413318136394737,0.3476978251358756,0.04467738613921522,0.44135212262069373,2.372544535033467e-07,0.1463971487708796,3.79e-14,,,,,,,,,,7.254901960784314,100000,,,4.470588235294118,9146.515625,3701.265625,6355.0,,0.422830016248573,,,,,6.0,,
