year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,7,0.1426,NaN,5.99,-1.78,28.17,22.43,2.01,40.3,49.1,0.0,0.0000,0.0406,0.9594,0.0000,2.72e-15,0.0001,0.2276,0.0000,0.0239,0.3374,0.0000,0.0000,0.0000,0.0000,0.0715,0.0406,0.0000,0.2436,0.0553,0.0000
2,7,0.1196,0.8530,6.31,-0.40,27.95,22.39,1.08,42.9,44.3,0.0,0.0000,0.1808,0.8015,0.0178,4.36e-15,0.0025,0.2098,0.0073,0.1040,0.2622,0.0032,0.0000,0.0000,0.0000,0.0625,0.0496,0.0000,0.2144,0.0845,0.0000
3,8,0.0998,0.8941,6.31,0.69,27.63,22.39,1.16,43.1,42.6,0.0,0.0000,0.2622,0.6770,0.0608,3.71e-15,0.0071,0.1882,0.0249,0.1474,0.2105,0.0109,0.0000,0.0000,0.0000,0.0581,0.0540,0.0000,0.1955,0.1034,0.0000
4,8,0.0913,0.9240,6.35,1.55,27.35,22.39,1.09,43.8,42.5,0.0,0.0000,0.2932,0.6107,0.0962,2.08e-15,0.0110,0.1689,0.0393,0.1617,0.1908,0.0174,0.0000,0.0000,0.0000,0.0554,0.0566,0.0000,0.1828,0.1161,0.0000
5,9,0.0909,0.9310,6.33,2.23,27.17,22.39,1.16,45.2,42.8,0.0,0.0000,0.2912,0.5829,0.1259,3.75e-15,0.0132,0.1544,0.0524,0.1583,0.1889,0.0218,0.0000,0.0000,0.0000,0.0536,0.0585,0.0000,0.1731,0.1258,0.0000
6,9,0.0898,0.9334,6.37,2.77,27.26,22.39,1.10,46.6,44.0,0.0,0.0000,0.2666,0.5808,0.1526,1.99e-15,0.0140,0.1408,0.0641,0.1430,0.2013,0.0258,0.0000,0.0000,0.0000,0.0522,0.0599,0.0000,0.1668,0.1321,0.0000
7,9,0.0838,0.9431,6.34,3.20,27.33,22.38,1.15,48.4,45.1,0.0,0.0000,0.2411,0.5811,0.1777,1.79e-15,0.0147,0.1298,0.0752,0.1273,0.2125,0.0294,0.0000,0.0000,0.0000,0.0512,0.0610,0.0000,0.1623,0.1366,0.0000
8,9,0.0828,0.9490,6.37,3.54,27.43,22.39,1.11,49.8,46.7,0.0,0.0001,0.2269,0.5614,0.2115,1.17e-15,0.0152,0.1186,0.0849,0.1185,0.2121,0.0397,0.0000,0.0000,0.0000,0.0502,0.0620,0.0000,0.1579,0.1410,0.0000
9,9,0.0822,0.9525,6.35,3.81,27.47,22.38,1.14,51.5,47.8,0.0,0.0002,0.2159,0.5347,0.2491,1.13e-15,0.0149,0.1108,0.0938,0.1123,0.2042,0.0529,0.0000,0.0000,0.0000,0.0495,0.0628,0.0000,0.1546,0.1443,0.0000
10,9,0.0776,0.9557,6.38,4.03,27.55,22.39,1.11,52.7,49.5,0.0,0.0003,0.2055,0.5082,0.2858,2.25e-15,0.0146,0.1029,0.1010,0.1064,0.1964,0.0673,0.0000,0.0000,0.0000,0.0489,0.0635,0.0000,0.1523,0.1466,0.0000
11,9,0.0758,0.9606,6.35,4.20,27.57,22.38,1.13,54.3,50.5,0.1,0.0004,0.1942,0.4856,0.3195,4.65e-16,0.0138,0.0971,0.1083,0.1006,0.1889,0.0798,0.0000,0.0000,0.0000,0.0488,0.0637,0.0000,0.1523,0.1466,0.0000
12,9,0.0769,0.9601,6.38,4.33,27.64,22.39,1.12,55.2,52.0,0.1,0.0006,0.1832,0.4671,0.3488,8.91e-16,0.0135,0.0907,0.1143,0.0944,0.1844,0.0912,0.0000,0.0000,0.0000,0.0482,0.0644,0.0000,0.1490,0.1499,0.0000
13,9,0.0684,0.9675,6.35,4.44,27.64,22.39,1.12,56.6,52.9,0.3,0.0008,0.1745,0.4508,0.3734,2.22e-16,0.0124,0.0859,0.1207,0.0903,0.1796,0.0993,0.0000,0.0000,0.0000,0.0481,0.0647,0.0000,0.1479,0.1510,0.0000
14,9,0.0679,0.9707,6.38,4.52,27.69,22.39,1.13,57.3,54.2,0.6,0.0009,0.1676,0.4337,0.3971,4.33e-16,0.0121,0.0803,0.1260,0.0866,0.1752,0.1079,0.0000,0.0000,0.0000,0.0482,0.0649,0.0000,0.1479,0.1510,0.0000
15,9,0.0642,0.9726,6.36,4.59,27.68,22.39,1.11,58.4,54.8,0.7,0.0011,0.1604,0.4199,0.4178,4.01e-16,0.0111,0.0758,0.1319,0.0834,0.1716,0.1141,0.0000,0.0000,0.0000,0.0481,0.0651,0.0000,0.1479,0.1510,0.0000
16,9,0.0639,0.9748,6.38,4.65,27.73,22.39,1.14,58.8,55.8,0.7,0.0013,0.1543,0.4078,0.4357,2.81e-16,0.0108,0.0720,0.1356,0.0801,0.1682,0.1210,0.0000,0.0000,0.0000,0.0480,0.0654,0.0000,0.1479,0.1510,0.0000
17,9,0.0622,0.9760,6.36,4.69,27.71,22.39,1.10,59.7,56.2,0.7,0.0015,0.1484,0.3972,0.4518,9.22e-17,0.0098,0.0685,0.1402,0.0776,0.1654,0.1259,0.0000,0.0000,0.0000,0.0479,0.0658,0.0000,0.1478,0.1511,0.0000
18,9,0.0688,0.9752,6.38,4.72,27.75,22.39,1.15,60.0,57.0,0.8,0.0017,0.1433,0.3877,0.4660,1.07e-15,0.0096,0.0655,0.1432,0.0748,0.1629,0.1313,0.0000,0.0000,0.0000,0.0475,0.0663,0.0000,0.1456,0.1533,0.0000
19,9,0.0600,0.9768,6.37,4.75,27.73,22.39,1.09,60.7,57.4,0.8,0.0019,0.1384,0.3807,0.4776,7.47e-16,0.0088,0.0626,0.1468,0.0727,0.1616,0.1345,0.0000,0.0000,0.0000,0.0472,0.0668,0.0000,0.1433,0.1556,0.0000
20,9,0.0604,0.9807,6.37,4.77,27.77,22.38,1.16,61.0,58.0,0.8,0.0021,0.1339,0.3747,0.4879,7.11e-16,0.0086,0.0602,0.1494,0.0702,0.1605,0.1380,0.0000,0.0000,0.0000,0.0473,0.0669,0.0000,0.1433,0.1556,0.0000
21,9,0.0577,0.9817,6.37,4.79,27.75,22.39,1.09,61.5,58.3,0.8,0.0023,0.1295,0.3701,0.4965,5.49e-17,0.0078,0.0580,0.1521,0.0685,0.1600,0.1403,0.0000,0.0000,0.0000,0.0474,0.0669,0.0000,0.1433,0.1556,0.0000
22,9,0.0598,0.9824,6.37,4.80,27.77,22.39,1.16,61.8,58.7,0.9,0.0024,0.1257,0.3656,0.5046,5.15e-16,0.0076,0.0560,0.1544,0.0664,0.1593,0.1428,0.0000,0.0000,0.0000,0.0475,0.0670,0.0000,0.1433,0.1556,0.0000
23,9,0.0574,0.9825,6.37,4.81,27.76,22.39,1.08,62.1,59.1,0.9,0.0026,0.1217,0.3616,0.5124,5.11e-16,0.0070,0.0538,0.1568,0.0647,0.1592,0.1450,0.0000,0.0000,0.0000,0.0476,0.0670,0.0000,0.1433,0.1556,0.0000
24,9,0.0591,0.9833,6.36,4.82,27.77,22.39,1.17,62.4,59.3,0.9,0.0027,0.1183,0.3577,0.5194,7.28e-16,0.0068,0.0520,0.1592,0.0628,0.1587,0.1468,0.0000,0.0000,0.0000,0.0477,0.0671,0.0000,0.1433,0.1556,0.0000
25,9,0.0571,0.9840,6.38,4.83,27.77,22.38,1.08,62.6,59.7,0.9,0.0028,0.1152,0.3543,0.5258,1.94e-16,0.0063,0.0502,0.1609,0.0615,0.1585,0.1488,0.0000,0.0000,0.0000,0.0477,0.0672,0.0000,0.1433,0.1556,0.0000
26,9,0.0591,0.9841,6.36,4.83,27.77,22.39,1.17,63.0,59.8,1.0,0.0029,0.1122,0.3510,0.5318,1.86e-16,0.0061,0.0489,0.1632,0.0600,0.1578,0.1501,0.0000,0.0000,0.0000,0.0477,0.0673,0.0000,0.1433,0.1556,0.0000
27,9,0.0569,0.9844,6.38,4.84,27.78,22.39,1.08,63.1,60.3,1.0,0.0031,0.1096,0.3475,0.5377,5.46e-16,0.0056,0.0469,0.1647,0.0589,0.1578,0.1520,0.0000,0.0000,0.0000,0.0478,0.0673,0.0000,0.1433,0.1556,0.0000
28,9,0.0580,0.9846,6.36,4.84,27.77,22.39,1.17,63.5,60.3,1.1,0.0032,0.1070,0.3443,0.5433,9.43e-16,0.0053,0.0457,0.1668,0.0577,0.1570,0.1532,0.0000,0.0000,0.0000,0.0479,0.0674,0.0000,0.1433,0.1556,0.0000
29,9,0.0566,0.9850,6.38,4.84,27.78,22.39,1.09,63.5,60.7,1.1,0.0033,0.1047,0.3410,0.5486,4.80e-16,0.0051,0.0441,0.1679,0.0566,0.1567,0.1552,0.0000,0.0000,0.0000,0.0480,0.0674,0.0000,0.1433,0.1556,0.0000
30,9,0.0573,0.9853,6.36,4.85,27.77,22.39,1.16,63.9,60.7,1.1,0.0035,0.1025,0.3383,0.5532,1.89e-16,0.0048,0.0431,0.1699,0.0556,0.1562,0.1559,0.0000,0.0000,0.0000,0.0481,0.0675,0.0000,0.1433,0.1556,0.0000
31,9,0.0556,0.9856,6.39,4.85,27.79,22.39,1.09,63.8,61.2,1.1,0.0036,0.1006,0.3355,0.5577,1.82e-16,0.0046,0.0416,0.1707,0.0546,0.1560,0.1579,0.0000,0.0000,0.0000,0.0481,0.0676,0.0000,0.1433,0.1556,0.0000
32,9,0.0558,0.9858,6.35,4.85,27.76,22.39,1.16,64.3,61.0,1.1,0.0038,0.0987,0.3328,0.5621,4.18e-16,0.0044,0.0408,0.1726,0.0538,0.1552,0.1585,0.0000,0.0000,0.0000,0.0482,0.0677,0.0000,0.1433,0.1556,0.0000
33,9,0.0552,0.9862,6.39,4.85,27.79,22.39,1.10,64.1,61.5,1.1,0.0039,0.0969,0.3303,0.5662,6.64e-16,0.0042,0.0395,0.1730,0.0528,0.1551,0.1605,0.0000,0.0000,0.0000,0.0482,0.0678,0.0000,0.1433,0.1556,0.0000
34,9,0.0560,0.9861,6.35,4.85,27.76,22.38,1.15,64.6,61.3,1.1,0.0041,0.0952,0.3276,0.5702,4.43e-16,0.0040,0.0387,0.1748,0.0521,0.1542,0.1610,0.0000,0.0000,0.0000,0.0483,0.0678,0.0000,0.1433,0.1556,0.0000
35,9,0.0549,0.9864,6.39,4.85,27.80,22.39,1.11,64.4,61.8,1.1,0.0042,0.0937,0.3249,0.5742,3.37e-17,0.0040,0.0375,0.1752,0.0512,0.1538,0.1630,0.0000,0.0000,0.0000,0.0484,0.0679,0.0000,0.1433,0.1556,0.0000
36,9,0.0550,0.9868,6.35,4.85,27.76,22.38,1.14,64.9,61.6,1.2,0.0043,0.0923,0.3226,0.5778,7.56e-16,0.0038,0.0370,0.1768,0.0506,0.1531,0.1636,0.0000,0.0000,0.0000,0.0484,0.0679,0.0000,0.1433,0.1556,0.0000
37,9,0.0546,0.9870,6.39,4.85,27.80,22.39,1.12,64.7,62.1,1.2,0.0043,0.0910,0.3208,0.5809,4.84e-16,0.0038,0.0362,0.1766,0.0498,0.1527,0.1655,0.0000,0.0000,0.0000,0.0485,0.0679,0.0000,0.1433,0.1556,0.0000
38,9,0.0536,0.9869,6.36,4.85,27.76,22.39,1.13,65.1,61.9,1.2,0.0045,0.0896,0.3188,0.5840,5.86e-16,0.0035,0.0356,0.1781,0.0492,0.1521,0.1659,0.0000,0.0000,0.0000,0.0486,0.0680,0.0000,0.1433,0.1556,0.0000
39,9,0.0541,0.9870,6.38,4.85,27.80,22.39,1.13,65.0,62.4,1.2,0.0046,0.0883,0.3171,0.5867,3.64e-16,0.0036,0.0351,0.1779,0.0484,0.1517,0.1677,0.0000,0.0000,0.0000,0.0487,0.0681,0.0000,0.1433,0.1556,0.0000
40,9,0.0529,0.9874,6.36,4.85,27.76,22.39,1.11,65.4,62.1,1.2,0.0048,0.0871,0.3155,0.5893,4.02e-17,0.0033,0.0346,0.1792,0.0480,0.1512,0.1680,0.0000,0.0000,0.0000,0.0487,0.0681,0.0000,0.1433,0.1556,0.0000
41,9,0.0540,0.9874,6.38,4.85,27.80,22.39,1.14,65.2,62.6,1.2,0.0049,0.0858,0.3142,0.5917,4.84e-16,0.0034,0.0344,0.1787,0.0472,0.1507,0.1698,0.0000,0.0000,0.0000,0.0488,0.0682,0.0000,0.1433,0.1556,0.0000
42,9,0.0526,0.9877,6.36,4.85,27.76,22.39,1.10,65.6,62.4,1.2,0.0050,0.0846,0.3130,0.5939,4.02e-16,0.0031,0.0339,0.1798,0.0467,0.1505,0.1700,0.0000,0.0000,0.0000,0.0489,0.0682,0.0000,0.1433,0.1556,0.0000
43,9,0.0547,0.9878,6.38,4.85,27.80,22.38,1.15,65.4,62.8,1.2,0.0050,0.0834,0.3120,0.5961,4.26e-16,0.0032,0.0338,0.1795,0.0459,0.1499,0.1716,0.0000,0.0000,0.0000,0.0489,0.0682,0.0000,0.1433,0.1556,0.0000
