year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,7,0.5225,NaN,12.06,9.33,18.06,5.31,2.44,27.7,44.3,0.0,0.0000,0.3070,0.6350,0.0580,7.31e-15,0.0000,0.0988,0.0208,0.1859,0.3361,0.0189,0.0244,0.0001,0.0000,0.0035,0.1805,0.0000,0.0057,0.1253,0.0000
2,8,0.2220,0.7402,12.39,11.48,18.31,5.30,1.59,26.4,26.5,0.0,0.0001,0.4947,0.2868,0.2184,3.38e-15,0.0000,0.0246,0.0889,0.3055,0.1719,0.0607,0.0334,0.0000,0.0000,0.0001,0.1840,0.0000,0.0000,0.1310,0.0000
3,7,0.1658,0.9199,12.42,13.12,18.78,5.30,1.59,26.6,20.9,0.0,0.0008,0.5312,0.1805,0.2872,1.13e-15,0.0000,0.0056,0.1073,0.3282,0.1180,0.0894,0.0357,0.0000,0.0000,0.0006,0.1842,0.0000,0.0000,0.1310,0.0000
4,7,0.1513,0.9555,12.43,14.37,19.35,5.30,1.59,29.2,20.2,0.0,0.0019,0.5360,0.1401,0.3211,1.27e-15,0.0000,0.0020,0.1102,0.3289,0.0940,0.1097,0.0383,0.0000,0.0000,0.0013,0.1846,0.0000,0.0000,0.1310,0.0000
5,7,0.1460,0.9618,12.44,15.32,19.79,5.30,1.58,32.4,21.6,0.0,0.0029,0.5254,0.1227,0.3476,1.98e-15,0.0000,0.0006,0.1111,0.3196,0.0835,0.1270,0.0403,0.0000,0.0000,0.0019,0.1849,0.0001,0.0000,0.1310,0.0000
6,7,0.1456,0.9622,12.45,16.04,20.13,5.30,1.59,35.6,23.8,0.0,0.0040,0.5060,0.1168,0.3715,2.01e-15,0.0000,0.0003,0.1107,0.3046,0.0797,0.1437,0.0419,0.0000,0.0000,0.0024,0.1849,0.0006,0.0000,0.1310,0.0000
7,7,0.1521,0.9604,12.45,16.59,20.39,5.30,1.59,38.7,26.3,0.1,0.0049,0.4830,0.1143,0.3956,3.16e-15,0.0000,0.0002,0.1105,0.2879,0.0781,0.1604,0.0429,0.0000,0.0000,0.0028,0.1836,0.0025,0.0000,0.1310,0.0000
8,7,0.1617,0.9553,12.46,17.02,20.62,5.30,1.58,41.4,28.8,0.2,0.0057,0.4547,0.1162,0.4208,4.16e-16,0.0000,0.0002,0.1104,0.2679,0.0794,0.1779,0.0436,0.0000,0.0000,0.0031,0.1803,0.0063,0.0000,0.1310,0.0000
9,8,0.1947,0.9183,12.46,17.34,20.78,5.30,1.59,43.8,31.1,0.2,0.0065,0.4164,0.1298,0.4442,1.25e-15,0.0000,0.0001,0.1101,0.2426,0.0872,0.1942,0.0426,0.0016,0.0000,0.0033,0.1555,0.0317,0.0000,0.1213,0.0098
10,8,0.1680,0.9315,12.46,17.58,20.92,5.30,1.58,45.9,33.2,0.3,0.0075,0.3825,0.1413,0.4653,9.97e-16,0.0000,0.0000,0.1099,0.2220,0.0924,0.2088,0.0400,0.0043,0.0001,0.0036,0.1372,0.0506,0.0000,0.1137,0.0173
11,9,0.1630,0.9489,12.46,17.77,21.02,5.30,1.59,47.7,35.0,0.5,0.0083,0.3566,0.1453,0.4859,1.06e-15,0.0000,0.0000,0.1096,0.2048,0.0944,0.2232,0.0395,0.0051,0.0001,0.0039,0.1272,0.0612,0.0000,0.1092,0.0218
12,9,0.1609,0.9565,12.46,17.91,21.09,5.30,1.59,49.2,36.6,0.7,0.0088,0.3335,0.1459,0.5078,1.99e-16,0.0000,0.0000,0.1095,0.1902,0.0940,0.2379,0.0382,0.0060,0.0005,0.0040,0.1211,0.0676,0.0000,0.1064,0.0246
13,9,0.1585,0.9618,12.46,18.02,21.15,5.30,1.58,50.5,38.0,0.9,0.0093,0.3118,0.1470,0.5276,1.27e-16,0.0000,0.0000,0.1094,0.1772,0.0939,0.2503,0.0364,0.0068,0.0017,0.0042,0.1173,0.0718,0.0000,0.1045,0.0265
14,9,0.1597,0.9675,12.46,18.10,21.20,5.30,1.59,51.6,39.2,0.9,0.0098,0.2931,0.1488,0.5438,2.26e-15,0.0000,0.0000,0.1091,0.1659,0.0948,0.2604,0.0349,0.0071,0.0030,0.0044,0.1145,0.0749,0.0000,0.1027,0.0283
15,9,0.1595,0.9727,12.46,18.17,21.23,5.30,1.58,52.5,40.2,1.2,0.0103,0.2771,0.1507,0.5572,4.59e-16,0.0000,0.0000,0.1090,0.1564,0.0955,0.2688,0.0333,0.0077,0.0039,0.0046,0.1124,0.0772,0.0000,0.1016,0.0294
16,9,0.1519,0.9768,12.47,18.22,21.26,5.30,1.59,53.2,41.1,1.4,0.0109,0.2637,0.1527,0.5677,6.82e-16,0.0000,0.0000,0.1087,0.1484,0.0960,0.2759,0.0323,0.0086,0.0043,0.0048,0.1112,0.0789,0.0000,0.1002,0.0308
17,9,0.1534,0.9818,12.46,18.25,21.28,5.30,1.59,53.9,41.8,1.5,0.0115,0.2526,0.1539,0.5767,3.05e-16,0.0000,0.0000,0.1085,0.1420,0.0961,0.2819,0.0310,0.0094,0.0047,0.0050,0.1111,0.0793,0.0000,0.1001,0.0309
18,9,0.1544,0.9814,12.47,18.28,21.29,5.30,1.58,54.4,42.4,1.5,0.0120,0.2423,0.1556,0.5846,4.97e-17,0.0000,0.0000,0.1084,0.1356,0.0967,0.2872,0.0303,0.0099,0.0049,0.0052,0.1100,0.0807,0.0000,0.0990,0.0320
19,9,0.1532,0.9841,12.47,18.30,21.31,5.30,1.59,54.7,43.0,1.6,0.0125,0.2326,0.1584,0.5906,2.69e-16,0.0000,0.0000,0.1081,0.1300,0.0979,0.2914,0.0294,0.0107,0.0051,0.0054,0.1096,0.0815,0.0000,0.0985,0.0325
