seed,step,kinds,placed
9,50000,5,3
9,51000,6,2
9,52000,5,2
9,53000,5,3
9,54000,4,2
9,55000,6,3
9,56000,6,2
9,57000,5,2
9,58000,5,1
9,59000,7,3
9,60000,5,2
9,61000,6,1
9,62000,5,3
9,63000,7,3
9,64000,4,2
9,65000,7,3
9,66000,6,3
9,67000,6,3
9,68000,8,4
9,69000,5,1
9,70000,6,1
9,71000,6,2
9,72000,7,3
9,73000,4,1
9,74000,6,2
9,75000,4,1
9,76000,4,1
9,77000,6,2
9,78000,5,0
9,79000,7,2
9,80000,7,2
9,81000,5,1
9,82000,6,2
9,83000,7,3
9,84000,7,4
9,85000,7,4
9,86000,6,2
9,87000,6,1
9,88000,7,3
9,89000,4,0
9,90000,6,2
9,91000,7,3
9,92000,8,4
9,93000,9,4
9,94000,8,3
9,95000,8,5
9,96000,6,3
9,97000,6,3
9,98000,4,1
9,99000,7,3
9,100000,6,2
10,50000,3,1
10,51000,4,2
10,52000,4,2
10,53000,6,3
10,54000,6,2
10,55000,6,3
10,56000,6,4
10,57000,7,3
10,58000,5,2
10,59000,5,4
10,60000,7,4
10,61000,4,2
10,62000,7,4
10,63000,4,2
10,64000,6,3
10,65000,5,3
10,66000,6,4
10,67000,7,3
10,68000,9,5
10,69000,8,5
10,70000,8,4
10,71000,5,2
10,72000,6,3
10,73000,5,3
10,74000,3,1
10,75000,4,1
10,76000,4,2
10,77000,4,2
10,78000,5,2
10,79000,5,2
10,80000,5,2
10,81000,5,1
10,82000,6,3
10,83000,5,2
10,84000,7,4
10,85000,6,2
10,86000,6,2
10,87000,5,1
10,88000,7,2
10,89000,5,1
10,90000,7,2
10,91000,7,3
10,92000,6,2
10,93000,5,1
10,94000,6,0
10,95000,5,1
10,96000,5,2
10,97000,6,2
10,98000,5,0
10,99000,6,2
10,100000,5,2
11,50000,7,5
11,51000,6,4
11,52000,5,3
11,53000,7,4
11,54000,7,5
11,55000,6,3
11,56000,5,3
11,57000,8,5
11,58000,4,2
11,59000,6,4
11,60000,7,4
11,61000,7,5
11,62000,5,3
11,63000,6,4
11,64000,7,4
11,65000,8,5
11,66000,7,4
11,67000,5,2
11,68000,6,2
11,69000,8,3
11,70000,6,1
11,71000,6,1
11,72000,8,3
11,73000,5,2
11,74000,5,2
11,75000,6,3
11,76000,7,4
11,77000,9,4
11,78000,6,3
11,79000,5,3
11,80000,8,3
11,81000,6,2
11,82000,5,1
11,83000,6,2
11,84000,8,4
11,85000,8,4
11,86000,5,3
11,87000,6,3
11,88000,7,3
11,89000,7,4
11,90000,10,4
11,91000,7,4
11,92000,6,3
11,93000,5,3
11,94000,8,3
11,95000,7,4
11,96000,5,4
11,97000,8,4
11,98000,6,4
11,99000,9,4
11,100000,9,4
12,50000,5,3
12,51000,6,3
12,52000,6,2
12,53000,6,3
12,54000,4,2
12,55000,4,2
12,56000,7,3
12,57000,5,1
12,58000,5,1
12,59000,6,3
12,60000,5,2
12,61000,5,2
12,62000,6,3
12,63000,4,2
12,64000,7,4
12,65000,6,2
12,66000,8,3
12,67000,6,2
12,68000,6,3
12,69000,6,2
12,70000,6,2
12,71000,6,3
12,72000,6,3
12,73000,7,4
12,74000,5,2
12,75000,4,2
12,76000,6,2
12,77000,5,1
12,78000,3,2
12,79000,5,1
12,80000,4,2
12,81000,5,1
12,82000,5,1
12,83000,6,3
12,84000,5,1
12,85000,6,2
12,86000,5,1
12,87000,6,0
12,88000,6,1
12,89000,6,1
12,90000,5,1
12,91000,5,1
12,92000,6,1
12,93000,7,1
12,94000,6,3
12,95000,5,3
12,96000,5,1
12,97000,5,0
12,98000,5,0
12,99000,4,0
12,100000,5,1
13,50000,3,0
13,51000,3,0
13,52000,5,0
13,53000,5,0
13,54000,4,0
13,55000,3,0
13,56000,4,1
13,57000,5,1
13,58000,5,1
13,59000,5,1
13,60000,4,0
13,61000,4,1
13,62000,3,0
13,63000,3,0
13,64000,3,0
13,65000,3,0
13,66000,2,0
13,67000,2,0
13,68000,5,2
13,69000,4,1
13,70000,3,0
13,71000,3,0
13,72000,4,1
13,73000,3,0
13,74000,3,0
13,75000,5,1
13,76000,3,0
13,77000,4,1
13,78000,4,1
13,79000,3,0
13,80000,4,1
13,81000,4,1
13,82000,4,0
13,83000,3,0
13,84000,3,0
13,85000,4,0
13,86000,5,1
13,87000,4,0
13,88000,4,1
13,89000,4,1
13,90000,3,0
13,91000,4,1
13,92000,5,2
13,93000,3,0
13,94000,3,0
13,95000,3,0
13,96000,3,0
13,97000,3,0
13,98000,4,1
13,99000,4,1
13,100000,3,0
14,50000,6,4
14,51000,8,3
14,52000,7,1
14,53000,7,2
14,54000,6,1
14,55000,7,2
14,56000,7,1
14,57000,7,2
14,58000,9,5
14,59000,7,4
14,60000,8,4
14,61000,6,3
14,62000,6,3
14,63000,6,2
14,64000,7,2
14,65000,6,3
14,66000,7,4
14,67000,7,3
14,68000,6,4
14,69000,5,2
14,70000,6,4
14,71000,6,3
14,72000,6,3
14,73000,8,5
14,74000,7,5
14,75000,5,2
14,76000,5,3
14,77000,7,4
14,78000,7,4
14,79000,6,2
14,80000,6,3
14,81000,7,4
14,82000,7,3
14,83000,7,4
14,84000,8,5
14,85000,6,3
14,86000,7,2
14,87000,7,2
14,88000,7,3
14,89000,7,4
14,90000,8,3
14,91000,5,2
14,92000,6,2
14,93000,6,2
14,94000,5,1
14,95000,5,2
14,96000,6,3
14,97000,5,3
14,98000,6,4
14,99000,7,4
14,100000,8,4
