run,seed,way,share,n,size,speed,age,flesh,lineages,top_lineage,top_lineage_share,places,crossed,travel,on_rich
e010 width 8,1,plant / no tooth,1.0,10773,4.0,0.0,1150.0,0.0,51,235,0.35421888053467,,,,
e010 width 8,2,plant / no tooth,0.9999011271504845,10113,4.0,0.0,1132.0,0.0,43,236,0.6353208741224167,,,,
e010 width 8,2,plant / tooth,9.887284951552304e-05,1,33.0,0.469,2537.0,0.0,1,236,1.0,,,,
e010 width 8,3,plant / no tooth,1.0,10504,4.0,0.0,1148.0,0.0,80,464,0.3101675552170602,,,,
e010 width 8,4,plant / no tooth,0.9989992995096567,9983,5.0,0.0,1119.0,0.0,140,1336,0.14184112992086548,,,,
e010 width 8,4,plant / tooth,0.0007004903432402681,7,18.0,0.438,1138.0,0.0011215598309032872,1,1812,1.0,,,,
e010 width 8,4,flesh / tooth,0.00020014009806864806,2,28.0,0.3125,390.5,0.7285388030640745,2,1792,0.5,,,,
e010 width 8,4,mixed / tooth,0.00010007004903432403,1,17.0,0.267,1018.0,0.5775513788863517,1,1792,1.0,,,,
e011 width 1,1,plant / no tooth,0.6374122367101304,1271,49.0,0.0,538.0,0.0,50,1310,0.1038552321007081,,,,
e011 width 1,1,plant / tooth,0.2522567703109328,503,64.0,0.062,1197.0,0.23476205627016952,24,1026,0.15904572564612326,,,,
e011 width 1,1,mixed / tooth,0.07522567703109329,150,64.0,0.125,885.0,0.4650741929656388,23,577,0.13333333333333333,,,,
e011 width 1,1,flesh / tooth,0.03460381143430291,69,64.0,0.172,691.0,0.7706301755283436,15,577,0.17391304347826086,,,,
e011 width 1,1,mixed / no tooth,0.0005015045135406219,1,64.0,0.0,704.0,0.4007189072609634,1,834,1.0,,,,
e011 width 1,2,plant / no tooth,0.6510500807754442,1209,64.0,0.0,716.0,0.00546716749591929,38,184,0.4946236559139785,,,,
e011 width 1,2,plant / tooth,0.2148626817447496,399,64.0,0.077,1340.0,0.21057484891896788,21,712,0.13784461152882205,,,,
e011 width 1,2,mixed / tooth,0.08616047388260635,160,62.0,0.163,737.5,0.49779777392030056,21,625,0.2375,,,,
e011 width 1,2,flesh / tooth,0.044695745826602046,83,64.0,0.231,676.0,0.7151780644114545,16,674,0.2891566265060241,,,,
e011 width 1,2,mixed / no tooth,0.0026925148088314485,5,64.0,0.0,358.0,0.5275277370734771,1,674,1.0,,,,
e011 width 1,2,flesh / no tooth,0.0005385029617662897,1,60.0,0.029,475.0,0.7319982198486872,1,625,1.0,,,,
