run,seed,steps,bodies,grown,ways,ways_diet_tooth,ways_by_place,ways_lineage,q1,ways_rarefied,kinds_rarefied,tooth,roams,kills_share,state
e010 width 8,1,500000 600000 700000 800000 900000 1000000,3516,1795.5,1,1,1,1,1.0,1.0,7.4275,0,,0.000623564305981206,
e010 width 8,2,500000 600000 700000 800000 900000 1000000,3488.8333333333335,1685.6666666666667,1,1,1,1,1.0008310482523275,1.0133333333333334,6.4275,9.827044025157232e-05,,0.00021252629421446563,
e010 width 8,3,500000 600000 700000 800000 900000 1000000,3515.8333333333335,1750.6666666666667,1,1,1,1,1.0,1.0,8.915,0,,0.00013876866367337247,
e010 width 8,4,500000 600000 700000 800000 900000 1000000,3365.3333333333335,1665.5,1,1,1,1,1.0081842803145193,1.0933333333333333,10.345833333333333,0.0011845534233593934,,0.0031290270987397797,
e011 width 1,1,500000 600000 700000 800000 900000 1000000,1465.1666666666667,332.3333333333333,2.8333333333333335,2.8333333333333335,2.8333333333333335,2.5,2.456105765039289,3.9233333333333333,21.860833333333332,0.3632229042721339,,0.15781908325722802,
e011 width 1,2,500000 600000 700000 800000 900000 1000000,1253.6666666666667,309.5,3,3,3,2.3333333333333335,2.5232394941688536,4.098333333333334,22.578333333333333,0.3542925199812267,,0.15317887852149056,
e011 width 1,3,500000 600000 700000 800000 900000 1000000,1916.8333333333333,306,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.1666666666666665,2.131800256099006,3.5741666666666667,20.4375,0.25659767263276334,,0.190862937929374,
e011 width 1,4,500000 600000 700000 800000 900000 1000000,1158.6666666666667,366.3333333333333,2.8333333333333335,2.8333333333333335,2.8333333333333335,2.5,2.1512893838453246,3.7375,21.856666666666666,0.24823052027973855,,0.09225818077612961,
e012 widths 8+1,1,500000 600000 700000 800000 900000 1000000,2385.5,991,1.1666666666666667,1.1666666666666667,3,1.6666666666666667,1.3242570087838006,3.17,14.261666666666667,0.06170238341432996,,0.08751386907139139,
e012 widths 8+1,2,500000 600000 700000 800000 900000 1000000,2727.8333333333335,973.8333333333334,1,1,2.5,1.8333333333333333,1.2825148185754516,2.955,13.8275,0.048354658664669314,,0.08811781020845529,
