setting,e012 widths 8+1 vs e011 width 1,e012 widths 8+1 vs e010 width 8,e025 weight 1 vs e025 weight 0,e026 season 0.5 vs e025 weight 1,e026 cloud 1 vs e025 weight 1,e032 winter high 2 vs e032 flat 0.75,e028 gut curve vs e026 season 0.5,e040 thirst 0.001 vs e041 control,e040 thirst 0.002 vs e041 control,e040 thirst 0.005 vs e041 control,e039 reach 1 vs e039 same reach,e038 sun 2 vs e037 control,e038 sun 4 vs e037 control,e038 k 0.6 sun 2 vs e037 k 0.6,e038 k 0.6 sun 4 vs e037 k 0.6,e041 stock 1 vs e041 control,e041 stock 4 vs e041 control,e046 plant 0.5 vs e045 connect,e051 stock 1 vs e048 motor,e051 stock 4 vs e048 motor,e051 stock 1 brain vs e050 brain,e051 stock 4 brain vs e050 brain,e054 grain 64 vs e054 control,e056 sun 2 vs e055 clock 0.5,e056 sun 4 vs e055 clock 0.5,e057 foul 0.03 vs e057 control,e059 islands vs e059 thin uniform,frame holds
base,fewer,same,more,split,same,more,fewer,same,same,same,same,same,same,same,fewer,same,same,split,split,split,fewer,fewer,split,split,fewer,split,split,23
roam 4,fewer,same,more,split,same,more,fewer,same,same,same,same,same,same,same,fewer,same,same,split,split,split,fewer,fewer,split,split,fewer,split,split,23
roam 16,fewer,same,more,split,same,more,fewer,same,same,same,same,same,same,same,fewer,same,same,split,split,fewer,split,split,split,split,fewer,split,split,23
diet 0.2/0.8,split,same,split,split,split,more,split,same,same,same,split,same,fewer,more,fewer,same,same,split,split,fewer,split,split,split,fewer,fewer,split,same,21
tooth 1,fewer,same,more,split,split,more,fewer,same,same,same,same,same,same,same,fewer,same,same,split,split,split,fewer,fewer,split,split,fewer,split,split,23
tooth 3,split,same,more,same,same,more,fewer,same,same,same,same,same,same,same,fewer,same,same,same,split,split,split,fewer,split,split,fewer,split,split,23
grown 100,fewer,same,more,split,split,more,fewer,same,same,same,same,same,same,same,fewer,same,same,split,split,fewer,fewer,fewer,split,split,fewer,split,split,23
grown 1000,fewer,same,same,same,split,more,same,same,same,same,split,same,same,same,fewer,same,same,more,split,split,split,fewer,split,fewer,fewer,split,split,21
share 2%,split,more,more,split,same,more,fewer,same,same,same,same,same,same,same,fewer,same,same,split,split,fewer,fewer,fewer,split,split,fewer,split,split,24
share 10%,fewer,same,more,same,split,same,fewer,same,same,same,split,same,fewer,same,fewer,same,fewer,split,split,split,split,fewer,split,split,same,split,same,22
