step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,111,25.31,0.54,13.50,0.56,12.95,0.81,0.252,818,48.86,2.71,85
5000,3,71,57.78,0.00,24.14,1.59,26.07,0.00,0.000,632,40.27,3.51,40
5000,5,52,81.32,0.48,32.10,0.71,52.65,0.31,0.058,511,40.87,6.40,37
5000,9,17,51.73,0.12,17.53,0.94,27.29,0.00,0.000,684,39.15,3.53,12
6000,3,115,52.52,0.00,20.40,1.56,24.73,0.00,0.000,494,31.51,3.23,59
6000,1,84,24.80,0.88,12.15,1.00,11.62,1.23,0.417,797,44.82,1.78,60
6000,9,41,55.88,0.12,20.71,1.29,28.41,0.00,0.000,330,22.88,6.49,21
6000,5,32,68.02,3.66,27.44,0.19,36.84,2.28,0.469,497,37.65,6.13,30
6000,21,10,74.18,1.40,35.00,2.40,23.30,3.10,0.800,2540,141.69,3.86,6
7000,3,149,52.59,0.26,22.50,0.91,24.20,0.45,0.087,522,34.54,2.70,71
7000,1,84,24.21,1.32,9.18,1.17,11.52,0.93,0.310,443,23.27,2.32,63
7000,9,38,51.85,0.00,16.95,1.79,27.45,0.00,0.000,575,40.89,3.09,30
7000,21,10,69.37,1.50,31.30,1.90,23.30,3.00,0.800,2582,145.61,5.77,6
7000,5,5,73.17,0.60,30.40,0.00,44.60,1.40,0.200,1864,133.73,21.68,5
8000,3,72,52.80,0.22,21.42,2.33,22.81,0.47,0.083,964,55.62,5.37,51
8000,9,71,50.43,0.10,18.23,2.18,26.31,0.11,0.028,470,32.39,4.56,33
8000,1,22,22.50,0.73,9.45,1.77,10.64,0.91,0.318,1125,56.72,4.64,18
8000,21,12,61.18,1.92,29.08,3.50,15.92,1.58,0.417,2154,110.36,17.04,10
8000,5,6,66.63,0.33,28.83,0.00,39.50,1.00,0.167,1782,142.24,16.07,6
9000,20,112,24.14,1.73,10.43,0.08,10.29,2.25,0.634,654,36.45,1.84,77
9000,9,96,51.94,0.34,16.67,4.39,24.96,0.09,0.021,603,40.05,5.88,47
9000,3,79,53.39,1.22,21.53,1.03,22.00,0.43,0.089,774,48.23,6.01,49
9000,5,18,58.89,1.28,19.28,0.00,35.06,0.50,0.111,679,52.60,7.83,12
9000,21,15,64.37,1.20,26.73,1.27,24.27,1.20,0.333,1549,79.23,8.51,13
9000,1,5,23.76,0.60,13.40,3.20,10.00,1.60,0.600,1376,81.31,6.59,4
10000,20,272,23.91,1.39,11.34,0.03,10.55,1.78,0.515,462,25.30,2.44,173
10000,9,143,53.24,0.20,16.87,4.31,26.10,0.04,0.014,737,44.30,6.96,75
10000,3,107,50.48,1.20,19.60,1.11,19.59,1.33,0.262,843,46.91,6.30,70
10000,5,22,46.27,0.00,11.73,0.00,43.77,0.00,0.000,158,10.89,0.93,16
10000,1,12,28.00,0.50,12.17,2.00,13.33,1.25,0.417,865,45.16,4.66,9
10000,21,9,61.62,3.00,23.00,6.33,19.44,1.33,0.444,2305,112.77,19.87,8
11000,9,116,54.48,0.29,18.22,4.99,24.46,0.04,0.009,965,58.89,7.17,69
11000,20,84,20.28,1.37,9.02,0.07,8.76,1.30,0.381,969,52.49,3.04,62
11000,3,68,57.65,0.59,22.96,2.41,22.75,0.24,0.059,979,52.33,7.29,38
