step,id,lineage,age,turns,mass,size,side,density,born_size,born_mass,born_hard,born_muscle,born_sensor,born_digestive,born_bite,hard,muscle,sensor,digestive,bite,bite_any,shell,speed,energy,fat,plant,meat,killed,scavenged,travel,path,worn,pace,place,born_place,temp,moist,height,cells
10000,35069,21,5860,2777,52.92,44,9,1.176,62,74.09,1,35,0,26,4,1,26,0,17,0,3,1.06,0.491,0.229,119.594,288.337,43.909,18.806,25.103,43.94,176.75,18,0.550,5,8,27.6,0.990,1082,222022024222222224022020240220002400222014444022000404000000400000000444000000444
10000,35321,3,5692,2963,36.90,34,8,1.135,59,64.15,0,28,5,26,0,0,11,3,20,0,0,1.00,0.298,0.000,56.652,351.286,21.511,5.500,16.012,45.88,272.50,18,0.658,5,8,28.6,1.000,1839,0000222000002220000022200004443000044430200440432404444004444440
10000,35631,33,5422,2348,71.23,72,10,0.989,100,98.92,0,53,0,47,0,0,41,0,31,0,0,1.00,0.576,0.000,59.622,322.973,63.072,52.202,10.871,19.25,241.50,11,0.474,4,5,23.7,0.451,1544,2022222222022202022222222222222224042022204440422224444004224440444422444440000044440000004444000000
10000,35696,33,5325,2628,37.39,38,9,0.984,81,79.69,0,35,0,46,0,0,8,0,30,0,0,1.00,0.214,0.000,16.325,318.785,46.875,24.822,22.053,117.13,202.25,22,0.654,8,5,31.4,1.000,92,000002020000002220200000200040444420044400400444040040044444440044040400444400400
10000,35889,3,5003,2363,56.84,42,8,1.353,64,86.62,0,29,0,35,0,0,27,0,15,0,0,1.00,0.475,2.006,55.443,209.902,101.922,94.489,7.433,74.50,180.50,7,0.531,8,8,34.6,1.000,196,2222220222222222022004222244444224044442200000442000004420000000
10000,36110,9,4614,2373,50.99,40,7,1.275,49,61.82,0,19,1,29,0,0,16,0,24,0,0,1.00,0.314,0.000,31.642,187.350,43.186,32.038,11.148,69.00,124.75,9,0.560,5,5,28.7,0.994,2096,2222202222222042220240440444044044444444444004444
10000,36144,9,4570,2738,28.30,25,7,1.132,49,54.90,0,18,1,30,0,0,9,0,16,0,0,1.00,0.318,1.216,81.124,285.770,52.317,29.884,22.433,18.50,173.50,14,0.752,5,5,29.7,0.831,1904,2220000222000204020244440044004404004404000440400
10000,36377,3,4200,2611,28.18,25,7,1.174,38,43.45,0,14,2,22,0,0,9,2,14,0,0,1.00,0.319,0.000,79.718,228.101,42.251,16.457,25.793,4.60,169.00,13,0.753,8,8,24.7,1.000,61,2200000020200022444002400030044000024404432444040
10000,36876,20,3652,3207,8.81,9,6,0.979,22,22.53,1,10,0,11,3,0,2,0,7,0,0,1.00,0.227,0.081,12.383,146.682,18.471,0.000,18.471,63.26,352.25,9,1.000,2,4,-1.6,1.000,1726,444040022444000000000000000000000000
10000,36935,9,3580,1677,71.65,63,8,1.204,64,72.85,0,24,7,33,0,0,23,7,33,0,0,1.00,0.321,0.000,99.709,233.905,31.627,30.474,1.153,32.39,181.25,1,0.473,3,4,28.7,0.158,1140,2222222222222220222222224433334444433344444444444444444444444444
10000,37037,20,3484,3203,3.92,4,6,0.979,22,22.53,1,10,0,11,3,0,2,0,2,0,0,1.00,0.511,0.000,8.941,176.163,16.416,1.160,15.256,41.76,281.50,8,1.000,7,5,26.3,0.215,27,004400022000000000000000000000000000
10000,37136,31,3413,2954,8.02,9,7,0.891,29,25.84,0,18,0,11,0,0,6,0,3,0,0,1.00,0.748,0.000,1.445,158.405,8.364,4.626,3.739,42.46,519.75,6,1.000,4,5,1.3,0.725,1417,0444000022000000220000202000000000000000000000000
10000,37356,9,3248,2031,13.28,12,7,1.207,49,54.93,0,18,7,24,0,0,3,2,7,0,0,1.00,0.226,0.000,30.601,204.266,14.961,3.326,11.635,64.36,124.00,3,1.000,8,5,28.0,1.000,649,0000000000000022230004430000444000040000004000000
10000,37458,20,3181,2884,1.94,2,6,0.969,20,21.32,2,10,0,8,4,0,0,0,2,0,0,1.00,0.000,0.000,8.455,183.318,10.686,2.775,7.911,49.92,435.50,12,1.000,7,5,9.4,0.431,965,400000400000000000000000000000000000
10000,37469,21,3173,1477,71.74,60,9,1.176,62,74.09,1,35,0,26,4,1,34,0,25,0,3,1.06,0.474,0.021,33.227,146.442,6.749,4.276,2.474,31.33,125.75,2,0.472,5,8,26.7,1.000,1441,222222224222222224222222244222202404222214444022004444000004444000004444000000444
10000,37527,20,3131,2748,13.57,13,6,0.969,20,21.32,2,10,0,8,4,1,9,0,3,0,4,1.33,0.663,0.000,31.153,151.049,3.982,0.000,3.982,53.21,425.75,3,1.000,7,5,7.4,0.355,927,440000420000222000222000220000010000
