step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1369,1.587,0.491,8.92,69739,63012,916,3,5944,1108,1064723.0,80.8,0.132,0.185,0.436,0.247,586,7.58,4.97,0.03,0.61,0.04,0.46,0.16,1.43,7.35,4.63,0.00,0.00,0.007,0.073,221,0.089,0.879,0.000,0.000,0.121,228527,217503,10,0.346,0.072,0.028,842219,0.125,1.619,0.056,93.41,66654,2,0.073,1.000,0.000,2090391,1.01,17.79,0.001,0.000,0.000,3,6,12,64,10380,0.040,70.03,0.0106,0.000,53,0.865,0.000,0.878,0.700,2.78,4.08,3.75,0.00,0.000,1.01,1.01,1.01
20000,1491,1.499,0.454,9.06,122930,112895,1717,0,8196,0,966674.9,0.0,0.086,0.078,0.669,0.167,453,7.71,3.91,0.04,0.50,0.02,0.30,0.10,0.74,7.55,3.86,0.00,0.00,0.004,0.047,244,0.117,0.858,0.000,0.000,0.142,277038,265723,6,0.608,0.003,0.036,441932,0.086,1.554,0.052,96.04,82461,0,0.000,0.000,0.000,1253489,1.02,17.15,0.000,0.000,0.000,3,7,12,37,11503,0.044,67.40,0.0086,0.014,24,0.820,0.000,0.951,0.562,3.02,5.46,3.38,0.00,0.000,1.02,1.02,1.01
30000,1489,1.495,0.441,10.57,128280,118327,1756,0,8199,3,971064.1,0.0,0.146,0.084,0.624,0.146,374,7.50,4.15,0.04,0.44,0.00,0.00,0.09,0.51,7.38,4.14,0.00,0.00,0.000,0.000,261,0.042,0.843,0.000,0.000,0.157,279410,267787,6,0.797,0.029,0.044,460473,0.083,1.542,0.051,96.29,96961,0,0.000,0.000,0.000,1338988,1.02,16.88,0.000,0.000,0.000,3,7,12,40,11173,0.043,67.15,0.0088,0.002,28,0.805,0.000,0.936,0.546,3.14,5.84,3.98,0.00,0.000,1.02,1.02,1.02
40000,1450,1.580,0.370,10.64,122558,113900,1558,0,7139,3,967454.6,0.0,0.136,0.125,0.580,0.159,360,8.29,5.88,0.05,0.60,0.01,0.14,0.09,0.87,8.15,5.74,0.00,0.00,0.002,0.029,311,0.087,0.881,0.000,0.000,0.119,261052,252825,3,0.838,0.000,0.034,597791,0.072,1.371,0.039,96.19,97186,0,0.000,0.000,0.000,2085046,1.02,15.87,0.000,0.000,0.000,2,7,15,47,12025,0.046,67.25,0.0082,0.002,27,0.859,0.000,0.916,0.537,3.32,5.78,4.58,0.00,0.000,1.03,1.03,1.02
50000,1397,1.588,0.331,10.50,120121,111276,1458,0,7440,3,963221.1,0.4,0.108,0.168,0.452,0.271,369,8.74,5.60,0.06,0.83,0.01,0.14,0.08,0.48,8.60,5.53,0.00,0.00,0.001,0.016,344,0.054,0.883,0.000,0.000,0.117,242347,237236,3,0.848,0.049,0.033,307869,0.077,1.289,0.035,95.86,89521,0,0.122,0.000,0.000,2834803,1.03,15.48,0.000,0.000,0.000,4,7,16,54,12212,0.047,67.58,0.0080,0.011,25,0.849,0.000,0.892,0.513,3.59,5.69,5.48,0.00,0.000,1.03,1.04,1.03
60000,1516,1.502,0.301,10.36,121206,112404,1488,0,7195,0,964193.3,0.0,0.104,0.152,0.533,0.211,361,7.59,4.42,0.06,0.63,0.00,0.09,0.04,0.38,7.48,4.42,0.00,0.00,0.003,0.051,304,0.049,0.875,0.000,0.000,0.125,253467,246825,6,0.635,0.136,0.015,480899,0.077,1.257,0.033,96.04,90603,0,0.000,0.000,0.000,2301606,1.04,17.20,0.000,0.000,0.000,4,7,12,43,11499,0.044,67.40,0.0085,0.000,31,0.785,0.000,0.891,0.530,3.55,5.28,5.87,0.00,0.000,1.04,1.04,1.04
70000,1553,1.500,0.273,10.21,133625,126999,1709,0,4880,5,960635.8,1.4,0.117,0.129,0.539,0.215,319,7.49,4.15,0.05,0.52,0.01,0.22,0.04,0.40,7.39,4.08,0.00,0.00,0.002,0.039,307,0.050,0.885,0.000,0.000,0.115,256399,249935,8,0.368,0.001,0.012,238087,0.077,1.205,0.030,96.03,90422,0,0.280,0.000,0.000,2264629,1.02,17.60,0.000,0.000,0.000,3,7,12,37,11631,0.044,67.41,0.0084,0.012,32,0.801,0.000,0.853,0.486,3.94,5.48,6.61,0.00,0.000,1.02,1.03,1.02
80000,1535,1.461,0.253,9.94,134383,127255,1727,0,5419,4,962692.7,0.7,0.101,0.134,0.531,0.234,339,7.29,3.96,0.06,0.85,0.00,0.00,0.04,0.42,7.20,3.83,0.00,0.00,0.000,0.000,257,0.057,0.880,0.000,0.000,0.120,261996,257678,4,0.352,0.070,0.012,155622,0.075,1.162,0.028,95.80,86270,0,0.182,0.000,0.000,2624565,1.03,17.67,0.000,0.000,0.000,4,6,11,47,11195,0.043,67.64,0.0087,0.000,41,0.812,0.000,0.826,0.494,3.90,5.44,6.86,0.00,0.000,1.03,1.03,1.03
90000,1542,1.459,0.252,10.18,133839,126636,1718,0,5478,0,965812.8,0.0,0.085,0.137,0.563,0.214,349,7.37,3.75,0.10,1.44,0.00,0.03,0.03,0.40,7.24,3.45,0.00,0.00,0.001,0.025,258,0.101,0.867,0.000,0.000,0.133,264243,261306,4,0.327,0.054,0.013,207226,0.066,1.157,0.028,96.07,80013,0,0.000,0.000,0.000,2767699,1.04,17.41,0.000,0.000,0.000,3,7,10,51,11370,0.043,67.37,0.0087,0.000,47,0.820,0.000,0.834,0.500,3.96,5.60,6.91,0.00,0.000,1.04,1.05,1.04
100000,1479,1.509,0.177,10.85,129515,119880,1634,0,8064,2,965097.8,0.0,0.044,0.180,0.410,0.366,343,7.76,4.48,0.08,0.76,0.00,0.00,0.07,0.77,7.62,4.33,0.00,0.00,0.000,0.000,276,0.074,0.890,0.000,0.000,0.110,260058,257652,4,0.599,0.018,0.021,205728,0.055,0.948,0.018,95.86,79328,0,0.000,0.000,0.000,3335947,1.03,17.19,0.000,0.000,0.000,4,8,11,63,11481,0.044,67.58,0.0086,0.000,44,0.839,0.000,0.804,0.508,3.95,5.39,6.85,0.00,0.000,1.02,1.04,1.03
