step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,5168,1.686,0.487,6.25,295558,265057,3091,0,28182,7299,3320043.0,443.2,0.273,0.269,0.188,0.270,212,10.09,7.94,0.15,1.48,0.06,0.56,0.09,1.15,9.80,7.52,0.00,0.04,0.006,0.060,743,0.083,0.890,0.000,0.000,0.110,806076,770183,15,0.628,0.136,0.016,2721216,0.150,1.612,0.056,370.05,208508,0,0.061,0.000,0.000,11320673,1.05,16.19,0.007,0.001,0.001,3,8,19,64,52168,0.050,283.71,0.0066,0.001,152,0.821,0.000,0.799,0.642,3.18,5.00,3.63,0.00,0.001,1.05,1.05,1.05
20000,5719,1.577,0.409,6.98,425485,375627,5565,0,43742,173,3002472.8,10.5,0.261,0.157,0.232,0.350,180,8.72,5.40,0.12,0.98,0.04,0.55,0.03,0.40,8.54,5.24,0.00,0.03,0.004,0.055,840,0.068,0.871,0.000,0.000,0.128,960604,923965,21,0.550,0.078,0.007,580426,0.101,1.485,0.046,383.00,249217,0,0.061,0.000,0.000,8465400,1.05,16.94,0.000,0.000,0.000,4,8,15,64,49876,0.048,270.75,0.0061,0.005,149,0.774,0.000,0.881,0.566,3.04,4.48,3.87,0.00,0.001,1.04,1.05,1.05
30000,5728,1.559,0.382,7.42,481419,426833,6254,0,48323,71,2911179.5,6.7,0.220,0.118,0.266,0.396,163,8.40,4.86,0.11,1.49,0.03,0.77,0.03,0.56,8.23,4.56,0.00,0.01,0.003,0.042,772,0.063,0.883,0.000,0.000,0.117,995002,950425,22,0.521,0.093,0.008,685720,0.080,1.440,0.044,383.63,280399,0,0.094,0.000,0.000,6929705,1.04,17.13,0.000,0.000,0.000,4,8,13,63,48120,0.046,270.12,0.0062,0.010,123,0.755,0.000,0.873,0.525,3.26,4.65,4.34,0.00,0.001,1.04,1.05,1.05
40000,5868,1.546,0.357,7.75,487198,434469,6353,2,46234,83,2982741.0,7.6,0.191,0.107,0.306,0.396,152,8.51,4.28,0.08,0.82,0.03,0.41,0.03,0.36,8.36,4.22,0.00,0.00,0.005,0.061,822,0.043,0.884,0.000,0.000,0.116,1017254,970279,27,0.589,0.101,0.013,807373,0.062,1.394,0.041,383.01,291431,842,0.092,0.000,0.000,6220589,1.04,16.71,0.000,0.000,0.000,4,8,14,40,49908,0.048,270.74,0.0061,0.014,103,0.751,0.000,0.850,0.529,3.31,4.14,5.07,0.00,0.001,1.03,1.04,1.04
50000,5667,1.572,0.334,7.71,483936,438625,6211,0,39301,58,3039278.2,7.2,0.143,0.102,0.338,0.418,146,8.59,4.09,0.09,0.94,0.02,0.34,0.03,0.31,8.45,4.00,0.00,0.00,0.004,0.054,718,0.066,0.875,0.000,0.000,0.125,1004833,966912,21,0.567,0.013,0.014,831830,0.081,1.344,0.038,383.50,294569,0,0.124,0.000,0.000,5762841,1.04,16.43,0.000,0.000,0.000,4,8,13,57,48688,0.046,270.26,0.0063,0.008,148,0.735,0.000,0.837,0.526,3.44,4.37,5.27,0.00,0.000,1.03,1.05,1.04
60000,5877,1.530,0.320,7.67,490077,441029,6242,0,42596,66,3046588.0,7.5,0.188,0.099,0.327,0.386,152,8.36,4.17,0.07,0.75,0.05,0.74,0.04,0.73,8.21,3.91,0.00,0.05,0.004,0.048,650,0.069,0.869,0.001,0.000,0.131,1026874,993622,18,0.520,0.064,0.010,544355,0.076,1.317,0.036,383.66,285768,0,0.114,0.000,0.000,5524039,1.03,16.87,0.000,0.001,0.000,4,8,12,64,49151,0.047,270.10,0.0063,0.022,118,0.724,0.000,0.830,0.530,3.52,4.52,5.40,0.00,0.001,1.03,1.04,1.03
70000,5785,1.534,0.312,7.79,498999,448424,6763,2,43902,119,3005099.0,10.1,0.208,0.089,0.316,0.386,149,8.08,4.10,0.07,0.75,0.03,0.63,0.03,0.53,7.96,3.91,0.00,0.00,0.003,0.044,647,0.058,0.882,0.000,0.000,0.118,1049809,1013517,21,0.444,0.048,0.007,561580,0.083,1.298,0.035,382.92,293246,470,0.085,0.000,0.000,5007332,1.03,17.31,0.000,0.000,0.000,3,8,12,64,46726,0.045,270.84,0.0065,0.014,111,0.705,0.000,0.826,0.532,3.58,4.80,5.35,0.00,0.001,1.03,1.03,1.03
80000,5904,1.515,0.298,7.98,521028,467054,6836,1,47018,74,2923103.8,5.1,0.176,0.096,0.324,0.404,142,7.96,4.24,0.07,0.81,0.05,0.76,0.06,0.80,7.78,3.94,0.00,0.05,0.005,0.056,702,0.055,0.882,0.000,0.000,0.118,1061974,1026736,16,0.437,0.167,0.013,615969,0.078,1.267,0.033,383.04,305219,333,0.068,0.000,0.000,5621111,1.03,17.43,0.000,0.000,0.000,4,8,12,58,46989,0.045,270.72,0.0064,0.015,88,0.737,0.000,0.813,0.516,3.70,4.97,5.69,0.00,0.001,1.03,1.03,1.04
90000,5882,1.523,0.283,8.20,516739,468826,6601,0,41334,93,2972504.2,10.1,0.137,0.120,0.336,0.406,136,7.92,3.80,0.05,0.50,0.02,0.35,0.03,0.40,7.83,3.72,0.00,0.03,0.002,0.035,656,0.073,0.882,0.000,0.000,0.118,1047110,1020199,19,0.551,0.014,0.009,680179,0.086,1.233,0.031,382.19,305149,0,0.108,0.000,0.000,7721247,1.02,17.31,0.000,0.000,0.000,4,8,12,54,46601,0.044,271.56,0.0065,0.017,71,0.775,0.000,0.787,0.513,3.84,5.33,5.97,0.00,0.000,1.02,1.03,1.03
100000,5878,1.498,0.272,8.40,510388,461986,6788,0,41618,67,3006381.2,5.0,0.093,0.124,0.358,0.425,129,7.96,3.94,0.07,0.84,0.02,0.28,0.04,0.49,7.83,3.78,0.00,0.00,0.002,0.038,714,0.080,0.875,0.000,0.000,0.125,1063340,1042921,11,0.582,0.032,0.015,620588,0.068,1.206,0.030,383.15,319403,0,0.074,0.000,0.000,8081347,1.03,17.36,0.000,0.001,0.000,4,8,12,64,46794,0.045,270.61,0.0065,0.020,116,0.779,0.000,0.790,0.526,3.89,5.42,6.22,0.00,0.001,1.03,1.03,1.03
