step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,4615,9.78,0.11,0.11,0.05,9.52,0.00,1.04,0.001,0.186,1992958.1,138.9,13,2,3.54,1.05,1.05
10000,2,2218,4.66,0.04,0.04,0.07,4.51,0.00,1.02,0.000,0.521,1220944.5,12.6,9,2,2.05,1.02,1.03
10000,0,57,9.88,0.09,0.09,0.33,9.37,0.00,1.01,0.000,0.001,370288.7,293.9,6,36,3.11,1.01,1.01
20000,8,4778,8.60,0.07,0.08,0.05,8.39,0.00,1.03,0.000,0.164,1511018.0,11.5,12,5,3.82,1.04,1.04
20000,2,2291,4.85,0.01,0.06,0.04,4.74,0.00,1.01,0.000,0.522,1234559.9,2.2,6,16,2.09,1.01,1.01
20000,0,46,6.89,0.00,0.28,0.13,6.48,0.00,1.00,0.000,0.000,5499.2,0.0,4,36,2.61,1.00,1.00
30000,8,5019,8.29,0.06,0.05,0.05,8.13,0.00,1.03,0.000,0.172,1409602.6,8.1,13,30,3.87,1.03,1.03
30000,2,2126,4.62,0.01,0.03,0.04,4.53,0.00,1.01,0.000,0.526,1247232.2,1.5,3,93,2.09,1.01,1.01
30000,0,39,7.77,0.03,0.05,0.72,6.97,0.00,1.01,0.000,0.000,3597.7,0.3,3,31,3.03,1.03,1.00
40000,8,4970,8.85,0.03,0.03,0.02,8.77,0.00,1.01,0.000,0.169,1289836.8,5.0,11,40,4.45,1.01,1.01
40000,2,2002,5.32,0.02,0.01,0.04,5.26,0.00,1.01,0.000,0.519,1234073.1,2.7,4,51,2.39,1.01,1.01
40000,0,37,8.27,0.19,0.00,0.24,7.84,0.00,1.05,0.000,0.000,3333.4,0.1,5,30,2.57,1.00,1.10
50000,8,4854,8.63,0.03,0.04,0.03,8.53,0.00,1.01,0.000,0.158,1225581.4,7.5,7,10,4.44,1.02,1.02
50000,2,2302,4.86,0.02,0.01,0.02,4.81,0.00,1.01,0.000,0.532,1212654.5,2.0,4,19,2.64,1.01,1.01
