step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,2534,1.555,0.465,6.59,85511,71920,1580,79,10903,1178,1547617.6,195.3,0.135,0.281,0.214,0.370,438,5.93,4.84,0.02,0.35,0.06,0.46,0.02,0.26,5.83,4.74,0.00,0.00,0.009,0.072,252,0.115,0.908,0.000,0.000,0.092,358545,342966,10,0.497,0.136,0.009,1217335,0.109,1.589,0.054,149.35,95824,2,0.166,0.975,0.000,5214881,1.01,20.36,0.000,0.000,0.000,2,5,11,42,15039,0.057,13.85,0.0105,0.006,10,0.901,0.000,0.871,0.764,2.26,3.05,3.06,0.00,0.000,1.01,1.01,1.01
20000,2421,1.582,0.428,7.66,164477,142324,3325,0,18941,25,1492651.2,1.9,0.080,0.271,0.261,0.389,329,6.78,5.43,0.05,0.71,0.06,0.54,0.02,0.33,6.64,5.26,0.00,0.04,0.007,0.059,316,0.163,0.894,0.000,0.000,0.106,440152,418770,11,0.394,0.013,0.012,215275,0.067,1.530,0.049,158.71,122963,0,0.076,0.000,0.000,8476182,1.03,19.14,0.000,0.000,0.000,3,6,11,57,16409,0.063,4.49,0.0093,0.008,2,0.916,0.000,0.932,0.630,2.47,3.40,3.31,0.00,0.001,1.03,1.03,1.03
30000,2167,1.615,0.402,6.30,162669,142578,3266,0,17079,18,1507919.8,3.0,0.058,0.237,0.268,0.438,307,7.39,4.81,0.05,0.62,0.07,0.71,0.01,0.18,7.27,4.57,0.00,0.00,0.006,0.064,236,0.117,0.895,0.000,0.000,0.105,437160,415138,9,0.854,0.028,0.004,192266,0.068,1.483,0.046,159.09,130063,0,0.166,0.000,0.000,7617297,1.02,17.97,0.000,0.000,0.000,3,6,12,45,16013,0.061,4.11,0.0096,0.003,5,0.916,0.000,0.937,0.632,2.75,3.59,4.16,0.00,0.001,1.02,1.03,1.02
40000,2174,1.661,0.325,5.25,155659,136003,2581,0,17068,8,1514596.9,0.7,0.061,0.186,0.188,0.565,365,8.10,5.40,0.03,0.40,0.06,0.64,0.00,0.02,8.01,5.27,0.00,0.00,0.007,0.070,231,0.168,0.915,0.000,0.000,0.085,443765,431849,1,1.000,0.000,0.000,44087,0.126,1.321,0.036,158.94,94799,0,0.086,0.000,0.000,5686754,1.01,17.08,0.000,0.000,0.000,3,7,13,64,17606,0.067,4.26,0.0087,0.001,10,0.871,0.000,0.920,0.653,3.05,3.96,4.71,0.00,0.001,1.01,1.02,1.02
50000,2326,1.570,0.267,5.54,158018,138571,2983,0,16312,2,1497285.6,0.3,0.053,0.219,0.118,0.609,370,7.50,4.66,0.02,0.29,0.08,1.01,0.00,0.00,7.40,4.44,0.00,0.00,0.006,0.070,228,0.124,0.899,0.000,0.000,0.101,423060,419482,1,1.000,0.000,0.000,26737,0.099,1.205,0.030,158.69,78077,0,0.127,0.000,0.000,7741487,1.02,17.44,0.000,0.000,0.000,3,7,13,60,17444,0.067,4.51,0.0087,0.006,6,0.874,0.000,0.912,0.631,3.20,3.86,5.85,0.00,0.000,1.01,1.02,1.02
60000,2349,1.578,0.251,5.77,172067,149756,2895,1,19392,10,1515558.6,2.6,0.061,0.183,0.067,0.689,333,7.24,4.37,0.04,0.59,0.05,0.81,0.00,0.07,7.15,4.17,0.00,0.00,0.005,0.064,211,0.206,0.906,0.000,0.000,0.094,445839,440563,1,0.840,0.160,0.001,16598,0.140,1.159,0.027,158.93,82122,9,0.257,1.000,0.000,6746045,1.02,17.54,0.000,0.000,0.000,3,7,12,58,17006,0.065,4.27,0.0090,0.006,6,0.861,0.000,0.917,0.619,3.06,3.63,5.15,0.00,0.000,1.01,1.02,1.03
70000,2568,1.545,0.229,5.76,174489,149419,2966,0,21885,10,1491932.4,0.3,0.063,0.185,0.039,0.713,371,6.59,4.50,0.01,0.17,0.07,0.85,0.00,0.14,6.50,4.35,0.00,0.00,0.008,0.078,212,0.224,0.904,0.000,0.000,0.096,448765,445441,2,0.989,0.000,0.001,18548,0.129,1.105,0.025,158.97,76696,0,0.030,0.000,0.000,6779360,1.01,18.56,0.000,0.000,0.000,2,7,11,55,16916,0.065,4.23,0.0089,0.008,4,0.871,0.000,0.924,0.616,2.88,3.31,5.03,0.00,0.000,1.01,1.01,1.02
80000,2148,1.603,0.224,5.84,168961,146047,2780,0,20554,6,1520382.4,0.2,0.058,0.176,0.043,0.723,366,7.92,4.48,0.01,0.21,0.08,0.90,0.00,0.03,7.82,4.30,0.00,0.00,0.008,0.070,218,0.248,0.911,0.000,0.000,0.089,444791,443073,2,1.000,0.000,0.001,61740,0.088,1.086,0.024,158.91,80833,0,0.041,0.000,0.000,5907195,1.01,16.60,0.000,0.000,0.000,3,7,12,56,17003,0.065,4.29,0.0090,0.005,6,0.847,0.000,0.919,0.625,3.25,3.62,5.82,0.00,0.000,1.01,1.01,1.01
90000,2570,1.532,0.208,5.84,174542,149701,2902,1,21516,23,1524470.8,0.9,0.070,0.150,0.053,0.726,362,6.56,4.15,0.00,0.08,0.06,0.79,0.01,0.17,6.48,3.94,0.00,0.00,0.006,0.058,205,0.202,0.906,0.000,0.000,0.094,442188,440007,1,1.000,0.000,0.002,38548,0.127,1.036,0.022,159.38,84643,292,0.039,0.000,0.000,4769509,1.00,18.63,0.000,0.000,0.000,2,7,10,64,16852,0.064,3.82,0.0091,0.001,3,0.813,0.000,0.922,0.610,2.91,3.39,5.07,0.00,0.000,1.00,1.00,1.00
100000,2532,1.512,0.145,5.83,172217,147536,2852,0,21867,8,1509577.1,0.9,0.066,0.152,0.051,0.731,365,6.79,4.66,0.01,0.29,0.09,0.88,0.04,0.73,6.65,4.30,0.00,0.00,0.007,0.061,207,0.203,0.907,0.000,0.000,0.093,437563,436318,2,0.737,0.000,0.011,238037,0.060,0.849,0.014,159.18,83853,0,0.116,0.000,0.000,4838128,1.00,18.57,0.000,0.000,0.000,2,7,10,64,17186,0.066,4.02,0.0090,0.000,11,0.813,0.000,0.921,0.611,3.00,3.42,5.29,0.00,0.000,1.01,1.01,1.00
