step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1823,1.560,0.546,8.21,69627,58949,1088,17,9255,1118,1265531.8,111.6,0.183,0.216,0.328,0.272,509,6.63,4.94,0.06,0.79,0.03,0.33,0.04,0.40,6.51,4.81,0.00,0.00,0.005,0.055,293,0.063,0.901,0.000,0.000,0.099,283309,271806,8,0.295,0.031,0.020,899118,0.114,1.720,0.065,115.59,84088,2,0.100,1.000,0.000,2856154,1.02,19.36,0.001,0.000,0.000,2,5,14,64,12093,0.046,47.72,0.0107,0.001,9,0.892,0.000,0.877,0.757,2.37,3.76,3.53,0.00,0.001,1.02,1.02,1.02
20000,1859,1.524,0.529,7.43,129134,112186,2085,0,14827,2,1202818.9,0.5,0.204,0.214,0.404,0.178,407,7.33,4.21,0.04,0.55,0.02,0.43,0.03,0.60,7.24,4.10,0.00,0.00,0.002,0.029,263,0.069,0.890,0.000,0.000,0.110,341220,323629,7,0.593,0.203,0.009,169602,0.071,1.699,0.063,121.02,103134,0,0.259,0.000,0.000,4438762,1.02,18.38,0.000,0.000,0.000,3,6,11,41,13623,0.052,42.30,0.0089,0.006,10,0.887,0.000,0.935,0.626,2.72,4.36,3.73,0.00,0.000,1.02,1.02,1.02
30000,1891,1.502,0.515,7.13,135439,118686,2035,0,14686,2,1206575.4,0.0,0.210,0.244,0.381,0.165,387,6.82,3.91,0.03,0.55,0.04,0.98,0.01,0.20,6.73,3.76,0.00,0.00,0.003,0.045,229,0.096,0.878,0.000,0.000,0.122,339904,322673,6,0.740,0.152,0.006,121903,0.098,1.682,0.061,121.43,100033,0,0.010,0.000,0.000,5194691,1.01,19.14,0.000,0.000,0.000,3,6,11,38,12902,0.049,41.88,0.0095,0.000,15,0.906,0.000,0.903,0.606,2.66,3.80,3.88,0.00,0.001,1.02,1.02,1.01
40000,1911,1.536,0.415,6.81,141170,126684,1760,0,12706,2,1216096.9,0.7,0.170,0.209,0.508,0.113,417,7.28,3.97,0.04,0.89,0.02,0.42,0.03,0.31,7.18,3.83,0.00,0.00,0.002,0.036,181,0.170,0.905,0.000,0.000,0.095,325414,313498,3,0.928,0.032,0.017,162428,0.114,1.495,0.048,121.36,91668,0,0.330,0.000,0.000,4437965,1.01,18.40,0.000,0.000,0.000,3,7,12,60,13904,0.053,41.95,0.0089,0.001,10,0.870,0.000,0.903,0.572,2.72,4.31,3.46,0.00,0.001,1.01,1.02,1.01
50000,1932,1.539,0.364,6.78,134218,121095,1832,0,11270,2,1215320.1,0.2,0.130,0.252,0.520,0.098,425,7.12,4.15,0.06,1.00,0.02,0.41,0.03,0.36,7.01,3.88,0.00,0.00,0.001,0.017,180,0.098,0.910,0.001,0.000,0.089,299291,295270,3,0.562,0.299,0.009,291716,0.105,1.398,0.041,121.53,80702,0,0.121,0.000,0.000,5713817,1.02,18.56,0.000,0.001,0.000,2,7,11,52,13751,0.052,41.79,0.0090,0.003,13,0.873,0.000,0.895,0.559,2.69,3.98,3.74,0.01,0.003,1.01,1.03,1.02
60000,1885,1.527,0.337,6.56,137175,124515,1737,0,10970,3,1203057.2,0.2,0.158,0.268,0.476,0.098,446,7.34,3.83,0.07,1.01,0.01,0.28,0.05,0.79,7.20,3.52,0.00,0.00,0.002,0.042,171,0.086,0.906,0.000,0.000,0.094,307889,301808,2,0.680,0.000,0.009,182923,0.128,1.351,0.038,121.44,77255,0,0.080,0.000,0.000,6655961,1.03,18.11,0.000,0.001,0.000,3,7,11,49,13828,0.053,41.88,0.0089,0.000,11,0.888,0.000,0.890,0.561,2.89,4.02,4.30,0.00,0.000,1.02,1.04,1.03
70000,2013,1.512,0.321,6.60,142510,129622,1845,0,10915,7,1201022.1,0.1,0.172,0.300,0.415,0.114,383,6.51,3.38,0.05,0.95,0.01,0.22,0.01,0.14,6.45,3.29,0.00,0.00,0.001,0.026,168,0.085,0.905,0.000,0.000,0.095,317102,310344,2,0.812,0.010,0.006,305568,0.094,1.307,0.036,121.32,82547,0,0.020,0.000,0.000,7150141,1.02,19.23,0.000,0.000,0.000,2,7,10,38,13114,0.050,42.00,0.0093,0.007,9,0.892,0.000,0.890,0.556,3.03,4.20,4.62,0.00,0.000,1.02,1.02,1.02
80000,1854,1.492,0.290,6.49,159979,146291,1932,0,11915,19,1197421.0,0.5,0.236,0.297,0.293,0.173,393,6.90,3.17,0.07,0.75,0.00,0.07,0.00,0.15,6.82,3.15,0.00,0.00,0.000,0.010,169,0.311,0.899,0.000,0.000,0.101,336963,331211,3,0.703,0.269,0.001,144302,0.102,1.236,0.032,120.94,77215,0,0.028,0.000,0.000,7621990,1.04,18.61,0.000,0.000,0.000,3,7,10,42,12800,0.049,42.37,0.0095,0.000,12,0.899,0.000,0.885,0.529,3.83,5.65,6.21,0.00,0.000,1.03,1.03,1.04
90000,1932,1.480,0.289,6.49,161549,146364,1962,0,13145,18,1202568.2,1.4,0.289,0.298,0.185,0.228,386,6.76,3.61,0.03,0.38,0.00,0.00,0.00,0.13,6.72,3.56,0.00,0.00,0.000,0.000,175,0.254,0.889,0.000,0.000,0.111,348686,346577,6,0.711,0.000,0.002,30138,0.132,1.226,0.031,121.13,70859,0,0.079,0.000,0.000,7918251,1.01,19.15,0.000,0.000,0.000,2,7,10,51,13058,0.050,42.19,0.0093,0.000,15,0.916,0.000,0.825,0.540,3.93,6.16,5.94,0.00,0.000,1.01,1.01,1.01
100000,1944,1.448,0.194,5.84,164831,149393,1903,0,13523,7,1206611.2,0.0,0.322,0.301,0.157,0.221,386,6.60,3.40,0.02,0.31,0.00,0.12,0.00,0.00,6.57,3.41,0.00,0.00,0.001,0.027,131,0.282,0.893,0.000,0.000,0.107,358420,357317,1,1.000,0.000,0.000,8771,0.173,0.958,0.019,121.44,70507,0,0.000,0.000,0.000,7051966,1.01,19.28,0.001,0.001,0.000,3,7,10,64,12832,0.049,41.88,0.0094,0.000,19,0.904,0.000,0.814,0.543,4.01,6.75,5.93,0.00,0.000,1.01,1.01,1.01
