step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1492,1.734,0.412,7.60,70727,62168,777,2,7784,1832,1236706.2,123.4,0.113,0.297,0.248,0.342,538,10.18,9.07,0.04,0.52,0.14,1.51,0.14,1.07,9.87,8.31,0.00,0.00,0.004,0.036,297,0.099,0.932,0.001,0.000,0.067,219561,207012,8,0.401,0.053,0.028,779376,0.137,1.467,0.046,113.20,67938,24,0.067,1.000,0.000,3306875,1.01,17.21,0.011,0.001,0.000,4,8,18,64,15194,0.058,50.11,0.0084,0.007,16,0.821,0.000,0.743,0.689,2.87,3.42,4.17,0.02,0.003,1.01,1.01,1.01
20000,1863,1.559,0.325,8.83,124896,108619,1552,0,14354,4,1185341.2,0.3,0.073,0.150,0.381,0.396,405,7.42,5.29,0.03,0.37,0.06,0.42,0.09,1.04,7.24,5.06,0.00,0.00,0.008,0.050,310,0.107,0.904,0.000,0.000,0.096,289643,272364,7,0.494,0.009,0.023,475439,0.087,1.305,0.037,119.61,95098,0,0.085,0.000,0.000,2063632,1.02,18.82,0.000,0.000,0.000,3,6,12,56,13818,0.053,43.71,0.0088,0.001,21,0.659,0.000,0.827,0.582,2.67,3.05,4.12,0.00,0.000,1.01,1.01,1.02
30000,1911,1.503,0.276,8.82,144146,124716,1640,0,17742,1,1188644.1,0.0,0.086,0.121,0.401,0.393,358,7.17,4.45,0.02,0.34,0.06,1.20,0.08,0.84,7.01,4.08,0.00,0.00,0.003,0.049,319,0.054,0.893,0.000,0.000,0.107,314299,297609,6,0.479,0.033,0.026,603894,0.066,1.191,0.030,119.88,104870,0,0.000,0.000,0.000,1840427,1.01,19.15,0.001,0.000,0.000,2,7,11,64,13695,0.052,43.44,0.0089,0.000,16,0.641,0.000,0.857,0.553,2.92,3.19,4.62,0.00,0.000,1.02,1.02,1.01
40000,1809,1.539,0.234,8.84,144138,124208,1857,0,18175,4,1198222.2,0.0,0.120,0.102,0.417,0.361,354,7.55,4.78,0.06,0.70,0.02,0.29,0.09,0.91,7.38,4.47,0.00,0.00,0.003,0.049,293,0.066,0.900,0.000,0.000,0.100,329748,313945,6,0.348,0.040,0.021,385769,0.069,1.098,0.025,121.01,108030,0,0.000,0.000,0.000,1724494,1.02,18.72,0.001,0.000,0.000,3,7,13,64,13655,0.052,42.31,0.0090,0.000,13,0.648,0.000,0.876,0.572,3.03,3.06,4.93,0.00,0.000,1.02,1.02,1.03
50000,1857,1.500,0.227,8.64,146631,126929,1778,0,17876,0,1200882.6,0.0,0.111,0.113,0.429,0.347,355,7.14,4.25,0.01,0.22,0.03,0.46,0.09,1.06,7.00,3.99,0.00,0.00,0.002,0.036,274,0.073,0.891,0.000,0.000,0.109,329062,320391,5,0.317,0.045,0.018,281342,0.109,1.077,0.024,120.68,106418,0,0.000,0.000,0.000,2055904,1.01,18.42,0.000,0.000,0.000,3,6,11,51,13255,0.051,42.63,0.0092,0.000,15,0.701,0.000,0.877,0.563,3.03,2.88,5.59,0.00,0.000,1.01,1.01,1.01
60000,1861,1.490,0.198,8.64,149526,128234,1718,0,19570,2,1195384.9,0.2,0.077,0.127,0.471,0.325,347,7.14,4.18,0.05,0.51,0.03,0.69,0.06,0.84,7.00,4.00,0.00,0.00,0.002,0.042,246,0.168,0.902,0.000,0.000,0.098,337808,332041,5,0.326,0.000,0.016,380968,0.125,0.988,0.020,120.53,98073,0,0.089,0.000,0.000,2457374,1.03,18.11,0.000,0.000,0.000,3,7,11,48,13291,0.051,42.79,0.0092,0.000,16,0.735,0.000,0.868,0.565,3.26,3.09,6.04,0.00,0.000,1.02,1.02,1.03
70000,1827,1.512,0.180,8.86,152710,131530,1915,0,19299,0,1191946.8,0.0,0.079,0.120,0.458,0.344,346,7.01,3.68,0.04,0.45,0.00,0.10,0.07,1.22,6.90,3.40,0.00,0.00,0.001,0.023,226,0.163,0.909,0.000,0.000,0.091,342200,339082,5,0.359,0.000,0.012,219657,0.103,0.930,0.017,120.68,98600,0,0.000,0.000,0.000,2401833,1.02,18.06,0.000,0.000,0.000,3,7,11,56,12802,0.049,42.63,0.0095,0.000,12,0.742,0.000,0.886,0.561,3.23,3.08,6.12,0.00,0.000,1.02,1.01,1.03
80000,1931,1.484,0.146,8.76,143724,124899,1822,0,16899,2,1196028.6,0.9,0.082,0.114,0.450,0.353,365,6.69,3.86,0.13,0.64,0.03,0.89,0.04,0.72,6.48,3.66,0.00,0.00,0.002,0.037,266,0.152,0.897,0.000,0.000,0.103,326293,321848,5,0.351,0.102,0.008,184993,0.092,0.824,0.013,119.63,90824,0,0.464,0.000,0.000,2098290,1.08,18.41,0.001,0.000,0.000,3,6,11,64,12915,0.049,43.69,0.0096,0.000,20,0.710,0.000,0.911,0.567,3.13,2.81,6.26,0.00,0.000,1.09,1.07,1.10
90000,1979,1.483,0.137,8.85,152903,134726,1861,0,16268,7,1198699.8,0.0,0.112,0.098,0.440,0.351,362,6.49,3.33,0.06,0.52,0.01,0.11,0.03,0.63,6.39,3.26,0.00,0.00,0.001,0.027,246,0.136,0.889,0.000,0.000,0.111,335355,330577,6,0.284,0.003,0.006,112861,0.101,0.787,0.012,120.20,94502,0,0.000,0.000,0.000,1738555,1.04,18.78,0.000,0.000,0.000,3,6,11,52,12849,0.049,43.12,0.0095,0.000,16,0.663,0.000,0.920,0.552,3.24,2.83,6.45,0.00,0.000,1.04,1.04,1.06
100000,1891,1.480,0.130,8.79,153840,136205,1814,0,15909,17,1190751.0,0.3,0.093,0.095,0.483,0.329,348,6.71,3.01,0.05,0.69,0.02,0.32,0.01,0.27,6.63,2.95,0.00,0.00,0.002,0.032,203,0.189,0.904,0.000,0.000,0.096,332180,326535,5,0.344,0.040,0.004,96905,0.096,0.771,0.011,120.32,93180,0,0.016,0.000,0.000,1656430,1.02,18.35,0.000,0.000,0.000,3,6,11,32,12686,0.048,43.00,0.0095,0.000,14,0.649,0.000,0.918,0.545,3.26,2.90,6.29,0.00,0.001,1.02,1.02,1.03
110000,1847,1.544,0.117,9.04,153785,134798,1735,0,17296,5,1202077.0,0.3,0.094,0.115,0.441,0.350,357,7.00,3.90,0.06,0.63,0.02,0.43,0.02,0.22,6.91,3.85,0.00,0.00,0.001,0.024,230,0.163,0.914,0.000,0.000,0.086,340584,336749,5,0.338,0.000,0.009,168480,0.105,0.725,0.010,121.01,98189,0,0.058,0.000,0.000,2310151,1.03,18.09,0.000,0.000,0.000,3,7,11,36,12928,0.049,42.31,0.0094,0.000,15,0.702,0.000,0.916,0.556,3.18,2.86,6.07,0.00,0.001,1.03,1.03,1.05
120000,1917,1.460,0.113,8.93,150187,132005,1753,0,16359,1,1190916.1,0.0,0.108,0.140,0.427,0.325,347,6.85,3.46,0.04,0.40,0.01,0.22,0.04,0.44,6.77,3.44,0.00,0.00,0.002,0.029,213,0.128,0.887,0.000,0.000,0.113,329155,324424,5,0.381,0.016,0.013,183142,0.097,0.720,0.010,120.60,103195,0,0.000,0.000,0.000,3077862,1.03,18.39,0.001,0.000,0.000,3,7,11,64,13140,0.050,42.72,0.0092,0.000,20,0.772,0.000,0.910,0.551,3.11,2.75,5.86,0.00,0.000,1.02,1.03,1.03
130000,1982,1.488,0.110,9.04,157266,136404,1777,0,19020,1,1190644.8,0.0,0.123,0.140,0.410,0.327,349,6.59,3.50,0.07,0.63,0.01,0.12,0.07,0.95,6.45,3.33,0.00,0.00,0.001,0.027,233,0.116,0.892,0.000,0.000,0.108,339128,332322,4,0.504,0.000,0.010,176684,0.087,0.702,0.009,120.76,102181,0,0.000,0.000,0.000,3611405,1.04,18.82,0.000,0.000,0.000,3,7,11,34,13055,0.050,42.55,0.0093,0.006,10,0.797,0.000,0.912,0.543,3.25,2.90,6.30,0.00,0.000,1.04,1.04,1.05
140000,1913,1.516,0.110,9.12,155386,134728,1929,0,18798,1,1188867.2,0.0,0.111,0.145,0.387,0.357,336,6.86,4.01,0.03,0.45,0.03,0.44,0.03,0.44,6.78,3.95,0.00,0.00,0.003,0.042,222,0.079,0.905,0.000,0.000,0.095,329388,325411,4,0.519,0.000,0.010,177334,0.083,0.706,0.009,120.94,105752,0,0.000,0.000,0.000,3931592,1.02,18.48,0.000,0.000,0.000,2,7,11,40,13132,0.050,42.37,0.0092,0.001,13,0.800,0.000,0.913,0.536,3.13,2.67,6.08,0.00,0.000,1.02,1.02,1.02
150000,1879,1.473,0.108,9.47,148822,129933,1827,0,17096,0,1192701.1,0.0,0.171,0.109,0.397,0.323,328,7.04,4.21,0.05,0.80,0.01,0.28,0.03,0.44,6.95,4.15,0.00,0.00,0.002,0.035,260,0.142,0.878,0.000,0.000,0.122,330191,323888,5,0.378,0.000,0.008,207024,0.079,0.697,0.009,121.07,116721,0,0.000,0.000,0.000,2204695,1.02,18.46,0.000,0.000,0.000,3,6,11,40,13224,0.050,42.25,0.0091,0.000,16,0.723,0.000,0.901,0.557,3.29,3.02,6.22,0.00,0.000,1.02,1.02,1.03
160000,1933,1.449,0.102,9.23,155755,135712,1916,0,18073,0,1196079.0,0.0,0.235,0.081,0.388,0.297,328,6.72,3.76,0.05,0.78,0.01,0.20,0.03,0.38,6.62,3.69,0.00,0.00,0.002,0.034,239,0.127,0.875,0.000,0.000,0.125,333316,325926,5,0.379,0.006,0.007,154586,0.096,0.683,0.009,121.46,113202,0,0.000,0.000,0.000,1320124,1.03,18.79,0.000,0.000,0.000,3,6,11,59,12981,0.050,41.86,0.0093,0.004,17,0.624,0.000,0.904,0.540,3.27,2.83,6.22,0.00,0.000,1.02,1.02,1.04
170000,1951,1.490,0.099,9.57,149293,130865,1779,0,16631,2,1179863.5,0.3,0.165,0.086,0.417,0.332,321,6.60,4.00,0.08,0.85,0.01,0.33,0.02,0.40,6.48,3.88,0.00,0.00,0.001,0.028,231,0.099,0.912,0.000,0.000,0.088,335492,327725,5,0.400,0.000,0.006,176325,0.075,0.673,0.008,120.72,116239,0,0.174,0.000,0.000,1517955,1.04,18.79,0.000,0.000,0.000,2,6,12,46,12881,0.049,42.59,0.0093,0.002,21,0.646,0.000,0.905,0.562,3.03,2.40,6.10,0.00,0.000,1.03,1.03,1.06
180000,1929,1.484,0.090,9.06,148458,130314,1771,0,16395,11,1204134.8,2.2,0.151,0.127,0.444,0.278,324,6.88,4.40,0.06,0.75,0.01,0.27,0.03,0.36,6.78,4.30,0.00,0.00,0.002,0.037,245,0.125,0.887,0.000,0.000,0.113,325330,318121,4,0.516,0.012,0.013,255306,0.061,0.643,0.007,121.24,111796,0,0.198,0.000,0.000,3074451,1.03,18.40,0.000,0.000,0.000,3,6,11,55,13275,0.051,42.07,0.0092,0.011,9,0.773,0.000,0.902,0.551,3.17,2.51,6.43,0.00,0.000,1.02,1.03,1.03
