step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
5000,12,284,7.8,0.2,0.1,0.2,7.4,0.0,1.04,20.4,46,385,33.85,0.00,153,125,6,0.0,1.04,1.03,1.05,2.74,2.85,2.98
5000,1,178,17.6,0.2,0.1,0.0,17.3,0.0,1.05,9.3,40,791,111.84,0.00,178,0,0,0.0,1.04,1.06,1.05,3.87,6.69,4.90
5000,3,149,4.9,0.0,0.0,0.0,4.8,0.0,1.00,22.5,23,683,57.96,0.00,11,138,0,0.0,1.00,1.00,1.00,1.74,2.48,2.30
5000,2,110,16.2,0.2,0.3,0.3,15.3,0.0,1.06,14.9,39,1081,149.36,0.01,110,0,0,0.0,1.03,1.10,1.06,3.04,4.49,4.08
5000,13,40,15.6,1.7,0.0,0.0,14.0,0.0,1.29,15.9,16,1094,192.55,0.00,40,0,0,0.0,1.00,1.53,1.31,3.50,3.70,4.32
5000,14,40,27.7,0.0,0.2,0.3,27.2,0.0,1.00,7.2,11,1269,270.99,0.00,40,0,0,0.0,1.00,1.00,1.00,4.97,4.45,7.93
5000,8,38,28.2,0.0,0.4,0.0,27.7,0.0,1.00,8.3,17,721,88.78,0.00,38,0,0,0.0,1.00,1.00,1.00,5.08,6.13,5.71
5000,5,31,62.7,1.7,17.5,0.2,43.3,1.1,1.29,0.0,22,496,297.77,0.06,0,29,2,1.2,1.35,1.33,1.23,8.42,8.00,8.00
5000,6,22,53.5,11.7,1.3,0.0,40.5,0.0,2.91,1.9,10,995,229.49,0.03,22,0,0,1.0,1.00,4.56,3.03,7.64,7.09,8.00
5000,21,22,5.8,0.0,0.0,1.5,4.3,0.0,1.00,20.3,4,1232,95.39,0.00,22,0,0,0.0,1.00,1.00,1.00,1.73,2.91,2.95
5000,11,12,10.6,0.0,0.0,0.0,10.6,0.0,1.00,14.5,2,970,88.56,0.00,12,0,0,0.0,1.00,1.00,1.00,2.67,3.83,4.92
5000,19,7,64.0,15.7,0.0,1.4,46.9,0.0,3.64,0.0,7,1500,514.95,0.00,7,0,0,0.0,6.23,1.00,3.67,8.57,8.00,8.00
5000,10,6,52.7,0.0,0.0,3.8,48.8,0.0,1.00,2.0,4,773,213.04,0.00,6,0,0,0.0,1.00,1.00,1.00,8.17,8.00,7.00
6000,12,365,7.3,0.1,0.0,0.5,6.7,0.0,1.05,20.7,50,474,44.49,0.00,199,154,12,0.0,1.05,1.04,1.05,2.67,2.80,2.87
6000,28,180,10.5,0.0,0.0,0.0,10.5,0.0,1.02,13.6,48,303,26.62,0.00,174,1,5,0.0,1.01,1.01,1.03,3.23,2.69,6.63
6000,1,161,15.2,0.0,0.0,0.0,15.1,0.0,1.01,10.1,35,644,90.15,0.00,161,0,0,0.0,1.01,1.01,1.01,3.74,7.10,4.20
6000,2,122,14.8,0.2,0.2,0.4,14.0,0.0,1.04,15.6,39,1582,209.96,0.01,122,0,0,0.0,1.00,1.08,1.05,2.99,4.29,3.93
6000,3,85,4.5,0.0,0.0,0.0,4.5,0.0,1.00,22.8,13,814,67.43,0.00,5,78,2,0.0,1.00,1.00,1.00,1.66,2.32,2.27
6000,13,73,13.7,0.8,0.0,0.8,12.1,0.0,1.13,16.0,23,812,150.14,0.00,73,0,0,0.0,1.00,1.24,1.13,3.34,3.63,4.55
6000,8,49,27.9,0.0,0.4,0.0,27.6,0.0,1.00,8.2,23,957,126.78,0.00,49,0,0,0.0,1.00,1.00,1.00,5.10,6.24,5.65
6000,5,32,63.7,1.3,18.2,2.0,42.2,0.4,1.18,0.0,17,575,398.30,0.01,0,27,5,0.6,1.03,1.37,1.16,7.16,8.00,8.00
6000,30,28,8.2,0.0,0.0,0.0,8.2,0.0,1.00,18.1,6,669,57.45,0.00,28,0,0,0.0,1.00,1.00,1.00,2.71,3.21,4.04
6000,14,21,28.9,0.0,0.3,0.4,28.2,0.0,1.00,6.8,5,1600,392.14,0.00,21,0,0,0.0,1.00,1.00,1.00,5.10,4.62,8.00
6000,21,18,7.5,0.0,0.0,0.7,6.8,0.0,1.00,19.4,5,1094,85.52,0.00,18,0,0,0.0,1.00,1.00,1.00,2.22,3.11,3.17
6000,6,12,50.7,10.8,1.4,0.0,38.4,0.0,2.82,2.5,6,1017,241.14,0.00,12,0,0,0.9,1.18,4.27,2.91,6.92,6.75,8.00
6000,10,12,54.9,1.2,0.5,1.6,51.7,0.1,1.07,1.8,8,1188,365.28,0.00,12,0,0,0.1,1.24,1.00,1.03,7.33,8.00,7.08
6000,19,8,64.0,15.4,0.0,1.2,47.4,0.0,3.59,0.0,7,2290,802.55,0.00,8,0,0,0.0,6.12,1.00,3.61,8.62,8.00,8.00
7000,12,485,7.2,0.0,0.0,0.3,6.8,0.0,1.01,20.8,73,635,59.13,0.00,285,189,11,0.0,1.02,1.02,1.01,2.65,2.80,2.84
7000,2,207,11.1,0.1,0.1,0.1,10.7,0.0,1.04,17.1,69,809,81.99,0.00,207,0,0,0.0,1.04,1.05,1.04,2.55,3.87,3.57
7000,1,200,12.0,0.0,0.1,0.0,11.9,0.0,1.01,12.3,38,910,109.05,0.00,200,0,0,0.0,1.01,1.03,1.01,3.49,6.85,3.66
7000,28,198,10.3,0.0,0.0,0.0,10.3,0.0,1.00,14.0,46,423,36.99,0.00,198,0,0,0.0,1.00,1.00,1.01,3.12,2.24,6.97
7000,3,82,4.5,0.0,0.0,0.0,4.5,0.0,1.00,22.7,11,1210,103.89,0.00,5,77,0,0.0,1.00,1.00,1.00,1.71,2.35,2.29
7000,13,56,10.7,0.0,0.0,0.0,10.7,0.0,1.00,17.2,19,715,71.27,0.00,56,0,0,0.0,1.00,1.00,1.00,2.88,3.38,4.14
7000,5,35,54.3,1.5,8.6,1.7,42.5,0.4,1.22,1.3,20,697,459.03,0.03,0,32,3,0.4,1.03,1.48,1.19,6.49,8.00,7.37
7000,8,33,24.1,0.0,0.1,0.0,23.9,0.0,1.00,8.9,13,726,90.55,0.00,33,0,0,0.0,1.00,1.00,1.00,4.64,6.70,4.85
7000,30,28,7.5,0.4,0.0,0.0,7.1,0.0,1.36,18.7,9,831,72.12,0.00,28,0,0,0.0,1.69,1.69,1.24,2.46,3.43,3.75
7000,14,8,27.1,0.0,8.4,0.1,18.6,0.0,1.00,7.5,4,681,114.25,0.00,8,0,0,0.0,1.00,1.00,1.00,5.62,4.25,8.00
7000,21,7,6.6,0.0,0.0,0.9,5.7,0.0,1.00,20.0,4,536,39.94,0.00,7,0,0,0.0,1.00,1.00,1.00,2.43,3.00,3.00
7000,10,6,46.3,0.0,0.0,0.0,46.3,0.0,1.00,3.7,2,556,134.90,0.00,6,0,0,0.0,1.00,1.00,1.00,7.00,8.00,6.17
7000,19,5,64.0,14.8,0.0,0.0,49.2,0.0,3.40,0.0,4,1753,568.81,0.00,5,0,0,0.0,5.62,1.00,3.49,9.00,8.00,8.00
8000,12,554,7.5,0.1,0.0,0.2,7.2,0.0,1.04,20.5,82,437,37.43,0.00,325,226,3,0.0,1.05,1.02,1.04,2.71,2.90,2.92
8000,28,463,10.8,0.0,0.0,0.0,10.7,0.0,1.02,13.7,101,742,78.19,0.00,462,0,1,0.0,1.03,1.03,1.02,3.22,4.27,5.25
8000,2,207,11.2,0.1,0.1,0.1,10.9,0.0,1.04,17.1,71,954,101.66,0.00,207,0,0,0.0,1.04,1.04,1.03,2.74,3.89,3.54
8000,3,74,3.1,0.0,0.0,0.0,3.1,0.0,1.00,23.9,5,780,46.09,0.00,5,69,0,0.0,1.00,1.00,1.00,1.34,2.00,2.07
8000,13,48,12.8,0.0,0.0,0.1,12.7,0.0,1.00,16.0,19,1055,121.92,0.00,48,0,0,0.0,1.00,1.00,1.00,3.33,3.60,4.40
8000,5,32,63.1,11.5,0.8,4.0,46.8,0.0,3.62,0.1,14,514,396.59,0.01,0,28,4,0.1,3.97,4.87,2.82,4.50,8.00,7.97
8000,8,24,22.3,0.0,0.0,0.0,22.2,0.0,1.00,10.2,14,689,89.60,0.00,24,0,0,0.0,1.00,1.00,1.00,4.62,6.17,4.75
9000,12,542,7.3,0.0,0.0,0.2,7.0,0.0,1.02,20.6,86,579,52.28,0.00,310,226,6,0.0,1.04,1.02,1.02,2.75,2.86,2.86
9000,28,482,9.5,0.0,0.0,0.0,9.5,0.0,1.00,15.2,88,546,50.42,0.00,479,0,3,0.0,1.00,1.00,1.00,3.04,3.72,5.27
9000,2,204,10.9,0.1,0.0,0.0,10.7,0.0,1.03,17.3,62,1282,137.70,0.00,204,0,0,0.0,1.04,1.04,1.03,2.66,3.88,3.49
9000,3,85,3.0,0.0,0.0,0.0,3.0,0.0,1.00,24.0,5,1037,60.90,0.00,4,81,0,0.0,1.00,1.00,1.00,1.41,1.98,2.02
9000,13,37,13.6,0.0,0.2,0.0,13.4,0.0,1.00,15.0,15,1006,113.70,0.00,37,0,0,0.0,1.00,1.00,1.00,3.32,3.65,4.84
9000,8,32,21.3,0.0,0.0,0.0,21.3,0.0,1.00,10.4,16,923,126.96,0.00,32,0,0,0.0,1.00,1.00,1.00,4.47,6.03,4.78
9000,5,28,62.0,1.7,2.5,3.9,54.0,0.0,1.26,0.2,9,481,396.61,0.00,0,28,0,0.1,1.00,1.59,1.22,4.43,8.00,7.89
10000,12,599,7.2,0.0,0.0,0.2,7.0,0.0,1.02,20.3,89,491,40.82,0.00,353,241,5,0.0,1.01,1.02,1.03,2.66,2.92,2.98
10000,28,498,10.3,0.0,0.0,0.0,10.2,0.0,1.00,14.8,84,695,66.62,0.00,495,0,3,0.0,1.00,1.00,1.00,3.03,3.37,5.77
10000,2,200,10.2,0.0,0.0,0.0,10.2,0.0,1.00,17.6,59,816,83.53,0.00,200,0,0,0.0,1.00,1.00,1.00,2.50,3.76,3.43
10000,5,38,46.6,0.6,4.3,1.9,39.8,0.0,1.13,2.8,24,458,344.43,0.01,0,31,7,0.6,1.17,1.10,1.12,5.08,7.55,7.03
10000,8,30,21.1,0.0,0.7,0.0,20.4,0.0,1.00,11.1,15,862,134.04,0.00,30,0,0,0.0,1.00,1.00,1.00,4.47,5.97,4.50
10000,3,29,3.0,0.0,0.0,0.0,3.0,0.0,1.00,24.1,2,1120,65.84,0.00,0,29,0,0.0,1.00,1.00,1.00,1.52,1.97,2.00
10000,13,14,12.5,0.0,0.0,0.0,12.5,0.0,1.00,15.0,5,1030,99.33,0.00,14,0,0,0.0,1.00,1.00,1.00,3.00,3.43,5.07
11000,12,595,8.6,0.0,0.0,0.4,8.1,0.0,1.01,19.0,108,640,58.32,0.00,371,212,12,0.0,1.01,1.01,1.01,2.87,3.32,3.24
11000,28,582,9.6,0.0,0.0,0.0,9.6,0.0,1.01,15.4,104,770,72.92,0.00,576,0,6,0.0,1.01,1.00,1.01,3.02,3.14,5.76
11000,2,161,10.9,0.0,0.0,0.0,10.9,0.0,1.00,17.2,57,1156,119.18,0.00,161,0,0,0.0,1.00,1.00,1.00,2.76,3.87,3.51
11000,8,36,14.9,0.0,0.2,0.0,14.7,0.0,1.00,14.9,15,805,119.79,0.00,36,0,0,0.0,1.00,1.00,1.00,3.61,4.67,3.86
11000,3,25,2.9,0.0,0.0,0.0,2.9,0.0,1.00,24.2,2,950,55.10,0.00,0,25,0,0.0,1.00,1.00,1.00,1.40,1.92,2.00
11000,5,17,64.0,1.8,2.8,2.8,56.6,0.0,1.45,0.0,6,707,751.85,0.00,0,15,2,0.1,1.51,1.65,1.31,6.35,8.00,8.00
11000,32,15,10.5,0.0,0.0,0.0,10.5,0.0,1.00,15.3,6,1351,158.11,0.00,15,0,0,0.0,1.00,1.00,1.00,2.93,3.67,4.67
11000,13,7,15.9,0.0,0.0,0.0,15.9,0.0,1.00,12.0,3,966,96.10,0.00,7,0,0,0.0,1.00,1.00,1.00,3.71,3.71,6.29
12000,12,640,7.8,0.1,0.0,0.1,7.6,0.0,1.02,19.7,104,672,61.84,0.00,378,255,7,0.0,1.03,1.02,1.03,2.66,3.02,3.22
12000,28,583,9.2,0.0,0.0,0.0,9.2,0.0,1.01,15.7,117,631,56.83,0.00,582,0,1,0.0,1.00,1.00,1.02,2.93,3.17,5.49
