step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,1213,9.73,0.10,0.09,0.07,9.47,0.00,1.04,0.000,0.158,793930.4,34.9,2,4,3.06,1.01,1.06
10000,2,495,5.76,0.04,0.00,0.00,5.72,0.00,1.03,0.000,0.562,392192.4,2.8,3,12,2.04,1.04,1.04
10000,0,14,10.71,0.00,0.00,0.00,10.71,0.00,1.00,0.000,0.001,85257.9,55.3,3,10,2.79,1.00,1.00
20000,8,1220,9.66,0.10,0.03,0.06,9.46,0.00,1.04,0.000,0.156,771418.4,1.2,4,6,3.16,1.01,1.05
20000,2,445,6.17,0.00,0.06,0.00,6.11,0.00,1.00,0.000,0.507,401125.3,0.0,2,2,2.13,1.00,1.00
20000,0,4,10.50,0.00,0.00,0.00,10.50,0.00,1.00,0.000,0.000,1543.0,0.1,1,3,3.00,1.00,1.00
30000,8,1292,8.73,0.09,0.02,0.03,8.60,0.00,1.03,0.000,0.147,768509.5,4.3,3,0,3.15,1.01,1.04
30000,2,469,5.28,0.03,0.00,0.00,5.24,0.00,1.01,0.000,0.540,399051.7,0.6,2,0,1.88,1.00,1.01
30000,0,8,10.62,0.00,0.00,0.00,10.62,0.00,1.00,0.000,0.000,929.7,0.0,1,7,2.62,1.00,1.00
40000,8,1301,8.23,0.11,0.08,0.03,8.00,0.00,1.04,0.000,0.149,751871.8,0.3,3,0,3.28,1.02,1.06
40000,2,462,6.38,0.05,0.01,0.01,6.31,0.00,1.02,0.000,0.538,397946.1,0.0,2,0,2.09,1.01,1.02
40000,0,14,9.93,0.29,0.14,0.00,9.50,0.00,1.10,0.000,0.001,1512.0,0.0,3,9,2.93,1.10,1.10
50000,8,1310,8.32,0.11,0.04,0.04,8.14,0.00,1.04,0.002,0.152,750287.6,1.0,6,26,3.32,1.03,1.06
