step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1446,1.755,0.422,11.29,75821,65817,843,0,9152,1684,1268745.4,101.9,0.252,0.251,0.334,0.163,450,10.78,10.14,0.16,1.17,0.07,0.52,0.76,3.85,9.79,7.42,0.00,0.00,0.010,0.080,382,0.054,0.914,0.000,0.000,0.086,236489,223919,13,0.193,0.075,0.101,1531521,0.138,1.531,0.048,116.10,80653,0,0.061,0.000,0.000,2868000,1.05,16.63,0.024,0.001,0.000,3,9,17,64,15587,0.059,47.22,0.0090,0.035,5,0.785,0.000,0.800,0.688,2.95,4.31,3.85,0.00,0.000,1.06,1.06,1.05
20000,1601,1.685,0.325,11.05,99587,84694,1346,0,13392,18,1167975.6,1.2,0.193,0.139,0.326,0.342,360,9.65,5.42,0.03,0.33,0.10,1.12,0.20,1.10,9.32,5.21,0.00,0.00,0.010,0.084,364,0.039,0.929,0.000,0.000,0.071,274590,257253,11,0.400,0.125,0.069,1131945,0.127,1.339,0.036,117.38,101823,0,0.064,0.000,0.000,1642129,1.01,17.33,0.000,0.000,0.000,3,9,16,52,15452,0.059,45.93,0.0078,0.000,6,0.636,0.000,0.825,0.646,2.76,4.37,3.34,0.00,0.001,1.01,1.01,1.01
30000,1501,1.689,0.283,10.63,114070,94603,1473,0,18094,10,1205333.5,0.5,0.211,0.082,0.313,0.394,353,9.69,4.75,0.06,0.71,0.08,0.70,0.14,1.06,9.41,4.51,0.00,0.00,0.012,0.092,298,0.062,0.902,0.000,0.000,0.098,318347,300649,10,0.617,0.034,0.037,679979,0.090,1.240,0.030,121.42,106036,0,0.052,0.000,0.000,834374,1.02,17.33,0.001,0.000,0.000,4,9,14,64,14547,0.055,41.89,0.0085,0.000,11,0.498,0.000,0.854,0.649,2.81,4.22,3.36,0.00,0.001,1.03,1.04,1.02
40000,1713,1.687,0.267,11.70,117844,95355,1836,0,20441,16,1198171.2,0.8,0.164,0.064,0.270,0.502,322,8.75,5.49,0.02,0.26,0.10,0.82,0.13,1.05,8.51,5.31,0.00,0.00,0.015,0.098,332,0.105,0.912,0.000,0.000,0.088,338546,315335,6,0.642,0.026,0.036,583772,0.085,1.197,0.028,121.21,122987,0,0.051,0.000,0.000,671133,1.01,18.38,0.000,0.000,0.000,3,8,15,44,14988,0.057,42.11,0.0082,0.000,14,0.535,0.000,0.899,0.656,2.58,3.54,3.29,0.00,0.001,1.01,1.01,1.01
50000,1844,1.628,0.233,11.54,116415,98114,1817,0,16353,10,1207159.9,0.8,0.180,0.060,0.253,0.507,303,8.28,5.32,0.00,0.15,0.15,0.86,0.08,0.76,8.06,5.23,0.00,0.00,0.019,0.119,318,0.072,0.912,0.000,0.000,0.088,304109,277028,8,0.247,0.214,0.027,703405,0.091,1.103,0.024,121.43,121583,0,0.084,0.000,0.000,557083,1.00,18.82,0.001,0.000,0.000,2,8,15,64,15270,0.058,41.88,0.0081,0.000,11,0.474,0.000,0.889,0.624,2.55,3.76,2.91,0.00,0.000,1.00,1.00,1.00
60000,1677,1.644,0.177,10.84,115517,99848,1695,0,14141,10,1201070.1,0.6,0.237,0.063,0.279,0.421,308,9.11,4.88,0.01,0.25,0.10,0.64,0.10,0.73,8.90,4.76,0.00,0.00,0.013,0.091,309,0.044,0.904,0.000,0.000,0.096,311657,285844,12,0.201,0.148,0.039,509597,0.086,0.936,0.017,121.49,109921,0,0.065,0.000,0.000,468510,1.01,17.49,0.000,0.000,0.000,3,9,15,47,15274,0.058,41.82,0.0080,0.000,26,0.408,0.000,0.862,0.636,2.86,4.13,3.33,0.00,0.001,1.01,1.01,1.01
70000,1835,1.601,0.170,10.79,120317,104784,1828,0,13547,11,1197900.1,1.1,0.304,0.058,0.281,0.357,321,8.29,4.83,0.02,0.38,0.06,0.58,0.14,0.77,8.06,4.64,0.00,0.00,0.009,0.083,321,0.086,0.901,0.000,0.000,0.099,318666,294033,11,0.202,0.142,0.066,789962,0.078,0.915,0.016,120.80,112712,0,0.101,0.000,0.000,499667,1.01,18.11,0.000,0.000,0.000,3,8,14,32,15206,0.058,42.52,0.0081,0.000,10,0.452,0.000,0.837,0.629,2.67,3.91,3.34,0.00,0.001,1.01,1.01,1.01
80000,1832,1.566,0.136,11.07,126233,111230,1857,0,13149,24,1200687.6,3.3,0.243,0.070,0.330,0.356,318,8.09,4.43,0.00,0.06,0.05,0.48,0.09,0.74,7.95,4.31,0.00,0.00,0.009,0.073,312,0.143,0.911,0.000,0.000,0.089,306392,283852,15,0.430,0.035,0.027,774967,0.089,0.782,0.012,120.89,108537,0,0.139,0.000,0.000,843666,1.00,18.06,0.000,0.000,0.000,3,8,13,43,14826,0.057,42.43,0.0082,0.000,21,0.550,0.000,0.809,0.595,2.66,2.88,4.19,0.00,0.000,1.00,1.00,1.00
90000,1747,1.581,0.131,10.97,121143,106418,1754,0,13056,14,1194913.6,2.0,0.231,0.077,0.374,0.318,327,8.60,4.60,0.02,0.20,0.08,0.79,0.08,0.63,8.41,4.45,0.00,0.00,0.008,0.072,307,0.061,0.905,0.000,0.000,0.095,304496,287156,11,0.366,0.087,0.029,441722,0.121,0.760,0.011,120.49,108685,0,0.140,0.000,0.000,870938,1.01,17.48,0.000,0.000,0.000,3,8,14,58,15017,0.057,42.82,0.0081,0.001,14,0.549,0.000,0.805,0.610,2.78,2.84,4.54,0.00,0.001,1.01,1.01,1.01
100000,1802,1.629,0.126,11.08,123415,107776,1695,0,13889,9,1201847.5,1.2,0.291,0.077,0.387,0.245,300,8.18,5.34,0.02,0.21,0.08,0.93,0.11,1.01,7.97,5.08,0.00,0.00,0.008,0.067,372,0.044,0.908,0.000,0.000,0.092,314364,288698,11,0.329,0.138,0.031,660086,0.085,0.746,0.011,121.24,120332,0,0.129,0.000,0.000,1038833,1.01,18.04,0.000,0.000,0.000,3,7,15,43,14748,0.056,42.08,0.0084,0.000,14,0.561,0.000,0.837,0.615,2.69,2.72,4.52,0.00,0.000,1.00,1.01,1.01
