step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,4601,10.27,0.11,0.09,0.14,9.94,0.00,1.04,0.000,0.174,1980421.4,188.9,43,27,3.18,1.03,1.04
10000,2,1563,7.78,0.09,0.01,0.87,6.81,0.00,1.04,0.000,0.579,1304580.9,25.6,12,19,2.37,1.04,1.04
10000,0,48,16.50,0.88,0.00,4.10,11.52,0.00,1.28,0.000,0.001,357424.1,218.3,13,33,3.38,1.33,1.36
20000,8,4882,9.18,0.09,0.07,0.07,8.95,0.00,1.03,0.001,0.170,1765017.8,36.8,30,79,3.15,1.03,1.03
20000,2,2120,5.07,0.04,0.00,0.02,5.01,0.00,1.02,0.000,0.546,1275191.1,1.4,10,51,2.19,1.01,1.02
20000,0,41,8.98,0.12,0.20,0.34,8.32,0.00,1.02,0.000,0.001,4124.3,0.5,9,35,3.17,1.01,1.03
30000,8,4881,8.59,0.04,0.02,0.06,8.48,0.00,1.02,0.000,0.166,1643056.5,14.9,37,63,3.27,1.02,1.02
30000,2,2474,4.19,0.01,0.00,0.02,4.16,0.00,1.01,0.000,0.521,1198336.5,0.0,11,57,2.11,1.01,1.01
30000,0,45,7.73,0.00,0.00,0.00,7.73,0.00,1.00,0.000,0.000,3681.9,0.1,9,39,2.76,1.00,1.00
40000,8,5019,8.52,0.07,0.02,0.07,8.37,0.00,1.03,0.000,0.172,1538859.6,17.9,33,93,3.45,1.02,1.03
40000,2,2301,4.59,0.02,0.00,0.06,4.51,0.00,1.02,0.000,0.524,1234489.0,0.3,17,112,2.15,1.02,1.02
40000,0,28,9.25,0.00,0.11,1.29,7.86,0.00,1.00,0.000,0.000,3617.1,0.0,6,18,3.11,1.00,1.00
50000,8,5117,7.66,0.04,0.02,0.07,7.53,0.00,1.02,0.000,0.164,1488562.9,26.9,31,53,3.57,1.02,1.02
50000,2,2354,4.53,0.02,0.00,0.03,4.47,0.00,1.01,0.000,0.548,1200168.8,0.1,11,156,2.35,1.01,1.02
50000,0,53,6.36,0.49,0.00,0.06,5.81,0.00,1.19,0.000,0.000,3824.8,0.0,5,45,2.51,1.21,1.19
60000,8,5193,7.06,0.06,0.02,0.04,6.94,0.00,1.03,0.001,0.157,1342319.6,22.1,29,44,3.53,1.02,1.03
60000,2,2476,4.24,0.01,0.00,0.03,4.20,0.00,1.01,0.000,0.522,1203285.8,0.0,12,104,2.18,1.01,1.00
60000,0,45,6.31,0.00,0.00,0.00,6.31,0.00,1.00,0.000,0.000,2764.5,0.0,7,40,2.80,1.00,1.00
70000,8,5400,6.88,0.05,0.02,0.05,6.75,0.00,1.02,0.000,0.157,1309993.0,22.7,33,38,3.53,1.01,1.02
