step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
160000,8,4932,8.36,0.02,0.02,0.05,8.28,0.00,1.01,0.000,0.163,1249067.6,8.7,4,7,4.28,1.01,1.01
160000,1,605,6.80,0.39,0.01,0.05,6.36,0.00,1.12,0.000,0.650,589817.7,452.3,8,12,2.32,1.19,1.16
160000,0,112,8.07,0.24,0.04,0.04,7.74,0.00,1.09,0.000,0.001,2048.0,3.7,9,53,2.72,1.12,1.12
170000,8,4989,8.25,0.02,0.03,0.03,8.17,0.00,1.01,0.000,0.167,1236930.2,10.3,7,8,4.18,1.01,1.01
170000,1,679,5.74,0.00,0.03,0.05,5.66,0.00,1.01,0.000,0.624,598099.0,0.4,8,0,2.05,1.00,1.00
170000,0,155,7.01,0.10,0.28,0.09,6.54,0.00,1.05,0.000,0.001,2210.3,0.2,9,67,2.29,1.05,1.01
180000,8,5004,8.39,0.02,0.02,0.04,8.31,0.00,1.01,0.000,0.156,1214377.1,11.8,5,3,4.43,1.01,1.01
180000,1,686,5.80,0.01,0.14,0.03,5.61,0.00,1.01,0.000,0.627,598063.2,0.8,7,2,2.14,1.01,1.01
180000,0,166,6.55,0.01,0.08,0.19,6.28,0.00,1.00,0.000,0.001,1963.4,0.6,7,80,2.17,1.00,1.00
190000,8,4999,8.58,0.02,0.03,0.04,8.49,0.00,1.01,0.001,0.148,1187317.1,12.4,4,0,4.64,1.01,1.01
190000,1,624,6.29,0.02,0.03,0.07,6.17,0.00,1.01,0.000,0.611,597139.6,0.0,8,2,2.11,1.01,1.01
190000,0,159,8.04,0.00,0.02,0.00,8.02,0.00,1.00,0.000,0.002,2327.9,0.0,9,77,2.40,1.00,1.00
200000,8,4986,8.58,0.02,0.01,0.03,8.52,0.00,1.01,0.000,0.153,1187835.1,20.2,4,13,4.62,1.01,1.01
200000,1,719,5.49,0.02,0.01,0.08,5.38,0.00,1.01,0.000,0.638,601117.9,0.2,8,21,2.30,1.02,1.01
200000,0,150,7.29,0.03,0.02,0.13,7.11,0.00,1.02,0.000,0.001,2463.6,0.0,8,71,2.44,1.02,1.02
210000,8,4875,8.93,0.01,0.01,0.04,8.88,0.00,1.01,0.000,0.153,1197054.2,18.4,3,28,4.70,1.01,1.00
210000,1,591,6.52,0.05,0.01,0.21,6.25,0.00,1.02,0.000,0.616,593956.6,0.0,8,21,2.34,1.02,1.01
210000,0,133,8.80,0.17,0.14,0.29,8.20,0.00,1.05,0.000,0.002,2358.4,0.0,8,59,2.81,1.05,1.04
220000,8,4872,8.88,0.03,0.02,0.06,8.77,0.00,1.01,0.000,0.152,1170926.0,21.2,3,22,4.75,1.01,1.01
220000,1,672,5.98,0.01,0.01,0.01,5.94,0.00,1.00,0.000,0.645,598040.0,0.0,7,29,2.19,1.00,1.00
220000,0,139,7.22,0.07,0.04,0.09,7.03,0.00,1.02,0.000,0.001,2427.6,0.0,7,64,2.44,1.02,1.02
230000,8,4755,8.78,0.01,0.02,0.05,8.70,0.00,1.00,0.000,0.154,1152714.2,39.7,3,28,4.87,1.00,1.00
230000,1,624,5.62,0.01,0.01,0.05,5.53,0.00,1.01,0.000,0.624,585193.7,0.0,7,71,2.46,1.00,1.01
230000,0,123,6.97,0.00,0.00,0.06,6.91,0.00,1.00,0.000,0.001,2240.7,0.0,6,57,2.73,1.00,1.00
240000,8,4843,8.86,0.02,0.01,0.04,8.79,0.00,1.01,0.000,0.150,1151266.8,23.3,3,35,4.94,1.01,1.01
240000,1,646,5.52,0.02,0.04,0.03,5.43,0.00,1.01,0.000,0.606,589637.8,0.0,5,52,2.61,1.00,1.01
240000,0,140,5.69,0.01,0.06,0.01,5.61,0.00,1.00,0.000,0.001,2149.7,0.9,6,75,2.14,1.01,1.00
250000,8,4814,8.86,0.03,0.02,0.03,8.78,0.00,1.01,0.000,0.158,1126324.0,15.7,3,19,5.01,1.01,1.01
250000,1,678,5.57,0.02,0.02,0.03,5.50,0.00,1.01,0.000,0.600,587506.6,0.2,5,26,2.80,1.01,1.01
