step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
100000,10,10,0,0,0,10,0,1.00,16,0.000,2915,2.12,408.10,0.00,193,8,8,0,1.00,1.00,1.00,3,4,4
100000,4,4,0,0,0,4,0,1.00,24,0.000,2915,1.34,196.08,0.00,1,8,8,0,1.00,1.00,1.00,4,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2914,1.63,288.87,0.00,1,8,8,0,1.00,1.00,1.00,3,2,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2913,2.40,291.68,0.00,1,8,8,0,1.00,1.00,1.00,3,2,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2912,1.77,328.36,0.00,1,8,8,0,1.00,1.00,1.00,5,2,8
100000,8,8,0,0,0,8,0,1.00,18,0.000,2912,1.87,307.72,0.00,1,8,8,0,1.00,1.00,1.00,7,8,8
100000,10,10,0,0,0,10,0,1.00,16,0.000,2911,2.76,223.08,0.00,193,8,8,0,1.00,1.00,1.00,3,4,4
100000,4,4,0,0,0,4,0,1.00,24,0.000,2907,1.40,222.52,0.00,1,8,8,0,1.00,1.00,1.00,4,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2907,2.59,305.52,0.00,1,8,8,0,1.00,1.00,1.00,2,2,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2906,1.30,210.90,0.00,1,8,8,0,1.00,1.00,1.00,4,2,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2905,2.08,222.04,0.00,1,8,8,0,1.00,1.00,1.00,4,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2905,1.64,212.14,0.00,1,8,8,0,1.00,1.00,1.00,4,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2905,2.04,300.37,0.00,1,8,8,0,1.00,1.00,1.00,2,2,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2905,1.93,164.47,0.00,211,2,2,0,1.00,1.00,1.00,2,8,2
100000,8,8,0,0,0,8,0,1.00,16,0.000,2904,1.79,367.07,0.00,211,2,8,0,1.00,1.00,1.00,4,8,3
100000,6,6,0,0,0,6,0,1.00,20,0.000,2904,1.95,336.81,0.00,1,8,2,0,1.00,1.00,1.00,5,2,8
100000,10,10,0,0,0,10,0,1.00,16,0.000,2903,2.79,224.58,0.00,193,8,8,0,1.00,1.00,1.00,3,4,4
100000,4,4,0,0,0,4,0,1.00,24,0.000,2901,2.04,213.23,0.00,1,8,8,0,1.00,1.00,1.00,4,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2901,1.64,178.18,0.00,1,8,8,0,1.00,1.00,1.00,4,8,8
100000,11,11,0,0,0,11,0,1.00,12,0.000,2900,2.29,376.51,0.00,1,8,8,0,1.00,1.00,1.00,5,8,8
100000,10,10,0,0,0,10,0,1.00,16,0.000,2899,2.00,368.45,0.00,193,8,8,0,1.00,1.00,1.00,3,4,4
