step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1722,1.616,0.370,8.73,100250,89074,1069,1,9867,1582,1293706.8,93.0,0.389,0.225,0.295,0.091,492,8.60,5.08,0.08,0.71,0.06,0.50,0.05,0.45,8.41,4.91,0.00,0.00,0.004,0.032,224,0.104,0.902,0.000,0.000,0.098,289107,278127,3,0.251,0.454,0.024,666189,0.151,1.399,0.042,118.15,81918,1,0.059,1.000,0.000,3471228,1.04,17.90,0.000,0.000,0.000,3,8,14,36,14805,0.056,45.16,0.0089,0.009,14,0.800,0.000,0.822,0.662,2.77,3.52,3.59,0.00,0.001,1.02,1.05,1.04
20000,1669,1.621,0.310,9.49,132232,117314,1714,0,13257,18,1203902.8,1.3,0.409,0.163,0.382,0.046,400,8.73,4.84,0.08,0.59,0.04,0.49,0.04,0.98,8.57,4.62,0.00,0.00,0.003,0.029,247,0.117,0.899,0.000,0.000,0.101,313490,298992,5,0.482,0.049,0.011,349256,0.069,1.275,0.035,120.57,97421,0,0.075,0.000,0.000,3339454,1.03,17.24,0.000,0.001,0.000,4,7,15,45,14578,0.056,42.74,0.0084,0.005,4,0.749,0.000,0.845,0.588,2.89,3.30,4.32,0.00,0.000,1.01,1.04,1.03
30000,1769,1.558,0.288,9.62,132653,115206,1729,0,15618,25,1203441.6,5.0,0.355,0.186,0.421,0.038,369,7.82,4.24,0.07,0.80,0.02,0.17,0.02,0.37,7.72,4.04,0.00,0.00,0.002,0.023,297,0.058,0.894,0.000,0.000,0.106,324842,307971,4,0.492,0.117,0.007,150880,0.092,1.216,0.033,120.73,105543,0,0.198,0.000,0.000,3926592,1.02,17.89,0.000,0.000,0.000,3,7,13,34,13838,0.053,42.58,0.0088,0.000,8,0.803,0.000,0.856,0.600,2.81,2.81,4.73,0.00,0.000,1.01,1.03,1.03
40000,1777,1.570,0.214,9.67,137873,119196,1720,0,16949,7,1203851.0,0.3,0.329,0.171,0.438,0.062,350,7.76,4.07,0.10,0.69,0.06,0.41,0.03,0.29,7.57,3.94,0.00,0.00,0.007,0.042,262,0.144,0.900,0.000,0.000,0.100,326063,312851,4,0.523,0.012,0.011,173828,0.096,1.041,0.022,120.78,105662,0,0.049,0.000,0.000,3626004,1.04,17.81,0.000,0.000,0.000,3,7,13,35,13795,0.053,42.53,0.0089,0.000,14,0.801,0.000,0.847,0.585,2.97,2.78,5.32,0.00,0.002,1.02,1.05,1.04
50000,1818,1.541,0.189,10.26,138106,119237,1777,0,17051,10,1197143.8,1.0,0.340,0.167,0.428,0.065,350,7.52,4.08,0.09,0.86,0.03,0.39,0.04,0.41,7.36,3.87,0.00,0.05,0.002,0.026,268,0.067,0.886,0.000,0.000,0.114,329045,317011,6,0.545,0.026,0.018,212459,0.115,0.974,0.020,119.95,106250,0,0.102,0.000,0.000,3810216,1.04,17.78,0.000,0.000,0.001,3,7,12,41,13668,0.052,43.37,0.0090,0.048,1,0.812,0.000,0.862,0.588,3.02,2.62,5.50,0.00,0.002,1.02,1.05,1.04
60000,1752,1.570,0.167,9.85,139757,121474,2097,0,16252,4,1190207.4,0.3,0.321,0.155,0.445,0.079,310,7.66,4.35,0.06,0.67,0.08,0.53,0.02,0.29,7.51,4.14,0.00,0.00,0.008,0.056,334,0.050,0.891,0.000,0.000,0.109,327291,310580,7,0.378,0.043,0.011,256564,0.058,0.902,0.017,119.39,112158,0,0.084,0.000,0.000,3777109,1.02,17.66,0.000,0.001,0.000,3,7,12,44,13426,0.051,43.93,0.0091,0.068,1,0.832,0.000,0.864,0.580,3.06,3.41,5.38,0.00,0.001,1.01,1.03,1.03
70000,1731,1.574,0.164,9.71,142811,123510,1783,0,17539,3,1192469.0,0.2,0.319,0.120,0.462,0.099,316,7.91,4.42,0.10,0.81,0.06,0.37,0.03,0.43,7.72,4.18,0.00,0.00,0.006,0.043,307,0.060,0.898,0.000,0.000,0.102,339629,324097,9,0.612,0.005,0.010,127384,0.098,0.898,0.016,120.56,114225,0,0.066,0.000,0.000,2933838,1.04,17.46,0.000,0.000,0.000,3,7,12,58,13698,0.052,42.76,0.0089,0.027,9,0.793,0.000,0.878,0.586,3.31,3.77,5.70,0.00,0.001,1.02,1.05,1.05
80000,1869,1.519,0.148,9.71,145083,125628,1809,0,17508,4,1190754.4,0.4,0.313,0.168,0.483,0.036,337,7.03,4.13,0.04,0.49,0.04,0.40,0.01,0.27,6.93,3.92,0.00,0.00,0.004,0.034,281,0.100,0.890,0.000,0.000,0.110,342145,330442,4,0.578,0.015,0.004,119588,0.110,0.845,0.015,120.36,106434,0,0.089,0.000,0.000,4396578,1.02,18.10,0.000,0.000,0.000,3,7,11,52,13137,0.050,42.95,0.0092,0.022,6,0.834,0.000,0.847,0.582,3.16,3.43,6.01,0.00,0.001,1.02,1.03,1.02
90000,1781,1.535,0.138,10.27,140889,123992,1753,0,15232,2,1195781.9,0.0,0.237,0.156,0.542,0.064,319,7.72,4.33,0.06,0.63,0.11,0.87,0.04,0.55,7.51,4.07,0.00,0.02,0.011,0.063,305,0.115,0.887,0.000,0.000,0.113,340065,332687,2,0.645,0.003,0.013,166200,0.113,0.828,0.014,120.42,110539,0,0.000,0.000,0.000,3722088,1.02,17.02,0.000,0.000,0.001,3,7,12,38,13756,0.052,42.89,0.0089,0.010,9,0.804,0.000,0.881,0.592,3.27,3.35,6.12,0.00,0.002,1.01,1.03,1.02
100000,1875,1.514,0.133,9.61,145754,128481,1808,0,15371,6,1181026.2,0.5,0.266,0.154,0.551,0.029,323,7.16,4.05,0.04,0.43,0.05,0.68,0.02,0.33,7.05,3.88,0.00,0.00,0.004,0.052,265,0.098,0.903,0.000,0.000,0.097,333138,325323,3,0.473,0.011,0.004,175453,0.138,0.810,0.013,119.97,106593,0,0.092,0.000,0.000,3528330,1.02,18.00,0.000,0.000,0.000,3,7,12,50,13424,0.051,43.34,0.0089,0.001,14,0.803,0.000,0.889,0.569,3.08,3.46,5.47,0.00,0.001,1.01,1.02,1.02
