run,lat,quarter,grass,seed,seed_per_grass,sprout_share
d0,-60,0,1.7462,0.59501,0.34074,0.19729
d0,-60,1,0.62213,0.58357,0.93801,0.21852
d0,-60,2,0.61108,0.5558,0.90954,0.21448
d0,-60,3,1.6444,0.58412,0.35522,0.17754
d0,-50,0,1.2148,0.58388,0.48062,0.19756
d0,-50,1,0.75978,0.56479,0.74336,0.21178
d0,-50,2,0.84726,0.5459,0.64431,0.19783
d0,-50,3,1.1513,0.57621,0.50051,0.17517
d0,-40,0,1.0332,0.59303,0.57398,0.19753
d0,-40,1,1.046,0.56669,0.54177,0.20719
d0,-40,2,1.1525,0.55635,0.48273,0.19022
d0,-40,3,1.0354,0.58579,0.56578,0.17442
d0,-30,0,1.2155,0.62064,0.51059,0.1957
d0,-30,1,1.4735,0.58951,0.40006,0.20497
d0,-30,2,1.6439,0.58036,0.35305,0.18883
d0,-30,3,1.3077,0.61054,0.46686,0.17833
d0,-20,0,1.5514,0.5662,0.36496,0.19417
d0,-20,1,1.8547,0.54071,0.29153,0.20059
d0,-20,2,1.8816,0.53725,0.28552,0.18873
d0,-20,3,1.5716,0.55837,0.35529,0.1852
d0,-10,0,1.6744,0.53531,0.3197,0.19336
d0,-10,1,1.8065,0.5252,0.29072,0.19628
d0,-10,2,1.7546,0.52491,0.29917,0.18983
d0,-10,3,1.6732,0.53337,0.31876,0.19068
d0,0,0,1.8261,0.53734,0.29425,0.1911
d0,0,1,1.7132,0.54539,0.31835,0.19097
d0,0,2,1.6271,0.5484,0.33704,0.19173
d0,0,3,1.801,0.5379,0.29866,0.19642
d0,10,0,1.7957,0.56947,0.31712,0.18994
d0,10,1,1.5259,0.58886,0.38592,0.1855
d0,10,2,1.391,0.59611,0.42856,0.19283
d0,10,3,1.6716,0.5729,0.34273,0.20024
d0,20,0,1.3653,0.51583,0.37781,0.18949
d0,20,1,1.1652,0.53697,0.46083,0.18237
d0,20,2,1.13,0.54306,0.4806,0.19419
d0,20,3,1.273,0.51951,0.40809,0.20272
d0,30,0,1.0404,0.50498,0.48538,0.19053
d0,30,1,1.0138,0.53357,0.52631,0.17472
d0,30,2,1.0122,0.54003,0.53351,0.19727
d0,30,3,0.95068,0.51378,0.54044,0.20784
d0,40,0,0.68517,0.42808,0.62478,0.19681
d0,40,1,0.91369,0.45116,0.49378,0.17539
d0,40,2,0.92724,0.45736,0.49325,0.19778
d0,40,3,0.5892,0.44066,0.7479,0.21207
d0,50,0,0.23575,0.28631,1.2145,0.21492
d0,50,1,0.54602,0.29529,0.54081,0.17577
d0,50,2,0.5487,0.30183,0.55009,0.19593
d0,50,3,0.2061,0.29743,1.4431,0.22489
d0,60,0,0.019617,0.093913,4.7874,0.29003
d0,60,1,0.087992,0.092452,1.0507,0.1776
d0,60,2,0.076045,0.096381,1.2674,0.17325
d0,60,3,0.020943,0.096453,4.6054,0.26912
d0,70,0,0.0020636,0.023936,11.599,0.45168
d0,70,1,0.024531,0.023418,0.95463,0.18259
d0,70,2,0.015654,0.024295,1.552,0.1721
d0,70,3,0.0037045,0.024305,6.5609,0
d0,80,0,0.0003266,0.012108,37.074,0.79264
d0,80,1,0.011512,0.011651,1.0121,0.19468
d0,80,2,0.0058441,0.012063,2.0641,0.19077
d0,80,3,0.0013,0.012062,9.2784,0
d0.01,-60,0,1.6454,0.52014,0.31612,0.18147
d0.01,-60,1,0.5893,0.49755,0.84431,0.20766
d0.01,-60,2,0.57682,0.46631,0.80842,0.19861
d0.01,-60,3,1.554,0.50972,0.32801,0.17166
d0.01,-50,0,1.1467,0.52079,0.45416,0.18111
d0.01,-50,1,0.71415,0.49992,0.70002,0.20126
d0.01,-50,2,0.7798,0.48151,0.61747,0.18809
d0.01,-50,3,1.0575,0.51256,0.4847,0.17069
d0.01,-40,0,0.89147,0.47074,0.52805,0.17818
d0.01,-40,1,0.89166,0.45968,0.51553,0.19286
d0.01,-40,2,0.95027,0.45497,0.47878,0.18152
d0.01,-40,3,0.85142,0.46897,0.55081,0.16959
d0.01,-30,0,1.055,0.51198,0.48531,0.18082
d0.01,-30,1,1.2857,0.49998,0.38888,0.1921
d0.01,-30,2,1.4099,0.49665,0.35225,0.18322
d0.01,-30,3,1.1075,0.50812,0.4588,0.17401
d0.01,-20,0,1.4589,0.51412,0.35241,0.18518
d0.01,-20,1,1.7347,0.49523,0.28549,0.19272
d0.01,-20,2,1.7293,0.49276,0.28494,0.18424
d0.01,-20,3,1.4507,0.50927,0.35104,0.18113
d0.01,-10,0,1.527,0.46997,0.30776,0.18338
d0.01,-10,1,1.6419,0.46537,0.28344,0.18781
d0.01,-10,2,1.5726,0.4644,0.29532,0.1841
d0.01,-10,3,1.5154,0.46947,0.3098,0.18319
d0.01,0,0,1.5927,0.45506,0.28572,0.1826
d0.01,0,1,1.5099,0.46391,0.30724,0.18443
d0.01,0,2,1.4476,0.46669,0.32238,0.1853
d0.01,0,3,1.5943,0.45731,0.28684,0.18588
d0.01,10,0,1.5705,0.49966,0.31815,0.18347
d0.01,10,1,1.3404,0.51184,0.38185,0.18285
d0.01,10,2,1.2479,0.51606,0.41353,0.18637
d0.01,10,3,1.4892,0.50219,0.33722,0.18979
d0.01,20,0,1.239,0.51049,0.412,0.1834
d0.01,20,1,1.0556,0.52531,0.49765,0.18178
d0.01,20,2,1.0359,0.52836,0.51007,0.18953
d0.01,20,3,1.1671,0.51118,0.43797,0.19301
d0.01,30,0,0.89529,0.47455,0.53005,0.1788
d0.01,30,1,0.88445,0.49147,0.55568,0.17039
d0.01,30,2,0.90855,0.48976,0.53905,0.18834
d0.01,30,3,0.8353,0.47573,0.56953,0.19464
d0.01,40,0,0.56165,0.39355,0.7007,0.17564
d0.01,40,1,0.76908,0.41288,0.53685,0.16934
d0.01,40,2,0.81515,0.41244,0.50597,0.18945
d0.01,40,3,0.50245,0.3983,0.7927,0.19214
d0.01,50,0,0.17781,0.26932,1.5146,0.16267
d0.01,50,1,0.41035,0.28584,0.69658,0.16366
d0.01,50,2,0.42546,0.28553,0.6711,0.18306
d0.01,50,3,0.16096,0.27345,1.6988,0.17506
d0.01,60,0,0.011092,0.12401,11.18,0.12548
d0.01,60,1,0.052707,0.11685,2.217,0.14285
d0.01,60,2,0.052818,0.11239,2.1279,0.13658
d0.01,60,3,0.014647,0.11899,8.1242,0.056572
d0.01,70,0,0.00084923,0.021187,24.948,0.073629
d0.01,70,1,0.012724,0.020866,1.6398,0.074748
d0.01,70,2,0.0089243,0.019364,2.1698,0.10571
d0.01,70,3,0.0021292,0.020262,9.5166,0
d0.01,80,0,0.00016498,0.0076324,46.262,0.056857
d0.01,80,1,0.0050706,0.0082347,1.624,0.062835
d0.01,80,2,0.0031103,0.008497,2.7319,0.085777
d0.01,80,3,0.00069211,0.0080616,11.648,0
d0.02,-60,0,1.5295,0.45216,0.29562,0.1745
d0.02,-60,1,0.55117,0.41863,0.75953,0.19762
d0.02,-60,2,0.54572,0.38484,0.70519,0.18079
d0.02,-60,3,1.4608,0.44375,0.30377,0.166
d0.02,-50,0,1.0498,0.44351,0.42249,0.17434
d0.02,-50,1,0.65214,0.41814,0.64118,0.19017
d0.02,-50,2,0.71334,0.40215,0.56376,0.17647
d0.02,-50,3,0.97455,0.4359,0.44729,0.16543
d0.02,-40,0,0.7508,0.36059,0.48027,0.16906
d0.02,-40,1,0.75906,0.36427,0.47989,0.18062
d0.02,-40,2,0.80836,0.36514,0.4517,0.17554
d0.02,-40,3,0.71032,0.36201,0.50965,0.16425
d0.02,-30,0,0.88973,0.40732,0.4578,0.17291
d0.02,-30,1,1.1118,0.41098,0.36965,0.18093
d0.02,-30,2,1.207,0.40757,0.33768,0.17881
d0.02,-30,3,0.92078,0.40312,0.4378,0.16682
d0.02,-20,0,1.3153,0.44367,0.33732,0.18026
d0.02,-20,1,1.5778,0.43223,0.27394,0.18609
d0.02,-20,2,1.5604,0.4279,0.27423,0.1802
d0.02,-20,3,1.2982,0.43817,0.33753,0.17638
d0.02,-10,0,1.3513,0.40068,0.29651,0.17712
d0.02,-10,1,1.4558,0.399,0.27407,0.18073
d0.02,-10,2,1.3867,0.39648,0.28592,0.17789
d0.02,-10,3,1.3315,0.39971,0.30019,0.17661
d0.02,0,0,1.4018,0.39436,0.28132,0.1762
d0.02,0,1,1.3318,0.40703,0.30563,0.17848
d0.02,0,2,1.2803,0.40962,0.31994,0.17988
d0.02,0,3,1.412,0.39737,0.28143,0.17864
d0.02,10,0,1.3908,0.43272,0.31112,0.17773
d0.02,10,1,1.1879,0.45315,0.38148,0.17868
d0.02,10,2,1.1115,0.45891,0.41288,0.18232
d0.02,10,3,1.3256,0.43748,0.33002,0.18247
d0.02,20,0,1.0822,0.46797,0.43243,0.17777
d0.02,20,1,0.91795,0.47998,0.52289,0.17732
d0.02,20,2,0.90274,0.4833,0.53536,0.18214
d0.02,20,3,1.0197,0.4694,0.46031,0.18568
d0.02,30,0,0.78229,0.42735,0.54628,0.1714
d0.02,30,1,0.76351,0.43559,0.57051,0.16717
d0.02,30,2,0.78758,0.43019,0.54622,0.18009
d0.02,30,3,0.72909,0.4241,0.58168,0.18429
d0.02,40,0,0.4806,0.34845,0.72503,0.16523
d0.02,40,1,0.65079,0.36763,0.5649,0.16439
d0.02,40,2,0.68192,0.36155,0.5302,0.18172
d0.02,40,3,0.42357,0.34613,0.81716,0.17473
d0.02,50,0,0.14297,0.24896,1.7414,0.14489
d0.02,50,1,0.32291,0.25958,0.80389,0.15147
d0.02,50,2,0.33347,0.25005,0.74986,0.16815
d0.02,50,3,0.1265,0.24218,1.9146,0.1412
d0.02,60,0,0.0096342,0.11479,11.914,0.10361
d0.02,60,1,0.045307,0.099007,2.1852,0.11769
d0.02,60,2,0.045857,0.08722,1.902,0.1085
d0.02,60,3,0.012805,0.10217,7.9791,0.032505
d0.02,70,0,0.00069931,0.014369,20.547,0.052731
d0.02,70,1,0.01137,0.012999,1.1433,0.053417
d0.02,70,2,0.0075007,0.01083,1.4439,0.076481
d0.02,70,3,0.0017791,0.012454,7.0004,0
d0.02,80,0,0.00015713,0.003968,25.254,0.039938
d0.02,80,1,0.0048649,0.0045305,0.93127,0.04434
d0.02,80,2,0.0029826,0.0046231,1.55,0.045812
d0.02,80,3,0.00066311,0.0042349,6.3865,0
d0.05,-60,0,1.0559,0.26539,0.25135,0.15396
d0.05,-60,1,0.39463,0.22636,0.57359,0.14839
d0.05,-60,2,0.42916,0.20931,0.48772,0.12673
d0.05,-60,3,1.0394,0.26694,0.25682,0.1557
d0.05,-50,0,0.72986,0.25797,0.35346,0.15092
d0.05,-50,1,0.47371,0.23652,0.49929,0.14706
d0.05,-50,2,0.53367,0.22971,0.43043,0.13578
d0.05,-50,3,0.6822,0.2527,0.37042,0.14694
d0.05,-40,0,0.49058,0.18783,0.38287,0.1421
d0.05,-40,1,0.51557,0.19924,0.38645,0.1438
d0.05,-40,2,0.55271,0.20296,0.36721,0.14698
d0.05,-40,3,0.46452,0.18773,0.40413,0.13988
d0.05,-30,0,0.54076,0.20634,0.38158,0.15152
d0.05,-30,1,0.69717,0.22937,0.329,0.15585
d0.05,-30,2,0.75974,0.23366,0.30756,0.16467
d0.05,-30,3,0.56361,0.20803,0.3691,0.1432
d0.05,-20,0,0.92009,0.26267,0.28549,0.16452
d0.05,-20,1,1.1172,0.27151,0.24302,0.16757
d0.05,-20,2,1.093,0.26761,0.24483,0.16631
d0.05,-20,3,0.90009,0.26151,0.29053,0.15945
d0.05,-10,0,0.93869,0.23489,0.25024,0.16095
d0.05,-10,1,1.012,0.24313,0.24024,0.16217
d0.05,-10,2,0.95992,0.24134,0.25142,0.1623
d0.05,-10,3,0.91791,0.23547,0.25653,0.1588
d0.05,0,0,0.95565,0.23373,0.24457,0.15958
d0.05,0,1,0.91461,0.25076,0.27417,0.16143
d0.05,0,2,0.88369,0.25275,0.28601,0.16561
d0.05,0,3,0.96306,0.2358,0.24484,0.15875
d0.05,10,0,0.97057,0.26813,0.27626,0.16174
d0.05,10,1,0.83973,0.30818,0.367,0.16761
d0.05,10,2,0.78316,0.31814,0.40622,0.17253
d0.05,10,3,0.92166,0.27603,0.29949,0.16029
d0.05,20,0,0.73433,0.34292,0.46698,0.16174
d0.05,20,1,0.62862,0.35015,0.55701,0.15948
d0.05,20,2,0.6073,0.34902,0.57471,0.16095
d0.05,20,3,0.68508,0.34539,0.50416,0.16715
d0.05,30,0,0.52405,0.30182,0.57595,0.15045
d0.05,30,1,0.49959,0.28765,0.57577,0.14744
d0.05,30,2,0.50983,0.27643,0.5422,0.15153
d0.05,30,3,0.47994,0.29091,0.60613,0.1547
d0.05,40,0,0.32218,0.22451,0.69684,0.13784
d0.05,40,1,0.41886,0.23271,0.55557,0.14485
d0.05,40,2,0.43636,0.21878,0.50138,0.15716
d0.05,40,3,0.2769,0.20956,0.75681,0.13195
d0.05,50,0,0.09614,0.16754,1.7427,0.11471
d0.05,50,1,0.21784,0.16145,0.74114,0.11907
d0.05,50,2,0.22594,0.14469,0.6404,0.13323
d0.05,50,3,0.084788,0.14952,1.7635,0.094024
d0.05,60,0,0.0072555,0.087057,11.999,0.069061
d0.05,60,1,0.033869,0.058459,1.726,0.077641
d0.05,60,2,0.034937,0.039577,1.1328,0.061149
d0.05,60,3,0.009808,0.064843,6.6112,0.0097324
d0.05,70,0,0.00061125,0.010711,17.524,0.032768
d0.05,70,1,0.010302,0.0069001,0.66977,0.032629
d0.05,70,2,0.0066531,0.0042501,0.63881,0.047407
d0.05,70,3,0.001574,0.0063062,4.0066,0
d0.05,80,0,0.00015095,0.0013906,9.2119,0.022138
d0.05,80,1,0.0046853,0.0022119,0.4721,0.024685
d0.05,80,2,0.0028881,0.0024032,0.83209,0.018517
d0.05,80,3,0.000643,0.0016924,2.632,0
d0.2,-60,0,0.35993,0.056641,0.15736,0.096999
d0.2,-60,1,0.14114,0.035959,0.25477,0.084554
d0.2,-60,2,0.1565,0.034533,0.22065,0.057464
d0.2,-60,3,0.35008,0.054503,0.15569,0.089559
d0.2,-50,0,0.23336,0.054496,0.23353,0.081515
d0.2,-50,1,0.16067,0.034736,0.21619,0.069163
d0.2,-50,2,0.18034,0.040062,0.22215,0.060631
d0.2,-50,3,0.21419,0.051362,0.23979,0.080228
d0.2,-40,0,0.15213,0.036179,0.23782,0.074528
d0.2,-40,1,0.16661,0.034417,0.20657,0.071211
d0.2,-40,2,0.177,0.033932,0.19171,0.069428
d0.2,-40,3,0.14329,0.034572,0.24128,0.064022
d0.2,-30,0,0.15793,0.035066,0.22203,0.091451
d0.2,-30,1,0.21066,0.045091,0.21405,0.096889
d0.2,-30,2,0.22962,0.043368,0.18887,0.10459
d0.2,-30,3,0.16585,0.032615,0.19666,0.071955
d0.2,-20,0,0.24862,0.040173,0.16159,0.10927
d0.2,-20,1,0.30862,0.048841,0.15826,0.10842
d0.2,-20,2,0.30606,0.047831,0.15628,0.11191
d0.2,-20,3,0.24807,0.036756,0.14817,0.090743
d0.2,-10,0,0.27175,0.037431,0.13774,0.11062
d0.2,-10,1,0.2971,0.048591,0.16355,0.11055
d0.2,-10,2,0.28179,0.043137,0.15308,0.10978
d0.2,-10,3,0.26592,0.039621,0.14899,0.10156
d0.2,0,0,0.29777,0.040613,0.13639,0.11122
d0.2,0,1,0.28853,0.059306,0.20555,0.12344
d0.2,0,2,0.27689,0.051969,0.18768,0.1183
d0.2,0,3,0.29633,0.039219,0.13235,0.091256
d0.2,10,0,0.27811,0.051838,0.18639,0.10882
d0.2,10,1,0.24391,0.070893,0.29065,0.12561
d0.2,10,2,0.21281,0.063036,0.29621,0.11707
d0.2,10,3,0.24848,0.043285,0.1742,0.087709
d0.2,20,0,0.19677,0.065043,0.33055,0.10142
d0.2,20,1,0.17084,0.066921,0.39172,0.09776
d0.2,20,2,0.16083,0.062204,0.38677,0.1019
d0.2,20,3,0.17727,0.06038,0.34061,0.089495
d0.2,30,0,0.15127,0.055115,0.36435,0.083362
d0.2,30,1,0.14999,0.049014,0.32677,0.076192
d0.2,30,2,0.1473,0.044468,0.30189,0.082153
d0.2,30,3,0.13514,0.055387,0.40984,0.073641
d0.2,40,0,0.10359,0.04923,0.47526,0.074648
d0.2,40,1,0.14392,0.04025,0.27966,0.071523
d0.2,40,2,0.1449,0.035817,0.24718,0.076043
d0.2,40,3,0.086729,0.043335,0.49966,0.04736
d0.2,50,0,0.049393,0.046924,0.95002,0.067609
d0.2,50,1,0.12177,0.029591,0.24301,0.052381
d0.2,50,2,0.12607,0.02533,0.20091,0.052893
d0.2,50,3,0.045582,0.045109,0.98962,0.020817
d0.2,60,0,0.0057956,0.037738,6.5115,0.026368
d0.2,60,1,0.027297,0.011328,0.41497,0.022317
d0.2,60,2,0.027984,0.0052927,0.18913,0.01457
d0.2,60,3,0.007904,0.037286,4.7174,0
