run,kinds_at,placed_at,travel,kills,top_share,seed_led,grass_led,both_at,beaked,toothed,mass_seed,pace_seed,mass_grass,pace_grass,eat_grass,eat_seed,eat_browse,eat_algae,eat_litter,eat_kills,eat_carrion,steps,pop,pop_land,pop_surface,pop_bottom,digested,seed_bank,seed_wet,err,pace_land
control 9,7.451,4.7451,5.75,0.28294,0.57993,0,0.45461,0,0.32125,0.3043,nan,nan,49.5,0.565,0.18362,0,0.02647,0.1113,0.23701,0.2823,0.1593,100000,9470,4059.5,1426.5,3984,nan,0,nan,4.44e-14,0
control 10,8.2745,4.6471,4.25,0.2547,0.62815,0,0.33525,0,0.30629,0.28881,nan,nan,44.48,0.594,0.17343,0,0.029187,0.12622,0.25051,0.25465,0.16599,100000,8902,3652.7,1227.5,4021.8,nan,0,nan,6e-14,0
control 11,7.2549,4.4706,6,0.28421,0.42283,0,0.21379,0,0.19422,0.18343,nan,nan,42.66,0.608,0.18457,0,0.027297,0.12153,0.22934,0.28458,0.15268,100000,9012,3692.6,1255.6,4063.8,nan,0,nan,3.79e-14,0
D+B+Fb 9,7.1569,5.2157,4.25,0.21746,0.64135,0,0.19603,0,0.28892,0.26495,nan,nan,45.54,0.587,0.19705,0.044729,0.01806,0.10948,0.32139,0.21726,0.092033,100000,8962.9,3511.3,1177.7,4273.9,0.24258,13723,0.06342,4.37e-14,0
D+B+Fb 10,6.7647,4.0588,4.5,0.24534,0.61943,0,0.25915,0,0.42896,0.40392,nan,nan,44.47,0.594,0.16642,0.043628,0.021233,0.1241,0.30196,0.2456,0.09705,100000,8254.7,3048.3,1208.4,3998.1,0.23249,9919.3,0.059732,3.25e-14,0
D+B+Fb 11,7.2549,5.1765,5,0.27542,0.78017,0,0.23841,0,0.35204,0.31682,nan,nan,45.09,0.589,0.17677,0.046336,0.018908,0.10734,0.28791,0.27535,0.087378,100000,8353.3,3282.5,1244.7,3826.1,0.22734,10884,0.056747,4.02e-14,0
