step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err,seed,seed_set,sprouted,seed_wet,seed_intake,fiber_in,fermented,dung,fiber_bodies
1000,11561,8196,76701,241205,222874,163124,1380,40312,90,0,171094,2347676,167383.181,39643.597,0.9964,28988.227,0.225,0.266,0.272,0.237,0.571,0.373,263,0.0248,0.5855,0.091,27.7,58.8,103.3,56.22,5.60,6.47,2.36,41.79,8.09,1.065,0.103,0.174,0.176,21.448,0.295,0.0029,149,421,1441,4306,14,0,0.000,5050,4052,2706,4803,1657,3409,6495,0.00,0.79,19924,29.1096,41067,11872,496568,2680.3,-0.0,293787,35.408,2619549.156,8.53e-15,0.00045,30.00,75947,57.656,2.529,54.483,0.644,57.659,8404,618,2539,0.3461,0.868,1.052,1.270,1.052,0.943,1.136,35793.118,27093.872,116819.010,35661.839,43890.560,5236.183,3407.651,2011.537,0.609,0.534,0.553,0.742,0.647,0.628,14900,21165,0.7349,0.5890,0.6385,0.9999,0.0500,0.0442,0.4673,0.6681,0.7786,0.1155,0.0553,0.0248,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,19509,0.9998,0.5905,0.6739,0.9997,0.0500,0.0442,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2146,5.2732,5.2853,0.0721,0.2280,0.1770,0.326,0.314,0.474,0.222,5675,0.1009,0.0107,0.0138,0.00218,0.00169,0.00140,22.71,27.52,27.81,36.0547,0.0277,80.1211,18.0349,17.3736,839437,1729490,2.2630,0.0011,1044.1,36.0547,21.62,0,0,0,0,0,0,2653,10655.370,9931.771,0.9843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,7.23e-15,31351.0,7.2774,8.7592,0.9412,112.145,1636.394,490.582,1121.971,23840.8
2000,11266,3587,31959,66663,60944,34385,319,13142,18,0,124196,1512326,43948.704,18878.875,1.4679,7484.781,0.161,0.451,0.228,0.160,0.577,0.328,90,0.0267,0.5631,0.080,19.1,48.8,92.2,44.84,4.55,7.95,1.26,31.08,7.59,1.096,0.161,0.221,0.227,12.293,0.166,0.0025,164,1063,783,3391,17,0,0.000,5366,1647,3587,6032,795,1747,8724,0.00,3.28,23110,19.4718,41368,20321,483461,2502.7,-0.0,341251,18.816,2619549.156,3.91e-15,0.00005,25.34,21869,22.159,2.567,19.001,0.591,22.162,4255,2297,4714,0.3020,0.899,1.065,1.319,1.145,0.928,1.133,8523.310,15560.611,23156.561,8440.337,19836.587,8608.547,1004.538,1781.008,0.590,0.494,0.598,0.542,0.449,0.539,32206,8852,0.7398,0.4682,0.6203,0.9999,0.0539,0.0829,0.4473,0.6635,0.8061,0.1825,0.0264,0.0282,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,5913,0.9990,0.4360,0.6139,0.9997,0.0539,0.0829,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1677,5.3573,5.2822,0.0543,0.1597,0.1355,0.251,0.172,0.303,0.156,2474,0.1402,0.0025,0.0029,0.00174,0.00057,0.00039,24.37,27.30,26.05,234.0377,0.0472,28.7983,15.0469,3.7691,859989,1725365,2.7987,0.0113,1719.7,234.0377,26.00,0,0,0,0,0,0,1855,11394.093,10646.595,0.9697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,21455.7,4.8680,5.7485,0.7319,127.951,317.305,88.204,229.869,23073.4
3000,12895,3851,65984,137151,123778,70233,934,21911,172,0,267462,2925638,63916.508,34682.860,1.2168,14341.581,0.155,0.539,0.201,0.105,0.580,0.308,305,0.0529,0.6625,0.064,13.7,35.2,80.8,33.07,3.27,8.21,0.75,20.83,7.24,1.242,0.213,0.208,0.217,9.085,0.200,0.0026,100,444,991,12467,88,0,0.000,7653,83,2737,10075,461,1635,10799,0.00,5.49,25313,22.4921,41531,18865,469064,2914.3,-0.0,366226,16.555,2619549.156,3.25e-14,0.00093,14.43,50426,31.810,2.515,28.206,1.089,31.814,3904,1615,7376,0.1624,0.960,1.237,1.526,1.244,0.932,1.309,13865.673,32050.440,21345.778,13756.211,43156.101,10167.079,1187.413,8986.787,0.582,0.493,0.601,0.487,0.458,0.542,37812,17293,0.7646,0.3809,0.4564,0.9997,0.0351,0.0413,0.4936,0.8326,0.9329,0.1844,0.0233,0.0352,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,13545,0.9994,0.5908,0.7814,0.9993,0.0351,0.0413,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2141,5.2667,5.2326,0.0501,0.1131,0.0970,0.180,0.095,0.202,0.108,2587,0.1324,0.0015,0.0023,0.00152,0.00082,0.00054,23.13,26.94,27.09,730.6382,0.0652,57.5531,7.4109,9.1441,867071,1724407,3.1854,0.0270,1840.5,730.6382,22.38,0,0,0,0,0,0,8847,20341.279,18417.842,0.9397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.47e-14,16944.1,5.6230,3.8482,0.5806,88.228,482.781,118.468,365.516,21870.2
4000,15019,3557,73614,136000,119095,60919,1467,25661,469,0,325725,3562117,58201.451,33910.633,1.1264,10980.104,0.084,0.684,0.152,0.080,0.538,0.334,671,0.0682,0.6999,0.056,8.9,32.7,75.7,29.91,2.56,7.37,0.52,19.46,7.32,1.279,0.217,0.158,0.164,7.602,0.185,0.0029,90,396,966,19045,124,0,0.000,8280,51,4026,10942,240,1337,13442,0.50,6.92,27274,21.7594,41786,17040,456871,3125.7,0.0,384909,13.346,2619549.156,9.60e-15,0.00071,37.93,52190,31.608,2.513,27.597,1.497,31.611,3146,3375,8498,0.2486,0.962,1.198,1.758,1.291,0.958,1.402,14962.208,29792.134,16283.235,14840.230,38058.090,9238.277,2569.757,11122.494,0.570,0.509,0.535,0.467,0.411,0.467,42708,21613,0.7346,0.3618,0.3460,0.9993,0.0334,0.0374,0.5089,0.8130,0.9139,0.1893,0.0240,0.0456,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,7418,0.9967,0.5894,0.7688,0.9990,0.0334,0.0375,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2600,5.1701,4.9555,0.0522,0.0743,0.0638,0.101,0.086,0.124,0.061,1605,0.0551,0.0021,0.0024,0.00191,0.00068,0.00058,26.95,27.28,26.86,753.0493,0.0739,53.4778,4.9787,8.3672,870852,1721335,3.1815,0.0410,1934.7,753.0493,25.42,0,0,0,0,0,0,14724,22930.528,20204.544,0.9418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,15864.4,5.4399,3.1034,0.4403,45.141,446.166,104.669,338.407,24959.8
5000,10118,2915,69426,118252,101544,47467,1359,25078,565,0,293059,3453333,47515.260,30028.411,1.0803,10241.153,0.061,0.746,0.109,0.084,0.511,0.353,500,0.1093,0.7178,0.053,11.0,31.7,77.5,27.90,3.14,7.87,0.66,16.23,7.10,1.372,0.212,0.235,0.242,8.262,0.197,0.0031,83,375,718,18629,74,20,0.185,6273,85,3016,7017,259,985,8874,2.75,9.80,32111,23.9672,41989,20292,442396,1678.9,-0.0,398815,11.815,2619549.156,1.62e-14,0.00080,12.68,47193,27.970,2.516,24.631,0.824,27.974,2829,1650,5639,0.1865,0.985,1.377,1.815,1.330,0.963,1.513,10622.562,26593.225,12558.233,10513.800,34684.381,6089.474,2489.593,11208.191,0.545,0.446,0.521,0.406,0.326,0.431,45457,23733,0.7613,0.2723,0.2569,0.9994,0.0312,0.0347,0.5013,0.8813,0.9816,0.2103,0.0223,0.0474,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,8360,0.9984,0.6963,0.8423,0.9984,0.0313,0.0349,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2062,5.3311,4.6838,0.0533,0.0985,0.0904,0.150,0.123,0.197,0.102,1054,0.0253,0.0044,0.0022,0.00224,0.00066,0.00051,26.62,26.82,26.24,793.5239,0.0609,45.8226,3.7136,8.1019,872457,1722850,2.3200,0.0336,1991.5,793.5239,23.03,0,0,0,0,0,0,15537,19787.258,17106.120,0.9281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.15e-15,16227.2,5.9918,3.1339,0.3902,31.182,370.622,86.752,292.763,16066.8
6000,9725,3673,53238,88944,75432,34894,812,22584,217,0,220097,3444853,45632.833,24041.620,1.2495,6854.001,0.052,0.790,0.072,0.086,0.523,0.363,271,0.0924,0.6990,0.058,15.0,41.4,81.1,32.09,4.53,8.79,1.03,17.74,7.18,1.347,0.203,0.331,0.343,10.065,0.217,0.0029,105,436,827,13421,81,20,0.309,6128,318,2680,6727,462,1852,7411,2.25,8.94,34424,27.5599,42202,21753,433914,1368.7,-0.0,411949,11.948,2619549.156,8.71e-15,0.00021,23.20,35899,23.649,2.449,20.592,0.607,23.651,4526,1317,3882,0.1874,0.979,1.311,1.866,1.304,0.967,1.526,10424.818,19702.980,17580.344,10337.032,24569.457,8023.386,1846.834,7317.399,0.593,0.459,0.514,0.457,0.318,0.407,53437,15119,0.7270,0.2144,0.2461,0.9997,0.0336,0.0400,0.5057,0.9039,0.9625,0.2024,0.0263,0.0496,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,4939,0.9986,0.7977,0.8427,0.9990,0.0337,0.0402,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1028,5.5683,4.8363,0.0553,0.1158,0.1052,0.172,0.203,0.334,0.082,1248,0.0320,0.0053,0.0021,0.00225,0.00048,0.00036,23.74,25.13,25.47,952.1401,0.0664,35.4306,4.3082,7.6402,871713,1722406,1.3593,0.0120,1903.0,952.1401,19.40,0,0,0,0,0,0,9524,17187.619,15144.545,0.9344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.03e-15,16272.5,6.8900,3.5360,0.3920,43.849,371.048,93.456,274.413,19246.1
7000,11247,3467,52961,94574,80819,40678,935,22389,391,0,252426,3418279,48044.150,27948.629,1.3499,6652.388,0.048,0.830,0.064,0.058,0.527,0.361,266,0.0752,0.6650,0.062,14.0,38.1,81.1,32.25,3.88,8.11,0.61,19.66,6.97,1.308,0.208,0.278,0.287,8.384,0.189,0.0031,103,506,829,13339,62,19,0.357,6850,861,1714,8672,1346,1739,8162,2.25,9.09,30420,26.7946,42452,21323,428377,2353.1,-0.0,432540,12.477,2619549.156,5.16e-15,0.00013,24.47,37840,24.004,2.406,20.756,0.842,24.007,5117,2124,4006,0.2495,0.953,1.214,1.905,1.351,0.952,1.443,9040.562,15991.395,26259.107,8949.337,19488.093,14050.490,1438.271,5807.481,0.576,0.448,0.509,0.474,0.362,0.429,62258,12964,0.6395,0.1853,0.2802,0.9999,0.0398,0.0484,0.5166,0.8827,0.8900,0.1910,0.0208,0.0318,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,3750,0.9996,0.7567,0.8038,0.9991,0.0398,0.0484,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9967,5.3988,4.8108,0.0456,0.1048,0.0917,0.103,0.123,0.219,0.059,3113,0.0677,0.0052,0.0028,0.00200,0.00050,0.00037,26.87,27.52,26.92,1137.6798,0.0899,28.8479,6.7777,5.6990,874308,1720744,0.9684,0.0060,1668.6,1137.6798,21.78,0,0,0,0,0,0,8832,21296.242,18996.264,0.9375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.28e-14,15027.9,6.6986,3.4974,0.4208,61.616,416.589,110.620,302.726,22489.1
8000,8032,2896,48369,86145,74626,37306,470,19720,166,0,212744,2809528,45495.515,23090.107,1.2292,6745.978,0.048,0.815,0.068,0.069,0.510,0.371,204,0.0962,0.6542,0.065,16.9,43.5,86.0,35.21,4.58,9.25,1.28,20.10,7.14,1.320,0.212,0.366,0.375,9.667,0.195,0.0032,97,458,659,9682,43,17,0.403,5021,636,948,6448,1188,1120,5724,2.75,9.78,28979,23.8480,42564,20313,416262,1593.4,-0.0,451599,11.523,2619549.156,1.42e-15,0.00064,7.77,33559,21.569,2.460,18.550,0.559,21.572,3734,1337,2961,0.2255,0.976,1.242,1.936,1.277,0.966,1.535,9650.152,17497.132,21189.894,9567.155,21484.444,9635.062,1418.069,5290.998,0.556,0.448,0.499,0.456,0.370,0.451,63907,19196,0.7179,0.2834,0.2881,0.9997,0.0361,0.0547,0.4904,0.8955,0.9037,0.1946,0.0191,0.0413,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,3435,0.9997,0.8077,0.8131,0.9990,0.0361,0.0547,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0647,5.4482,4.8259,0.0477,0.1336,0.1214,0.290,0.210,0.425,0.076,2232,0.0859,0.0042,0.0023,0.00179,0.00053,0.00052,23.04,26.75,27.25,955.2756,0.0751,31.3872,6.1139,5.4095,877969,1720554,1.3843,0.0304,1665.5,955.2756,16.84,0,0,0,0,0,0,6835,16344.128,14615.213,0.9428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.39e-15,13510.6,5.9620,3.0536,0.4493,61.192,372.202,93.356,284.650,16685.4
9000,7217,2625,41581,71356,62006,29270,505,14176,115,0,143003,2346016,39241.027,16609.230,1.2915,5065.943,0.044,0.805,0.074,0.077,0.505,0.377,168,0.0902,0.6644,0.072,16.2,41.0,77.0,33.08,3.94,8.72,1.08,19.35,7.00,1.316,0.203,0.332,0.339,9.961,0.194,0.0027,88,452,589,9570,51,16,0.339,4333,20,1295,5902,347,1235,5635,2.75,10.10,30451,24.3893,42743,20980,406188,1520.5,-0.0,462911,9.852,2619549.156,8.89e-15,0.00016,30.68,28760,19.394,2.537,16.500,0.357,19.397,3050,1216,2951,0.2308,0.981,1.215,1.946,1.279,0.961,1.501,7711.901,16823.676,16559.361,7656.609,20091.000,5951.355,1494.876,4097.056,0.568,0.444,0.487,0.454,0.292,0.446,65067,18759,0.6776,0.1295,0.2897,1.0000,0.0358,0.0568,0.5193,0.9368,0.9101,0.1911,0.0215,0.0361,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,2409,0.9991,0.8294,0.8239,0.9992,0.0358,0.0568,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2056,5.6514,4.8730,0.0519,0.1226,0.1140,0.322,0.144,0.367,0.082,1904,0.0957,0.0034,0.0019,0.00187,0.00061,0.00064,25.84,26.53,27.35,950.6095,0.0583,28.0809,5.2787,4.5734,879691,1719646,2.3879,0.0473,1678.6,950.6095,18.95,0,0,0,0,0,0,5033,11543.287,10292.309,0.9449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,5.42e-15,13389.5,6.0973,2.7539,0.4418,46.171,322.899,79.095,245.236,15252.9
10000,8222,2865,43658,79287,70192,35208,421,13719,88,0,142436,2543642,43086.783,18469.942,1.3404,6537.522,0.044,0.797,0.066,0.093,0.525,0.368,179,0.0752,0.6638,0.060,15.8,41.4,79.2,32.49,3.84,8.39,0.56,19.69,6.84,1.352,0.200,0.334,0.344,9.397,0.185,0.0024,92,452,600,9317,43,20,0.136,4819,33,1664,6525,221,1289,6712,2.50,8.90,32572,25.6890,42933,21748,396652,1792.8,-0.0,470809,8.956,2619549.156,9.60e-15,0.00128,11.37,31418,19.795,2.535,16.806,0.453,19.798,3468,1156,3598,0.1738,0.989,1.276,1.967,1.319,0.961,1.508,7858.809,20904.408,16522.649,7792.468,25309.188,6383.140,1440.404,4108.876,0.570,0.450,0.526,0.414,0.302,0.511,64958,19603,0.6788,0.1570,0.2778,0.9998,0.0303,0.0595,0.5289,0.8817,0.9049,0.1985,0.0246,0.0289,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,2849,0.9991,0.7631,0.8293,0.9980,0.0303,0.0595,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1429,5.5029,4.8314,0.0521,0.0826,0.0727,0.141,0.089,0.171,0.069,1210,0.0494,0.0028,0.0019,0.00226,0.00051,0.00068,26.79,26.59,26.97,978.8196,0.0557,33.6378,4.1888,4.7671,880472,1717850,3.2735,0.0513,1666.5,978.8196,19.36,0,0,0,0,0,0,5184,11932.420,10638.818,0.9425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.82e-15,13755.6,6.4223,2.7472,0.4301,43.875,353.199,86.123,266.073,16255.9
