step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err,seed,seed_set,sprouted,seed_wet,seed_intake,fiber_in,fermented,dung,fiber_bodies
1000,11738,7630,83311,253184,233752,168165,1708,43787,125,0,176187,2939826,168598.238,39906.805,0.9999,28896.756,0.200,0.313,0.207,0.280,0.574,0.380,233,0.0241,0.6105,0.096,23.8,53.3,93.4,52.17,4.65,6.52,2.72,38.29,7.98,1.047,0.123,0.185,0.188,19.452,0.301,0.0029,143,414,1378,5628,63,0,0.000,5412,4037,2841,4860,1934,3298,6506,0.00,0.97,19077,29.0841,41075,11632,497841,2728.5,-0.0,295483,37.200,2619311.388,1.88e-14,0.00045,30.00,80352,59.564,2.538,56.346,0.680,59.568,8503,712,2523,0.3795,0.859,1.032,1.244,1.029,0.935,1.141,35696.316,26863.731,118760.306,35456.614,43278.074,6553.955,1686.202,2769.893,0.612,0.547,0.542,0.726,0.639,0.615,15179,24175,0.6850,0.6180,0.6272,0.9996,0.0494,0.0420,0.4885,0.7926,0.8542,0.1021,0.0560,0.0217,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17824,0.9998,0.7772,0.7375,0.9994,0.0494,0.0420,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1012,5.2944,5.3436,0.0733,0.2074,0.1752,0.321,0.487,0.391,0.385,6734,0.1154,0.0115,0.0138,0.00224,0.00162,0.00139,22.72,27.50,27.76,39.2477,0.0346,79.3663,19.0428,18.1573,841353,1729510,2.2645,0.0018,1042.3,39.2477,21.62,0,0,0,0,0,0,3059,11010.049,10209.331,0.9791,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,7.23e-15,30694.8,7.2710,8.6919,0.9361,123.755,1644.537,481.808,1140.666,22063.6
2000,15718,3277,51455,95608,84381,43455,698,21243,207,0,229401,2257524,50148.293,24551.567,1.1452,8131.754,0.128,0.579,0.127,0.166,0.522,0.359,304,0.0400,0.6288,0.072,14.9,36.4,74.0,36.66,2.99,8.04,1.13,24.51,7.61,1.091,0.195,0.141,0.144,8.655,0.172,0.0031,117,851,805,10271,25,0,0.000,7500,1507,4043,10168,818,1687,13213,0.00,6.15,22670,19.2054,41381,16104,480186,2421.5,-0.0,342847,20.027,2619311.388,3.56e-14,0.00005,25.34,32908,27.529,2.604,23.825,1.100,27.533,3876,4460,7382,0.3571,0.898,1.050,1.337,1.105,0.933,1.178,12151.375,19206.598,22305.631,12083.859,23890.557,9360.035,1814.885,5244.894,0.561,0.450,0.534,0.479,0.385,0.488,28467,11820,0.7068,0.5081,0.5447,0.9998,0.0306,0.0492,0.4754,0.9040,0.9185,0.1970,0.0265,0.0185,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,4956,0.9992,0.7004,0.7068,0.9994,0.0306,0.0492,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1839,5.0005,5.3656,0.0473,0.1442,0.0990,0.185,0.173,0.192,0.169,3741,0.1630,0.0034,0.0035,0.00184,0.00068,0.00046,24.09,27.89,26.89,201.2206,0.0578,36.3864,14.2282,5.7986,861336,1723084,2.7913,0.0106,1747.8,201.2206,26.00,0,0,0,0,0,0,5508,16419.813,15005.273,0.9629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,21554.3,4.8014,5.6080,0.7055,117.590,358.423,90.778,262.327,27382.5
3000,11258,2691,73757,141781,123923,67066,958,29694,362,0,401937,3322480,60036.810,38554.674,1.0308,12661.102,0.096,0.702,0.096,0.106,0.502,0.360,385,0.0979,0.6744,0.058,16.4,38.5,74.5,34.75,3.58,8.82,0.88,21.46,7.10,1.194,0.214,0.197,0.201,7.821,0.176,0.0035,97,388,768,21759,83,0,0.000,6275,145,2291,8822,442,1742,9074,1.75,9.41,26433,23.3676,41541,15355,462755,2270.4,-0.0,365157,16.275,2619311.388,1.42e-15,0.00094,14.43,50050,31.151,2.522,27.941,0.688,31.154,3821,2417,5020,0.3196,0.900,1.147,1.525,1.171,0.949,1.329,14603.751,29040.096,19424.583,14489.248,38784.081,9690.794,3141.046,13061.732,0.501,0.436,0.529,0.448,0.423,0.506,31101,25472,0.7672,0.4932,0.4221,0.9994,0.0335,0.0344,0.5044,0.7946,0.9326,0.1932,0.0478,0.0254,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,7076,0.9985,0.7027,0.7550,0.9991,0.0335,0.0344,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4403,5.0147,5.6865,0.0414,0.1157,0.0939,0.167,0.150,0.157,0.173,3155,0.1659,0.0042,0.0031,0.00158,0.00100,0.00072,21.97,27.20,26.96,536.5625,0.0900,53.8523,6.7541,9.5206,867680,1724780,3.1799,0.0263,2027.1,536.5625,22.38,0,0,0,0,0,0,12458,25893.572,23239.165,0.9419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.47e-14,17755.8,5.8419,4.0202,0.5463,77.980,449.865,105.840,350.203,21203.6
4000,9573,2666,62609,118079,101194,54942,528,26420,163,0,375554,3137677,50124.913,34355.140,1.0464,9794.243,0.081,0.769,0.063,0.088,0.492,0.375,225,0.1058,0.6754,0.063,14.9,36.8,67.3,30.84,4.03,9.19,0.60,17.02,6.86,1.230,0.231,0.253,0.266,7.596,0.192,0.0035,99,405,647,16584,66,0,0.000,5425,32,2150,7391,250,1130,8193,2.75,10.45,27625,22.4483,41791,16750,450594,1683.5,-0.0,383985,12.688,2619311.388,7.29e-15,0.00118,37.93,44288,27.583,2.524,24.496,0.563,27.586,3110,1937,4526,0.3648,0.888,1.089,1.694,1.119,0.971,1.416,11901.610,23262.118,17970.519,11827.943,30120.694,11420.128,2783.534,10357.235,0.520,0.447,0.495,0.473,0.370,0.502,35050,18576,0.7691,0.3873,0.3534,0.9992,0.0453,0.0434,0.4758,1.0028,0.9720,0.2460,0.0696,0.0308,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,5378,0.9978,0.8548,0.7799,0.9988,0.0453,0.0434,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4083,5.1098,5.9489,0.0431,0.1003,0.0829,0.122,0.109,0.132,0.141,1931,0.0565,0.0056,0.0023,0.00199,0.00076,0.00070,27.43,26.46,27.03,830.1889,0.1037,42.3763,4.9248,7.7633,871803,1723994,3.1842,0.0437,2006.8,830.1889,25.42,0,0,0,0,0,0,11826,24560.897,21966.385,0.9327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,16399.6,5.6121,3.3604,0.4445,47.936,396.379,93.711,309.431,14440.5
5000,9097,2284,54649,95275,82025,40135,491,21230,198,0,315121,2691985,45430.426,27358.756,1.0235,7201.741,0.071,0.813,0.050,0.065,0.481,0.384,202,0.0988,0.6709,0.053,17.2,39.2,69.6,32.73,4.03,9.08,0.54,19.08,6.99,1.234,0.223,0.270,0.279,7.292,0.177,0.0034,96,402,535,17923,70,19,0.247,5035,58,2160,6879,232,1063,7802,4.50,12.25,29678,22.5488,42001,20040,441348,1601.5,-0.0,400483,10.001,2619311.388,4.09e-15,0.00042,12.68,35499,23.530,2.521,20.486,0.522,23.534,3019,1800,4278,0.3911,0.885,1.070,1.773,1.081,0.971,1.452,11271.743,21397.467,15009.510,11190.707,26431.950,9117.731,2702.530,8336.754,0.516,0.461,0.469,0.441,0.363,0.442,42309,19387,0.6209,0.3475,0.3035,0.9990,0.0379,0.0430,0.4588,0.8922,0.9364,0.2155,0.0943,0.0263,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,3693,0.9987,0.8461,0.7795,0.9979,0.0380,0.0431,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3990,5.0980,5.9546,0.0401,0.0877,0.0711,0.116,0.105,0.116,0.128,1019,0.0276,0.0058,0.0019,0.00279,0.00073,0.00072,26.07,26.01,26.97,1261.9510,0.0870,38.0599,3.7248,6.2765,873594,1722561,2.3734,0.0364,1629.3,1261.9510,23.03,0,0,0,0,0,0,9598,20157.014,18071.345,0.9393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.15e-15,16092.6,5.6372,3.1066,0.4109,36.355,359.544,82.950,272.726,18308.2
6000,9509,2620,59919,104939,89705,44506,514,24385,243,0,358190,2920762,48488.491,30586.685,1.0165,7830.630,0.056,0.826,0.051,0.068,0.465,0.394,193,0.1090,0.6745,0.057,17.0,41.0,69.3,31.82,4.19,9.96,0.46,17.21,6.79,1.292,0.243,0.280,0.292,7.413,0.184,0.0035,94,388,524,13816,73,19,0.262,5242,264,2284,6961,586,1505,7418,4.50,13.34,30332,24.0678,42231,21336,431156,1706.5,-0.0,419464,10.883,2619311.388,3.04e-14,0.00002,23.20,39770,25.063,2.560,21.953,0.550,25.067,3662,1553,4294,0.3692,0.885,1.111,1.887,1.136,0.969,1.543,11138.242,22021.184,17963.872,11025.050,27330.199,10898.119,2502.030,9355.906,0.463,0.427,0.486,0.422,0.322,0.470,49946,18002,0.5954,0.2367,0.2406,0.9986,0.0385,0.0469,0.4553,1.0275,0.9077,0.2280,0.0614,0.0235,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,4486,0.9985,0.9081,0.7495,0.9982,0.0388,0.0470,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5463,5.3339,6.1734,0.0387,0.0772,0.0647,0.093,0.099,0.099,0.115,1192,0.0289,0.0057,0.0026,0.00246,0.00052,0.00050,23.22,26.35,26.67,1202.6243,0.1056,38.8908,4.1900,6.6932,875360,1720828,1.3999,0.0125,1401.8,1202.6243,19.40,0,0,0,0,0,0,11199,22756.056,20312.422,0.9365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.03e-15,15866.3,6.0169,3.3214,0.3918,37.835,395.577,93.293,303.846,16745.9
7000,9245,2596,47309,81033,69645,33392,332,19804,111,0,285154,2522032,43024.614,25221.906,1.0813,5951.434,0.055,0.853,0.041,0.051,0.464,0.397,113,0.0955,0.6464,0.056,16.5,41.6,66.6,32.45,5.02,9.20,0.55,17.67,6.73,1.252,0.220,0.344,0.362,7.719,0.175,0.0034,102,447,409,9639,59,20,0.279,5233,861,1376,7008,1566,1624,6055,4.25,12.35,29545,25.2684,42498,23391,424089,1572.3,-0.0,438940,10.308,2619311.388,3.11e-14,0.00031,24.47,30572,21.254,2.522,18.275,0.457,21.258,4400,1622,3223,0.4243,0.875,1.048,1.852,1.136,0.973,1.550,7477.836,16528.543,21638.973,7392.672,19944.402,11668.717,1465.153,6136.603,0.497,0.400,0.461,0.451,0.274,0.437,60158,15168,0.6571,0.1886,0.3088,0.9998,0.0379,0.0464,0.4628,0.9974,0.9549,0.2296,0.0748,0.0245,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2974,0.9995,0.9228,0.7616,0.9990,0.0379,0.0464,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6104,5.2037,6.0901,0.0374,0.0838,0.0675,0.119,0.106,0.109,0.110,1683,0.0562,0.0057,0.0032,0.00193,0.00045,0.00043,26.06,26.84,26.82,1055.2075,0.1061,27.7920,5.4068,4.9015,877199,1720282,0.9879,0.0059,1346.9,1055.2075,21.78,0,0,0,0,0,0,7833,19270.473,17356.005,0.9405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.28e-14,14496.9,6.3171,3.3091,0.3987,61.024,362.736,87.423,274.492,17566.3
8000,7996,2394,50002,91089,79218,40662,425,20579,149,0,270444,2790804,43788.955,25158.997,1.0927,6688.529,0.047,0.838,0.051,0.064,0.480,0.390,116,0.1093,0.6717,0.059,15.8,39.8,63.9,30.64,3.32,8.32,0.54,18.46,6.50,1.340,0.209,0.242,0.254,7.563,0.183,0.0032,99,444,504,9305,42,22,0.261,4375,832,1255,5909,788,883,6325,3.00,12.03,29434,23.6720,42619,22322,415888,1813.0,-0.0,455798,11.261,2619311.388,1.23e-14,0.00013,7.77,33662,20.878,2.512,17.912,0.454,20.882,3019,1382,3595,0.3308,0.888,1.161,1.926,1.245,0.958,1.567,9263.069,18753.180,18318.197,9170.333,22988.953,9996.263,1626.837,6847.369,0.491,0.438,0.493,0.429,0.356,0.501,65816,17702,0.6722,0.1211,0.3070,0.9999,0.0348,0.0422,0.5275,0.8886,0.9371,0.1926,0.0517,0.0280,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,2430,0.9986,0.8039,0.7327,0.9992,0.0348,0.0422,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.7142,5.3417,6.3302,0.0392,0.0845,0.0703,0.106,0.112,0.114,0.122,2245,0.0965,0.0048,0.0028,0.00179,0.00045,0.00043,24.70,27.40,26.65,899.3643,0.0928,32.4742,5.7400,5.5209,880134,1718902,1.3999,0.0296,1465.5,899.3643,16.84,0,0,0,0,0,0,8146,18470.468,16488.358,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.39e-15,13999.7,5.9180,3.0322,0.4096,45.160,360.251,84.488,277.058,16271.1
9000,7789,1999,48143,85253,74253,36663,447,16571,106,0,248535,2130351,42321.865,22363.754,1.0292,6376.698,0.077,0.796,0.053,0.075,0.453,0.406,77,0.0988,0.6699,0.063,14.9,37.5,62.5,29.61,3.09,8.25,0.59,17.68,6.85,1.325,0.213,0.223,0.231,7.494,0.172,0.0031,88,402,449,8424,49,19,0.293,4206,21,1381,6387,296,1146,6347,5.25,14.28,30282,23.4362,42809,21635,406341,1642.3,-0.0,467118,8.800,2619311.388,1.71e-14,0.00117,30.68,31736,19.628,2.613,16.570,0.444,19.631,2534,1555,3700,0.3660,0.888,1.088,1.939,1.201,0.964,1.561,8783.573,19347.114,16465.793,8699.408,23533.362,8655.140,1527.921,5803.995,0.455,0.427,0.466,0.432,0.329,0.475,67066,19681,0.6436,0.1542,0.2464,0.9996,0.0380,0.0462,0.5021,0.9567,0.9435,0.2086,0.0347,0.0203,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,2920,0.9986,0.8192,0.7687,0.9986,0.0380,0.0462,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.7250,5.3381,6.5782,0.0403,0.0869,0.0728,0.155,0.116,0.127,0.132,1679,0.0841,0.0030,0.0024,0.00221,0.00056,0.00060,25.17,26.51,27.29,1046.4292,0.0846,32.6141,4.1556,4.6443,881705,1717655,2.4187,0.0478,1437.2,1046.4292,18.95,0,0,0,0,0,0,7393,15987.056,14260.181,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,5.42e-15,14017.8,5.8590,2.9112,0.4018,38.128,348.083,79.230,271.588,13536.2
10000,6623,1952,42596,75224,65777,32176,452,15308,98,0,201579,2092465,38782.271,19326.560,1.0726,5812.751,0.070,0.826,0.053,0.050,0.459,0.415,46,0.1013,0.6720,0.063,19.7,42.4,64.0,32.77,4.11,9.11,0.71,18.84,6.68,1.345,0.207,0.304,0.320,8.814,0.166,0.0030,91,403,441,7073,32,18,0.240,3811,36,1303,5284,248,1039,5336,3.50,12.82,34285,25.7098,43011,21659,395462,1542.8,-0.0,474074,8.284,2619311.388,1.07e-15,0.00626,11.37,28328,18.597,2.577,15.692,0.328,18.600,2470,940,3213,0.3479,0.888,1.127,1.957,1.129,0.962,1.624,8876.565,18336.024,13302.506,8804.469,22488.048,6295.985,1255.953,5961.871,0.442,0.469,0.464,0.386,0.384,0.468,67785,17128,0.6808,0.1889,0.2518,0.9998,0.0339,0.0409,0.4840,0.8749,0.9523,0.2172,0.0550,0.0224,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,4018,0.9985,0.7854,0.7751,0.9988,0.0339,0.0409,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5612,5.2303,6.6379,0.0391,0.0965,0.0762,0.116,0.131,0.117,0.153,1128,0.0745,0.0020,0.0019,0.00217,0.00054,0.00053,25.55,27.07,27.31,906.9920,0.0697,31.6502,3.1585,5.1259,881377,1717460,3.3294,0.0521,1558.2,906.9920,19.36,0,0,0,0,0,0,6082,13513.809,12035.358,0.9416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.82e-15,14616.2,6.4275,2.9051,0.3895,38.237,306.798,70.461,235.522,14351.5
