step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
2000,-30,1,3160,2816.6195,5789.88,1437.31,16.64,0,20.20,6.139,7.499,0.5863,183.323,1048.79,333.5774
2000,-30,2,566,586.6562,1141.62,793.55,21.94,0,22.82,7.335,6.527,0.7675,289.725,154.53,68.8181
2000,-20,0,1967,1114.3699,2144.96,42.91,16.33,0,28.05,10.396,5.165,0.3719,250.543,587.91,126.7841
2000,-20,1,2431,2318.7876,4593.98,1049.83,21.65,0,27.65,10.336,5.433,0.5306,349.342,838.05,265.8992
2000,-20,2,3821,3947.1986,8047.32,10498.80,32.34,0,27.33,10.222,5.622,0.8427,507.944,877.70,444.2692
2000,-10,0,1735,820.1479,1677.89,29.61,24.38,0,34.57,14.543,3.753,0.3095,382.574,544.46,91.7153
2000,-10,1,2148,1953.1918,4017.55,946.61,25.85,0,34.27,14.487,3.885,0.4443,569.509,767.70,214.6359
2000,-10,2,4341,4258.6791,9081.87,14520.45,40.70,0,32.26,13.425,4.588,0.8063,797.087,921.35,457.7394
2000,0,0,1758,679.6647,1570.14,27.69,26.18,0,38.84,17.362,2.891,0.2177,429.786,578.35,72.2163
2000,0,1,1817,1461.9637,3336.44,900.26,29.54,0,38.52,17.285,3.006,0.3719,740.822,640.37,151.2234
2000,0,2,4792,4333.2214,9933.22,13764.03,44.66,0,35.94,15.896,3.878,0.6739,980.662,1099.15,450.8782
2000,10,0,3062,1131.8391,2931.71,51.45,24.93,0,40.18,18.283,2.656,0.1977,458.844,920.28,112.1425
2000,10,1,2793,2188.4430,5382.54,1401.07,33.93,0,39.70,18.112,2.837,0.3527,784.120,960.69,215.8914
2000,10,2,3590,3147.5161,7552.80,8472.27,58.58,0,35.79,16.104,4.187,0.6104,889.479,881.39,323.2189
2000,20,0,4028,1210.1444,2919.77,63.61,31.99,0,37.82,16.909,3.344,0.1469,256.300,928.26,115.5705
2000,20,1,3367,2702.8749,6515.06,1594.34,47.61,0,38.13,17.159,3.288,0.3559,642.561,1140.10,258.5389
2000,20,2,1050,943.7195,2284.75,1710.70,65.92,0,35.22,15.640,4.228,0.5372,720.290,289.59,95.8402
2000,30,0,6553,2498.6890,5246.36,79.27,42.58,0,34.95,14.903,3.861,0.1861,246.570,1597.52,237.0725
2000,30,1,2508,2064.0129,4885.24,1053.90,43.60,0,37.36,16.106,2.999,0.3635,525.859,810.90,192.3490
2000,30,2,213,219.6112,461.92,231.91,19.11,0,35.19,14.625,3.404,0.5455,630.711,60.18,21.3444
2000,40,0,6652,2495.4432,4597.02,64.04,44.04,0,31.09,12.064,4.421,0.1948,163.473,1365.03,236.8868
2000,40,1,1294,1407.3646,2706.17,511.62,28.47,0,33.98,13.327,3.228,0.5218,460.556,393.55,134.4563
2000,40,2,224,264.3114,504.83,265.52,16.82,0,33.27,13.116,3.564,0.6621,587.998,60.27,25.7646
2000,50,0,5132,1079.0446,1609.74,13.57,41.77,0,24.99,8.038,5.644,0.1461,61.269,638.22,105.8738
2000,50,1,573,789.9833,1232.27,143.29,18.66,0,29.84,10.179,3.702,0.7086,360.496,168.51,77.0966
2000,50,2,11,16.7708,26.37,13.98,26.53,0,28.47,9.094,3.678,0.9209,429.064,2.74,1.5909
2000,60,0,3853,211.3654,257.46,0.74,34.55,0,18.77,3.947,6.704,0.0913,14.815,162.00,23.8928
2000,60,1,2,3.2910,4.28,0.33,35.46,0,21.43,4.747,5.302,0.9202,167.863,0.60,0.3148
2000,70,0,4656,66.7717,69.57,0.13,26.53,0,15.11,1.227,6.292,0.0639,2.573,47.79,9.0684
