step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom
1000,17831,16232,111489,847717,817475,719727,16501,71587,1298,0,182627,6162518,182676.832,64316.905,0.2275,61720.085,0.257,0.265,0.248,0.229,0.673,0.310,714,0.0101,0.7012,0.253,19.4,49.2,86.5,48.19,4.55,5.13,3.41,35.10,7.77,1.021,0.096,0.059,0.061,27.441,0.788,0.0024,169,563,2454,5928,108,0,0.000,9021,5256,3759,8816,1642,5382,10807,0.00,0.68,11883,33.6121,66724,8338,538988,1733.9,-0.0,459216,62.602,2631002.543,1.29e-14,0.00093,30.00,245856,145.814,1.796,141.249,2.769,145.815,12634,1958,3239,0.4658,0.827,1.011,1.226,1.015,0.900,1.116,37105.466,12707.482,183171.155,37808.729,23417.034,1810.944,487.191,298.685,0.730,0.590,0.543,0.892,0.750,0.748,6804,44570,0.5179,1.0000,1.0000,0.0405,1.0000,1.0000,0.5550,0.5637,0.5837,0.1010,0.1157,0.0568,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,179,0.9999,0.5006,0.5428,0.9987,0.0602,0.0592
2000,13820,5948,36153,81038,76118,44197,688,25794,751,0,104111,1866730,32687.265,11800.235,0.2538,10148.478,0.233,0.330,0.225,0.212,0.567,0.378,756,0.0167,0.6305,0.241,16.6,40.2,79.2,41.92,2.85,6.07,2.26,30.74,7.63,1.030,0.143,0.039,0.041,15.048,0.570,0.0028,242,1360,2001,5366,107,0,0.000,7083,1008,1787,11025,491,1121,12208,0.00,2.45,13299,12.9538,66825,6407,493399,1156.8,0.0,525517,33.938,2631002.543,1.24e-15,0.00042,25.34,28382,42.289,1.771,39.059,1.459,42.289,2796,4515,6509,0.4056,0.862,1.025,1.202,1.054,0.908,1.105,14967.286,12130.656,7743.774,14997.640,20094.329,330.148,902.639,418.970,0.583,0.557,0.562,0.644,0.509,0.575,7731,4395,0.6123,0.9999,0.9999,0.0975,1.0000,1.0000,0.4848,0.7860,0.7799,0.1741,0.0394,0.0223,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,9224,0.9999,0.5492,0.5894,0.9998,0.0660,0.0637
3000,14056,5760,35423,81517,74729,45530,564,27075,1400,0,217156,2466228,34063.833,10897.843,0.2589,7383.743,0.183,0.480,0.181,0.155,0.566,0.332,1272,0.0399,0.6553,0.217,15.8,40.0,74.0,41.02,1.88,8.48,1.65,29.01,7.75,1.044,0.207,0.039,0.042,14.010,0.477,0.0033,217,727,2409,15394,246,0,0.000,7428,64,2001,11991,825,2794,10437,0.00,6.63,15477,18.5432,66751,5928,457596,1339.2,-0.0,558204,24.586,2631002.543,7.26e-15,0.00013,14.43,26814,37.568,1.783,34.583,1.203,37.569,4670,4163,5223,0.4384,0.891,1.020,1.235,1.052,0.935,1.123,13492.565,11839.016,11263.137,13398.593,16785.846,758.838,1407.789,1347.473,0.612,0.566,0.547,0.668,0.492,0.549,5428,1809,0.4823,1.0000,1.0000,0.1627,1.0000,1.0000,0.6371,0.8009,0.7966,0.0739,0.0329,0.0256,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,4903,0.9995,0.6157,0.6906,0.9993,0.0531,0.0696
4000,13403,6059,39562,97634,88203,57458,614,26999,2242,23,293462,3244409,36190.417,15279.876,0.2989,9798.308,0.142,0.549,0.166,0.142,0.587,0.305,1841,0.0562,0.6768,0.200,14.7,36.4,67.5,37.22,1.65,8.96,1.39,25.22,7.65,1.067,0.244,0.042,0.046,14.116,0.504,0.0029,195,685,3552,21119,559,0,0.000,7398,41,2257,11105,616,1361,11426,0.50,9.98,11715,15.9642,66801,5908,426283,882.4,-0.0,595538,24.456,2631002.543,2.12e-15,0.00157,37.93,30325,39.421,1.785,36.688,0.948,39.422,3271,4451,5681,0.4139,0.900,1.033,1.277,1.074,0.947,1.158,12784.309,10061.378,19142.136,12632.573,14214.017,1477.591,1854.170,2149.807,0.678,0.588,0.521,0.696,0.465,0.534,4846,8381,0.5378,1.0000,1.0000,0.1143,1.0000,0.9999,0.6367,0.8711,0.8610,0.0924,0.0236,0.0247,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,2570,0.9998,0.6697,0.7859,0.9988,0.0532,0.0834
5000,12282,5444,37936,83576,72992,45215,425,28757,2975,30,334263,3440894,32051.467,14729.470,0.3305,7825.432,0.114,0.627,0.142,0.118,0.551,0.318,1830,0.0842,0.7018,0.169,13.4,34.1,67.8,35.51,1.71,9.78,1.35,22.69,7.66,1.083,0.273,0.038,0.041,13.565,0.474,0.0031,196,731,4129,24249,1014,27,0.470,7254,61,1975,10246,867,1981,9434,2.25,15.42,12203,16.2440,66793,5754,395896,982.3,-0.0,626265,23.721,2631002.543,1.12e-14,0.00145,12.68,27472,37.632,1.824,34.955,0.853,37.632,3666,3800,4816,0.4199,0.917,1.033,1.289,1.064,0.960,1.193,12674.868,9637.177,13994.577,12517.971,13364.351,1114.814,2623.155,3166.069,0.652,0.569,0.499,0.663,0.441,0.498,3909,5643,0.5157,0.9998,1.0000,0.1582,1.0000,0.9999,0.6525,0.9100,0.9506,0.0818,0.0276,0.0279,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,1652,0.9996,0.7579,0.8589,0.9979,0.0550,0.0803
6000,13182,5518,43982,107746,95329,63208,556,28555,3218,52,372926,3917625,36748.004,17853.110,0.3238,10306.581,0.104,0.669,0.129,0.097,0.559,0.311,2402,0.0865,0.7002,0.160,12.8,32.5,65.8,34.86,1.49,9.91,1.16,22.30,7.49,1.075,0.284,0.050,0.054,12.270,0.476,0.0029,181,688,3888,29026,944,32,0.407,7871,177,1692,11313,1073,1501,10608,2.50,16.10,7346,15.9724,66800,5187,363985,1454.5,-0.0,664022,23.738,2631002.543,8.14e-15,0.00042,23.20,36498,41.524,1.792,38.697,1.035,41.524,4345,4207,4630,0.4825,0.900,1.005,1.352,1.040,0.962,1.210,12611.854,8589.474,23018.325,12435.715,11600.544,1496.403,2692.753,3357.372,0.655,0.577,0.492,0.704,0.420,0.485,3911,10248,0.4488,0.9999,1.0000,0.1253,1.0000,0.9999,0.6525,0.9605,0.9527,0.0651,0.0244,0.0274,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,1009,0.9995,0.8069,0.8664,0.9981,0.0583,0.0842
7000,11785,4798,33600,63958,53434,30073,285,26893,2434,34,292558,3540706,26555.231,11112.068,0.3190,5278.470,0.089,0.714,0.108,0.089,0.539,0.328,1980,0.0937,0.7286,0.167,13.4,31.7,65.6,33.87,1.45,9.93,1.34,21.15,7.44,1.083,0.286,0.054,0.063,11.835,0.473,0.0032,199,761,3114,25840,893,33,0.419,7037,667,1266,9852,899,1712,9174,3.58,19.09,10834,15.4852,66871,4726,332384,728.9,-0.0,695260,21.172,2631002.543,1.24e-15,0.00046,24.47,21264,32.830,1.787,30.238,0.805,32.830,3869,3850,4066,0.4799,0.917,1.007,1.388,1.065,0.967,1.210,11253.172,7942.100,10643.166,11073.020,10117.515,1259.581,2300.119,2273.898,0.628,0.563,0.476,0.601,0.371,0.424,3646,4884,0.5008,1.0000,1.0000,0.1547,1.0000,1.0000,0.7156,0.9787,0.9342,0.0550,0.0356,0.0335,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,752,0.9995,0.8569,0.8693,0.9981,0.0622,0.0855
8000,11989,5153,39647,80398,68545,40421,330,26788,2623,28,329005,3981001,32236.602,13077.310,0.2959,6991.896,0.070,0.744,0.099,0.087,0.554,0.316,2715,0.0981,0.7181,0.167,12.3,30.4,68.4,34.13,1.31,10.36,1.05,21.41,7.36,1.075,0.304,0.045,0.050,11.751,0.457,0.0030,177,663,3134,26210,988,28,0.448,7183,777,1365,9847,757,1757,9475,4.03,19.64,6865,14.4439,66772,4641,306377,1073.9,-0.0,725824,21.501,2631002.543,2.58e-14,0.00163,7.77,26552,36.038,1.804,33.401,0.833,36.038,3992,3817,4180,0.4908,0.894,1.003,1.392,1.026,0.974,1.215,10697.011,7756.262,18896.591,10549.657,9782.250,1861.177,2053.216,2171.022,0.639,0.560,0.493,0.620,0.356,0.407,3293,9327,0.4493,1.0000,0.9997,0.1102,1.0000,1.0000,0.6474,1.0142,0.9709,0.0555,0.0186,0.0274,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,677,0.9997,0.8756,0.8613,0.9986,0.0564,0.0798
9000,10745,4406,35769,64061,53131,27981,311,27650,3067,38,304706,3653707,25875.396,11044.542,0.3072,5194.848,0.066,0.749,0.104,0.081,0.521,0.338,2385,0.1147,0.7540,0.197,11.1,27.0,57.0,30.07,1.05,9.37,1.15,18.50,7.07,1.069,0.308,0.038,0.045,10.967,0.495,0.0032,183,709,2975,27440,1005,27,0.419,6354,75,1209,9461,665,1461,8619,4.59,21.40,6115,10.9454,66766,4378,284677,710.0,0.0,751272,20.474,2631002.543,5.84e-15,0.00129,30.68,21250,31.360,1.790,28.913,0.656,31.360,3069,3824,3852,0.5294,0.897,1.000,1.410,0.999,0.977,1.217,10416.789,7071.065,11729.388,10257.098,9083.757,1412.841,2171.595,2265.258,0.583,0.561,0.455,0.577,0.333,0.373,3106,5806,0.5036,1.0000,0.9999,0.1291,1.0000,1.0000,0.6733,1.0753,1.0058,0.0548,0.0191,0.0240,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,452,0.9988,0.8936,0.8898,0.9983,0.0509,0.0708
10000,9839,3722,33963,56089,45533,21792,334,27016,3135,30,291108,3426183,23126.407,9508.296,0.3087,3891.538,0.056,0.753,0.104,0.088,0.518,0.337,2341,0.1213,0.7690,0.171,9.7,26.0,54.8,28.00,0.95,9.23,0.96,16.87,7.02,1.091,0.314,0.039,0.046,9.840,0.461,0.0033,181,675,2483,23990,935,22,0.414,5716,57,1041,8741,726,1216,7897,6.04,23.92,7390,10.8808,66771,3924,265397,586.5,0.0,771489,18.849,2631002.543,1.77e-14,0.00245,11.37,18752,27.353,1.806,24.993,0.554,27.385,2660,3614,3565,0.5091,0.923,1.000,1.438,1.046,0.979,1.238,10347.523,6440.755,8511.512,10209.730,8296.703,1347.382,2032.639,2236.737,0.553,0.551,0.467,0.492,0.324,0.373,2918,4188,0.5510,1.0000,1.0000,0.1426,1.0000,1.0000,0.7263,1.0731,0.9996,0.0554,0.0195,0.0233,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,500,0.9997,0.8995,0.8846,0.9978,0.0510,0.0717
