step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,5753,36.63,1.36,10.42,1.09,20.30,0.14,0.034,504,25.94,11.84,3137
5000,9,1932,43.82,1.40,12.42,2.46,25.93,0.11,0.036,360,23.55,8.15,1284
5000,374,333,38.67,0.01,18.47,0.49,21.42,0.01,0.003,214,17.97,7.12,229
5000,352,212,42.72,1.41,14.38,1.09,25.06,0.25,0.071,418,25.84,8.35,123
5000,382,198,48.63,2.11,7.49,0.06,33.51,0.33,0.116,1301,54.27,26.66,139
5000,153,181,67.46,9.86,0.08,6.57,42.82,0.02,0.011,317,27.22,6.13,75
5000,85,74,31.42,0.62,0.15,0.72,28.11,0.04,0.014,751,29.40,11.79,33
5000,265,45,32.63,0.00,2.07,0.00,20.67,0.00,0.000,1060,39.10,33.60,20
5000,373,43,33.84,0.00,6.30,0.00,22.37,0.00,0.000,130,11.99,3.86,18
5000,38,34,31.17,3.09,0.00,0.35,23.26,0.00,0.000,258,22.26,4.23,14
5000,292,34,20.75,0.00,3.56,13.18,11.29,0.00,0.000,528,34.59,2.46,25
5000,677,32,42.86,0.03,0.62,2.72,37.09,0.06,0.031,723,33.54,26.65,17
5000,77,20,27.51,0.85,0.00,0.05,20.90,0.00,0.000,602,20.37,17.29,14
5000,282,18,44.61,0.00,12.06,0.00,32.06,0.00,0.000,730,25.55,15.33,13
5000,365,14,34.79,0.36,0.00,0.43,33.64,0.00,0.000,645,30.41,19.34,5
5000,199,14,12.25,0.00,3.29,0.57,8.64,0.00,0.000,389,19.17,3.96,9
5000,417,14,55.11,0.43,12.79,2.43,34.07,0.00,0.000,960,52.99,33.37,13
5000,266,13,58.02,3.92,0.00,0.00,46.92,0.00,0.000,2232,85.26,44.09,12
5000,47,10,30.34,0.00,0.00,0.00,28.90,0.00,0.000,1957,81.36,48.32,5
5000,91,10,62.01,0.00,4.50,0.90,43.10,0.00,0.000,3504,136.47,72.34,10
5000,443,9,31.53,3.56,4.67,0.33,14.67,0.67,0.222,1584,52.79,44.22,8
5000,597,8,60.24,6.62,0.00,0.00,33.88,0.00,0.000,2043,112.04,62.77,7
5000,315,7,67.52,2.43,7.43,16.71,39.71,0.00,0.000,1146,75.31,3.16,6
5000,78,6,24.05,0.00,0.00,0.00,21.50,0.00,0.000,2900,106.64,92.65,6
5000,2,6,42.04,0.00,11.83,3.17,23.50,0.00,0.000,651,42.93,9.79,6
5000,563,5,110.96,3.40,0.00,7.00,78.80,0.00,0.000,4332,264.44,95.94,5
5000,19,5,41.10,8.00,0.20,0.20,23.80,0.00,0.000,1235,52.03,13.41,4
6000,1,5324,36.87,1.55,10.90,1.16,19.83,0.26,0.069,481,24.64,10.97,3004
6000,9,2241,41.99,1.47,12.46,2.22,25.15,0.15,0.048,397,25.05,9.79,1637
6000,775,858,24.01,0.17,6.98,0.10,9.84,0.10,0.030,328,10.77,9.07,478
6000,352,452,46.05,1.46,9.93,1.00,33.89,0.22,0.069,450,36.16,15.84,267
6000,153,341,43.42,0.11,0.23,0.28,50.55,0.00,0.000,178,27.68,12.25,53
6000,767,118,30.18,0.43,13.28,0.00,16.11,0.08,0.034,403,20.64,9.78,98
6000,2,82,52.42,0.22,11.51,2.79,29.59,0.10,0.024,269,22.52,6.12,43
6000,315,76,60.34,0.92,5.70,0.38,46.58,0.13,0.026,579,52.22,14.62,36
6000,382,51,30.82,1.37,6.71,0.14,20.71,0.00,0.000,1373,60.90,22.79,44
6000,282,40,47.63,0.00,18.90,0.17,27.65,0.00,0.000,686,38.55,9.86,31
6000,827,31,55.33,0.71,19.87,3.39,19.29,0.26,0.097,1218,75.40,13.90,18
6000,265,25,42.73,0.00,3.00,0.00,27.00,0.00,0.000,1575,45.17,51.09,16
6000,47,16,30.48,0.00,2.25,0.00,26.31,0.00,0.000,1002,39.41,29.59,11
6000,77,16,28.23,1.38,0.50,0.00,21.62,0.00,0.000,1128,28.19,36.60,12
6000,91,15,41.37,0.00,2.73,0.00,29.60,0.00,0.000,2605,92.03,60.48,15
6000,85,13,22.29,0.62,0.00,0.00,19.46,0.00,0.000,1331,48.84,28.20,13
6000,781,9,110.57,0.00,0.00,0.00,76.22,0.00,0.000,1841,101.88,40.81,6
6000,266,9,50.82,5.44,0.00,0.00,37.56,0.00,0.000,2793,96.75,48.91,9
6000,771,8,30.18,1.25,0.00,7.00,16.50,0.00,0.000,3261,70.86,62.33,8
6000,818,8,14.80,2.88,0.00,0.00,8.75,0.00,0.000,1822,58.09,27.49,8
6000,19,8,45.06,5.62,5.50,0.50,26.12,0.25,0.125,803,36.77,13.81,7
6000,374,7,16.34,0.00,10.14,0.00,8.43,0.00,0.000,929,57.88,2.90,7
6000,417,6,54.93,0.00,19.67,0.00,26.17,0.00,0.000,1063,60.22,42.00,5
6000,563,5,106.38,3.40,0.00,6.80,75.00,0.00,0.000,5332,276.29,107.25,5
6000,443,5,28.08,0.80,6.60,0.40,15.40,0.00,0.000,1757,59.40,52.22,5
6000,677,5,40.85,0.00,0.00,1.80,34.20,0.00,0.000,1761,86.59,79.95,5
7000,1,4901,34.53,1.05,9.48,1.10,20.12,0.20,0.058,440,21.84,9.08,2671
7000,9,2313,44.78,2.53,12.01,2.70,26.32,0.27,0.085,378,25.53,7.84,1612
7000,847,1542,25.24,0.00,11.40,0.36,13.22,0.00,0.000,381,19.75,5.65,811
7000,775,750,25.17,0.31,6.22,0.73,10.65,0.13,0.043,402,14.66,7.87,453
7000,846,192,20.17,0.32,6.82,1.14,12.03,0.06,0.021,340,17.58,3.99,123
7000,352,105,31.38,0.05,16.86,0.60,14.21,0.08,0.019,515,24.19,13.50,61
7000,373,89,24.51,0.21,2.26,0.82,22.01,0.03,0.011,152,11.84,2.61,41
7000,862,77,41.86,0.00,23.71,3.91,6.17,0.00,0.000,323,9.26,21.23,58
7000,767,49,26.46,0.00,11.41,0.00,12.78,0.00,0.000,525,25.20,7.89,40
7000,781,34,98.68,0.00,0.00,0.00,73.74,0.00,0.000,840,46.30,29.05,7
7000,827,21,58.12,0.71,20.19,2.71,21.67,0.24,0.095,1675,97.59,11.25,12
7000,266,20,59.54,12.75,0.00,0.05,36.40,0.00,0.000,657,35.07,16.06,7
7000,844,15,76.65,0.40,0.00,0.00,64.53,0.00,0.000,2090,105.71,49.10,11
7000,315,13,62.21,0.62,15.00,0.08,39.38,0.31,0.077,897,49.62,8.28,11
7000,243,12,31.32,0.33,0.00,1.67,24.42,0.00,0.000,910,41.57,11.63,11
7000,265,10,65.52,0.00,8.60,0.00,36.70,0.00,0.000,1599,66.89,50.17,6
7000,563,7,102.70,2.29,0.00,7.00,75.29,0.00,0.000,4696,228.10,113.19,7
7000,47,7,26.18,0.00,0.00,0.00,25.29,0.00,0.000,1747,75.31,31.71,7
7000,91,6,54.48,0.00,5.17,0.00,38.17,0.00,0.000,2462,64.80,54.50,6
7000,771,6,35.08,1.17,0.00,0.50,23.33,0.00,0.000,951,15.99,21.85,6
7000,282,5,34.34,0.00,7.60,0.00,24.20,0.00,0.000,2135,67.73,30.54,5
8000,1,5345,36.52,1.26,10.91,0.92,21.50,0.18,0.047,430,23.11,10.10,3027
8000,847,1998,25.60,0.02,11.07,0.39,13.90,0.00,0.000,416,21.69,6.02,1106
8000,9,1592,41.86,2.30,10.81,2.13,25.13,0.16,0.052,416,26.80,7.55,1166
8000,846,431,20.96,0.10,6.99,0.40,13.02,0.04,0.009,282,14.84,4.15,234
8000,775,428,27.00,0.50,6.39,0.07,12.31,0.18,0.058,504,18.00,8.93,213
8000,352,89,36.39,0.16,18.10,0.37,17.69,0.04,0.022,509,24.64,11.07,53
8000,373,84,50.80,1.05,3.01,3.00,45.27,0.29,0.071,325,23.31,7.51,56
8000,781,24,87.60,0.00,0.00,0.00,62.92,0.00,0.000,1406,81.04,51.03,14
8000,862,23,61.08,1.87,26.61,4.78,8.39,1.09,0.348,705,17.15,28.90,15
8000,827,19,55.12,0.53,20.63,2.32,19.42,0.11,0.053,1920,101.01,16.74,14
8000,243,14,28.17,0.14,0.00,0.79,24.36,0.00,0.000,1056,48.96,8.75,12
8000,914,14,31.44,2.21,9.21,0.14,18.57,0.00,0.000,729,39.05,11.37,13
8000,905,13,61.46,0.92,18.15,0.00,41.62,1.15,0.231,438,33.40,8.67,10
8000,375,11,24.74,0.91,0.00,0.00,18.09,0.00,0.000,1253,69.45,34.79,10
8000,563,10,92.86,4.00,0.00,0.50,63.80,0.00,0.000,3232,144.00,84.48,7
8000,265,9,60.11,0.00,8.11,0.00,33.11,0.00,0.000,2649,91.82,84.15,6
