step,id,lineage,age,turns,mass,size,side,density,born_size,born_mass,born_hard,born_muscle,born_sensor,born_digestive,born_bite,hard,muscle,sensor,digestive,bite,bite_any,shell,speed,energy,fat,plant,meat,killed,scavenged,travel,path,worn,pace,place,born_place,temp,moist,height,medium,algae,detritus,water,drank,open_soft,breath,inhaled,cells
10000,1096732,884,6008,3212,9.26,10,8,1.029,64,70.46,10,0,11,43,0,0,0,2,8,0,0,1.00,0.000,2.221,44.142,301.815,120.881,0.100,120.781,0.00,0.00,41,1.000,11,3,28.4,0.000,-1,2,0.000,299.744,1.000,3212,32,1.000,0,0000000000030000000030000000404400040404000400400000000000000000
10000,1100736,154,5955,2672,62.57,49,8,1.060,64,82.71,14,0,0,50,0,10,0,0,39,0,0,1.06,0.000,0.000,104.138,192.387,174.392,0.000,174.392,0.00,0.00,15,0.506,11,11,34.4,0.000,-80,2,0.000,192.387,1.000,2672,52,1.000,0,4044444444400404444414444041014400101014444011144444144404404400
10000,1103236,539,5920,3190,16.46,11,7,1.175,49,78.75,18,9,0,22,3,3,5,0,3,2,2,1.91,0.304,0.000,22.295,207.003,44.441,12.283,32.159,0.35,3.00,15,0.986,11,11,37.9,0.000,-131,2,0.000,207.003,1.000,3190,23,1.000,0,0000001000011000022000022040000020400000040000000
10000,1105461,154,5889,2675,49.84,39,8,1.060,64,82.71,14,0,0,50,0,8,0,0,31,0,0,1.22,0.000,1.740,72.083,139.749,125.686,1.271,124.415,0.00,0.00,25,0.567,11,11,34.4,0.000,-106,2,0.000,139.749,1.000,2675,70,1.000,0,4440044044040040040404044001104444111104004100100404044404404444
10000,1107761,1,5859,2866,48.55,44,8,1.103,64,70.62,0,0,0,64,0,0,0,0,44,0,0,1.00,0.000,2.409,117.700,193.176,163.145,5.529,157.617,0.00,0.00,20,0.574,7,8,10.9,0.893,4,0,0.000,189.702,1.000,2866,70,1.000,0,0040444044404400440440044404440400444444400404404440444444440444
10000,1108628,931,5848,3363,9.72,8,7,1.215,49,59.53,0,3,0,46,0,0,0,0,8,0,0,1.00,0.000,1.399,19.131,137.661,112.876,1.328,111.548,0.00,0.50,30,1.000,11,11,28.5,0.000,-39,2,0.000,137.661,1.000,3363,28,1.000,0,0000004000004000440400000404000004000000000000000
10000,1112047,1006,5807,3458,3.38,3,7,1.128,49,54.69,0,0,1,48,0,0,0,0,3,0,0,1.00,0.000,1.712,16.916,213.434,295.180,0.000,295.180,0.00,0.00,37,1.000,11,11,21.2,0.000,-13,2,0.000,213.434,1.000,3458,10,1.000,0,0000000000000000000000000000000400004400000000000
10000,1112486,960,5802,2698,48.70,44,9,1.107,81,89.65,0,0,0,81,0,0,0,0,44,0,0,1.00,0.000,0.000,2.192,169.589,103.344,17.356,85.988,0.00,0.00,21,0.573,11,11,38.1,0.000,-33,2,0.000,169.589,1.000,2698,78,1.000,0,000000000444400444404400404044404400404004444444440040400444444444400400440400000
10000,1113754,1,5789,3631,2.18,2,7,1.089,47,51.16,0,26,0,21,0,0,0,0,2,0,0,1.00,0.000,0.000,7.053,364.995,105.443,27.910,77.533,1.25,1.25,32,1.000,11,7,23.9,0.000,-10,2,0.000,364.979,1.000,3631,6,1.000,0,0000000000000000000440000000000000000000000000000
10000,1118574,1,5742,2685,52.47,46,9,1.141,73,83.26,0,33,0,40,0,0,17,0,29,0,0,1.00,0.324,4.037,166.350,292.400,168.728,29.143,139.586,3.34,9.50,20,0.552,11,11,22.1,0.000,-22,2,0.000,292.400,1.000,2685,76,1.000,0,040440404440440444444444444024004044020000440222000004222200004222022022000000002
