step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
10000,2164,1.473,0.020,7.04,334826,328538,115,30,5507,54824,1742424.9,3749.3,0.911,0.026,0.022,0.022,0.019,786,17.07,14.50,0.65,3.23,0.58,3.23,0.64,2.76,15.19,12.39,0.03,0.39,0.015,0.084,692,0.043,0.470,0.006,0.000,0.524,331775,324918,2,0.465,0.196,0.166,3430810,0.040,0.239,0.001,162.53,109459,110,0.068,0.700,0.000,1766218,1.20,13.83,0.030,0.057,0.009,5,13,37,64,399,30,0.97,0.0053
20000,2108,1.531,0.029,6.69,455228,443673,305,91,11215,14154,1626302.4,1245.4,0.978,0.005,0.004,0.007,0.006,502,18.15,12.56,0.90,3.19,0.52,2.87,1.68,4.68,15.05,10.62,0.01,0.24,0.019,0.101,665,0.030,0.460,0.009,0.000,0.530,454740,453188,2,0.544,0.000,0.283,6183198,0.010,0.286,0.001,163.08,149014,44,0.088,0.901,0.000,1664101,1.30,12.83,0.015,0.019,0.005,6,14,37,64,424,29,0.42,0.0051
30000,2141,1.504,0.061,6.68,445674,435232,238,27,10144,12319,1612125.4,951.9,0.985,0.003,0.003,0.004,0.005,575,17.30,12.76,1.17,4.23,0.73,3.29,1.20,3.83,14.21,9.94,0.08,0.53,0.039,0.151,680,0.081,0.479,0.008,0.001,0.511,445135,444298,2,0.479,0.278,0.162,5248468,0.013,0.457,0.004,162.77,136864,35,0.077,0.926,0.001,1016754,1.36,14.06,0.014,0.036,0.028,6,14,34,64,423,25,0.73,0.0053
40000,2258,1.415,0.041,7.21,461142,449744,128,15,11138,12292,1619303.8,885.5,0.984,0.004,0.003,0.005,0.005,526,16.38,10.77,0.65,3.17,0.29,1.94,1.09,4.31,14.35,8.77,0.02,0.32,0.012,0.071,672,0.073,0.453,0.006,0.000,0.541,460590,459820,3,0.464,0.000,0.159,4145325,0.015,0.354,0.002,162.99,145474,59,0.072,0.800,0.000,1096475,1.21,14.29,0.004,0.027,0.008,6,15,30,64,435,25,0.51,0.0050
50000,2223,1.462,0.041,7.28,477060,463826,250,67,12952,12991,1622325.8,1009.2,0.980,0.006,0.004,0.006,0.005,464,16.20,12.42,0.96,4.34,0.30,2.21,0.78,3.77,14.15,10.84,0.02,0.28,0.020,0.113,657,0.083,0.473,0.006,0.000,0.521,476561,475513,3,0.467,0.000,0.091,2335492,0.018,0.390,0.003,163.12,158954,99,0.078,0.687,0.000,1045689,1.33,14.98,0.005,0.040,0.007,4,12,34,64,441,28,0.39,0.0052
60000,2349,1.413,0.055,8.83,458030,444170,161,27,13546,9553,1618431.9,736.9,0.978,0.006,0.004,0.006,0.005,502,14.73,10.48,0.23,1.79,0.81,3.28,1.13,4.30,12.56,8.49,0.03,0.38,0.048,0.161,713,0.072,0.499,0.000,0.000,0.500,457424,456190,3,0.310,0.174,0.156,3204041,0.020,0.433,0.003,163.08,149627,319,0.077,0.593,0.000,1102729,1.06,15.36,0.003,0.024,0.009,5,12,29,64,422,26,0.42,0.0055
70000,2102,1.523,0.057,8.40,472140,456622,373,33,15359,12968,1621872.2,914.5,0.987,0.003,0.003,0.005,0.003,415,18.50,12.74,0.91,3.13,0.64,2.85,2.00,5.06,14.96,10.27,0.06,0.50,0.029,0.116,825,0.022,0.457,0.026,0.004,0.513,471585,470189,3,0.305,0.215,0.288,4347930,0.015,0.411,0.003,163.08,165031,277,0.071,0.576,0.004,972290,1.27,12.88,0.005,0.076,0.018,6,14,38,64,418,27,0.43,0.0052
80000,2270,1.449,0.062,7.34,463208,449402,238,196,13204,33836,1637621.1,3219.5,0.979,0.005,0.005,0.006,0.004,465,15.34,10.96,0.37,1.79,0.70,3.29,0.77,3.17,13.50,9.90,0.05,0.46,0.028,0.118,682,0.110,0.495,0.014,0.000,0.491,462633,461192,3,0.293,0.267,0.117,3435590,0.022,0.459,0.004,163.20,154923,262,0.095,0.526,0.000,1445114,1.12,13.63,0.003,0.070,0.018,6,13,31,64,450,26,0.30,0.0053
90000,2358,1.411,0.066,6.10,470374,457744,280,57,12205,15834,1637009.2,1365.9,0.978,0.006,0.007,0.005,0.005,534,15.06,10.88,0.28,1.94,0.93,4.56,1.34,4.60,12.51,7.59,0.02,0.26,0.033,0.134,615,0.122,0.469,0.006,0.000,0.526,469856,468590,3,0.542,0.212,0.166,3382610,0.024,0.468,0.004,163.16,140773,462,0.086,0.439,0.000,1612235,1.08,14.47,0.014,0.023,0.007,6,12,27,64,411,30,0.34,0.0056
100000,2574,1.305,0.087,5.94,504502,490929,262,35,13060,9150,1626952.4,695.6,0.983,0.004,0.005,0.004,0.005,543,12.83,10.10,0.27,1.85,1.11,5.16,0.80,3.96,10.65,7.30,0.03,0.32,0.040,0.155,546,0.088,0.493,0.003,0.001,0.503,504118,503530,2,0.766,0.010,0.078,2988288,0.019,0.537,0.005,163.24,143036,373,0.076,0.657,0.001,1319462,1.08,15.91,0.006,0.019,0.010,4,10,25,64,454,29,0.27,0.0059
110000,2566,1.309,0.033,6.58,521021,507799,291,9,12930,9398,1645811.6,534.3,0.980,0.005,0.006,0.004,0.005,525,12.23,8.35,0.23,1.58,0.71,3.80,0.46,2.74,10.82,6.28,0.01,0.21,0.025,0.116,501,0.113,0.474,0.007,0.001,0.518,520553,519719,2,0.538,0.201,0.066,2005435,0.028,0.277,0.001,163.27,146724,45,0.057,0.889,0.001,1897063,1.09,16.07,0.004,0.005,0.004,5,12,21,64,451,29,0.24,0.0059
120000,2571,1.328,0.040,6.16,530149,516195,377,41,13531,6929,1633614.8,489.2,0.976,0.007,0.008,0.004,0.004,500,12.22,7.76,0.13,1.25,0.37,2.45,0.48,2.46,11.23,6.89,0.01,0.18,0.019,0.096,526,0.081,0.474,0.007,0.000,0.520,529779,528451,1,0.797,0.203,0.079,2098323,0.026,0.335,0.002,163.40,152590,192,0.071,0.585,0.000,3696452,1.05,15.92,0.003,0.017,0.004,5,12,20,64,452,27,0.11,0.0057
130000,2413,1.394,0.036,6.33,509240,496642,323,219,12214,21206,1638970.2,2028.6,0.979,0.005,0.006,0.005,0.005,532,14.09,9.67,0.20,1.48,0.52,3.09,0.97,3.65,12.39,7.96,0.02,0.35,0.020,0.102,678,0.073,0.484,0.009,0.001,0.506,508958,508010,1,0.737,0.263,0.138,2124811,0.028,0.279,0.001,163.44,152927,184,0.096,0.443,0.002,2435667,1.06,13.95,0.001,0.080,0.006,5,12,28,64,443,27,0.07,0.0055
140000,2231,1.452,0.034,6.34,499311,487559,297,10,11627,7573,1650828.0,443.6,0.981,0.004,0.004,0.006,0.006,489,16.28,11.04,0.20,1.37,1.12,5.28,1.13,4.34,13.84,8.01,0.02,0.31,0.037,0.150,620,0.126,0.452,0.002,0.000,0.545,498917,497512,2,0.751,0.121,0.154,3286181,0.018,0.282,0.001,163.42,154117,274,0.059,0.500,0.000,1401831,1.06,12.49,0.010,0.008,0.005,6,14,30,64,424,26,0.09,0.0053
150000,2214,1.454,0.047,6.88,485006,474525,243,2,10253,9789,1633772.1,551.3,0.977,0.005,0.004,0.007,0.006,497,16.28,9.48,0.26,1.69,0.69,3.47,0.57,2.87,14.75,8.79,0.02,0.32,0.035,0.143,581,0.137,0.449,0.008,0.000,0.542,484528,483098,2,0.733,0.004,0.076,2560744,0.020,0.352,0.002,163.36,147108,22,0.056,1.000,0.000,1275253,1.08,12.11,0.002,0.035,0.007,8,13,26,64,437,27,0.15,0.0050
160000,2441,1.371,0.030,5.65,494225,484422,262,14,9300,19021,1650592.5,1468.7,0.975,0.006,0.005,0.008,0.007,544,13.50,9.11,0.31,2.18,0.41,2.79,0.39,2.26,12.39,7.75,0.02,0.31,0.022,0.123,559,0.107,0.468,0.005,0.002,0.525,493752,492466,2,0.986,0.000,0.065,1968282,0.028,0.284,0.001,163.40,147030,257,0.077,0.500,0.002,1754851,1.08,14.59,0.002,0.047,0.005,5,10,24,64,465,30,0.11,0.0055
