step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
10000,2638,1.407,0.017,7.40,378534,359909,709,38,16784,40524,1725767.4,2957.5,0.787,0.053,0.053,0.061,0.046,621,11.25,8.12,0.41,2.76,0.60,3.22,0.18,1.70,10.07,6.35,0.01,0.18,0.035,0.149,606,0.049,0.632,0.005,0.000,0.362,369439,347384,7,0.647,0.099,0.037,1499762,0.095,0.099,0.000,162.57,127039,239,0.073,0.605,0.000,3104918,1.13,16.98,0.001,0.027,0.004,4,9,19,64,1061,12,0.70,0.0065
20000,2860,1.339,0.019,7.64,452289,422459,1683,68,27857,6886,1606146.4,667.9,0.861,0.039,0.038,0.033,0.028,511,9.63,7.44,0.29,2.66,0.52,2.86,0.20,1.53,8.62,5.60,0.01,0.24,0.029,0.122,586,0.058,0.638,0.003,0.000,0.358,446941,433667,7,0.653,0.049,0.031,931362,0.068,0.129,0.000,163.26,142547,365,0.097,0.456,0.000,2129693,1.10,18.15,0.001,0.023,0.003,4,8,15,64,1105,11,0.01,0.0065
30000,2880,1.346,0.019,8.98,454642,424636,1595,36,28355,5313,1592393.0,449.1,0.854,0.040,0.039,0.036,0.030,428,9.00,6.44,0.30,2.21,0.35,2.11,0.09,0.89,8.26,5.24,0.01,0.20,0.027,0.116,606,0.065,0.636,0.006,0.000,0.358,449977,437974,9,0.241,0.448,0.016,749115,0.062,0.119,0.000,163.27,153128,318,0.085,0.500,0.000,2642410,1.09,18.31,0.000,0.027,0.002,3,7,16,64,1071,12,0.00,0.0067
40000,3006,1.305,0.014,9.11,461906,436075,1786,26,23893,5463,1600393.6,494.9,0.861,0.033,0.033,0.039,0.035,378,8.65,6.47,0.38,2.25,0.43,3.19,0.07,0.85,7.78,4.79,0.01,0.24,0.022,0.121,641,0.047,0.641,0.008,0.000,0.351,456984,444781,7,0.229,0.159,0.014,510483,0.089,0.077,0.000,163.27,164153,450,0.091,0.462,0.001,2579182,1.15,18.63,0.002,0.051,0.004,4,8,13,64,1120,11,0.01,0.0068
50000,3053,1.308,0.017,7.90,460521,435994,1692,67,22721,9042,1604563.2,707.0,0.867,0.031,0.029,0.038,0.035,376,7.99,6.27,0.29,2.44,0.40,2.83,0.05,0.60,7.25,4.81,0.01,0.19,0.020,0.114,463,0.112,0.650,0.003,0.000,0.348,456121,444087,10,0.638,0.088,0.009,395713,0.117,0.093,0.000,163.27,164646,508,0.078,0.463,0.000,2544311,1.11,19.20,0.000,0.043,0.002,3,6,14,64,1076,12,0.00,0.0073
60000,3064,1.326,0.018,7.78,466936,440826,1629,115,24355,9449,1593688.6,836.0,0.882,0.025,0.023,0.039,0.032,497,8.12,6.37,0.21,1.93,0.25,2.29,0.13,1.39,7.53,5.16,0.01,0.17,0.014,0.099,434,0.078,0.650,0.003,0.000,0.347,461518,451237,9,0.500,0.165,0.015,426170,0.072,0.123,0.000,163.27,145898,220,0.088,0.548,0.000,2246980,1.08,19.11,0.001,0.032,0.003,3,7,13,64,1120,11,0.01,0.0069
70000,2937,1.336,0.019,6.85,458964,433419,1885,566,23221,35431,1602674.5,4070.3,0.880,0.026,0.024,0.039,0.031,546,9.13,7.55,0.43,2.95,0.31,2.29,0.10,0.96,8.29,6.25,0.01,0.16,0.015,0.088,476,0.080,0.626,0.009,0.000,0.365,453499,443517,6,0.878,0.040,0.015,478292,0.065,0.116,0.000,163.27,143979,308,0.115,0.463,0.000,2117312,1.18,18.38,0.003,0.025,0.003,3,8,16,64,1047,12,0.01,0.0066
80000,2868,1.343,0.018,7.01,469348,443411,1688,46,24272,5467,1605568.1,303.8,0.874,0.027,0.026,0.040,0.033,563,9.27,6.61,0.34,2.16,0.29,2.49,0.09,0.97,8.55,5.47,0.01,0.16,0.014,0.092,431,0.086,0.621,0.003,0.000,0.376,463848,453549,6,0.875,0.007,0.015,419566,0.109,0.150,0.000,163.27,141993,672,0.056,0.478,0.000,1974209,1.13,17.95,0.001,0.015,0.004,4,8,15,64,1086,13,0.01,0.0065
90000,3054,1.285,0.020,7.23,473383,446364,1884,36,24913,4904,1612763.6,332.4,0.888,0.026,0.024,0.033,0.029,545,8.18,6.25,0.37,2.27,0.28,1.78,0.07,0.75,7.47,5.24,0.01,0.16,0.017,0.092,452,0.134,0.637,0.005,0.000,0.358,468722,458887,6,0.563,0.328,0.016,467093,0.076,0.138,0.000,163.26,144141,423,0.068,0.528,0.000,1896438,1.16,18.80,0.001,0.038,0.003,4,6,13,64,1085,13,0.01,0.0071
100000,2934,1.363,0.016,7.54,464843,439955,1766,98,23144,7842,1611078.8,745.2,0.885,0.025,0.027,0.033,0.030,510,8.81,7.93,0.61,2.85,0.40,2.87,0.24,1.63,7.56,6.16,0.01,0.23,0.020,0.110,559,0.088,0.677,0.008,0.000,0.314,459932,449895,10,0.431,0.039,0.032,676665,0.093,0.093,0.000,163.26,143841,332,0.095,0.408,0.000,1980267,1.24,18.54,0.001,0.017,0.005,2,6,16,64,1077,11,0.01,0.0073
