step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
10000,2004,1.559,0.063,9.25,350346,337751,87,41,11992,90067,1757169.9,6563.5,0.917,0.026,0.025,0.016,0.016,530,18.95,12.13,0.74,3.13,0.44,2.45,0.45,2.68,17.32,11.47,0.02,0.25,0.022,0.118,885,0.034,0.434,0.004,0.000,0.561,347547,339402,3,0.331,0.190,0.064,2310609,0.059,0.450,0.004,162.13,138609,47,0.073,0.732,0.000,2658782,1.21,9.76,0.007,0.034,0.007,6,16,34,64,425,21,1.37,0.0051
20000,2185,1.483,0.080,9.18,466135,450882,223,32,14817,10357,1622197.8,919.0,0.981,0.007,0.005,0.002,0.004,345,16.19,11.25,0.36,2.23,0.35,2.54,0.90,4.13,14.59,9.85,0.02,0.26,0.012,0.085,784,0.048,0.454,0.006,0.001,0.539,465670,463129,5,0.242,0.163,0.095,2213921,0.021,0.519,0.005,163.18,188646,274,0.089,0.469,0.002,1246563,1.12,12.06,0.011,0.020,0.006,5,14,30,64,412,28,0.33,0.0051
30000,2142,1.457,0.094,7.50,470960,454739,244,3,16017,2870,1637806.8,190.1,0.979,0.006,0.008,0.003,0.004,379,17.48,10.24,0.10,0.99,0.52,2.46,0.27,1.83,16.59,9.99,0.00,0.05,0.027,0.121,663,0.051,0.438,0.001,0.000,0.561,470463,468160,4,0.478,0.239,0.049,1307961,0.020,0.596,0.007,163.24,183250,368,0.066,0.667,0.000,941611,1.03,11.85,0.007,0.006,0.001,6,17,28,64,406,26,0.26,0.0046
40000,2308,1.422,0.114,6.87,478634,464717,190,4,13557,4151,1636125.4,353.2,0.973,0.008,0.011,0.004,0.005,485,16.04,9.77,0.07,0.90,0.50,2.55,0.05,0.74,15.42,9.47,0.00,0.02,0.029,0.135,548,0.055,0.435,0.000,0.000,0.565,478100,476712,1,1.000,0.000,0.009,688058,0.022,0.664,0.009,163.26,166864,349,0.085,0.500,0.000,931843,1.02,13.36,0.003,0.008,0.000,6,14,28,64,446,24,0.24,0.0046
50000,2183,1.425,0.046,6.17,477164,463726,199,17,13347,9732,1643650.8,830.2,0.969,0.008,0.011,0.006,0.006,559,16.49,11.38,0.28,1.71,0.77,4.00,0.22,2.09,15.22,10.44,0.03,0.32,0.035,0.138,636,0.050,0.449,0.004,0.001,0.546,476440,475043,1,1.000,0.000,0.025,358448,0.029,0.376,0.003,163.36,154469,202,0.085,0.706,0.001,1102927,1.08,13.46,0.007,0.032,0.016,6,13,33,64,416,28,0.15,0.0049
60000,2299,1.402,0.039,6.93,472514,457531,280,27,14560,12178,1631641.8,1108.8,0.975,0.005,0.007,0.006,0.007,554,15.29,10.14,0.41,2.43,0.94,4.03,0.21,1.42,13.73,9.06,0.03,0.35,0.047,0.171,722,0.054,0.458,0.006,0.000,0.536,471924,470475,1,0.993,0.007,0.044,599671,0.025,0.321,0.001,163.26,155935,221,0.091,0.667,0.001,985357,1.14,14.13,0.007,0.029,0.009,6,13,28,64,439,23,0.25,0.0052
70000,2223,1.437,0.036,7.27,486869,472340,251,7,14347,4278,1641124.8,362.5,0.980,0.008,0.007,0.003,0.003,483,17.15,11.26,0.09,1.16,0.99,3.87,0.68,3.64,15.39,9.82,0.02,0.28,0.048,0.166,639,0.060,0.467,0.001,0.000,0.532,486192,484939,1,0.997,0.003,0.066,879458,0.024,0.307,0.002,163.32,161868,165,0.085,0.857,0.000,1161140,1.02,12.19,0.010,0.012,0.005,6,14,30,64,455,32,0.19,0.0048
80000,2179,1.478,0.035,7.42,470231,458062,150,1,12062,3837,1635111.1,236.0,0.972,0.009,0.011,0.004,0.005,519,16.70,10.74,0.22,1.56,1.29,5.16,0.29,1.95,14.90,8.90,0.03,0.31,0.053,0.177,660,0.057,0.445,0.001,0.000,0.554,469494,467622,1,0.942,0.058,0.065,1116804,0.016,0.321,0.002,163.35,157801,33,0.062,1.000,0.000,1186750,1.05,12.55,0.012,0.006,0.017,7,14,29,64,420,26,0.15,0.0050
90000,2320,1.434,0.039,5.73,468345,456485,132,5,11582,4609,1609278.1,312.4,0.975,0.007,0.009,0.004,0.005,613,15.01,11.56,0.09,1.37,1.28,5.54,0.15,1.36,13.49,10.06,0.01,0.14,0.053,0.169,596,0.048,0.474,0.003,0.000,0.522,467557,466545,1,1.000,0.000,0.022,677834,0.021,0.322,0.002,163.32,136834,65,0.068,0.600,0.000,965094,1.03,13.94,0.013,0.010,0.002,5,11,31,64,432,26,0.19,0.0051
100000,2277,1.393,0.039,5.09,472502,459038,281,3,13223,4897,1640486.0,236.4,0.978,0.005,0.008,0.004,0.005,692,16.09,11.82,0.28,1.93,1.41,5.64,0.26,1.75,14.14,9.95,0.04,0.47,0.053,0.173,600,0.061,0.466,0.001,0.000,0.533,471819,471098,1,1.000,0.000,0.038,578030,0.028,0.313,0.002,163.28,129678,137,0.048,0.667,0.000,861582,1.07,13.36,0.010,0.022,0.010,6,11,32,64,431,24,0.22,0.0051
