step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
10000,1226,2.298,0.006,7.61,273957,267767,19,4336,2138,2392358,1702130.0,169274.8,0.707,0.046,0.043,0.103,0.102,568,33.96,20.18,10.56,15.04,2.37,6.25,0.47,1.96,20.55,14.67,0.38,1.04,0.051,0.121,714,0.023,0.435,0.219,0.022,0.325,271861,266215,6,0.436,0.325,0.106,1528794,0.056,0.122,0.000,157.27,105976,74,0.071,0.602,0.081,56594469,3.66,7.37,0.135,0.584,0.137,10,31,64,64,158,47,6.48,0.0068
20000,1413,2.084,0.005,6.19,257439,250291,4,4351,2606,3132683,1584091.2,208713.8,0.703,0.017,0.017,0.129,0.134,582,28.97,19.24,10.52,14.90,1.29,3.14,0.52,3.05,16.64,14.59,0.65,1.36,0.030,0.068,540,0.110,0.413,0.277,0.007,0.302,257391,256307,2,0.912,0.009,0.086,1225085,0.026,0.108,0.000,158.09,93307,65,0.067,0.674,0.092,89206702,3.84,7.90,0.111,0.522,0.204,8,23,64,64,154,65,5.66,0.0067
30000,1493,1.933,0.004,4.71,292896,283236,1,5814,3765,3684618,1595067.4,236797.4,0.769,0.004,0.004,0.110,0.113,734,28.09,17.83,6.98,13.30,1.60,4.12,0.60,3.81,18.91,13.76,0.57,1.33,0.041,0.109,733,0.074,0.415,0.201,0.017,0.368,292854,292420,2,0.871,0.069,0.066,792301,0.038,0.080,0.000,160.16,82487,91,0.064,0.545,0.104,76811675,2.78,8.20,0.068,0.583,0.172,7,25,58,64,171,54,3.59,0.0056
40000,1144,2.348,0.011,6.63,228564,219262,9,8250,1392,5113819,1574233.9,329524.0,0.601,0.004,0.006,0.190,0.198,726,35.20,21.18,16.42,15.70,2.57,5.23,0.72,2.32,15.50,14.68,0.97,1.65,0.061,0.118,645,0.096,0.408,0.448,0.032,0.112,228521,227938,1,0.882,0.118,0.134,795161,0.054,0.227,0.001,157.15,72087,80,0.064,0.555,0.178,117210154,5.06,6.71,0.177,0.801,0.282,8,35,64,64,157,63,6.60,0.0089
50000,1190,2.555,0.009,8.03,203634,195982,2,7033,571,4294957,1584326.0,284349.3,0.690,0.005,0.005,0.145,0.154,692,37.30,20.61,17.48,15.27,2.06,4.47,0.24,1.69,17.52,14.45,0.82,1.47,0.046,0.094,676,0.072,0.407,0.373,0.039,0.182,203593,202520,3,0.566,0.291,0.034,506831,0.041,0.161,0.000,158.14,78235,78,0.066,0.532,0.145,75741178,5.33,5.99,0.162,0.782,0.282,8,40,64,64,147,66,5.62,0.0076
60000,1215,2.305,0.010,5.80,221559,217019,7,4240,268,4859085,1593889.9,304259.8,0.735,0.004,0.004,0.127,0.130,693,34.41,21.46,15.98,14.86,2.25,5.02,0.41,2.32,15.77,15.59,0.96,1.65,0.056,0.104,736,0.026,0.300,0.529,0.024,0.147,221519,220259,4,0.690,0.100,0.061,534588,0.026,0.160,0.000,159.49,73693,89,0.063,0.537,0.137,76654951,5.30,7.05,0.188,0.782,0.281,7,33,64,64,158,64,4.26,0.0083
70000,1186,2.352,0.009,5.61,213425,206038,4,6248,1164,5312858,1577398.9,341894.1,0.658,0.003,0.004,0.165,0.170,751,36.41,21.67,15.14,17.42,2.81,5.46,0.36,2.62,18.09,15.91,1.13,1.80,0.067,0.117,598,0.040,0.384,0.384,0.038,0.193,213389,212653,3,0.644,0.170,0.068,540208,0.032,0.152,0.000,157.76,63481,78,0.064,0.612,0.177,113715242,4.93,6.37,0.245,0.720,0.298,8,32,64,64,184,61,5.99,0.0074
80000,1224,2.173,0.009,6.52,236638,227481,4,7674,1441,6309085,1561969.1,382771.1,0.599,0.003,0.004,0.194,0.199,635,29.92,21.10,10.25,14.32,3.44,6.35,0.56,3.06,15.67,16.55,1.26,1.80,0.093,0.150,692,0.053,0.378,0.484,0.020,0.118,236590,236041,2,0.875,0.000,0.068,535511,0.045,0.171,0.001,156.85,74250,75,0.061,0.569,0.148,135415720,3.74,7.99,0.114,0.877,0.361,8,24,64,64,162,58,6.91,0.0081
90000,1295,2.106,0.009,5.92,221598,209493,0,10428,1606,5730267,1527191.1,371974.6,0.585,0.005,0.007,0.199,0.205,737,29.23,21.19,10.51,13.28,2.62,5.34,0.53,2.18,15.57,12.99,1.05,1.77,0.059,0.111,626,0.192,0.390,0.400,0.037,0.173,221549,220824,3,0.761,0.210,0.105,784757,0.057,0.183,0.001,152.18,72831,68,0.065,0.607,0.137,116269534,3.32,8.42,0.102,0.839,0.278,8,24,64,64,162,70,11.57,0.0076
100000,1253,2.172,0.007,5.94,224881,214180,1,9163,1579,5013263,1519105.6,339994.7,0.593,0.007,0.008,0.194,0.198,653,30.39,21.41,8.30,14.43,2.12,5.17,0.15,1.47,19.81,17.28,0.67,1.53,0.052,0.123,575,0.081,0.546,0.219,0.027,0.208,224806,223736,1,0.754,0.246,0.020,760239,0.076,0.139,0.000,152.25,83733,68,0.068,0.613,0.115,113166002,3.14,7.90,0.144,0.671,0.173,7,24,64,64,212,58,11.50,0.0061
