step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
10000,1862,1.714,0.067,8.58,329488,322764,131,5,6270,42397,1750312.0,3017.1,0.914,0.018,0.020,0.022,0.026,591,21.71,14.95,1.61,5.77,0.26,1.96,2.18,5.92,17.65,11.39,0.01,0.17,0.010,0.072,687,0.073,0.477,0.003,0.000,0.520,326492,320422,3,0.765,0.012,0.226,4624928,0.047,0.525,0.005,161.48,120857,22,0.071,1.000,0.000,1968815,1.39,9.99,0.027,0.004,0.002,6,19,42,64,400,25,2.02,0.0053
20000,2201,1.508,0.097,9.05,422724,411676,277,12,10420,6569,1629973.2,423.4,0.982,0.004,0.005,0.004,0.006,380,16.77,11.91,1.04,4.04,0.64,2.85,1.54,5.27,13.55,8.91,0.02,0.25,0.028,0.115,817,0.051,0.471,0.013,0.000,0.516,422083,420346,3,0.508,0.029,0.165,5885042,0.017,0.629,0.007,162.62,162310,74,0.064,0.667,0.000,1023953,1.31,12.28,0.004,0.020,0.012,5,14,33,64,422,31,0.89,0.0055
30000,1908,1.595,0.095,8.42,446833,433936,245,11,12934,9494,1637028.9,633.0,0.976,0.005,0.006,0.006,0.007,393,20.94,13.21,1.35,5.05,0.65,3.20,0.99,4.71,17.96,10.32,0.03,0.37,0.023,0.105,762,0.067,0.436,0.009,0.001,0.555,446234,444068,3,0.302,0.266,0.102,3156279,0.028,0.626,0.008,162.69,169529,362,0.067,0.727,0.001,1602424,1.34,10.77,0.015,0.013,0.009,8,17,38,64,401,23,0.81,0.0048
40000,2335,1.416,0.116,8.58,462378,446454,268,21,15208,14694,1642372.4,943.5,0.982,0.004,0.005,0.004,0.005,409,15.40,10.67,0.47,2.76,0.56,3.14,1.11,3.82,13.26,8.52,0.02,0.26,0.022,0.102,700,0.066,0.458,0.002,0.002,0.538,461886,460141,3,0.274,0.555,0.139,2644041,0.023,0.667,0.008,162.73,168040,86,0.064,0.619,0.002,1590325,1.14,13.95,0.006,0.014,0.006,6,12,30,64,438,35,0.78,0.0053
50000,2155,1.466,0.072,7.50,487588,469742,285,4,17737,5584,1636434.8,356.3,0.980,0.003,0.007,0.005,0.005,422,16.45,11.20,1.06,4.80,0.32,2.77,0.96,5.06,14.11,8.58,0.01,0.10,0.009,0.072,667,0.076,0.465,0.002,0.000,0.533,486985,485714,2,0.742,0.257,0.082,1742898,0.037,0.509,0.005,162.90,170652,161,0.064,0.750,0.000,1270423,1.32,13.30,0.010,0.019,0.003,6,13,30,64,409,27,0.60,0.0054
60000,2180,1.508,0.056,8.12,456004,439259,163,8,16549,6699,1631418.9,431.0,0.968,0.006,0.010,0.007,0.008,450,16.94,13.41,1.34,4.98,0.10,1.54,0.59,3.67,14.90,11.71,0.00,0.05,0.003,0.042,665,0.136,0.473,0.006,0.000,0.521,455249,453047,2,0.705,0.194,0.062,1569311,0.045,0.441,0.003,162.66,165791,168,0.064,0.500,0.000,1666627,1.35,13.56,0.015,0.006,0.001,5,13,37,64,409,33,0.84,0.0050
70000,1883,1.640,0.067,8.00,444767,428746,295,6,16017,13229,1623451.2,820.2,0.974,0.006,0.009,0.005,0.006,420,21.07,14.07,1.99,6.05,0.50,2.73,1.60,6.24,16.98,11.45,0.04,0.37,0.018,0.091,667,0.025,0.459,0.016,0.003,0.522,443980,442123,3,0.690,0.098,0.116,1821010,0.036,0.522,0.005,162.62,162932,454,0.062,0.667,0.003,1216581,1.56,11.46,0.028,0.013,0.014,6,18,41,64,384,27,0.88,0.0051
80000,1991,1.526,0.058,6.52,423618,411049,215,114,12132,22638,1633259.0,1001.5,0.977,0.005,0.007,0.005,0.005,483,19.81,12.64,1.13,4.15,1.63,6.04,0.60,3.76,16.45,10.23,0.05,0.40,0.058,0.174,749,0.052,0.451,0.012,0.001,0.537,422824,421681,2,0.723,0.000,0.059,1693500,0.040,0.464,0.004,162.63,151300,276,0.044,0.465,0.001,795945,1.30,10.66,0.020,0.087,0.024,7,17,34,64,411,25,0.87,0.0050
90000,1975,1.555,0.082,6.74,448546,436238,265,300,11759,54701,1642281.6,1826.9,0.979,0.005,0.006,0.005,0.005,559,20.32,12.41,1.29,4.40,1.85,8.01,0.85,3.21,16.32,9.57,0.05,0.47,0.058,0.197,685,0.116,0.442,0.014,0.003,0.542,447841,446511,2,0.711,0.000,0.135,2029668,0.024,0.583,0.006,162.96,144743,350,0.033,0.413,0.004,986715,1.41,10.16,0.019,0.035,0.017,7,18,35,64,420,22,0.54,0.0051
100000,2092,1.479,0.043,5.95,459510,446359,169,139,12726,43777,1636471.6,1005.0,0.977,0.005,0.007,0.006,0.006,540,17.86,10.58,0.44,2.91,1.20,5.56,0.52,2.53,15.70,8.84,0.04,0.48,0.038,0.137,565,0.099,0.449,0.003,0.000,0.548,458707,457905,1,0.746,0.254,0.079,2458641,0.022,0.377,0.002,163.06,144106,488,0.023,0.281,0.001,1013363,1.13,11.05,0.011,0.053,0.009,7,16,31,64,414,24,0.44,0.0050
110000,2223,1.447,0.068,5.47,485143,470182,176,151,14503,42658,1627839.9,780.2,0.978,0.006,0.006,0.006,0.005,611,15.93,10.44,0.34,2.30,0.42,3.15,0.60,3.43,14.58,8.99,0.02,0.25,0.015,0.091,629,0.066,0.459,0.003,0.000,0.537,484481,483884,1,1.000,0.000,0.067,1316422,0.027,0.530,0.005,162.97,140142,396,0.018,0.305,0.000,886181,1.09,12.85,0.006,0.079,0.005,5,14,25,64,411,24,0.53,0.0050
120000,2129,1.481,0.062,6.28,490680,479028,218,144,11384,37828,1635905.0,877.6,0.981,0.004,0.006,0.004,0.004,587,17.11,10.29,1.19,5.29,0.57,3.75,0.76,3.55,14.58,7.98,0.02,0.30,0.025,0.135,699,0.047,0.443,0.007,0.002,0.548,490042,489481,1,0.735,0.265,0.091,1469660,0.024,0.467,0.004,163.03,147460,303,0.023,0.299,0.002,713444,1.37,11.59,0.007,0.056,0.006,7,16,27,64,411,31,0.47,0.0053
130000,1899,1.601,0.049,5.55,438571,429167,158,105,9371,27170,1636696.5,1128.4,0.977,0.005,0.007,0.005,0.005,668,20.58,11.64,1.33,4.72,0.98,4.67,0.50,2.89,17.77,9.88,0.02,0.27,0.035,0.156,591,0.066,0.435,0.013,0.000,0.552,437864,437094,1,1.000,0.000,0.061,1728094,0.018,0.410,0.003,162.62,134155,270,0.042,0.448,0.002,687579,1.36,10.07,0.010,0.092,0.008,8,18,37,64,413,24,0.89,0.0048
140000,2163,1.471,0.073,5.72,461059,449124,230,88,11353,23120,1619793.9,1460.5,0.980,0.005,0.007,0.004,0.003,654,18.09,13.46,0.64,3.79,1.72,6.43,0.42,2.77,15.31,11.06,0.02,0.27,0.063,0.194,614,0.071,0.451,0.006,0.000,0.543,460433,459842,1,1.000,0.000,0.038,938073,0.025,0.554,0.006,162.83,134248,238,0.063,0.602,0.000,680005,1.19,12.19,0.027,0.054,0.006,6,14,35,64,415,24,0.68,0.0049
150000,2072,1.545,0.072,6.18,466750,453946,286,27,12582,15791,1640536.1,781.1,0.983,0.004,0.006,0.003,0.004,628,17.88,12.04,0.39,3.00,1.26,6.12,0.57,2.84,15.66,9.91,0.01,0.21,0.037,0.163,558,0.045,0.462,0.004,0.000,0.534,466080,465593,1,0.509,0.491,0.082,1337211,0.025,0.540,0.005,162.98,136543,252,0.049,0.593,0.000,695623,1.10,12.10,0.015,0.005,0.004,6,15,30,64,431,27,0.53,0.0051
160000,2260,1.444,0.042,6.56,464847,452278,237,97,12047,13390,1630911.1,732.8,0.978,0.006,0.007,0.004,0.005,533,16.16,11.45,0.48,2.62,0.97,4.48,0.88,3.45,13.83,9.45,0.02,0.24,0.036,0.133,681,0.074,0.463,0.008,0.001,0.528,464165,462956,2,0.570,0.144,0.146,3247980,0.023,0.371,0.003,163.12,142716,356,0.055,0.557,0.001,803755,1.15,12.56,0.008,0.031,0.009,6,13,30,64,432,29,0.38,0.0052
170000,2086,1.502,0.054,5.56,469308,457818,226,278,11160,47475,1627558.6,1186.6,0.979,0.007,0.006,0.005,0.003,584,17.49,12.78,0.49,2.71,1.18,5.70,0.91,3.59,14.92,11.00,0.01,0.18,0.037,0.144,640,0.122,0.502,0.008,0.000,0.489,468715,467674,1,0.727,0.273,0.123,2421706,0.021,0.449,0.003,163.04,134579,583,0.025,0.230,0.000,852305,1.14,11.78,0.021,0.090,0.003,7,13,36,64,417,23,0.47,0.0052
180000,2120,1.508,0.029,7.55,468018,457960,146,175,9703,37564,1635758.6,662.1,0.975,0.009,0.007,0.005,0.004,538,17.64,11.58,0.39,2.69,0.73,3.50,1.10,3.95,15.42,10.41,0.01,0.23,0.027,0.121,705,0.045,0.445,0.002,0.000,0.552,467330,465912,3,0.741,0.003,0.146,2352252,0.029,0.296,0.001,163.28,145626,343,0.018,0.360,0.000,1046585,1.12,11.08,0.011,0.024,0.004,6,16,32,64,429,26,0.22,0.0050
190000,2082,1.536,0.021,7.57,469629,460132,223,15,9297,7480,1635790.0,460.4,0.971,0.011,0.009,0.004,0.006,476,18.94,12.18,0.28,1.76,0.88,4.21,1.22,3.96,16.57,11.37,0.03,0.34,0.033,0.139,721,0.056,0.444,0.002,0.000,0.554,468895,466987,1,0.389,0.611,0.152,3960748,0.027,0.257,0.001,163.36,162271,48,0.062,0.800,0.000,1000767,1.09,11.32,0.009,0.026,0.011,6,16,35,64,423,28,0.15,0.0047
200000,2188,1.512,0.020,6.54,442544,433674,137,239,8388,24881,1638086.0,1125.3,0.966,0.011,0.011,0.005,0.007,483,17.28,11.14,0.89,2.92,0.93,3.84,1.24,4.25,14.22,9.64,0.13,0.66,0.047,0.147,693,0.059,0.477,0.016,0.001,0.506,441815,439341,2,0.629,0.154,0.129,3175499,0.031,0.221,0.001,163.31,145121,317,0.045,0.494,0.001,1038757,1.24,12.03,0.006,0.063,0.042,5,15,30,64,422,29,0.20,0.0053
210000,2230,1.456,0.022,6.74,454763,446808,142,206,7565,29746,1630263.2,1530.6,0.973,0.008,0.008,0.005,0.006,580,16.93,10.42,0.91,3.86,0.94,3.86,0.52,2.43,14.56,8.76,0.03,0.33,0.040,0.137,691,0.039,0.456,0.009,0.001,0.534,454047,452569,2,0.488,0.252,0.083,2567303,0.036,0.227,0.001,163.35,135619,295,0.051,0.515,0.001,936847,1.26,12.55,0.011,0.081,0.010,6,15,29,64,438,27,0.15,0.0050
