step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
10000,1278,2.212,0.005,7.67,313301,309897,1,1513,2156,1043804,1735121.4,70252.7,0.866,0.039,0.038,0.028,0.029,622,38.99,15.82,4.93,11.86,3.32,9.11,1.90,5.53,28.84,14.88,0.13,0.69,0.073,0.181,598,0.052,0.347,0.081,0.026,0.546,311225,307525,3,0.278,0.465,0.211,1710408,0.064,0.095,0.000,161.04,117317,74,0.067,0.588,0.045,14289217,2.27,2.74,0.139,0.167,0.042,19,36,64,64,182,44,2.71,0.0047
20000,1395,1.889,0.003,6.89,316133,311977,4,1355,2680,1304437,1619610.4,84359.4,0.919,0.027,0.028,0.007,0.018,643,33.73,16.80,3.02,9.02,0.68,2.64,0.24,1.77,29.79,17.54,0.17,0.69,0.022,0.093,536,0.085,0.363,0.088,0.016,0.533,316067,315501,3,0.449,0.271,0.032,930263,0.023,0.073,0.000,162.77,114842,83,0.065,0.486,0.049,15462415,1.83,5.97,0.082,0.231,0.064,10,30,61,64,185,54,0.98,0.0039
30000,1474,1.871,0.006,6.46,333322,328969,1,782,3491,3234765,1620886.5,193233.9,0.827,0.078,0.076,0.007,0.013,542,27.08,17.98,4.84,11.31,1.38,4.20,0.27,1.98,20.59,16.41,0.35,1.02,0.038,0.117,637,0.144,0.421,0.174,0.012,0.393,333283,332510,3,0.831,0.056,0.036,572009,0.030,0.103,0.000,162.38,111737,189,0.060,0.312,0.073,72266041,2.22,8.74,0.067,0.408,0.122,8,21,58,64,164,67,1.37,0.0053
40000,1541,1.771,0.005,6.15,338383,332136,3,154,6023,3846102,1615146.0,213044.5,0.866,0.053,0.055,0.012,0.014,625,26.72,16.43,5.66,13.54,1.17,3.76,0.18,1.15,19.71,13.40,0.33,1.05,0.030,0.113,620,0.204,0.440,0.125,0.016,0.419,338345,337687,3,0.899,0.023,0.045,738240,0.023,0.089,0.000,163.06,109355,148,0.055,0.325,0.085,49915055,2.48,9.01,0.042,0.450,0.100,10,21,58,64,170,57,0.69,0.0053
50000,1259,2.082,0.009,5.63,333669,329097,6,450,4398,4645440,1616204.9,243320.1,0.883,0.037,0.037,0.020,0.022,644,36.06,21.26,5.76,14.32,2.06,6.15,0.85,4.39,27.39,21.78,0.41,1.19,0.048,0.148,512,0.142,0.466,0.123,0.007,0.403,333642,333097,3,0.886,0.000,0.090,888774,0.022,0.154,0.000,162.95,110586,178,0.052,0.138,0.104,37691290,2.47,7.10,0.198,0.489,0.114,8,35,64,64,149,57,0.80,0.0047
60000,1272,1.982,0.011,6.30,314834,311869,3,235,2714,5127679,1616652.6,264438.6,0.880,0.031,0.033,0.027,0.028,702,35.41,20.31,5.98,14.63,0.97,3.12,0.80,3.96,27.66,20.39,0.29,0.99,0.020,0.061,602,0.087,0.480,0.100,0.014,0.406,314796,314372,3,0.668,0.239,0.103,1014709,0.018,0.196,0.001,162.85,102404,192,0.052,0.085,0.086,37303188,2.55,6.86,0.131,0.475,0.082,8,36,64,64,158,52,0.90,0.0046
70000,1416,1.908,0.009,6.08,343573,337417,2,214,5796,4881664,1615885.8,256571.1,0.886,0.029,0.031,0.027,0.027,616,29.90,20.89,5.41,13.53,1.30,4.04,1.42,4.89,21.78,19.21,0.37,1.10,0.027,0.083,660,0.048,0.502,0.147,0.006,0.345,343534,343119,3,0.879,0.000,0.235,2155713,0.013,0.155,0.000,162.94,118704,225,0.053,0.037,0.111,38766178,2.39,8.83,0.088,0.496,0.111,6,25,63,64,165,63,0.81,0.0052
80000,1298,2.075,0.009,5.92,327488,323909,5,147,3545,4917997,1623734.1,256893.1,0.863,0.031,0.032,0.037,0.037,682,34.28,20.90,5.69,14.20,1.64,4.30,0.50,2.74,26.46,20.51,0.40,1.21,0.036,0.094,540,0.098,0.445,0.144,0.006,0.405,327448,326839,4,0.861,0.011,0.069,1800614,0.018,0.157,0.000,162.96,108872,307,0.052,0.068,0.096,50944081,2.43,7.92,0.173,0.471,0.107,9,29,64,64,166,52,0.79,0.0047
90000,1264,2.117,0.014,6.05,311172,309077,4,107,2018,5326624,1622401.1,271580.1,0.848,0.037,0.036,0.040,0.040,757,35.43,21.48,6.73,13.97,2.62,5.76,0.45,2.80,25.63,20.69,0.53,1.35,0.068,0.137,564,0.134,0.464,0.155,0.027,0.354,311133,310455,4,0.864,0.020,0.055,962199,0.022,0.192,0.001,163.12,91997,177,0.051,0.271,0.119,53617890,2.59,7.33,0.198,0.514,0.146,10,31,64,64,172,51,0.63,0.0050
100000,1364,2.001,0.011,6.36,310319,307707,38,129,2345,5075295,1624707.5,263431.0,0.831,0.043,0.044,0.040,0.042,698,33.12,21.89,5.18,13.02,2.11,5.10,1.04,4.89,24.79,20.92,0.39,1.14,0.049,0.115,633,0.110,0.466,0.166,0.018,0.350,310274,309610,4,0.820,0.004,0.070,1381003,0.025,0.167,0.000,163.10,95512,240,0.052,0.364,0.106,64400610,2.31,7.01,0.169,0.548,0.118,7,30,64,64,154,71,0.65,0.0048
