step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
110000,3098,1.317,0.012,8.78,469846,440011,1801,93,28046,4958,1618653.1,519.4,0.905,0.017,0.016,0.028,0.034,401,7.92,5.97,0.11,1.10,0.38,2.47,0.09,1.15,7.34,4.95,0.00,0.10,0.024,0.129,454,0.192,0.658,0.002,0.000,0.340,465694,456508,5,0.447,0.241,0.010,390199,0.018,0.080,0.000,163.27,155409,767,0.105,0.301,0.000,1396803,1.05,19.49,0.000,0.024,0.001,4,6,14,64,1180,11,0.00,0.0071
120000,3091,1.298,0.015,8.48,474031,444275,1669,138,27956,6306,1601966.8,660.2,0.902,0.020,0.017,0.027,0.034,409,7.99,5.66,0.06,1.03,0.28,1.82,0.15,2.52,7.50,4.83,0.00,0.09,0.021,0.122,426,0.135,0.656,0.001,0.000,0.343,470283,460489,6,0.475,0.220,0.009,388710,0.019,0.088,0.000,163.27,155712,733,0.105,0.312,0.000,1668928,1.02,19.10,0.001,0.038,0.001,4,7,12,64,1184,18,0.00,0.0069
130000,3131,1.304,0.013,8.28,472981,442199,1822,122,28798,5765,1629853.8,474.1,0.901,0.024,0.018,0.025,0.033,440,7.98,6.84,0.05,0.53,0.39,2.41,0.27,2.97,7.27,5.80,0.01,0.28,0.027,0.142,403,0.243,0.667,0.000,0.000,0.333,469240,459671,5,0.514,0.181,0.023,558222,0.025,0.083,0.000,163.27,147754,476,0.082,0.402,0.000,1861735,1.02,19.49,0.002,0.027,0.002,4,6,14,64,1157,13,0.00,0.0072
140000,3102,1.285,0.013,7.84,465770,434998,1516,901,28384,23486,1621321.0,3518.0,0.896,0.030,0.021,0.022,0.030,461,7.60,6.11,0.04,0.40,0.28,2.34,0.20,2.41,7.09,5.10,0.01,0.18,0.018,0.113,436,0.165,0.662,0.002,0.000,0.336,461926,451602,6,0.644,0.070,0.028,563670,0.036,0.084,0.000,163.27,134304,513,0.150,0.356,0.000,1993043,1.01,19.67,0.003,0.041,0.002,4,6,12,64,1151,12,0.00,0.0074
150000,3097,1.288,0.012,9.15,464710,437756,1481,714,24764,24262,1610943.8,3650.0,0.889,0.041,0.026,0.019,0.025,426,7.75,5.27,0.07,1.01,0.34,2.01,0.04,0.55,7.30,4.67,0.01,0.22,0.025,0.126,469,0.173,0.669,0.002,0.000,0.329,461418,449146,6,0.889,0.015,0.013,566070,0.026,0.079,0.000,163.27,146245,510,0.150,0.373,0.001,2140815,1.02,20.24,0.000,0.082,0.003,4,7,12,64,1169,11,0.00,0.0071
160000,3079,1.307,0.012,8.95,464888,436989,1505,468,25944,17511,1609834.8,2203.2,0.899,0.037,0.022,0.019,0.024,407,8.07,5.97,0.09,1.47,0.31,2.59,0.12,1.24,7.55,5.06,0.00,0.10,0.017,0.106,457,0.129,0.657,0.002,0.000,0.341,461772,452040,4,0.609,0.279,0.031,361653,0.027,0.073,0.000,163.27,160164,656,0.126,0.359,0.000,2264915,1.03,19.84,0.001,0.074,0.002,4,7,13,64,1189,12,0.00,0.0069
170000,3131,1.291,0.012,9.01,469313,442872,1546,289,24554,12515,1605700.6,1460.5,0.906,0.032,0.023,0.016,0.024,440,7.90,5.26,0.07,0.86,0.41,2.73,0.04,0.49,7.38,4.62,0.00,0.09,0.025,0.135,445,0.156,0.655,0.002,0.000,0.343,466099,455568,6,0.628,0.265,0.009,380752,0.027,0.072,0.000,163.27,148731,726,0.117,0.315,0.000,1763351,1.04,20.11,0.000,0.069,0.002,4,7,12,64,1174,11,0.01,0.0069
180000,3137,1.294,0.008,9.02,475078,446597,1791,449,26235,19594,1609902.4,2679.7,0.915,0.030,0.023,0.013,0.019,419,7.73,5.76,0.11,1.20,0.32,2.45,0.03,0.45,7.27,5.05,0.01,0.19,0.019,0.113,442,0.133,0.667,0.002,0.000,0.331,472496,460874,6,0.660,0.230,0.005,221235,0.030,0.047,0.000,163.27,152281,596,0.137,0.390,0.000,1706163,1.04,20.05,0.000,0.078,0.003,4,6,12,64,1207,12,0.00,0.0071
190000,3009,1.322,0.009,8.31,461524,435322,1323,1359,23648,77927,1581392.6,10468.8,0.915,0.028,0.023,0.012,0.022,463,8.63,7.09,0.30,2.07,0.45,3.15,0.01,0.29,7.87,5.61,0.03,0.34,0.021,0.117,704,0.095,0.669,0.016,0.000,0.315,459409,448917,5,0.633,0.265,0.002,297071,0.020,0.067,0.000,163.27,143548,481,0.134,0.272,0.003,1855867,1.10,19.44,0.001,0.221,0.011,3,7,16,64,1157,12,0.00,0.0067
200000,2939,1.312,0.008,8.74,454418,430793,1568,1633,20494,116766,1614629.2,12822.8,0.918,0.030,0.025,0.009,0.018,437,8.92,6.66,0.13,1.14,0.32,2.23,0.02,0.46,8.44,6.18,0.01,0.18,0.022,0.125,685,0.091,0.622,0.006,0.000,0.372,452889,444913,4,0.682,0.008,0.003,160260,0.050,0.079,0.000,163.27,153033,477,0.110,0.291,0.000,1870967,1.05,19.20,0.001,0.164,0.003,3,7,17,64,984,13,0.00,0.0065
210000,3058,1.291,0.009,8.46,479960,452578,2071,549,24643,36483,1591104.0,4064.1,0.931,0.024,0.017,0.011,0.017,409,8.35,5.93,0.11,1.14,0.26,2.09,0.03,0.51,7.95,5.47,0.01,0.13,0.017,0.111,649,0.066,0.623,0.002,0.000,0.375,478299,469957,5,0.654,0.055,0.006,198545,0.046,0.055,0.000,163.27,164383,785,0.111,0.346,0.000,1731545,1.05,19.50,0.000,0.121,0.002,3,7,15,64,1092,12,0.00,0.0065
220000,3035,1.314,0.010,8.68,475429,447429,1871,313,25839,17996,1591307.4,2057.4,0.909,0.036,0.027,0.011,0.017,436,8.71,6.56,0.12,1.40,0.28,1.68,0.02,0.39,8.29,6.03,0.01,0.11,0.020,0.110,671,0.040,0.678,0.004,0.000,0.318,473523,462151,7,0.618,0.014,0.007,141180,0.045,0.069,0.000,163.27,156022,571,0.114,0.406,0.001,2024256,1.04,19.13,0.001,0.113,0.003,3,7,16,64,1192,12,0.00,0.0063
