step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
10000,2774,1.363,0.033,9.29,413309,397280,935,28,13820,32723,1723701.2,2599.7,0.872,0.026,0.026,0.037,0.038,392,10.21,7.38,0.11,1.18,0.33,2.49,0.38,2.01,9.38,6.15,0.00,0.08,0.017,0.088,702,0.061,0.575,0.002,0.000,0.424,407040,385981,6,0.670,0.028,0.087,2526330,0.062,0.241,0.001,162.70,166972,721,0.079,0.536,0.000,2205130,1.04,17.87,0.001,0.014,0.001,4,9,17,64,889,14,0.58,0.0066
20000,3071,1.305,0.011,9.38,478632,461825,1796,17,14697,2450,1595057.9,279.5,0.927,0.012,0.008,0.026,0.026,310,8.22,5.25,0.12,1.29,0.21,1.70,0.25,1.73,7.65,4.47,0.00,0.06,0.014,0.085,616,0.088,0.613,0.002,0.000,0.386,474863,462407,4,0.775,0.101,0.055,2482797,0.037,0.080,0.000,163.24,204158,212,0.114,0.588,0.000,899076,1.05,18.77,0.000,0.028,0.001,4,7,14,58,1087,12,0.03,0.0068
30000,2882,1.362,0.013,9.20,480549,466565,1901,21,12251,2295,1603194.2,184.0,0.916,0.018,0.014,0.028,0.024,339,9.75,6.27,0.04,0.77,0.49,2.72,0.38,1.79,8.83,5.05,0.00,0.06,0.024,0.107,680,0.036,0.621,0.000,0.000,0.378,476096,463803,7,0.502,0.045,0.102,2954630,0.023,0.083,0.000,163.27,189878,450,0.080,0.524,0.000,946211,1.01,17.30,0.000,0.009,0.001,4,8,17,63,1098,11,0.01,0.0063
40000,2637,1.453,0.015,9.99,463863,450711,1312,5,12080,1373,1600159.8,77.9,0.894,0.025,0.018,0.034,0.029,339,11.67,7.58,0.12,1.31,0.25,1.93,1.14,3.26,10.16,6.06,0.01,0.14,0.013,0.084,783,0.042,0.639,0.001,0.000,0.360,457712,445122,9,0.262,0.138,0.214,3487366,0.039,0.089,0.000,163.27,187427,153,0.057,0.600,0.000,855834,1.04,15.85,0.001,0.003,0.002,4,10,20,64,1082,10,0.00,0.0060
50000,2785,1.379,0.019,9.71,448283,435290,1416,14,11415,613,1609990.0,30.7,0.884,0.030,0.022,0.033,0.031,309,10.61,6.77,0.05,0.78,0.31,1.84,0.60,2.40,9.65,6.13,0.00,0.10,0.025,0.114,698,0.044,0.601,0.000,0.000,0.399,441467,428020,9,0.228,0.011,0.148,4571812,0.027,0.151,0.000,163.25,194427,535,0.050,0.571,0.000,1008208,1.02,16.78,0.000,0.004,0.001,4,9,18,64,1102,11,0.03,0.0060
60000,2976,1.343,0.016,10.42,460758,446727,1413,16,12411,1707,1603518.6,205.8,0.897,0.028,0.021,0.029,0.025,321,9.07,6.34,0.06,0.91,0.29,1.64,0.57,2.23,8.15,5.26,0.00,0.07,0.020,0.096,686,0.049,0.648,0.001,0.000,0.351,454516,440209,13,0.151,0.085,0.156,4540807,0.026,0.097,0.000,163.26,191740,455,0.121,0.500,0.000,860843,1.02,18.26,0.001,0.004,0.001,4,7,16,64,1150,12,0.01,0.0066
70000,2823,1.395,0.013,9.81,450409,434036,1643,1503,13380,83056,1600060.2,10784.7,0.889,0.021,0.014,0.042,0.034,326,9.83,7.63,0.05,0.82,0.34,2.25,0.68,3.11,8.76,5.95,0.00,0.11,0.014,0.077,702,0.109,0.637,0.002,0.000,0.362,443924,429390,10,0.249,0.127,0.128,3734782,0.036,0.070,0.000,163.26,185559,339,0.130,0.337,0.000,1390418,1.01,17.53,0.000,0.003,0.001,4,8,18,64,1137,12,0.01,0.0065
80000,2914,1.353,0.014,10.42,464216,447332,1564,4,15225,1684,1599005.5,214.7,0.898,0.020,0.016,0.039,0.028,309,9.35,5.99,0.02,0.36,0.15,1.15,0.87,2.91,8.31,4.99,0.00,0.11,0.013,0.092,673,0.050,0.646,0.000,0.000,0.354,458367,444000,10,0.221,0.071,0.212,4265780,0.039,0.089,0.000,163.27,195664,66,0.128,0.500,0.000,1155516,1.01,17.98,0.000,0.006,0.001,4,8,16,64,1128,11,0.00,0.0066
90000,2923,1.349,0.017,10.59,462253,446950,1618,2,13674,495,1588418.6,47.0,0.890,0.021,0.019,0.039,0.030,301,8.98,5.89,0.01,0.20,0.19,1.35,0.73,2.69,8.05,4.82,0.00,0.00,0.016,0.096,617,0.097,0.630,0.000,0.000,0.370,455913,442289,10,0.254,0.163,0.180,5364988,0.038,0.112,0.000,163.26,198255,133,0.095,0.500,0.000,1054486,1.00,18.47,0.001,0.005,0.000,4,8,15,64,1132,13,0.01,0.0068
100000,2993,1.315,0.015,11.33,476298,460947,1556,0,13725,861,1597082.9,62.7,0.899,0.018,0.012,0.040,0.030,260,9.08,5.88,0.09,0.83,0.21,1.78,0.46,2.37,8.31,4.83,0.01,0.12,0.015,0.090,649,0.045,0.617,0.002,0.000,0.380,470384,456851,11,0.199,0.088,0.088,3458626,0.041,0.134,0.000,163.27,206962,0,0.073,0.000,0.000,874960,1.04,18.31,0.001,0.014,0.002,4,8,14,64,1156,13,0.00,0.0064
