step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
10000,2196,1.469,0.035,8.39,336781,328331,94,91,7575,71069,1752306.6,5233.5,0.897,0.024,0.027,0.025,0.027,556,16.48,11.48,0.39,2.31,0.46,2.61,0.75,2.45,14.88,10.43,0.01,0.17,0.021,0.107,822,0.042,0.447,0.005,0.000,0.548,333893,325657,4,0.272,0.268,0.190,4330374,0.069,0.306,0.002,161.69,130206,166,0.074,0.473,0.000,2931216,1.11,12.47,0.006,0.048,0.002,6,13,34,64,420,26,1.81,0.0054
20000,2188,1.486,0.046,7.13,468155,453871,222,51,14019,19048,1636776.2,1431.9,0.975,0.006,0.007,0.006,0.006,433,16.99,12.47,0.77,3.23,0.50,2.44,0.54,3.36,15.19,11.38,0.04,0.39,0.027,0.118,761,0.051,0.477,0.011,0.001,0.511,467784,466283,1,0.445,0.555,0.078,1743801,0.025,0.387,0.003,163.07,169649,126,0.075,0.569,0.001,1011521,1.22,12.75,0.007,0.075,0.014,5,13,36,64,440,26,0.43,0.0049
30000,2096,1.533,0.045,6.84,475770,461200,174,143,14345,23270,1622218.6,2065.4,0.981,0.006,0.006,0.003,0.004,466,18.07,12.72,1.21,4.56,0.53,3.53,0.76,3.64,15.57,10.95,0.02,0.29,0.018,0.096,788,0.035,0.472,0.010,0.001,0.516,475285,474282,3,0.262,0.444,0.092,1509245,0.020,0.365,0.002,163.10,168473,242,0.089,0.441,0.001,889711,1.39,12.59,0.008,0.036,0.008,6,14,36,64,454,24,0.40,0.0050
40000,2121,1.499,0.036,7.24,478880,459788,288,82,18697,16151,1628850.5,1258.9,0.983,0.006,0.004,0.003,0.004,460,17.75,12.05,0.59,2.84,0.52,3.38,0.46,2.64,16.18,10.84,0.00,0.10,0.017,0.098,735,0.041,0.472,0.004,0.000,0.524,478407,476915,3,0.490,0.003,0.049,1280267,0.021,0.312,0.001,163.31,172575,432,0.078,0.512,0.000,877234,1.17,13.24,0.003,0.015,0.002,6,14,36,64,449,31,0.19,0.0047
50000,2273,1.411,0.053,7.53,490543,470747,352,5,19287,6205,1633966.5,435.0,0.984,0.006,0.005,0.002,0.004,455,15.32,10.17,0.47,2.77,0.54,2.97,0.24,1.86,14.07,9.22,0.01,0.15,0.025,0.113,735,0.051,0.465,0.005,0.000,0.530,490119,488970,3,0.462,0.002,0.036,806788,0.024,0.441,0.003,163.20,168345,265,0.070,0.400,0.000,582321,1.15,12.96,0.001,0.014,0.003,6,13,27,64,437,24,0.31,0.0051
60000,2268,1.420,0.071,7.36,505212,486614,333,14,18256,3874,1630266.5,287.0,0.990,0.003,0.003,0.002,0.002,459,16.18,10.39,0.37,2.04,0.51,3.15,0.81,3.72,14.49,8.80,0.01,0.16,0.020,0.102,716,0.036,0.433,0.007,0.000,0.560,504704,503953,4,0.540,0.000,0.098,806490,0.018,0.493,0.004,163.21,172230,42,0.074,0.786,0.000,355695,1.13,12.36,0.004,0.004,0.002,6,14,29,64,423,31,0.30,0.0050
70000,2389,1.383,0.083,7.97,504779,490227,349,2,14080,2282,1620087.5,109.6,0.991,0.003,0.003,0.002,0.002,412,14.00,8.28,0.30,2.11,0.60,2.84,0.08,1.00,13.02,7.89,0.03,0.39,0.029,0.123,563,0.064,0.446,0.001,0.000,0.553,504323,503147,2,0.532,0.000,0.008,576891,0.022,0.525,0.005,163.07,175687,146,0.048,0.500,0.000,391023,1.12,13.53,0.003,0.006,0.008,6,12,24,64,417,26,0.43,0.0052
80000,2342,1.397,0.057,7.46,479675,467910,330,19,11463,9947,1621627.2,642.9,0.988,0.003,0.003,0.003,0.003,493,15.02,9.43,0.90,3.54,0.82,3.08,0.17,1.27,13.13,8.15,0.01,0.24,0.041,0.139,606,0.097,0.458,0.009,0.000,0.532,479096,477913,2,0.533,0.223,0.026,231298,0.032,0.435,0.003,163.01,151561,87,0.065,0.684,0.000,638574,1.26,12.19,0.001,0.014,0.005,6,14,26,64,415,29,0.50,0.0053
90000,2338,1.390,0.076,8.12,505940,491240,340,33,14331,7743,1637256.0,604.0,0.992,0.001,0.002,0.002,0.002,447,15.27,8.93,0.06,0.74,0.40,2.40,0.05,0.81,14.75,8.46,0.00,0.11,0.019,0.098,556,0.049,0.435,0.000,0.000,0.565,505456,504525,3,0.288,0.462,0.006,215976,0.025,0.493,0.004,163.08,163677,211,0.078,0.515,0.000,483159,1.02,11.80,0.002,0.020,0.001,5,14,26,64,432,30,0.42,0.0047
100000,2547,1.331,0.054,7.50,500017,485755,307,220,13526,17416,1628705.1,1843.2,0.989,0.002,0.003,0.003,0.004,455,12.73,8.43,0.32,2.18,0.58,2.90,0.05,0.78,11.79,7.18,0.01,0.22,0.027,0.112,561,0.076,0.473,0.001,0.000,0.525,499467,498329,1,0.246,0.754,0.006,259837,0.032,0.416,0.003,163.09,157718,495,0.106,0.359,0.000,625764,1.09,13.61,0.002,0.015,0.005,5,11,24,64,430,30,0.42,0.0054
