step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
10000,1169,2.266,0.011,6.03,274349,271676,4,1979,1027,4505755,1712393.6,266743.7,0.680,0.101,0.102,0.060,0.057,596,35.58,24.16,10.75,17.29,2.01,5.06,0.53,3.15,22.29,22.86,0.81,1.52,0.049,0.116,568,0.160,0.470,0.305,0.019,0.207,272245,267535,5,0.680,0.030,0.050,1591128,0.053,0.201,0.001,159.31,103731,136,0.059,0.369,0.146,96560896,3.89,7.66,0.293,0.682,0.245,6,32,64,64,155,61,4.44,0.0066
20000,1166,2.378,0.007,5.74,227598,220447,31,6720,403,5260604,1565624.8,323621.7,0.721,0.068,0.070,0.073,0.068,710,38.96,24.57,11.38,18.10,1.80,4.52,0.53,3.53,25.26,24.28,0.61,1.40,0.036,0.092,497,0.204,0.481,0.238,0.025,0.256,227554,226689,3,0.791,0.095,0.046,556089,0.034,0.112,0.000,157.31,80131,72,0.062,0.562,0.129,77153029,4.09,6.70,0.358,0.611,0.168,6,47,64,64,166,51,6.44,0.0053
30000,1160,2.516,0.009,7.07,192224,187644,35,3894,657,3381918,1508689.2,230625.8,0.714,0.067,0.073,0.074,0.072,837,37.92,21.36,14.76,18.06,1.36,3.31,0.58,4.30,21.23,17.45,0.62,1.35,0.028,0.074,590,0.053,0.417,0.322,0.003,0.258,192164,191156,6,0.579,0.159,0.031,582479,0.035,0.154,0.000,151.12,65037,98,0.068,0.490,0.068,65974064,4.82,6.47,0.193,0.504,0.191,6,40,64,64,161,44,12.63,0.0061
40000,1371,1.972,0.007,6.57,216831,209799,62,4686,2073,3578755,1562646.1,243106.7,0.758,0.056,0.060,0.064,0.063,795,27.82,21.88,9.01,16.65,1.58,3.86,0.41,3.32,16.82,15.38,0.58,1.34,0.036,0.096,601,0.053,0.526,0.216,0.001,0.257,216766,215791,5,0.780,0.036,0.042,471553,0.043,0.128,0.000,156.81,75163,76,0.068,0.591,0.086,68152931,3.35,9.77,0.131,0.573,0.169,4,24,64,64,173,53,6.95,0.0068
50000,1335,2.122,0.006,8.27,235284,230193,55,2548,2524,3983630,1573907.8,256081.0,0.773,0.056,0.061,0.056,0.054,652,32.86,23.07,9.79,16.74,2.06,3.98,0.23,1.43,20.78,18.55,0.48,1.16,0.059,0.145,581,0.082,0.466,0.228,0.008,0.298,235246,234011,5,0.551,0.341,0.059,827601,0.026,0.130,0.000,157.29,83921,117,0.064,0.432,0.087,70308270,3.54,8.36,0.195,0.479,0.167,4,34,64,64,161,50,6.46,0.0057
60000,1066,2.365,0.014,6.40,218332,211391,68,4621,2521,3154316,1532682.4,224093.1,0.706,0.061,0.069,0.083,0.081,713,35.85,21.54,12.94,19.08,1.52,4.35,0.95,4.87,20.45,15.53,0.48,1.12,0.032,0.099,432,0.056,0.437,0.255,0.003,0.305,218295,216962,5,0.643,0.068,0.054,680771,0.036,0.236,0.001,152.90,78138,52,0.071,0.691,0.065,69201290,4.41,6.57,0.222,0.374,0.176,7,33,64,64,148,51,10.85,0.0070
70000,1253,2.215,0.005,6.68,219775,214799,102,2713,1974,2358747,1521313.5,162007.9,0.715,0.075,0.077,0.067,0.067,892,34.58,22.49,8.06,16.59,1.81,5.99,0.35,2.00,24.37,18.70,0.30,0.99,0.031,0.101,441,0.072,0.473,0.140,0.004,0.383,219710,218710,5,0.707,0.033,0.076,631228,0.052,0.100,0.000,152.24,72413,45,0.069,0.722,0.049,60709419,3.17,7.36,0.257,0.294,0.099,8,25,64,64,162,47,11.51,0.0050
80000,950,2.653,0.014,8.87,189465,187568,98,980,1122,2070841,1509940.4,146773.5,0.689,0.103,0.106,0.052,0.051,972,43.66,25.08,17.72,20.58,1.91,4.71,0.13,1.38,23.90,22.53,0.41,0.99,0.044,0.099,333,0.177,0.472,0.325,0.004,0.199,189380,188446,5,0.342,0.233,0.015,576247,0.034,0.255,0.001,150.83,64771,113,0.071,0.457,0.061,59625899,5.59,6.37,0.448,0.481,0.164,3,58,64,64,140,47,12.92,0.0067
90000,1108,2.499,0.010,9.04,154482,152734,143,1191,256,2243937,1534999.0,168469.2,0.629,0.124,0.126,0.060,0.061,831,39.62,25.53,14.79,19.83,2.72,6.88,1.71,5.92,20.40,19.60,0.53,1.19,0.053,0.120,478,0.060,0.496,0.294,0.006,0.203,154405,153200,5,0.393,0.281,0.171,1578168,0.017,0.174,0.001,152.81,64101,160,0.075,0.285,0.077,74975277,4.89,7.53,0.378,0.561,0.191,4,52,64,64,149,53,10.95,0.0068
100000,1186,2.492,0.008,6.74,165352,164179,142,376,577,2102106,1578876.6,142693.8,0.692,0.096,0.099,0.057,0.056,935,37.34,22.10,13.63,19.03,2.45,5.42,0.27,2.63,20.99,18.57,0.52,1.24,0.060,0.138,488,0.052,0.511,0.249,0.008,0.233,165299,164610,3,0.753,0.034,0.028,867921,0.025,0.120,0.000,157.06,62850,156,0.068,0.346,0.118,58562234,4.59,6.77,0.207,0.478,0.169,7,42,64,64,156,47,6.69,0.0063
110000,1393,2.081,0.008,7.67,215877,212188,108,498,2876,2850852,1579844.0,189568.3,0.743,0.080,0.087,0.047,0.043,786,29.41,21.58,10.81,18.42,1.74,4.56,0.19,1.46,16.66,14.23,0.44,1.16,0.041,0.117,603,0.046,0.497,0.222,0.001,0.279,215848,214948,4,0.327,0.291,0.034,335818,0.052,0.147,0.000,157.47,82136,121,0.066,0.498,0.085,61000153,3.99,9.93,0.164,0.490,0.140,6,22,64,64,167,56,6.29,0.0068
120000,1112,2.511,0.011,7.15,210169,205174,132,625,4519,2604994,1537538.9,189823.5,0.730,0.077,0.083,0.057,0.052,728,36.31,21.50,15.50,19.16,1.41,3.73,0.18,1.47,19.22,15.71,0.49,1.21,0.032,0.093,540,0.029,0.478,0.264,0.002,0.256,210135,209104,4,0.514,0.201,0.043,373905,0.049,0.192,0.001,153.93,82661,116,0.073,0.491,0.060,65443056,5.00,7.07,0.189,0.457,0.158,6,35,64,64,149,48,9.82,0.0072
130000,1387,2.023,0.005,7.60,248219,242372,140,1085,4347,3284825,1578599.9,221764.9,0.776,0.066,0.072,0.044,0.043,684,28.89,22.13,8.98,17.71,1.92,4.64,0.10,1.08,17.88,15.32,0.43,1.17,0.044,0.117,621,0.028,0.534,0.185,0.012,0.268,248179,247011,5,0.308,0.581,0.014,258264,0.037,0.087,0.000,157.93,92463,158,0.068,0.359,0.094,69515507,3.51,9.84,0.165,0.497,0.126,4,22,64,64,157,68,5.82,0.0064
140000,1541,1.900,0.004,6.63,268266,263495,176,2095,2346,3678170,1596119.1,244704.0,0.785,0.065,0.069,0.042,0.039,661,26.64,20.82,8.18,16.88,1.79,5.18,0.23,1.33,16.45,14.14,0.36,1.09,0.055,0.164,688,0.077,0.520,0.180,0.005,0.295,268236,267189,5,0.696,0.169,0.054,448189,0.028,0.064,0.000,159.04,99154,193,0.067,0.273,0.074,78325997,3.31,9.70,0.127,0.519,0.108,4,19,64,64,157,75,4.72,0.0063
150000,1402,1.987,0.009,7.21,246376,241593,210,2467,2245,3098971,1589659.9,219291.6,0.778,0.066,0.069,0.044,0.043,678,26.75,21.88,9.01,17.74,1.08,3.63,0.38,2.67,16.27,14.20,0.37,1.09,0.022,0.078,571,0.039,0.541,0.171,0.007,0.280,246342,245424,5,0.795,0.001,0.052,658432,0.022,0.158,0.000,158.70,90231,179,0.071,0.259,0.053,77898618,3.50,11.09,0.143,0.490,0.116,3,20,64,64,173,83,5.05,0.0070
160000,1136,2.354,0.007,7.52,205794,201978,172,2258,1652,3405360,1528316.9,229313.8,0.690,0.098,0.102,0.054,0.056,826,37.06,20.62,12.71,18.00,2.69,5.20,0.54,3.24,21.12,16.59,0.69,1.39,0.061,0.130,569,0.056,0.443,0.277,0.011,0.268,205736,204753,4,0.352,0.452,0.069,713504,0.028,0.158,0.001,152.02,71048,144,0.067,0.322,0.104,75519766,4.24,6.69,0.143,0.554,0.233,8,40,64,64,174,54,11.73,0.0064
170000,1405,2.069,0.005,8.48,233995,230328,127,777,2494,3322060,1538604.9,214470.2,0.685,0.103,0.105,0.051,0.056,622,28.77,20.28,9.97,17.70,1.37,3.88,0.17,1.38,17.27,12.92,0.43,1.13,0.031,0.097,669,0.033,0.477,0.213,0.007,0.303,233929,232648,7,0.329,0.093,0.030,624669,0.033,0.109,0.000,153.48,88476,121,0.065,0.405,0.088,76388896,3.59,8.52,0.122,0.491,0.140,6,23,64,64,160,58,10.28,0.0063
180000,1352,2.140,0.006,8.01,244959,241629,164,1363,1856,4889266,1582529.1,311239.8,0.688,0.090,0.094,0.064,0.066,556,29.12,23.13,13.83,19.11,1.74,3.67,0.18,1.13,13.37,13.17,0.73,1.40,0.033,0.072,680,0.035,0.561,0.308,0.013,0.117,244901,243297,8,0.315,0.127,0.046,464447,0.028,0.143,0.000,157.62,91126,146,0.064,0.390,0.138,94568862,4.53,10.48,0.143,0.763,0.239,4,18,64,64,163,61,6.13,0.0088
