step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
10000,2786,1.359,0.031,8.27,392485,377710,577,732,12186,94820,1734522.2,10209.6,0.771,0.027,0.037,0.080,0.085,531,10.44,7.49,0.41,2.01,0.29,1.72,0.44,2.95,9.30,6.46,0.01,0.19,0.023,0.126,785,0.066,0.622,0.008,0.001,0.369,384735,362337,6,0.269,0.242,0.065,3403255,0.055,0.195,0.000,162.57,132994,236,0.108,0.462,0.001,3491586,1.15,15.81,0.001,0.098,0.006,4,9,18,64,1079,11,0.71,0.0067
20000,2983,1.334,0.025,9.01,455464,435087,1461,8,18711,4017,1605356.0,365.6,0.868,0.011,0.012,0.051,0.057,414,8.69,6.34,0.14,1.20,0.17,1.29,0.20,1.86,8.18,5.65,0.00,0.06,0.016,0.092,660,0.036,0.636,0.003,0.000,0.361,450519,438143,11,0.216,0.060,0.041,1511112,0.042,0.165,0.000,163.14,155103,511,0.091,0.500,0.000,2130598,1.05,17.57,0.001,0.011,0.001,3,7,16,64,1134,11,0.13,0.0066
30000,2860,1.403,0.025,8.80,454226,431521,1487,28,21313,2048,1611208.1,214.2,0.855,0.018,0.014,0.055,0.059,395,9.41,7.77,0.09,0.96,0.29,2.01,0.52,2.77,8.51,6.89,0.00,0.04,0.022,0.116,736,0.044,0.656,0.001,0.000,0.343,448226,435060,9,0.401,0.003,0.094,2128960,0.028,0.150,0.000,163.22,162978,983,0.105,0.393,0.000,2239979,1.03,17.57,0.001,0.015,0.001,3,7,19,64,1091,11,0.05,0.0066
40000,2871,1.366,0.020,7.57,456319,434367,1581,13,20347,1877,1614298.1,199.7,0.863,0.015,0.012,0.053,0.057,425,9.52,6.81,0.14,1.08,0.25,1.72,0.59,2.57,8.55,5.96,0.00,0.00,0.013,0.086,644,0.061,0.635,0.001,0.000,0.364,451094,439099,5,0.560,0.296,0.096,2004638,0.042,0.122,0.000,163.22,161472,621,0.106,0.308,0.000,2184524,1.05,16.92,0.000,0.006,0.000,4,8,17,62,1135,10,0.06,0.0066
50000,2857,1.357,0.023,7.98,450686,430292,1626,5,18777,1463,1607435.8,164.9,0.844,0.014,0.014,0.060,0.068,452,9.81,6.62,0.20,1.88,0.08,0.90,0.61,2.61,8.92,5.79,0.00,0.08,0.005,0.051,674,0.072,0.612,0.000,0.000,0.388,444444,433627,8,0.435,0.052,0.131,3920909,0.036,0.135,0.000,163.25,149763,14,0.113,1.000,0.000,2135015,1.07,16.62,0.001,0.008,0.001,4,9,17,64,1130,11,0.02,0.0063
60000,2990,1.322,0.019,8.24,472973,448201,1782,33,22824,3106,1597996.9,444.9,0.875,0.015,0.014,0.045,0.051,449,8.55,5.95,0.14,1.33,0.19,1.60,0.28,1.76,7.93,5.28,0.01,0.23,0.012,0.080,664,0.046,0.637,0.002,0.000,0.361,466666,455578,11,0.452,0.010,0.073,2267881,0.041,0.114,0.000,163.23,155297,144,0.143,0.606,0.000,1414564,1.05,17.76,0.001,0.012,0.002,3,7,14,64,1126,11,0.04,0.0067
70000,2928,1.335,0.019,8.38,469433,442748,1853,9,24885,2211,1608359.5,311.3,0.878,0.016,0.013,0.046,0.047,431,8.68,6.11,0.14,1.32,0.14,1.52,0.25,1.90,8.15,5.46,0.00,0.04,0.009,0.077,651,0.088,0.636,0.001,0.000,0.363,463982,451903,7,0.229,0.335,0.056,2544564,0.031,0.128,0.000,163.22,160019,655,0.141,0.333,0.000,1542289,1.05,17.75,0.000,0.005,0.000,4,7,15,56,1107,13,0.05,0.0067
80000,3125,1.315,0.013,8.20,469648,442259,1849,4,25339,1234,1621107.9,105.7,0.877,0.017,0.016,0.044,0.046,413,8.14,5.94,0.20,2.06,0.08,1.10,0.43,2.01,7.43,5.09,0.00,0.12,0.006,0.061,585,0.160,0.671,0.002,0.000,0.327,464603,453642,8,0.244,0.278,0.093,2277691,0.056,0.088,0.000,163.24,162103,10,0.086,1.000,0.000,1431222,1.07,18.16,0.000,0.005,0.001,4,7,13,64,1184,12,0.03,0.0070
90000,3057,1.296,0.014,8.98,474826,445970,2174,21,26729,1939,1609839.6,195.6,0.889,0.017,0.016,0.037,0.041,417,8.33,6.48,0.15,1.58,0.08,1.11,0.26,2.01,7.85,5.75,0.00,0.17,0.005,0.054,588,0.055,0.655,0.000,0.000,0.345,469956,459553,10,0.259,0.033,0.056,2368365,0.070,0.086,0.000,163.25,163669,430,0.101,0.524,0.000,1325306,1.05,18.14,0.002,0.007,0.001,4,7,14,64,1117,13,0.02,0.0067
100000,2965,1.314,0.015,8.23,471341,443090,1832,10,26501,1956,1608001.4,213.8,0.888,0.017,0.018,0.036,0.041,383,9.01,6.67,0.35,2.66,0.05,0.61,0.37,2.44,8.24,5.47,0.00,0.13,0.003,0.043,553,0.071,0.621,0.004,0.000,0.375,466542,456541,8,0.417,0.030,0.068,2201293,0.080,0.094,0.000,163.26,170209,160,0.109,0.600,0.000,1263128,1.13,17.52,0.001,0.008,0.002,4,7,15,64,1134,11,0.02,0.0066
