step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat
5000,1,764,8.3,0.2,0.1,0.1,7.9,0.0,1.07,17.0,164,373,42.03,0.01
5000,2,587,11.0,0.0,0.1,0.1,10.8,0.0,1.02,16.8,115,347,48.59,0.00
5000,7,404,20.1,0.4,2.6,0.8,16.4,0.0,1.16,12.5,201,451,84.29,0.01
5000,5,345,13.8,0.0,0.2,1.6,11.9,0.0,1.01,13.3,103,383,57.62,0.00
5000,3,181,9.1,0.2,0.3,0.3,8.3,0.0,1.05,16.3,47,330,24.27,0.00
5000,4,66,8.1,0.0,0.2,0.0,7.9,0.0,1.00,17.4,12,161,11.53,0.00
6000,2,1111,10.8,0.1,0.2,0.5,10.0,0.0,1.04,16.5,253,405,54.19,0.05
6000,1,679,7.9,0.1,0.1,0.1,7.5,0.0,1.04,17.1,148,402,45.05,0.00
6000,7,377,22.5,0.3,2.4,1.6,18.1,0.1,1.10,11.4,204,497,100.34,0.00
6000,3,221,7.8,0.1,0.3,0.0,7.4,0.0,1.02,17.6,56,368,26.74,0.00
6000,14,28,23.4,0.0,2.9,3.4,17.1,0.0,1.00,5.4,24,187,24.99,0.00
7000,2,1078,10.3,0.1,0.0,0.4,9.8,0.0,1.04,17.0,223,434,56.30,0.00
7000,7,421,19.0,0.5,2.2,1.9,14.5,0.1,1.16,13.1,189,449,88.65,0.01
7000,3,164,7.1,0.0,0.4,0.0,6.7,0.0,1.00,18.6,44,399,26.58,0.00
7000,1,134,9.4,0.4,0.4,0.4,8.3,0.0,1.09,17.1,41,393,42.76,0.00
7000,14,52,21.5,0.0,3.0,2.6,15.9,0.0,1.01,7.2,35,152,20.25,0.00
8000,2,642,9.6,0.1,0.0,0.2,9.4,0.0,1.04,17.8,135,432,50.81,0.00
8000,7,431,19.3,0.5,1.8,1.2,15.8,0.1,1.14,12.8,206,586,115.26,0.01
8000,3,187,6.8,0.1,0.1,0.1,6.6,0.0,1.02,19.2,42,371,25.03,0.00
8000,1,155,8.8,0.2,0.5,0.1,8.0,0.0,1.04,17.3,50,462,54.97,0.00
8000,22,80,13.3,0.3,0.0,0.3,12.6,0.0,1.11,11.1,42,226,27.16,0.02
8000,14,24,17.2,0.5,2.0,0.5,14.3,0.0,1.18,9.7,14,142,16.29,0.00
9000,2,664,8.6,0.2,0.1,0.1,8.2,0.0,1.09,18.4,157,444,53.04,0.00
9000,7,476,15.5,0.4,0.9,0.6,13.4,0.0,1.21,14.5,167,321,54.90,0.00
9000,3,191,6.5,0.0,0.1,0.3,6.1,0.0,1.01,19.6,38,332,23.37,0.00
9000,1,104,6.8,0.2,0.5,0.1,5.9,0.0,1.06,19.5,27,537,44.86,0.00
9000,22,45,12.4,0.1,0.0,1.2,11.2,0.0,1.02,14.9,24,160,13.34,0.00
9000,14,9,23.4,0.0,4.0,0.1,19.3,0.0,1.00,7.8,4,99,14.61,0.00
10000,1,749,9.8,0.7,0.1,0.2,8.8,0.0,1.25,15.0,253,465,45.77,0.00
10000,2,694,7.8,0.1,0.0,0.1,7.6,0.0,1.04,19.0,138,583,66.96,0.00
10000,7,470,14.6,0.5,1.4,0.8,12.0,0.0,1.22,14.9,191,463,80.50,0.01
10000,3,123,6.0,0.0,0.0,0.0,6.0,0.0,1.01,19.6,32,404,28.25,0.00
10000,22,65,9.7,0.0,0.0,0.6,9.1,0.0,1.05,15.0,22,86,7.20,0.00
11000,2,642,9.0,0.1,0.0,0.1,8.8,0.0,1.05,18.0,149,456,50.00,0.00
11000,1,617,12.2,0.9,0.1,0.1,11.1,0.0,1.31,11.9,219,369,49.47,0.00
11000,7,495,13.3,0.5,1.0,0.8,10.9,0.0,1.24,15.9,166,413,73.97,0.01
11000,3,63,5.3,0.0,0.1,0.0,5.3,0.0,1.00,20.7,11,539,35.71,0.00
11000,22,41,9.4,0.1,0.0,0.2,9.1,0.0,1.03,16.1,9,192,15.29,0.00
11000,14,7,26.7,0.0,4.1,0.1,22.4,0.0,1.00,6.9,5,179,23.53,0.00
12000,2,644,9.0,0.3,0.0,0.2,8.5,0.0,1.14,18.2,150,504,56.39,0.00
12000,1,583,10.2,0.8,0.1,0.1,9.3,0.0,1.32,13.9,222,568,73.83,0.01
12000,7,500,10.8,0.1,0.4,0.6,9.6,0.0,1.04,17.7,134,361,56.54,0.01
12000,41,456,13.4,0.6,0.0,1.4,11.3,0.0,1.11,12.3,113,421,60.75,0.00
12000,42,116,8.2,0.1,0.0,0.2,7.8,0.0,1.05,17.2,22,208,12.97,0.00
12000,3,102,7.9,0.1,0.2,0.1,7.5,0.0,1.01,18.1,32,361,22.27,0.00
12000,22,55,9.5,0.0,0.0,1.3,8.1,0.0,1.02,16.3,18,236,17.13,0.00
13000,2,675,8.1,0.2,0.0,0.2,7.6,0.0,1.10,18.8,137,579,62.68,0.00
13000,7,601,9.1,0.1,0.4,0.1,8.5,0.0,1.03,19.1,102,320,39.95,0.00
13000,41,521,10.9,0.5,0.0,0.9,9.6,0.0,1.14,14.2,115,541,75.57,0.00
13000,1,397,11.9,0.8,0.1,0.0,11.1,0.0,1.28,13.0,167,411,54.00,0.00
13000,3,68,6.8,0.0,0.1,0.3,6.5,0.0,1.00,20.6,18,354,23.26,0.00
13000,22,59,12.2,0.7,0.2,3.2,8.1,0.0,1.21,14.1,17,129,10.13,0.00
13000,42,55,4.1,0.0,0.0,0.0,4.1,0.0,1.00,22.0,4,464,24.18,0.00
14000,2,676,7.8,0.4,0.0,0.2,7.2,0.0,1.16,19.0,122,508,50.12,0.00
14000,7,603,10.0,0.0,0.5,0.0,9.3,0.0,1.01,18.6,113,448,56.69,0.00
14000,41,547,11.8,0.4,0.1,1.2,10.2,0.0,1.10,13.8,140,407,51.74,0.00
14000,1,442,11.3,1.1,0.1,0.0,10.1,0.0,1.43,13.2,175,509,67.95,0.00
14000,48,138,9.4,0.0,0.8,0.2,8.4,0.0,1.01,16.6,52,320,24.60,0.00
14000,42,56,4.9,0.0,0.0,0.0,4.9,0.0,1.00,20.9,5,529,27.18,0.00
14000,3,34,6.3,0.0,0.8,0.0,5.5,0.0,1.00,20.6,10,387,23.93,0.00
14000,22,21,12.9,0.2,0.0,1.9,10.8,0.0,1.19,15.4,10,159,11.58,0.00
15000,2,686,7.8,0.2,0.0,0.1,7.4,0.0,1.08,19.1,121,529,51.44,0.00
15000,7,621,10.2,0.0,0.4,0.2,9.6,0.0,1.02,18.6,146,346,46.46,0.00
15000,41,553,11.8,0.4,0.1,1.1,10.3,0.0,1.10,14.9,152,372,52.48,0.00
15000,48,152,12.4,0.0,0.6,0.5,11.2,0.0,1.00,14.1,58,417,32.79,0.00
15000,1,142,8.4,0.6,1.0,0.0,6.8,0.1,1.21,16.6,45,434,45.17,0.00
15000,22,66,9.7,0.1,0.0,1.4,8.1,0.0,1.04,17.8,23,171,11.80,0.00
15000,42,61,4.0,0.0,0.0,0.0,4.0,0.0,1.00,22.0,2,632,30.55,0.00
15000,49,24,4.5,0.0,0.0,0.0,4.5,0.0,1.00,20.2,7,559,44.25,0.00
15000,3,13,3.9,0.2,0.4,0.0,3.3,0.1,1.18,22.5,6,85,5.40,0.00
16000,2,685,7.4,0.2,0.0,0.1,7.1,0.0,1.07,19.3,101,589,59.93,0.00
16000,7,663,9.9,0.1,0.7,0.1,9.0,0.0,1.03,18.8,160,402,53.01,0.00
16000,41,515,11.8,0.5,0.0,1.3,10.0,0.0,1.13,14.1,148,542,81.08,0.00
16000,1,126,8.9,0.6,0.1,0.0,8.2,0.0,1.21,16.3,37,393,42.86,0.01
16000,48,110,9.0,0.6,0.5,0.4,7.5,0.0,1.14,17.5,38,375,29.39,0.00
16000,42,42,4.1,0.0,0.0,0.0,4.1,0.0,1.00,21.9,3,654,32.31,0.00
16000,22,31,12.4,0.0,0.2,1.1,11.1,0.0,1.01,11.2,14,135,11.77,0.00
16000,49,9,4.3,0.0,0.0,0.0,4.3,0.0,1.00,20.2,4,1093,88.43,0.00
17000,7,656,9.9,0.0,0.6,0.2,9.0,0.0,1.02,18.6,149,534,70.47,0.00
17000,2,614,8.6,0.1,0.0,0.1,8.4,0.0,1.03,18.6,111,354,35.20,0.00
17000,55,567,8.1,0.5,0.0,0.3,7.2,0.0,1.21,16.7,150,745,79.12,0.00
17000,41,516,11.4,0.3,0.1,0.8,10.2,0.0,1.08,13.9,137,499,68.18,0.00
17000,48,144,7.7,0.0,0.7,0.3,6.6,0.0,1.00,17.8,46,299,21.65,0.00
17000,1,130,8.1,0.7,0.0,0.0,7.4,0.0,1.26,16.6,40,495,56.46,0.01
17000,42,102,4.4,0.0,0.0,0.0,4.4,0.0,1.00,21.6,8,369,19.02,0.00
17000,49,38,7.1,0.0,0.6,0.0,6.5,0.0,1.00,18.2,17,462,40.38,0.00
17000,57,20,10.7,0.1,0.1,0.2,10.4,0.0,1.01,11.8,7,239,18.34,0.00
17000,22,10,15.6,0.0,0.0,5.0,10.6,0.0,1.00,10.2,2,125,13.20,0.00
18000,7,607,9.9,0.1,0.4,0.1,9.3,0.0,1.02,18.5,139,384,50.05,0.00
18000,2,592,9.5,0.2,0.1,0.3,8.9,0.0,1.09,18.1,138,420,49.55,0.00
18000,41,562,11.0,0.3,0.0,0.7,10.0,0.0,1.06,14.6,134,577,79.34,0.00
18000,55,395,7.8,0.0,0.1,0.0,7.7,0.0,1.00,16.7,96,338,32.78,0.00
18000,1,116,9.1,1.1,0.0,0.0,7.9,0.0,1.36,15.3,36,423,45.21,0.00
18000,48,85,7.9,0.0,1.4,0.1,6.4,0.0,1.00,17.5,25,502,34.99,0.00
18000,42,58,4.1,0.0,0.0,0.0,4.1,0.0,1.00,21.9,3,503,25.33,0.00
18000,49,53,8.9,0.0,0.3,0.0,8.6,0.0,1.00,16.4,21,613,56.97,0.00
18000,57,7,11.3,0.0,0.0,0.0,11.3,0.0,1.00,10.9,4,217,16.74,0.00
19000,7,703,9.6,0.0,0.6,0.2,8.8,0.0,1.00,18.9,171,468,60.52,0.00
19000,2,576,9.4,0.2,0.0,0.2,9.0,0.0,1.05,18.1,111,628,72.47,0.00
19000,41,460,9.9,0.1,0.0,0.6,9.1,0.0,1.03,15.3,102,500,63.46,0.00
19000,55,436,6.9,0.0,0.0,0.0,6.9,0.0,1.02,18.1,94,435,46.83,0.00
19000,1,177,6.8,1.1,0.0,0.0,5.7,0.0,1.37,18.6,36,383,35.22,0.01
19000,49,119,7.0,0.0,0.2,0.0,6.8,0.0,1.00,19.2,37,628,57.48,0.00
19000,57,70,12.2,0.1,0.2,0.0,11.9,0.0,1.04,11.1,32,103,9.65,0.00
19000,42,68,4.0,0.0,0.0,0.0,4.0,0.0,1.00,22.1,2,522,26.24,0.00
19000,48,58,6.8,0.0,0.6,0.0,6.2,0.0,1.00,19.3,16,931,66.84,0.00
20000,2,644,8.8,0.1,0.0,0.2,8.5,0.0,1.04,18.7,115,528,56.99,0.00
20000,7,608,8.8,0.1,0.4,0.1,8.2,0.0,1.02,19.5,126,404,48.40,0.00
20000,55,555,7.6,0.0,0.0,0.0,7.6,0.0,1.01,17.3,118,514,54.88,0.00
20000,41,477,10.0,0.2,0.1,0.9,8.8,0.0,1.05,15.3,123,454,53.36,0.00
20000,63,149,12.4,0.2,0.7,0.1,11.5,0.0,1.07,11.4,60,117,10.90,0.00
20000,49,110,6.4,0.0,0.5,0.0,5.9,0.0,1.00,19.7,36,686,62.59,0.00
20000,1,93,7.5,0.9,0.0,0.0,6.6,0.0,1.31,17.7,28,455,40.61,0.00
20000,57,60,11.1,0.0,0.0,0.0,11.1,0.0,1.00,12.1,25,114,9.46,0.00
