step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered
10000,2947,1.037,0.948,18.36,193754,127658,0,63708,879,3684698,1320378.5,1519054.1,0.074,0.703,0.167,0.056,79,22.29,13.37,0.75,3.62,4.44,5.22,0.54,1.93,11.23,15.21,0.01,0.12,0.190,0.193,1837,0.054,0.037,0.928,0.010,0.024,357605,245555,5,0.187,0.613,0.151,7040538,0.212,2.154,0.096,120.91,160884,174,0.412,0.232,0.468,21371243,1.26,4.62,0.275,0.703,0.006,4.8,22.0,37.2,105.3,49997,0.191,0.00,0.0040,0.077,788,0.736,0.001,0.664,0.473,3.35,4.14,4.20,0.03,0.015,1.29,1.24,1.26,0.789,0.00757,78.29,72.7838,1212.53,106270.5,140215.1,0.090,30.9576,285.823,0.000,1.000,0.109,83.8,110.785,115.175,2447,12424.7,14.32,111.750,6.31,10.203,207.9,5.871,0.135,2.00,4.7351,13954.2,0.5052,0.3009,16.97,1.507,0.561,1.5299,0.0000,0.749,0.223,0.820,0.0000,5.32,1.59,4,14,36,81,91.3237,0.0231,0.4299,0.0000,0.0000,41.1651,100.00,76.5388,274.3979,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0036,0.0014,0.000008,5,0.2429,0.0105,0.0102,38,130,379,0.0000,0.0000,0.0105,0.033,15.1811,0.0130,4.8220,0.0129
20000,2513,0.998,0.672,20.22,60016,48216,0,12190,24,917156,511776.7,354341.1,0.042,0.776,0.150,0.032,157,24.69,12.04,0.40,1.85,4.04,4.44,0.24,1.47,13.89,14.38,0.02,0.17,0.139,0.147,1299,0.059,0.080,0.893,0.006,0.021,68657,35938,6,0.505,0.041,0.055,1551319,0.162,1.757,0.063,49.97,39559,289,0.386,0.227,0.400,6664297,1.15,3.96,0.396,0.563,0.013,5.1,30.0,35.3,84.6,46675,0.178,0.00,0.0015,0.111,639,0.538,0.000,0.497,0.217,3.52,4.34,4.30,0.11,0.050,1.17,1.15,1.15,0.571,0.00534,14.32,10.0294,474.91,109152.6,140215.1,0.096,3.6452,109.514,0.000,1.000,0.378,84.0,47.853,31.425,1918,8712.0,10.92,25.304,5.92,1.241,100.4,0.739,0.136,2.00,6.4540,16218.9,0.5969,0.3109,18.57,1.469,0.604,0.4701,0.0000,0.777,0.227,0.834,0.0000,5.31,1.52,5,16,42,99,37.4769,0.3106,0.4413,0.0000,0.0000,11.3909,100.00,106.3313,240.8089,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0033,0.0014,0.000007,20,0.1715,0.0358,0.0144,42,133,517,0.0000,0.0000,0.0012,0.005,5.2340,0.0167,1.5056,0.0167
30000,2953,0.971,0.644,22.34,168195,130352,0,37043,317,2666420,1247038.8,1052391.0,0.039,0.808,0.128,0.026,84,24.40,11.55,0.19,1.45,4.48,4.49,0.20,1.37,12.40,11.85,0.01,0.13,0.153,0.148,1400,0.148,0.075,0.897,0.006,0.022,253497,142904,9,0.207,0.419,0.044,2228158,0.138,1.761,0.061,123.90,131219,208,0.395,0.207,0.418,26966718,1.06,3.77,0.487,0.483,0.004,5.5,30.0,32.0,97.2,51020,0.195,0.00,0.0034,0.105,772,0.756,0.000,0.659,0.368,3.38,4.17,4.21,0.04,0.016,1.06,1.07,1.06,0.788,0.00713,78.61,39.8961,489.77,105416.8,140215.1,0.000,11.4710,280.201,0.000,1.000,0.178,96.5,118.992,108.740,1722,8389.2,12.77,87.591,5.62,6.937,96.4,4.598,0.135,2.00,6.7188,19840.7,0.6086,0.2823,17.28,1.525,0.595,1.5299,0.0000,0.805,0.199,0.906,0.0000,5.13,1.54,5,16,36,100,101.3978,0.1435,0.4440,0.0000,0.0000,41.2131,100.00,83.4848,308.4154,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0033,0.0014,0.000007,43,0.9484,0.0549,0.0182,45,140,465,0.0000,0.0000,0.0041,0.008,13.0920,0.1271,4.1953,0.0119
40000,2673,0.845,0.451,25.41,43632,32318,0,10993,529,490149,495823.4,246780.8,0.051,0.731,0.210,0.009,188,23.22,12.75,0.03,0.68,5.16,4.71,0.03,0.50,8.70,7.27,0.00,0.03,0.172,0.152,1159,0.095,0.126,0.862,0.001,0.011,41697,19643,6,0.349,0.081,0.009,318494,0.159,1.388,0.038,48.88,26326,337,0.503,0.153,0.274,4775347,1.01,7.47,0.483,0.421,0.001,3.5,32.0,32.0,84.0,37207,0.142,0.00,0.0021,0.138,661,0.413,0.000,0.274,0.129,2.97,3.82,3.82,0.00,0.002,1.01,1.01,1.01,0.434,0.00604,16.40,5.9581,320.74,103586.0,140215.1,0.061,2.0028,102.208,0.000,1.000,0.334,82.2,47.238,19.855,1167,5223.4,17.05,14.022,4.78,0.539,42.9,0.348,0.132,2.01,9.6004,25661.9,0.8961,0.4192,13.92,1.605,0.555,0.4701,0.0000,0.749,0.276,0.665,0.0000,5.69,2.29,4,16,17,81,35.9626,0.4389,0.4250,0.0000,0.0000,11.1320,100.00,106.9837,244.3773,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0021,0.0010,0.000006,72,0.7226,0.0898,0.0351,46,152,711,0.0000,0.0000,0.0052,0.017,1.8310,0.1012,0.7497,0.0277
50000,2863,0.753,0.515,30.49,106104,73702,0,29986,1632,1137758,1217414.5,610656.6,0.067,0.790,0.140,0.002,100,26.08,12.32,0.08,0.65,2.89,3.53,0.04,0.65,11.24,6.87,0.00,0.04,0.101,0.119,1424,0.128,0.078,0.917,0.000,0.005,129919,67664,15,0.325,0.184,0.008,298237,0.229,1.566,0.049,121.73,75240,205,0.537,0.182,0.110,23704769,1.03,3.97,0.450,0.497,0.001,8.0,30.0,32.0,226.0,40790,0.156,0.00,0.0038,0.146,732,0.708,0.000,0.525,0.241,3.07,3.95,3.90,0.01,0.003,1.04,1.02,1.03,0.724,0.00926,81.57,26.1162,870.94,82862.5,140215.1,0.534,9.3826,259.054,0.000,1.000,0.072,93.2,116.715,91.436,1260,5930.7,20.16,71.024,4.43,6.440,54.2,4.076,0.134,2.00,15.7789,45175.1,1.3941,0.3727,14.25,1.815,0.432,1.5299,0.0000,0.872,0.217,0.847,0.0000,4.92,1.92,5,16,17,113,97.8314,0.1009,0.4907,0.0000,0.0000,40.3873,100.00,68.0863,310.3250,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0019,0.0008,0.000006,594,4.2281,0.2840,0.0536,47,154,677,0.0000,0.0000,0.0113,0.035,3.8904,0.7361,2.0528,0.0796
60000,2403,0.850,0.586,27.82,24786,18305,0,5714,408,195023,488466.3,176661.6,0.047,0.724,0.226,0.003,206,25.49,12.29,0.04,0.51,4.84,4.21,0.02,0.33,9.55,6.98,0.00,0.03,0.160,0.136,1015,0.104,0.124,0.867,0.000,0.009,22785,10049,10,0.558,0.086,0.007,90137,0.218,1.681,0.054,48.70,15358,481,0.906,0.123,0.143,3915382,1.01,5.27,0.506,0.402,0.001,5.7,32.0,32.0,82.0,34730,0.132,0.00,0.0021,0.161,594,0.360,0.000,0.194,0.105,3.14,3.87,3.95,0.01,0.004,1.01,1.01,1.01,0.369,0.00706,16.74,10.0639,387.80,96654.6,140215.1,0.050,4.0403,97.741,0.000,1.000,0.261,75.1,46.426,17.636,1438,7285.8,11.63,11.670,4.14,0.392,126.0,0.255,0.134,2.01,12.7399,30613.9,1.1059,0.5896,14.45,1.716,0.507,0.4701,0.0000,0.838,0.253,0.764,0.0000,5.23,2.02,5,16,17,88,35.4153,0.6149,0.4145,0.0000,0.0000,11.1348,100.00,101.9523,246.6769,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0012,0.0006,0.000005,819,2.2680,0.1536,0.1145,53,205,1996,0.0000,0.0000,0.0123,0.023,0.5211,0.4382,0.5352,0.0366
70000,2649,0.523,0.243,31.61,48621,35773,0,9637,459,389275,1166241.0,446484.6,0.027,0.794,0.177,0.002,133,24.30,10.91,0.07,0.57,1.99,2.99,0.03,0.32,10.90,5.64,0.02,0.20,0.070,0.101,1385,0.121,0.037,0.957,0.001,0.005,58251,25080,13,0.393,0.108,0.014,544660,0.177,0.931,0.016,117.71,38211,331,1.147,0.140,0.091,16806294,1.02,3.34,0.387,0.586,0.006,6.0,30.0,32.0,128.0,34378,0.131,0.00,0.0040,0.174,706,0.568,0.000,0.359,0.229,2.91,3.70,3.80,0.03,0.017,1.04,1.01,1.02,0.574,0.01318,90.22,36.6966,1175.88,81154.5,140215.1,1.874,11.0235,237.736,0.000,1.000,0.006,88.6,107.267,63.691,361,1271.0,17.63,42.161,4.11,2.126,3.4,1.449,0.134,2.00,19.7530,52325.8,1.9985,0.4686,12.98,1.880,0.357,1.5299,0.0000,0.901,0.175,0.899,0.0000,4.59,1.66,4,15,16,67,84.2784,0.2013,0.5153,0.0000,0.0000,38.7286,100.00,56.2708,265.5203,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0010,0.0005,0.000005,2506,7.0951,0.4134,0.1397,59,209,3012,0.0000,0.0000,0.0068,0.019,1.0773,1.3102,1.3438,0.1144
80000,2377,0.921,0.410,28.46,20605,14751,0,4515,223,155009,473916.5,188632.0,0.028,0.717,0.253,0.002,217,24.92,12.12,0.08,0.83,4.96,4.23,0.07,0.93,8.85,5.99,0.01,0.12,0.163,0.131,1053,0.112,0.111,0.875,0.002,0.012,19277,8760,11,0.251,0.088,0.016,208961,0.175,1.248,0.031,47.57,13372,642,1.217,0.135,0.196,3225391,1.03,6.21,0.509,0.430,0.008,4.8,32.0,32.0,98.0,33176,0.127,0.00,0.0023,0.156,594,0.306,0.000,0.182,0.117,3.05,3.81,3.86,0.03,0.013,1.04,1.03,1.03,0.313,0.00727,18.40,12.4793,408.11,97757.4,140215.1,0.007,4.5386,95.834,0.000,1.000,0.251,72.4,44.774,12.488,1033,4286.2,11.58,6.484,4.00,0.084,32.3,0.059,0.137,2.00,13.5876,32297.7,1.2242,0.7001,13.96,1.726,0.502,0.4701,0.0000,0.822,0.231,0.771,0.0000,5.39,2.42,4,16,16,90,33.4029,0.9662,0.4013,0.0000,0.0000,10.9530,100.00,100.5419,217.3697,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0010,0.0005,0.000004,1388,2.6514,0.1329,0.1629,53,225,3202,0.0000,0.0000,0.0036,0.012,0.3781,0.5071,0.5345,0.0383
90000,2683,0.494,0.222,32.16,38678,26927,0,8238,346,295420,1139900.0,461129.4,0.022,0.776,0.202,0.001,150,24.46,11.02,0.17,1.02,2.37,2.92,0.02,0.22,10.32,5.62,0.05,0.34,0.088,0.106,1404,0.112,0.030,0.966,0.001,0.003,44943,17499,16,0.171,0.104,0.012,506516,0.170,0.866,0.012,115.27,29771,423,1.561,0.118,0.108,14609948,1.05,3.22,0.409,0.572,0.020,6.0,30.0,32.0,140.0,34556,0.132,0.00,0.0041,0.172,770,0.520,0.000,0.336,0.221,2.94,3.72,3.78,0.06,0.028,1.09,1.02,1.05,0.526,0.01377,96.39,39.7526,1176.93,77782.2,140215.1,0.877,11.6822,231.527,0.000,1.000,0.009,87.6,102.190,48.588,283,863.7,23.54,28.947,4.02,0.603,1.7,0.462,0.137,2.00,20.8953,56062.1,2.1235,0.6013,12.88,1.891,0.344,1.5299,0.0000,0.870,0.171,0.906,0.0000,4.56,1.70,4,15,16,71,77.9155,0.3571,0.5013,0.0000,0.0000,37.5257,100.00,54.3167,246.3717,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0008,0.0003,0.000004,2861,7.5914,0.3973,0.1764,61,248,3362,0.0000,0.0000,0.0023,0.007,0.7560,1.4108,1.3597,0.1282
100000,2233,0.689,0.189,29.01,16587,12475,0,3028,146,115534,467582.6,181676.7,0.018,0.686,0.295,0.001,222,25.16,11.28,0.10,0.81,4.70,3.94,0.04,0.52,9.39,5.90,0.01,0.09,0.161,0.127,1104,0.058,0.109,0.883,0.000,0.008,17037,8433,18,0.197,0.089,0.014,238785,0.154,0.655,0.008,46.71,11749,863,1.572,0.133,0.181,2768044,1.03,5.12,0.484,0.463,0.005,8.0,30.0,32.0,124.0,31798,0.121,0.00,0.0022,0.156,583,0.284,0.000,0.166,0.159,3.12,3.86,3.97,0.05,0.021,1.04,1.01,1.03,0.290,0.00793,19.48,13.6085,378.88,99365.4,140215.1,0.004,4.7946,94.659,0.000,1.000,0.263,74.6,44.092,9.530,297,990.1,12.95,4.044,4.04,0.022,2.0,0.018,0.136,2.00,15.6847,35024.0,1.3444,0.8040,14.24,1.764,0.477,0.4701,0.0000,0.805,0.218,0.800,0.0000,5.20,2.34,5,16,19,62,33.0515,0.8218,0.4295,0.0000,0.0000,10.7989,100.00,99.7178,221.9934,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0009,0.0004,0.000004,1388,2.8271,0.1693,0.2071,54,255,3372,0.0000,0.0000,0.0024,0.008,0.2672,0.5366,0.5101,0.0484
