step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered
10000,4153,0.766,0.614,16.08,241992,160070,0,74902,4323,2961487,1292078.6,1393788.0,0.110,0.667,0.096,0.127,73,14.28,11.34,1.00,2.86,2.75,4.24,0.09,0.86,7.21,9.41,0.00,0.12,0.166,0.205,2384,0.032,0.050,0.900,0.015,0.035,362748,248286,2,0.524,0.109,0.027,3649132,0.208,1.629,0.055,119.75,159964,169,0.471,0.245,0.354,24473665,1.40,10.91,0.010,0.676,0.002,3.1,12.0,27.6,103.1,45872,0.175,0.00,0.0043,0.085,1000,0.741,0.001,0.791,0.352,2.67,3.83,3.45,0.02,0.011,1.54,1.36,1.38,0.789,0.00464,79.56,63.8253,851.17,107682.2,140135.6,0.088,29.0789,290.838,0.000,1.000,0.075,98.1,112.524,117.011,1719,7413.6,14.61,110.659,6.57,11.084,71.1,6.391,0.134,2.00,4.3184,17934.2,0.7295,0.3562,11.05,1.358,0.567,1.5488,0.0000,0.375,0.121,0.095,0.0000,6.37,2.07,3,8,23,81,95.5173,0.0655,0.4380,0.0000,0.0000,43.2659,100.00,74.3229,267.1711,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0037,0.0015,0.000005,7,0.2571,0.0087,0.0078,37,124,368,0.0000,0.0000,0.0952,0.322,26.8242,0.0415,9.5113,0.1204
20000,3452,0.898,0.658,17.27,77031,56212,0,20447,1049,668191,466528.6,370710.0,0.062,0.777,0.044,0.118,177,15.88,10.84,0.41,1.79,5.20,5.89,0.02,0.33,5.36,6.35,0.00,0.10,0.244,0.231,1853,0.127,0.076,0.880,0.012,0.032,74961,40491,2,0.596,0.047,0.007,183695,0.135,1.680,0.058,45.81,38749,295,0.555,0.206,0.384,6698344,1.19,10.85,0.151,0.649,0.002,2.9,13.6,32.0,58.0,37928,0.145,0.00,0.0025,0.115,920,0.429,0.001,0.494,0.103,2.69,3.40,3.74,0.01,0.005,1.21,1.18,1.20,0.452,0.00342,15.87,7.9580,778.34,110115.4,140135.6,0.455,3.0851,104.491,0.000,1.000,0.397,78.7,43.346,20.241,1818,7977.7,13.01,13.558,4.22,0.374,85.1,0.225,0.136,2.00,4.3365,14969.7,0.7073,0.4804,10.99,1.370,0.519,0.4512,0.0000,0.315,0.172,0.105,0.0000,6.28,1.92,3,10,17,47,34.0123,0.8582,0.3870,0.0000,0.0000,11.4205,100.00,105.3321,200.2185,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0030,0.0013,0.000006,24,0.0965,0.0130,0.0090,41,129,552,0.0000,0.0000,0.0314,0.052,3.4556,0.0091,1.6929,0.0397
30000,3856,0.806,0.467,20.38,249477,164668,0,81609,2772,2554533,1170954.8,1205104.6,0.052,0.723,0.060,0.165,77,15.99,10.41,0.31,1.79,4.39,4.94,0.03,0.32,6.04,6.80,0.00,0.13,0.209,0.194,1851,0.132,0.086,0.878,0.008,0.027,300725,168242,10,0.449,0.110,0.019,719623,0.182,1.363,0.037,121.48,138733,192,0.472,0.233,0.420,28715677,1.14,9.98,0.087,0.538,0.001,3.2,16.0,32.0,72.0,41583,0.159,0.00,0.0050,0.113,1065,0.715,0.001,0.651,0.216,2.68,3.41,3.49,0.01,0.003,1.16,1.15,1.14,0.747,0.00502,86.56,32.5579,471.17,108681.3,140135.6,0.020,12.4913,288.983,0.000,1.000,0.203,92.6,113.026,100.770,1358,5392.0,9.62,78.586,4.19,4.179,43.7,2.731,0.134,2.00,5.0211,19361.4,0.7628,0.4015,10.78,1.480,0.559,1.5488,0.0000,0.229,0.196,0.038,0.0000,5.94,2.04,3,9,18,56,96.6564,0.2869,0.4149,0.0000,0.0000,41.5122,100.00,83.7522,281.4492,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0033,0.0014,0.000006,24,0.3664,0.0252,0.0087,39,126,424,0.0000,0.0000,0.0252,0.048,10.2586,0.0340,5.1016,0.0306
40000,3511,0.706,0.351,21.21,72586,52093,0,20261,555,516092,459508.1,314451.1,0.024,0.820,0.047,0.110,185,13.16,8.37,0.17,1.30,3.71,3.80,0.01,0.28,4.62,4.63,0.00,0.03,0.215,0.183,1303,0.277,0.104,0.865,0.007,0.023,66384,33594,4,0.424,0.052,0.006,198147,0.108,1.066,0.022,45.12,34377,275,0.609,0.216,0.446,6803656,1.08,10.54,0.023,0.486,0.000,2.3,14.0,20.8,83.3,29904,0.114,0.00,0.0028,0.145,919,0.417,0.000,0.432,0.066,2.41,3.00,3.11,0.00,0.004,1.07,1.10,1.07,0.436,0.00362,16.63,4.9314,294.82,115135.8,140135.6,0.710,1.5933,102.276,0.000,1.000,0.425,81.0,44.408,15.520,930,3355.6,14.29,9.690,3.83,0.231,17.8,0.155,0.133,2.00,4.4906,15766.6,0.8132,0.5438,8.52,1.524,0.569,0.4512,0.0000,0.156,0.170,0.008,0.0000,5.69,1.95,2,9,15,51,34.8637,0.7407,0.4329,0.0000,0.0000,11.2385,100.00,106.0937,225.8472,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0028,0.0013,0.000005,22,0.2082,0.0205,0.0141,41,134,568,0.0000,0.0000,0.0158,0.026,2.0366,0.0203,1.0682,0.0282
50000,3561,0.794,0.402,20.60,238136,162486,0,73367,2203,1835188,1164041.4,979672.0,0.018,0.730,0.053,0.199,84,16.86,11.15,0.48,1.89,4.45,4.81,0.04,0.42,5.92,5.90,0.01,0.21,0.188,0.181,1467,0.091,0.102,0.875,0.005,0.018,261222,151000,4,0.455,0.464,0.013,543022,0.136,1.234,0.030,120.33,120254,190,0.534,0.243,0.393,28309655,1.22,9.47,0.142,0.586,0.004,2.6,16.0,32.0,130.0,38729,0.148,0.00,0.0055,0.120,899,0.675,0.001,0.658,0.152,2.67,3.40,3.49,0.02,0.007,1.24,1.26,1.19,0.700,0.00565,89.58,20.2834,300.33,108495.1,140135.6,0.032,6.1863,283.313,0.000,1.000,0.232,90.5,116.814,86.183,1063,4371.6,8.90,64.662,3.93,3.332,38.6,2.240,0.135,2.00,5.8777,20930.4,0.8105,0.4580,10.88,1.468,0.584,1.5488,0.0000,0.177,0.165,0.003,0.0000,5.81,1.97,3,11,16,70,100.6901,0.4619,0.4221,0.0000,0.0000,40.4732,100.00,85.1420,281.6546,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0031,0.0014,0.000006,30,0.6002,0.0511,0.0112,40,129,457,0.0000,0.0000,0.0172,0.029,6.9437,0.0518,3.6132,0.0320
60000,3056,0.725,0.313,21.49,55006,38984,0,16026,448,384664,451559.8,264450.7,0.015,0.815,0.040,0.130,204,15.66,10.72,0.26,1.70,3.96,4.11,0.05,0.22,5.55,4.82,0.00,0.02,0.183,0.163,1039,0.118,0.128,0.856,0.002,0.014,46820,21875,4,0.402,0.110,0.045,203565,0.097,0.999,0.019,44.54,27046,318,0.687,0.218,0.409,4792343,1.11,9.62,0.173,0.462,0.000,2.4,12.0,32.0,70.0,29986,0.114,0.00,0.0027,0.143,846,0.324,0.000,0.364,0.051,2.54,3.22,3.23,0.00,0.003,1.11,1.13,1.11,0.339,0.00466,17.53,4.0219,228.21,113447.8,140135.6,0.667,1.2846,97.543,0.000,1.000,0.421,76.9,43.849,11.218,762,2839.7,11.60,5.487,3.79,0.093,15.9,0.067,0.134,2.01,5.9929,18314.3,0.9273,0.6164,9.81,1.527,0.578,0.4512,0.0000,0.143,0.157,0.000,0.0000,5.63,1.96,3,9,16,54,33.4163,1.1837,0.4287,0.0000,0.0000,11.0923,100.00,106.0342,224.8545,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0022,0.0010,0.000006,53,0.3252,0.0317,0.0234,41,144,731,0.0000,0.0000,0.0201,0.031,1.4235,0.0376,0.8096,0.0239
70000,2951,0.735,0.464,22.17,136633,94137,0,40898,1502,1358431,1175941.4,721604.0,0.021,0.697,0.067,0.215,112,21.46,11.49,0.53,2.20,4.90,4.42,0.06,0.46,7.59,5.45,0.00,0.00,0.174,0.151,1288,0.176,0.079,0.911,0.000,0.009,159744,93983,3,0.384,0.363,0.036,1325906,0.169,1.388,0.038,118.47,71572,206,0.531,0.200,0.289,20488619,1.22,7.08,0.265,0.611,0.000,4.6,26.0,32.0,77.7,38590,0.147,0.00,0.0052,0.141,818,0.650,0.001,0.589,0.212,3.00,3.77,3.82,0.01,0.002,1.25,1.27,1.20,0.672,0.00839,90.50,21.0453,327.83,99966.8,140135.6,0.094,6.9160,262.049,0.000,1.000,0.150,89.6,114.645,85.489,1278,5453.7,9.93,64.223,4.35,4.438,50.4,2.864,0.134,2.00,9.8417,29042.8,0.9579,0.4205,13.08,1.551,0.568,1.5488,0.0000,0.150,0.162,0.001,0.0000,5.56,1.95,4,14,16,57,96.3749,0.2296,0.4734,0.0000,0.0000,40.2463,100.00,76.5392,288.7809,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0023,0.0010,0.000006,201,2.2187,0.1332,0.0327,47,150,591,0.0000,0.0000,0.0214,0.044,6.7161,0.3732,3.9158,0.0725
80000,2670,0.806,0.273,19.83,34029,24804,0,9096,240,287336,453999.2,206377.2,0.016,0.784,0.054,0.146,229,19.67,13.06,0.35,2.03,5.09,5.53,0.02,0.33,6.74,5.25,0.00,0.02,0.172,0.179,1048,0.137,0.154,0.833,0.000,0.013,28457,13776,2,0.528,0.006,0.009,347768,0.131,0.891,0.015,44.51,16663,428,0.718,0.136,0.344,3265109,1.15,9.23,0.300,0.576,0.000,2.4,22.0,32.0,81.9,32593,0.124,0.00,0.0025,0.148,670,0.276,0.000,0.324,0.068,2.83,3.57,3.63,0.00,0.001,1.16,1.18,1.15,0.289,0.00604,17.32,4.7990,181.09,113605.9,140135.6,0.859,1.5854,93.705,0.000,1.000,0.417,77.2,44.450,11.681,622,2291.6,11.10,6.522,4.00,0.164,15.9,0.113,0.135,2.00,7.0321,18775.7,0.8722,0.6048,12.21,1.451,0.588,0.4512,0.0000,0.519,0.197,0.496,0.0000,5.90,1.97,3,14,16,56,33.1120,1.3004,0.4064,0.0000,0.0000,11.0746,100.00,103.6228,230.6223,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0016,0.0007,0.000006,170,0.8878,0.0401,0.0629,52,183,1069,0.0000,0.0000,0.0130,0.030,0.9127,0.1541,0.6877,0.0243
90000,2958,0.768,0.451,23.54,132494,91423,0,39513,1141,1270329,1159797.9,697755.7,0.012,0.717,0.068,0.202,122,23.09,11.21,0.47,1.94,4.21,3.90,0.03,0.30,8.91,5.88,0.00,0.00,0.151,0.136,1437,0.098,0.082,0.909,0.002,0.007,150345,89437,6,0.397,0.064,0.016,377845,0.183,1.360,0.037,116.85,67225,215,0.549,0.187,0.234,19287067,1.20,5.54,0.333,0.578,0.000,6.0,28.0,32.0,98.0,40276,0.154,0.00,0.0044,0.144,818,0.620,0.001,0.547,0.195,3.08,3.82,3.93,0.01,0.004,1.22,1.24,1.17,0.641,0.00925,93.89,18.4639,435.64,96814.1,140135.6,0.006,5.2920,256.308,0.000,1.000,0.142,91.9,113.272,76.001,1182,5077.8,10.58,54.667,4.26,3.390,57.0,2.274,0.135,2.00,10.8869,32203.4,1.0284,0.4409,13.62,1.641,0.535,1.5488,0.0000,0.333,0.145,0.109,0.0000,5.26,1.84,5,15,17,65,93.2481,0.2734,0.4662,0.0000,0.0000,39.6112,100.00,80.7057,271.4808,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0023,0.0010,0.000007,129,1.8585,0.1738,0.0304,48,153,594,0.0000,0.0000,0.0224,0.045,5.4158,0.2885,3.5004,0.0707
100000,2735,0.861,0.259,22.03,35177,25990,0,8999,198,299126,458621.1,219130.6,0.019,0.790,0.057,0.134,226,21.03,14.07,0.36,2.22,5.82,5.87,0.04,0.53,6.57,5.39,0.00,0.06,0.190,0.177,1127,0.188,0.141,0.844,0.001,0.014,30117,14360,1,0.418,0.582,0.011,211160,0.150,0.821,0.012,44.91,17676,418,0.733,0.136,0.365,4013348,1.14,8.24,0.332,0.556,0.000,2.5,25.9,32.0,140.0,34992,0.133,0.00,0.0026,0.151,710,0.330,0.000,0.317,0.084,2.79,3.60,3.78,0.00,0.003,1.14,1.17,1.14,0.343,0.00571,16.81,5.7485,171.88,112324.6,140135.6,0.831,1.9227,95.246,0.000,1.000,0.409,79.3,44.715,13.106,589,2035.7,14.21,7.566,4.00,0.181,7.9,0.125,0.133,2.01,7.3051,19979.5,0.8335,0.6026,12.79,1.491,0.600,0.4512,0.0000,0.190,0.126,0.004,0.0000,5.75,1.93,3,14,17,70,33.6345,1.1795,0.4091,0.0000,0.0000,11.2026,100.00,103.0826,230.6202,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0017,0.0008,0.000006,213,1.0388,0.0501,0.0620,52,186,1045,0.0000,0.0000,0.0121,0.022,0.9585,0.1888,0.6765,0.0172
