step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered
10000,2749,0.971,0.444,8.84,152270,118230,0,31171,1564,2667086,1288132.8,1164992.2,0.142,0.629,0.117,0.112,102,24.70,18.07,2.10,3.87,2.97,5.57,0.42,1.92,11.63,10.38,0.53,1.17,0.072,0.131,1523,0.062,0.066,0.905,0.005,0.023,280161,204304,4,0.509,0.187,0.081,8676648,0.253,1.360,0.037,116.47,90541,238,0.437,0.166,0.263,18045791,1.76,7.18,0.090,0.605,0.200,4.9,20.0,53.9,125.9,47055,0.180,0.00,0.0040,0.120,653,0.762,0.000,0.690,0.475,3.39,3.88,5.04,0.55,0.203,1.80,1.24,2.17,0.804,0.00626,78.20,60.6692,682.18,111710.9,140078.7,0.092,24.2780,274.002,0.000,1.000,0.155,86.9,111.853,112.291,1173,4897.4,15.18,104.326,6.14,8.493,40.4,5.198,0.136,2.00,6.1755,16976.6,0.6216,0.2957,17.12,1.249,0.371,1.5122,0.0000,0.453,0.099,0.300,0.0000,6.25,0.91,5,18,28,64,97.0592,0.0387,0.4369,0.0000,0.0000,44.5123,100.00,82.3225,263.0575,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0036,0.0015,0.000007,5,0.2027,0.0127,0.0124,49,150,450,0.0000,0.0000,0.0573,0.343,13.6869,0.0157,4.2367,0.0167
20000,2948,1.111,0.736,14.37,58034,43148,0,14179,454,727773,494431.8,370692.7,0.088,0.707,0.108,0.097,190,21.33,15.05,0.87,3.43,3.46,5.33,2.19,4.37,9.00,8.64,0.04,0.33,0.121,0.167,1771,0.038,0.062,0.889,0.005,0.044,61581,35960,3,0.605,0.016,0.320,3426338,0.227,1.811,0.068,49.28,29081,414,0.509,0.176,0.336,4100335,1.29,7.09,0.144,0.654,0.018,4.1,19.8,40.0,166.5,45743,0.174,0.00,0.0019,0.114,705,0.346,0.000,0.498,0.173,3.09,3.67,4.67,0.08,0.027,1.18,1.20,1.46,0.372,0.00522,17.52,9.9579,1249.77,109348.8,140078.7,0.000,4.1587,105.753,0.000,1.000,0.273,78.2,45.324,20.004,2022,8950.6,13.84,13.796,3.73,0.434,88.1,0.263,0.136,2.00,4.7675,14054.6,0.5812,0.4292,15.52,1.424,0.465,0.4878,0.0000,0.277,0.198,0.047,0.0000,5.94,1.09,4,16,25,81,33.8663,0.4410,0.3636,0.0000,0.0000,12.6795,100.00,110.4441,191.8293,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0027,0.0013,0.000010,54,0.1771,0.0092,0.0179,40,128,608,0.0000,0.0000,0.1492,1.069,2.0748,0.0171,0.8988,0.0193
30000,2526,1.008,0.474,7.09,153625,115078,0,37339,1629,2133662,1146244.0,1019455.7,0.071,0.645,0.143,0.141,111,25.11,13.02,3.80,4.39,5.32,7.27,0.25,1.97,10.39,8.24,0.93,1.24,0.156,0.196,1303,0.078,0.079,0.893,0.000,0.029,204811,135886,1,0.852,0.148,0.027,4975241,0.168,1.365,0.038,114.64,78685,309,0.478,0.161,0.350,17983331,2.46,7.79,0.044,0.654,0.418,8.4,23.0,38.8,92.3,49921,0.190,0.00,0.0044,0.117,603,0.687,0.000,0.712,0.293,3.75,3.70,6.06,0.94,0.419,2.16,1.33,4.16,0.718,0.00795,88.25,34.8096,638.25,113232.9,140078.7,0.000,12.9593,259.623,0.000,1.000,0.220,84.8,104.831,86.857,1299,5173.9,16.67,66.114,3.84,2.762,40.9,1.885,0.135,2.00,6.0127,15188.0,0.4853,0.3757,19.76,1.070,0.047,1.5122,0.0000,0.503,0.058,0.548,0.0000,6.83,0.46,7,21,30,52,88.4532,0.0921,0.4382,0.0000,0.0000,42.1126,100.00,90.1249,240.9000,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0032,0.0014,0.000011,1,0.2061,0.0186,0.0119,45,145,539,0.0000,0.0000,0.1781,1.985,5.6093,0.0222,2.1602,0.0158
40000,2304,0.898,0.458,9.02,50679,39508,0,10940,447,684787,486953.9,331299.6,0.033,0.769,0.116,0.082,229,25.50,14.92,4.00,4.84,5.26,6.23,0.18,1.54,9.71,8.53,0.86,1.03,0.152,0.178,1160,0.095,0.090,0.885,0.003,0.022,51152,33865,3,0.593,0.009,0.024,348973,0.183,1.327,0.035,48.35,16620,393,0.484,0.122,0.339,5143871,2.31,7.87,0.021,0.651,0.424,5.6,26.4,41.8,95.9,44113,0.168,0.00,0.0022,0.122,584,0.454,0.000,0.524,0.156,3.82,3.88,5.95,0.88,0.426,2.04,1.33,3.37,0.476,0.00647,18.51,7.8530,453.01,114566.2,140078.7,0.000,3.2633,105.109,0.000,1.000,0.330,77.4,45.622,19.374,1219,4990.7,10.65,13.820,3.95,0.399,39.4,0.250,0.135,1.99,6.3744,14686.5,0.5834,0.4155,19.15,1.091,0.072,0.4878,0.0000,0.448,0.059,0.220,0.0000,6.88,0.41,5,20,29,82,35.1814,0.1236,0.4353,0.0000,0.0000,12.6495,100.00,111.8873,187.6732,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0028,0.0013,0.000011,6,0.0879,0.0130,0.0157,48,158,593,0.0000,0.0000,0.3695,2.718,2.2512,0.0051,0.7627,0.0556
50000,2410,0.978,0.434,8.34,121118,94636,0,24856,1520,1431457,1129337.9,715836.2,0.038,0.751,0.106,0.106,148,27.40,13.99,3.98,4.88,4.86,6.21,0.10,1.11,11.93,9.37,0.81,1.02,0.132,0.166,1220,0.117,0.094,0.886,0.000,0.020,155718,117438,1,0.588,0.412,0.017,665873,0.197,1.272,0.032,112.59,48878,311,0.500,0.141,0.314,20379810,2.28,7.15,0.027,0.636,0.399,7.4,28.2,41.8,90.6,50260,0.192,0.00,0.0039,0.118,647,0.766,0.000,0.751,0.276,3.94,4.16,6.10,0.82,0.401,2.02,1.38,3.14,0.783,0.00677,89.80,23.0869,459.38,112872.5,140078.7,0.000,8.5046,249.061,0.000,1.000,0.240,89.6,107.258,87.531,1219,4649.2,17.67,66.284,4.35,3.338,30.8,2.251,0.134,2.00,6.7759,16330.0,0.5171,0.3947,20.85,1.094,0.067,1.5122,0.0000,0.480,0.045,0.273,0.0000,6.92,0.43,7,21,29,64,94.4636,0.0354,0.4477,0.0000,0.0000,42.0313,100.00,90.8170,248.9758,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0029,0.0013,0.000008,0,0.2381,0.0203,0.0175,55,174,597,0.0000,0.0000,0.3678,1.724,2.3217,0.0173,1.2242,0.0722
60000,2181,1.056,0.432,8.54,43188,33003,0,9903,507,470999,480637.5,262002.0,0.032,0.825,0.106,0.037,247,26.20,15.01,3.88,4.83,5.41,6.43,0.28,2.35,10.38,8.66,0.89,1.06,0.148,0.171,1048,0.126,0.114,0.859,0.001,0.026,39275,25726,4,0.534,0.077,0.023,171277,0.206,1.253,0.030,47.77,14267,394,0.556,0.108,0.331,5093200,2.24,7.21,0.019,0.627,0.431,6.0,27.1,41.8,97.1,43513,0.166,0.00,0.0021,0.144,574,0.456,0.000,0.523,0.122,3.89,3.98,5.98,0.90,0.434,1.98,1.33,3.10,0.471,0.00690,19.35,5.3996,481.90,115928.9,140078.7,0.000,2.1047,101.858,0.000,1.000,0.347,73.1,46.212,16.116,1169,4450.5,13.97,10.498,3.97,0.243,34.1,0.160,0.130,2.01,6.2162,13557.6,0.5466,0.4856,19.95,1.086,0.068,0.4878,0.0000,0.487,0.038,0.293,0.0000,6.79,0.55,6,21,29,80,36.1008,0.0803,0.4049,0.0000,0.0000,12.5527,100.00,112.9752,190.0408,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0025,0.0012,0.000011,4,0.1012,0.0151,0.0204,53,179,667,0.0000,0.0000,0.4961,1.913,0.6773,0.0050,0.3718,0.0500
70000,2469,1.009,0.408,8.47,125541,92699,0,30581,1972,1477330,1114776.6,747670.5,0.043,0.763,0.123,0.072,152,26.38,14.29,4.06,4.66,5.36,6.21,0.14,1.21,10.17,8.21,0.90,1.04,0.148,0.170,1275,0.111,0.084,0.892,0.002,0.022,155518,114426,3,0.554,0.239,0.021,638125,0.216,1.242,0.030,111.03,48993,291,0.506,0.143,0.356,20128013,2.32,7.42,0.011,0.655,0.440,6.3,26.0,41.8,86.2,48716,0.186,0.00,0.0044,0.136,639,0.742,0.000,0.728,0.259,3.90,4.02,6.02,0.91,0.444,2.03,1.38,3.28,0.759,0.00705,92.30,22.7875,562.44,114060.1,140078.7,0.000,8.5799,247.473,0.000,1.000,0.246,85.2,105.330,82.157,1124,4281.8,25.95,61.580,4.17,3.063,24.4,2.070,0.134,2.00,6.2626,15462.5,0.5284,0.4077,19.73,1.095,0.064,1.5122,0.0000,0.486,0.043,0.276,0.0000,6.88,0.48,6,21,29,53,91.6174,0.0567,0.4265,0.0000,0.0000,41.3644,100.00,91.5751,241.4309,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0029,0.0013,0.000008,1,0.2166,0.0154,0.0159,54,171,579,0.0000,0.0000,0.3796,1.368,2.2943,0.0173,1.2374,0.0628
80000,2215,1.006,0.335,8.48,41076,31098,0,9663,554,401954,470110.4,254300.2,0.031,0.820,0.123,0.026,256,24.56,15.08,3.60,4.45,4.99,6.38,0.02,0.43,10.01,8.40,0.80,1.03,0.140,0.179,1009,0.110,0.098,0.877,0.001,0.024,35566,23277,2,0.514,0.000,0.006,119018,0.180,1.078,0.023,46.78,12914,442,0.633,0.097,0.315,4159397,2.17,7.91,0.025,0.656,0.388,5.1,22.2,41.8,87.9,41252,0.157,0.00,0.0021,0.130,568,0.374,0.000,0.421,0.117,3.89,3.97,5.94,0.81,0.393,1.90,1.35,3.00,0.387,0.00701,20.65,5.6111,564.64,116188.6,140078.7,0.000,2.1862,99.493,0.000,1.000,0.336,72.1,44.965,12.949,813,3095.5,18.70,7.838,3.91,0.159,16.5,0.109,0.132,2.01,6.7767,15010.4,0.6783,0.5474,18.62,1.087,0.062,0.4878,0.0000,0.470,0.022,0.059,0.0000,6.94,0.35,5,19,29,64,34.7951,0.1729,0.4027,0.0000,0.0000,12.3209,100.00,112.7197,181.4576,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0023,0.0012,0.000012,15,0.1257,0.0176,0.0226,52,177,703,0.0000,0.0000,0.4761,1.861,1.0488,0.0239,0.5178,0.0677
90000,2342,0.897,0.344,8.49,117520,87481,0,27791,2116,1338598,1084689.8,727073.5,0.055,0.731,0.141,0.072,162,25.51,14.15,3.73,4.58,5.08,6.17,0.05,0.67,10.57,8.27,0.85,1.03,0.140,0.168,1120,0.126,0.093,0.890,0.001,0.015,144301,108158,2,0.506,0.003,0.009,380179,0.243,1.133,0.025,108.04,45267,332,0.543,0.129,0.336,17950781,2.21,7.64,0.017,0.657,0.415,5.9,24.3,41.8,112.7,45496,0.174,0.00,0.0044,0.134,614,0.708,0.000,0.675,0.259,3.94,4.00,6.00,0.87,0.422,1.95,1.31,3.09,0.725,0.00762,96.89,22.2368,480.54,114472.7,140078.7,0.000,8.2322,241.137,0.000,1.000,0.248,84.8,102.258,73.854,885,3449.4,19.16,54.982,4.20,2.625,16.6,1.800,0.135,1.99,7.0818,16585.5,0.6150,0.4370,19.43,1.088,0.061,1.5122,0.0000,0.470,0.024,0.076,0.0000,6.91,0.36,5,21,29,83,88.4465,0.0699,0.4475,0.0000,0.0000,40.2181,100.00,92.2439,228.0617,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0027,0.0013,0.000009,5,0.2241,0.0188,0.0177,56,176,614,0.0000,0.0000,0.3573,1.108,3.0136,0.0169,1.5480,0.0640
100000,2308,0.967,0.393,8.58,42796,31760,0,10421,642,416923,468283.3,263563.3,0.037,0.805,0.126,0.032,251,24.34,15.25,3.80,4.56,5.06,6.23,0.06,0.85,9.33,7.74,0.83,1.02,0.140,0.172,1002,0.124,0.101,0.872,0.001,0.026,36851,23867,3,0.508,0.000,0.011,119117,0.209,1.222,0.029,46.74,13769,436,0.632,0.105,0.324,4081059,2.23,8.14,0.016,0.629,0.412,4.2,22.0,41.8,98.0,42125,0.161,0.00,0.0022,0.138,601,0.369,0.000,0.413,0.115,3.78,3.74,5.95,0.85,0.418,1.96,1.34,3.11,0.383,0.00671,20.69,5.6268,435.46,115036.3,140078.7,0.000,2.2114,99.744,0.000,1.000,0.320,76.1,44.754,12.846,1018,4114.9,15.37,7.651,3.89,0.171,33.1,0.115,0.133,1.99,6.5767,15179.1,0.6672,0.5501,18.25,1.079,0.068,0.4878,0.0000,0.466,0.026,0.044,0.0000,6.88,0.34,4,18,29,64,34.5930,0.2039,0.4190,0.0000,0.0000,12.3179,100.00,112.7075,177.5699,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0023,0.0012,0.000012,7,0.1135,0.0134,0.0212,51,174,700,0.0000,0.0000,0.4465,1.542,0.8588,0.0133,0.4669,0.0585
