step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered
10000,3133,0.987,0.903,7.21,181825,150752,0,26967,2436,2609498,1262645.8,1191963.4,0.071,0.718,0.117,0.094,106,19.02,13.10,1.69,2.38,2.63,4.59,0.25,1.45,10.34,12.87,0.83,1.46,0.125,0.183,1922,0.056,0.026,0.942,0.010,0.022,292990,214070,5,0.748,0.147,0.068,2753524,0.208,2.098,0.092,115.77,88263,254,0.457,0.156,0.413,23072482,1.81,10.97,0.053,0.711,0.277,4.8,17.1,36.9,106.8,46713,0.178,0.00,0.0039,0.139,781,0.746,0.000,0.714,0.399,3.19,4.82,3.47,0.84,0.281,2.81,1.51,1.67,0.789,0.00561,77.55,63.8738,1165.59,108289.3,140221.4,0.098,23.2643,280.232,0.000,1.000,0.089,85.1,111.283,118.033,2403,12017.4,14.16,104.403,6.28,7.944,129.6,4.836,0.135,2.00,4.0737,12762.9,0.5175,0.3020,14.91,1.191,0.243,1.5308,0.0000,0.557,0.089,0.658,0.0000,6.89,0.67,4,12,35,81,96.1574,0.0464,0.4117,0.0000,0.0000,49.4390,100.00,83.8683,254.1431,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0040,0.0016,0.000007,3,0.1769,0.0096,0.0094,50,151,434,0.0000,0.0000,0.0203,0.046,43.7930,0.0215,11.1911,0.0405
20000,3371,0.798,0.778,6.69,69008,57322,0,10083,1357,713618,493104.8,339104.3,0.054,0.766,0.097,0.083,182,15.86,9.25,1.67,2.19,2.69,3.89,0.07,0.93,6.88,7.82,0.61,1.01,0.143,0.183,1982,0.036,0.045,0.919,0.010,0.026,67596,40559,4,0.614,0.013,0.015,751066,0.177,1.936,0.075,48.21,21535,363,0.475,0.104,0.427,6793642,1.83,14.63,0.002,0.751,0.308,4.0,16.0,26.9,78.2,38133,0.145,0.00,0.0021,0.148,811,0.496,0.000,0.617,0.099,2.84,4.14,3.25,0.62,0.311,2.40,1.41,1.79,0.524,0.00387,13.85,9.3255,581.08,110577.8,140221.4,0.000,3.9184,107.055,0.000,1.000,0.386,84.2,45.729,32.312,2091,10279.5,11.18,24.758,5.15,1.208,125.3,0.723,0.132,2.01,3.8704,13047.1,0.5946,0.3930,11.31,1.225,0.217,0.4692,0.0000,0.547,0.083,0.488,0.0000,7.35,0.78,3,10,20,66,36.0265,0.1902,0.4340,0.0000,0.0000,13.6054,100.00,109.4754,199.2075,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0034,0.0015,0.000006,8,0.0669,0.0056,0.0088,52,154,512,0.0000,0.0000,0.0150,0.035,8.0509,0.0041,2.5364,0.0395
30000,3530,0.820,0.648,6.51,233036,191249,0,35784,5843,2377827,1165208.9,1101723.8,0.029,0.761,0.135,0.076,108,16.67,9.60,1.71,2.00,2.52,3.65,0.02,0.50,7.52,8.05,0.73,1.10,0.121,0.156,1834,0.058,0.053,0.918,0.009,0.020,271097,187878,2,0.534,0.407,0.004,566361,0.203,1.735,0.062,117.11,72753,272,0.463,0.118,0.422,29378044,1.80,15.28,0.001,0.746,0.354,4.2,17.2,26.9,83.9,41532,0.158,0.00,0.0044,0.133,928,0.727,0.000,0.791,0.177,2.82,4.20,3.30,0.73,0.354,2.42,1.37,1.75,0.757,0.00541,79.51,32.8449,492.19,111498.9,140221.4,0.000,10.8620,281.282,0.000,1.000,0.211,90.4,111.710,109.096,1795,8446.5,12.07,80.795,4.96,5.370,70.0,3.499,0.134,2.00,3.9519,13950.3,0.5832,0.3726,11.77,1.238,0.218,1.5308,0.0000,0.548,0.083,0.502,0.0000,7.57,0.82,3,11,23,75,95.7709,0.0823,0.4394,0.0000,0.0000,48.8228,100.00,91.0811,265.4487,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0040,0.0017,0.000007,1,0.1286,0.0051,0.0056,56,153,432,0.0000,0.0000,0.0466,0.206,21.5291,0.0074,8.2133,0.0354
40000,3318,0.826,0.591,6.56,66473,56342,0,8342,1985,549996,478574.6,310531.8,0.059,0.750,0.126,0.066,218,15.12,10.20,1.47,1.73,2.34,3.66,0.02,0.27,7.24,7.53,0.66,1.01,0.116,0.164,1662,0.057,0.058,0.907,0.009,0.027,61379,41571,3,0.561,0.000,0.007,116210,0.176,1.636,0.053,47.15,18002,471,0.565,0.077,0.392,6451257,1.69,16.12,0.001,0.731,0.335,3.1,14.1,26.0,99.1,36732,0.140,0.00,0.0020,0.135,791,0.455,0.000,0.562,0.056,2.75,4.11,3.14,0.66,0.337,2.24,1.30,1.65,0.476,0.00376,16.09,7.2143,555.67,113618.7,140221.4,0.000,2.5326,105.139,0.000,1.000,0.433,80.9,45.336,22.583,1549,7269.5,13.31,15.719,4.63,0.504,75.4,0.323,0.135,1.99,3.9470,13096.1,0.6513,0.4776,11.07,1.180,0.202,0.4692,0.0000,0.558,0.079,0.581,0.0000,7.66,0.84,3,10,20,64,36.0185,0.3447,0.4298,0.0000,0.0000,13.1263,100.00,112.0319,198.9563,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0031,0.0014,0.000006,16,0.0776,0.0060,0.0101,56,165,592,0.0000,0.0000,0.0148,0.032,5.5803,0.0049,2.2067,0.0470
50000,3715,0.905,0.698,6.41,244421,200619,0,37157,6244,2410053,1160883.5,1121862.8,0.036,0.736,0.143,0.085,110,15.89,9.38,1.38,1.93,2.73,3.72,0.04,0.69,7.40,7.96,0.53,0.94,0.149,0.187,1942,0.046,0.047,0.919,0.009,0.025,278465,195928,2,0.776,0.215,0.009,573249,0.214,1.813,0.067,117.09,75198,271,0.465,0.118,0.462,28876571,1.71,15.61,0.001,0.749,0.269,4.0,15.9,27.4,123.6,42942,0.164,0.00,0.0042,0.130,917,0.719,0.000,0.777,0.161,2.79,4.13,3.28,0.53,0.270,2.20,1.37,1.68,0.751,0.00499,80.05,32.9823,678.85,111113.0,140221.4,0.000,10.6471,282.163,0.000,1.000,0.183,87.1,111.126,107.306,1863,9073.1,11.21,78.754,4.86,4.931,71.6,3.262,0.134,2.00,3.5107,13042.4,0.5435,0.3766,11.56,1.233,0.207,1.5308,0.0000,0.539,0.059,0.584,0.0000,7.61,0.93,3,10,21,67,95.5471,0.1442,0.4022,0.0000,0.0000,48.7309,100.00,91.7500,262.3664,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0041,0.0017,0.000007,4,0.1231,0.0048,0.0051,55,148,426,0.0000,0.0000,0.0400,0.143,22.4186,0.0064,8.6742,0.0581
60000,3304,0.883,0.764,9.79,78773,62678,0,14793,1706,797639,489970.5,380774.4,0.054,0.780,0.096,0.070,192,16.98,11.81,1.18,2.39,2.98,3.82,0.08,1.07,6.91,7.62,0.36,0.83,0.141,0.153,2047,0.021,0.053,0.915,0.009,0.023,75581,45808,5,0.392,0.000,0.011,166878,0.160,1.935,0.075,48.12,25363,298,0.477,0.124,0.464,7463364,1.58,15.61,0.001,0.757,0.182,3.7,16.1,29.3,148.2,36867,0.141,0.00,0.0021,0.153,778,0.490,0.000,0.637,0.073,2.72,3.95,3.30,0.37,0.185,1.95,1.31,1.57,0.518,0.00413,14.31,8.4212,477.39,111478.8,140221.4,0.000,3.1357,109.405,0.000,1.000,0.411,81.0,46.013,29.707,2051,10275.0,9.58,22.258,4.86,0.988,115.8,0.605,0.134,2.00,3.6645,12107.4,0.6024,0.4072,11.16,1.413,0.449,0.4692,0.0000,0.587,0.096,0.692,0.0000,7.52,1.04,3,10,19,85,35.8145,0.1640,0.4146,0.0000,0.0000,13.4462,100.00,111.1662,205.4995,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0034,0.0015,0.000007,7,0.0636,0.0061,0.0076,50,151,494,0.0000,0.0000,0.1963,1.429,6.8620,0.0043,2.5242,0.0530
70000,3604,0.870,0.678,8.67,243440,199699,0,36636,6800,2489409,1163164.1,1130808.2,0.026,0.770,0.108,0.096,103,15.79,10.01,1.62,2.04,2.22,3.39,0.05,0.68,8.19,10.66,0.64,0.95,0.115,0.148,1988,0.061,0.047,0.921,0.010,0.022,278411,186709,6,0.507,0.162,0.011,632961,0.180,1.788,0.067,117.54,92410,263,0.454,0.109,0.428,30098170,1.82,16.51,0.001,0.728,0.335,3.8,15.7,25.8,105.5,43550,0.166,0.00,0.0039,0.148,911,0.717,0.000,0.779,0.165,2.85,4.29,3.19,0.64,0.337,2.44,1.40,1.78,0.749,0.00535,79.82,32.9884,591.50,111202.8,140221.4,0.000,10.0703,284.730,0.000,1.000,0.214,86.6,112.135,109.190,1858,8911.5,9.19,80.075,5.20,4.691,77.7,3.187,0.134,2.00,3.7598,13550.2,0.5809,0.3667,12.08,1.206,0.326,1.5308,0.0000,0.511,0.070,0.347,0.0000,7.87,1.39,3,10,23,100,95.9218,0.1364,0.4123,0.0000,0.0000,48.7572,100.00,92.1492,266.4809,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0041,0.0017,0.000007,5,0.1229,0.0031,0.0052,55,151,424,0.0000,0.0000,0.0798,0.385,27.1191,0.0113,9.5942,0.0333
80000,3044,1.143,0.819,16.26,78467,61621,0,15764,1624,731059,486100.7,387513.5,0.039,0.763,0.142,0.056,180,20.87,16.99,0.66,2.97,3.61,5.63,0.06,0.98,9.06,9.51,0.03,0.27,0.144,0.168,2045,0.014,0.057,0.915,0.006,0.022,75740,43544,2,0.465,0.154,0.006,185721,0.115,2.014,0.083,48.05,35722,329,0.530,0.142,0.396,6844962,1.24,15.52,0.004,0.684,0.017,4.0,17.4,40.0,161.5,40762,0.155,0.00,0.0018,0.127,737,0.448,0.000,0.503,0.074,2.84,4.19,3.66,0.07,0.034,1.23,1.28,1.26,0.475,0.00467,14.63,8.2939,689.11,108615.1,140221.4,0.000,3.1756,108.854,0.000,1.000,0.366,73.0,45.426,27.153,2165,11064.0,10.78,19.885,4.86,0.813,141.4,0.512,0.136,1.99,4.3886,13359.0,0.6383,0.4575,13.39,1.545,0.486,0.4692,0.0000,0.629,0.181,0.567,0.0000,7.80,1.33,3,11,27,81,34.7388,0.3037,0.3633,0.0000,0.0000,13.3764,100.00,111.1116,205.3761,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0033,0.0014,0.000008,18,0.0735,0.0092,0.0076,47,146,516,0.0000,0.0000,0.1305,0.577,5.9699,0.0039,2.3116,0.0680
90000,3915,0.727,0.695,20.49,261787,191912,0,62986,6007,2361331,1148506.8,1159442.2,0.023,0.682,0.181,0.113,72,13.70,10.47,0.24,1.63,3.01,3.70,0.06,0.89,5.65,7.27,0.00,0.07,0.194,0.189,1823,0.095,0.041,0.913,0.010,0.036,289399,168351,2,0.544,0.130,0.009,311592,0.224,1.781,0.065,118.24,157309,249,0.491,0.193,0.437,25763073,1.09,14.80,0.003,0.538,0.002,3.0,12.0,24.0,128.0,35081,0.134,0.00,0.0052,0.149,944,0.655,0.000,0.721,0.136,2.25,3.48,2.81,0.03,0.025,1.08,1.11,1.10,0.690,0.00543,79.64,33.7904,499.74,107545.1,140221.4,0.000,11.2770,287.016,0.000,1.000,0.159,88.7,111.266,104.139,2016,9126.2,15.92,76.469,4.80,4.415,68.2,3.021,0.135,2.00,4.4146,17283.2,0.8689,0.4043,8.96,1.570,0.488,1.5308,0.0000,0.677,0.212,0.633,0.0000,6.85,1.95,2,6,18,73,93.3536,0.3680,0.4398,0.0000,0.0000,48.5192,100.00,89.2107,258.7856,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0037,0.0016,0.000009,11,0.1599,0.0123,0.0056,41,123,447,0.0000,0.0000,0.0977,0.595,18.8021,0.0149,7.3653,0.0266
100000,3867,0.723,0.652,21.70,74123,59193,0,12587,2351,468057,488687.1,289961.0,0.023,0.728,0.189,0.060,160,11.45,8.01,0.20,1.32,2.23,2.62,0.04,0.87,5.16,6.34,0.00,0.07,0.179,0.172,1555,0.324,0.066,0.883,0.008,0.043,67869,31329,4,0.486,0.037,0.004,96962,0.187,1.710,0.060,48.52,42716,392,0.619,0.162,0.407,7073620,1.08,15.25,0.001,0.461,0.001,3.0,12.0,19.7,106.0,29499,0.113,0.00,0.0025,0.164,935,0.439,0.000,0.426,0.043,2.10,3.21,2.54,0.02,0.012,1.09,1.11,1.08,0.459,0.00301,14.25,6.6648,425.14,107965.4,140221.4,0.000,2.3753,108.046,0.000,1.000,0.374,78.3,46.763,25.053,1889,8453.8,18.06,17.831,4.46,0.580,66.2,0.391,0.134,2.00,4.6082,17819.8,0.9928,0.5255,7.63,1.585,0.490,0.4692,0.0000,0.710,0.218,0.648,0.0000,6.69,1.97,2,6,16,67,38.4295,0.5038,0.4254,0.0000,0.0000,13.5274,100.00,109.8802,207.4516,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0028,0.0013,0.000005,40,0.1874,0.0168,0.0152,44,142,670,0.0000,0.0000,0.0551,0.258,4.7960,0.0138,1.7393,0.0256
