step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn
100000,4.00,16,0,0,0,2,0,1.00,8,0.000,3235,0.00,118.41,129.70,764,2,0,0,1.00,1.00,1.00,1,2,2,45.4,12.217,2,2.000,0.884,4,1.000,9
100000,8.00,16,0,2,0,2,0,1.00,4,0.250,3215,0.00,139.75,31.99,717,1,0,0,1.00,1.00,1.00,2,3,3,36.1,10.057,4,2.000,0.951,4,1.000,12
100000,10.00,16,0,3,0,2,0,1.00,4,0.300,3197,0.00,130.56,90.16,717,0,0,0,1.00,1.00,1.00,2,4,2,9.7,18.140,5,2.000,0.951,4,1.000,9
100000,2.00,25,0,0,0,1,0,1.00,16,0.000,3197,0.00,147.84,35.48,596,1,0,0,1.00,1.00,1.00,1,1,1,36.4,1.897,1,2.000,0.949,5,1.000,7
100000,14.00,16,0,3,0,4,0,1.00,2,0.214,3184,0.16,143.60,43.60,728,2,0,0,1.00,1.00,1.00,4,3,4,40.3,36.980,7,2.000,0.857,4,1.000,9
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3176,0.00,115.69,114.29,733,1,0,0,1.00,1.00,1.00,1,1,1,38.6,4.261,1,2.000,0.939,4,1.000,13
100000,8.00,16,0,1,0,3,0,1.00,6,0.125,3166,0.00,142.11,63.18,596,1,0,0,1.00,1.00,1.00,1,2,3,35.4,23.441,4,2.000,0.936,4,1.000,10
100000,10.00,16,0,5,0,0,0,1.00,6,0.500,3148,0.00,164.28,67.80,728,0,0,0,1.00,1.00,1.00,2,2,3,17.3,23.704,5,2.000,0.857,4,1.000,7
100000,10.00,16,0,0,0,5,0,1.00,2,0.000,3121,0.00,152.82,77.59,728,2,0,0,1.00,1.00,1.00,3,3,4,40.3,32.165,5,2.000,0.857,4,1.000,9
100000,12.00,16,0,4,0,2,0,1.00,2,0.333,3120,0.00,123.17,88.95,764,1,0,0,1.00,1.00,1.00,2,3,4,38.1,13.938,6,2.000,0.894,4,1.000,10
