step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered
10000,2507,1.069,0.713,11.11,124024,98480,0,23615,902,2227159,1346775.8,1027436.6,0.116,0.689,0.107,0.088,104,29.56,18.13,4.03,5.38,4.51,6.69,0.27,1.60,14.57,10.46,0.90,1.40,0.119,0.170,1840,0.067,0.074,0.913,0.003,0.011,225853,161311,11,0.324,0.395,0.085,2931252,0.220,1.839,0.069,120.80,94531,260,0.461,0.174,0.346,19380610,2.29,3.97,0.269,0.678,0.336,7.8,26.8,51.8,136.1,58603,0.224,0.00,0.0037,0.107,659,0.817,0.000,0.660,0.471,3.94,4.91,5.31,0.93,0.340,2.50,1.38,2.82,0.845,0.00708,79.06,52.3605,719.39,108864.1,140496.8,0.090,23.1848,279.859,0.000,1.000,0.098,94.5,119.989,115.907,1951,9214.0,9.88,110.362,6.29,11.486,114.8,6.669,0.135,2.00,6.2596,15692.9,0.4367,0.3131,23.38,1.084,0.187,1.5414,0.0000,0.419,0.200,0.409,0.0000,6.10,1.08,7,24,36,81,104.7642,0.0114,0.4555,0.0000,0.0000,41.0996,100.00,72.9053,292.3299,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0032,0.0014,0.000007,2,0.2332,0.0179,0.0173,56,176,509,0.0000,0.0000,0.0108,0.043,6.7753,0.0137,2.0007,0.0164
20000,2552,1.236,0.699,8.72,49726,38906,0,10515,256,839707,485893.6,350652.4,0.051,0.765,0.055,0.129,194,25.60,19.17,2.75,4.21,5.34,8.41,0.21,1.58,11.74,9.44,0.94,1.56,0.134,0.194,1905,0.020,0.056,0.924,0.004,0.017,55132,32920,2,0.511,0.019,0.038,742121,0.140,1.850,0.069,47.85,23618,326,0.418,0.128,0.376,6034379,1.94,8.19,0.135,0.692,0.295,4.5,20.0,52.9,114.1,51162,0.195,0.00,0.0016,0.105,681,0.567,0.001,0.437,0.209,3.70,4.32,5.38,0.96,0.301,2.04,1.30,2.45,0.596,0.00517,14.42,10.0005,1271.83,111682.2,140496.8,0.641,4.2905,103.746,0.000,1.000,0.410,77.3,44.968,28.389,1711,8626.5,13.03,21.972,4.98,1.131,87.7,0.673,0.136,2.00,5.0249,12823.7,0.5013,0.3457,20.05,1.081,0.165,0.4586,0.0000,0.408,0.147,0.404,0.0000,6.90,0.92,4,19,36,81,34.6328,0.0940,0.3589,0.0000,0.0000,11.1028,100.00,99.4120,204.6195,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0031,0.0014,0.000007,4,0.1115,0.0078,0.0174,49,161,553,0.0000,0.0000,0.0046,0.019,4.8904,0.0119,1.4958,0.0149
30000,2553,1.083,0.549,7.47,169957,123070,0,44544,2341,3152267,1218670.0,1279967.9,0.058,0.790,0.040,0.112,116,26.81,18.40,3.19,4.80,4.91,7.60,0.05,0.58,13.23,10.24,0.95,1.58,0.121,0.176,1827,0.029,0.069,0.920,0.002,0.009,251992,164502,2,0.479,0.071,0.013,657520,0.122,1.618,0.052,121.16,92130,231,0.406,0.151,0.366,24512500,2.06,7.78,0.134,0.689,0.304,5.1,22.7,51.6,110.1,54573,0.208,0.00,0.0036,0.102,684,0.762,0.001,0.735,0.355,3.78,4.31,5.54,0.97,0.306,2.23,1.32,2.54,0.796,0.00844,86.94,47.7942,790.32,111692.2,140496.8,0.000,17.5387,278.590,0.000,1.000,0.112,89.4,109.278,100.137,1358,6600.8,13.04,82.296,4.56,5.653,75.9,3.746,0.135,2.00,6.1040,15583.4,0.5126,0.3121,21.38,1.052,0.155,1.5414,0.0000,0.419,0.125,0.389,0.0000,6.87,0.92,5,20,36,64,90.5560,0.0736,0.4156,0.0000,0.0000,38.7880,100.00,82.5353,278.7104,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0034,0.0015,0.000010,1,0.1774,0.0129,0.0103,49,152,446,0.0000,0.0000,0.0244,0.147,17.7443,0.0149,5.4846,0.0176
40000,2525,1.109,0.545,8.46,47982,33932,0,13617,434,827142,466510.9,378566.4,0.049,0.767,0.024,0.159,226,25.16,18.75,2.79,4.60,5.57,7.74,0.10,1.08,10.62,8.17,0.73,1.37,0.157,0.206,1837,0.032,0.059,0.922,0.001,0.018,49994,28218,2,0.543,0.419,0.019,159574,0.113,1.569,0.049,46.36,20285,349,0.458,0.109,0.408,4799758,1.95,7.59,0.149,0.718,0.249,4.1,19.5,52.2,96.9,48144,0.184,0.00,0.0017,0.115,693,0.443,0.001,0.332,0.191,3.59,4.17,5.21,0.76,0.256,2.07,1.31,2.39,0.472,0.00604,17.21,9.9636,869.80,113548.4,140496.8,0.436,3.9378,101.722,0.000,1.000,0.446,80.1,43.068,18.359,1328,6228.6,16.22,13.210,4.32,0.462,66.2,0.296,0.133,2.00,5.4910,13864.7,0.5607,0.3837,19.07,1.109,0.220,0.4586,0.0000,0.377,0.128,0.181,0.0000,6.59,0.96,4,18,36,64,31.3421,0.4076,0.3846,0.0000,0.0000,10.6780,100.00,101.3870,192.3861,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0026,0.0012,0.000011,27,0.1374,0.0111,0.0172,45,158,581,0.0000,0.0000,0.1110,1.213,5.4100,0.0183,1.6376,0.0174
50000,2929,0.984,0.597,8.11,177065,133735,0,41524,1400,2775448,1203929.9,1178674.8,0.070,0.787,0.030,0.113,121,22.37,13.91,3.32,4.08,4.06,5.65,0.20,1.04,10.75,8.93,0.83,1.21,0.130,0.174,1935,0.024,0.074,0.907,0.009,0.011,251976,166420,4,0.417,0.065,0.069,1432761,0.097,1.642,0.055,120.18,87818,249,0.425,0.156,0.403,25782110,2.29,7.02,0.179,0.660,0.359,4.7,20.5,42.1,89.0,53694,0.205,0.00,0.0038,0.102,728,0.772,0.000,0.705,0.334,3.52,4.07,5.12,0.86,0.365,2.39,1.36,2.97,0.801,0.00632,88.55,40.5555,670.52,111992.3,140496.8,0.000,14.5059,278.048,0.000,1.000,0.167,92.4,110.958,97.732,1618,7356.1,16.11,79.412,4.50,5.441,78.8,3.529,0.134,2.00,4.9300,14439.9,0.5120,0.3311,18.33,1.023,0.094,1.5414,0.0000,0.451,0.071,0.241,0.0000,6.35,1.18,5,18,35,67,94.9626,0.1337,0.4292,0.0000,0.0000,38.3741,100.00,82.9575,284.1620,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0036,0.0016,0.000007,2,0.1755,0.0085,0.0098,51,150,453,0.0000,0.0000,0.1455,1.758,11.8088,0.0135,3.9896,0.0150
60000,2653,1.135,0.637,8.85,58282,45027,0,12947,565,824000,464258.1,375562.4,0.060,0.760,0.023,0.156,219,21.84,14.60,2.67,4.33,4.61,6.41,0.35,1.53,10.39,8.36,0.72,1.28,0.153,0.201,1893,0.028,0.065,0.916,0.004,0.015,61503,35676,5,0.467,0.043,0.113,1106544,0.084,1.699,0.059,46.20,23067,358,0.456,0.116,0.395,5896505,1.97,7.47,0.139,0.689,0.274,4.1,18.9,43.2,115.8,47805,0.182,0.00,0.0017,0.093,662,0.494,0.000,0.383,0.185,3.53,4.09,5.15,0.77,0.285,2.12,1.31,2.36,0.522,0.00470,17.32,9.1869,832.76,112940.7,140496.8,0.481,3.3731,103.481,0.000,1.000,0.451,72.1,43.399,19.111,1679,7779.9,18.70,13.713,4.22,0.475,73.7,0.311,0.137,1.99,4.8564,12884.1,0.5363,0.3841,18.02,1.050,0.181,0.4586,0.0000,0.437,0.082,0.227,0.0000,6.49,1.12,4,18,35,76,33.6105,0.3369,0.3539,0.0000,0.0000,10.6582,100.00,101.4557,202.3019,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0031,0.0015,0.000008,19,0.1121,0.0106,0.0128,48,146,531,0.0000,0.0000,0.0712,0.785,3.3966,0.0165,1.2408,0.0158
70000,2612,1.056,0.926,10.32,195644,149401,0,44534,1745,3250154,1217684.6,1300230.0,0.067,0.795,0.043,0.096,107,23.43,13.19,3.23,3.68,4.51,5.70,0.14,1.09,10.83,10.00,0.98,1.29,0.157,0.184,1953,0.033,0.056,0.931,0.003,0.009,290810,182992,4,0.464,0.294,0.043,1913931,0.104,2.132,0.093,122.00,111160,226,0.400,0.167,0.404,28125744,2.29,5.73,0.195,0.702,0.418,5.7,23.1,39.4,106.3,48869,0.186,0.00,0.0043,0.106,638,0.784,0.001,0.733,0.354,3.52,4.27,5.03,1.05,0.434,2.37,1.36,2.95,0.817,0.00697,84.10,47.2552,613.67,107959.0,140496.8,0.006,18.0432,283.009,0.000,1.000,0.123,81.2,110.376,106.086,2478,12617.7,16.02,86.893,4.60,6.921,223.3,4.342,0.135,2.00,5.0938,13305.1,0.4791,0.3123,18.71,1.067,0.150,1.5414,0.0000,0.356,0.126,0.160,0.0000,6.08,1.28,5,19,33,83,94.4844,0.0892,0.4162,0.0000,0.0000,39.5189,100.00,81.0247,287.3044,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0038,0.0016,0.000007,5,0.1657,0.0100,0.0084,49,146,427,0.0000,0.0000,0.0549,0.515,14.9389,0.0118,5.1692,0.0134
80000,2748,1.137,0.728,10.62,60056,46404,0,13125,383,922380,477163.6,389410.2,0.066,0.791,0.033,0.110,207,22.20,15.90,2.78,4.20,5.17,6.77,0.09,0.83,9.67,7.94,0.90,1.44,0.169,0.206,2066,0.011,0.061,0.920,0.005,0.014,65349,36751,2,0.425,0.186,0.022,509427,0.095,1.863,0.071,46.81,28117,328,0.422,0.137,0.428,6408237,2.04,7.20,0.153,0.709,0.311,4.2,18.9,45.6,110.4,48664,0.186,0.00,0.0018,0.113,710,0.515,0.001,0.432,0.191,3.50,4.10,4.97,0.92,0.316,2.11,1.33,2.59,0.544,0.00472,16.05,9.7173,877.31,111879.1,140496.8,0.645,3.8128,105.218,0.000,1.000,0.426,79.9,44.220,23.184,1910,9255.8,11.13,17.701,4.50,0.830,109.7,0.508,0.135,2.00,4.4661,12272.7,0.5012,0.3556,17.71,1.058,0.231,0.4586,0.0000,0.402,0.128,0.267,0.0000,6.34,1.06,4,16,35,68,34.0581,0.3241,0.3890,0.0000,0.0000,10.8081,100.00,101.0413,207.0215,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0032,0.0014,0.000007,8,0.0921,0.0055,0.0125,48,147,513,0.0000,0.0000,0.0273,0.126,4.2883,0.0089,1.5210,0.0160
90000,2857,1.068,0.896,10.93,196908,149378,0,45611,1807,3329864,1220172.9,1309491.5,0.082,0.775,0.048,0.094,109,23.04,13.17,3.02,3.92,4.30,5.42,0.06,0.84,11.12,9.78,0.83,1.23,0.158,0.196,2068,0.028,0.055,0.924,0.008,0.013,290659,181886,6,0.354,0.396,0.011,876273,0.133,2.096,0.092,121.75,112928,216,0.393,0.175,0.420,26859105,2.23,5.89,0.190,0.694,0.356,5.9,22.4,38.8,78.2,52858,0.202,0.00,0.0038,0.096,781,0.781,0.001,0.755,0.350,3.50,4.18,5.08,0.86,0.364,2.28,1.37,2.90,0.816,0.00640,84.57,47.0902,735.72,107972.1,140496.8,0.006,17.4772,283.705,0.000,1.000,0.110,90.1,110.662,106.517,2415,12158.8,14.46,87.015,4.58,6.785,196.9,4.235,0.135,2.00,4.6839,13381.8,0.4335,0.3060,18.50,1.063,0.159,1.5414,0.0000,0.377,0.137,0.287,0.0000,6.10,1.31,5,19,31,64,94.6405,0.1086,0.4291,0.0000,0.0000,39.4392,100.00,81.4838,288.1584,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0038,0.0016,0.000007,3,0.1602,0.0095,0.0080,49,144,415,0.0000,0.0000,0.0269,0.207,14.4665,0.0115,5.0264,0.0214
100000,3489,1.095,1.011,14.55,67966,50346,0,16591,387,953903,483190.0,415121.7,0.077,0.774,0.046,0.103,188,21.26,13.92,1.39,3.27,4.32,5.15,0.08,1.28,8.05,8.80,0.27,0.83,0.170,0.172,2400,0.012,0.043,0.928,0.008,0.022,77062,43564,3,0.233,0.521,0.016,199424,0.134,2.234,0.107,47.58,34114,275,0.435,0.165,0.471,6959360,1.55,6.45,0.156,0.747,0.103,3.9,19.6,39.0,104.4,48296,0.184,0.00,0.0017,0.085,925,0.535,0.000,0.484,0.203,2.80,3.61,4.30,0.35,0.140,1.56,1.30,1.75,0.566,0.00363,14.49,10.6225,1240.24,105091.8,140496.8,0.714,4.3832,106.226,0.000,1.000,0.355,88.0,44.152,27.081,2667,13677.0,11.35,20.915,4.23,1.241,183.2,0.704,0.135,2.00,3.8523,13440.8,0.5312,0.3654,13.84,1.470,0.482,0.4586,0.0000,0.240,0.229,0.276,0.0000,5.57,1.63,3,13,25,81,34.1378,0.2683,0.3875,0.0000,0.0000,11.1061,100.00,99.8295,206.8392,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0033,0.0014,0.000006,10,0.0986,0.0046,0.0107,46,140,474,0.0000,0.0000,0.0269,0.238,4.0197,0.0127,1.5370,0.0284
