step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
1000,-60,0,5237,1194.7047,628.06,88.00,1.83,303,2.52,0.215,14.848,0.5008,28.032,0.00,0.0000
1000,-60,1,2495,1203.9777,506.01,644.03,0.93,378,0.37,0.101,16.332,0.9432,38.508,0.00,0.0000
1000,-60,2,2,0.9559,0.02,2.51,22.54,0,9.05,0.490,9.940,0.9826,61.702,0.00,0.0000
1000,-50,0,7092,1582.7796,616.34,95.54,15.06,532,11.86,2.200,10.184,0.3831,52.782,0.00,0.0000
1000,-50,1,1601,941.8380,389.84,498.83,14.14,284,10.58,1.967,10.966,0.7454,91.245,0.00,0.0000
1000,-50,2,5,3.9860,2.41,7.80,29.42,1,12.87,1.481,8.306,0.9488,86.788,0.00,0.0000
1000,-40,0,6338,1306.8703,587.61,63.05,26.41,468,21.32,6.386,6.819,0.3172,111.036,0.00,0.0000
1000,-40,1,1741,974.1169,290.39,635.55,23.27,334,19.29,5.709,7.777,0.6257,185.623,0.00,0.0000
1000,-40,2,2,0.3102,0.00,2.39,13.17,0,21.68,5.175,5.171,0.4576,120.834,0.00,0.0000
1000,-30,0,4324,1073.6085,476.65,88.11,33.45,361,27.92,10.259,5.139,0.3252,219.589,0.00,0.0000
1000,-30,1,3254,1654.1289,578.88,1520.40,29.61,554,27.20,10.104,5.560,0.4804,310.848,0.00,0.0000
1000,-30,2,599,304.6282,108.43,844.86,34.76,95,28.97,11.020,4.986,0.5966,435.377,0.00,0.0000
1000,-20,0,1820,456.6881,219.57,41.41,55.87,50,33.35,13.796,4.023,0.2970,341.886,0.00,0.0000
1000,-20,1,2521,1242.5736,449.87,1071.13,30.03,285,32.56,13.429,4.305,0.4403,492.341,0.00,0.0000
1000,-20,2,3878,2189.4826,845.96,11057.23,33.07,776,31.74,13.095,4.630,0.7286,739.804,0.00,0.0000
1000,-10,0,1808,398.9750,213.48,24.35,65.26,30,36.98,16.284,3.358,0.2791,453.839,0.00,0.0000
1000,-10,1,2073,1068.3670,419.57,921.11,35.06,77,36.81,16.186,3.393,0.3882,669.096,0.00,0.0000
1000,-10,2,4343,2256.9565,671.57,15832.42,34.84,849,34.16,14.829,4.250,0.7502,991.709,0.00,0.0000
1000,0,0,1825,399.4838,217.33,31.20,72.11,7,38.85,17.518,2.984,0.2176,429.821,0.00,0.0000
1000,0,1,1739,930.8341,434.43,841.80,40.68,21,38.58,17.318,3.015,0.3683,748.718,0.00,0.0000
1000,0,2,4803,2827.3348,1107.44,15256.29,38.05,778,35.21,15.594,4.113,0.6876,1022.555,0.00,0.0000
1000,10,0,3014,785.9093,251.16,51.71,74.60,51,37.73,16.756,3.207,0.2426,419.276,0.00,0.0000
1000,10,1,2709,1727.2910,879.50,1338.70,44.81,133,37.15,16.386,3.346,0.4104,699.023,0.00,0.0000
1000,10,2,3722,2475.6596,1076.67,9752.91,22.85,754,32.18,13.944,5.047,0.6875,819.885,0.00,0.0000
1000,20,0,3994,731.8012,297.38,62.09,62.26,152,32.28,13.502,4.650,0.1906,197.678,0.00,0.0000
1000,20,1,3278,1985.7530,725.58,1560.83,36.39,388,32.29,13.454,4.575,0.4621,499.613,0.00,0.0000
1000,20,2,1173,827.6416,285.40,2055.87,8.26,289,29.29,12.121,5.726,0.6682,583.073,0.00,0.0000
1000,30,0,6744,1343.4765,586.35,85.09,37.43,343,26.43,9.892,6.055,0.2481,156.504,0.00,0.0000
1000,30,1,2310,1389.3675,469.41,1004.22,42.41,373,29.31,11.117,4.844,0.5376,357.032,0.00,0.0000
1000,30,2,220,133.6848,36.42,242.93,71.00,45,26.62,9.556,5.569,0.7052,335.901,0.00,0.0000
1000,40,0,6695,1135.0069,472.18,63.83,28.38,351,19.87,6.114,7.799,0.2641,86.650,0.00,0.0000
1000,40,1,1252,706.6468,164.04,492.05,49.77,214,23.75,7.459,5.916,0.6896,224.322,0.00,0.0000
1000,40,2,223,129.5128,40.01,262.08,65.79,36,23.86,7.756,6.108,0.8089,275.454,0.00,0.0000
1000,50,0,5138,395.8025,268.97,13.83,19.39,49,11.20,2.312,10.936,0.1882,26.657,0.00,0.0000
1000,50,1,567,264.1135,94.66,138.70,53.69,46,17.61,4.010,7.475,0.8436,135.741,0.00,0.0000
1000,50,2,11,3.1902,0.07,13.68,35.34,0,19.14,4.263,6.382,0.9458,172.595,0.00,0.0000
1000,60,0,3853,78.1494,74.94,0.77,11.91,0,2.35,0.233,15.057,0.1138,5.121,0.00,0.0000
1000,60,1,2,1.1087,1.12,0.32,20.07,0,9.32,0.587,10.123,0.9626,63.711,0.00,0.0000
1000,70,0,4656,4.9485,5.99,0.16,8.42,1,-5.43,0.001,20.728,0.0813,0.899,0.00,0.0000
1000,80,0,3564,0.0246,0.36,0.06,4.84,0,-11.91,0.000,26.913,0.0684,0.200,0.00,0.0000
2000,-60,0,5295,57.6175,375.55,89.88,-15.57,8,-8.97,0.000,24.032,0.5271,9.971,0.00,0.0000
2000,-60,1,2437,27.3512,224.83,609.45,-19.23,7,-11.27,0.000,26.300,0.9589,11.700,0.00,0.0000
2000,-60,2,2,0.0850,0.04,2.43,-6.37,0,0.29,0.000,15.175,0.9955,29.038,0.00,0.0000
2000,-50,0,7119,297.9860,466.13,95.63,-9.01,53,1.00,0.124,15.923,0.4167,21.527,0.00,0.0000
2000,-50,1,1575,173.6977,191.42,487.35,-2.32,48,0.59,0.108,16.275,0.7846,34.525,0.00,0.0000
2000,-50,2,4,1.2688,1.53,6.64,-2.40,1,5.28,0.039,11.713,0.9537,43.806,0.00,0.0000
2000,-40,0,6341,526.8942,526.98,62.57,2.53,182,12.02,2.270,10.121,0.3732,56.161,0.00,0.0000
2000,-40,1,1738,257.7626,213.00,633.48,8.43,69,10.81,2.025,10.923,0.6895,84.957,0.00,0.0000
2000,-40,2,2,0.0000,0.00,2.36,-7.22,0,13.35,1.702,8.058,0.6994,123.154,0.00,0.0000
2000,-30,0,4325,564.9251,481.13,87.76,12.53,195,20.48,6.083,7.178,0.3975,130.397,0.00,0.0000
2000,-30,1,3248,672.2765,496.83,1519.45,19.54,250,20.56,6.309,7.379,0.5847,188.776,0.00,0.0000
2000,-30,2,604,146.2038,104.04,855.85,24.64,61,23.13,7.485,6.428,0.7661,291.371,0.00,0.0000
