step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,3021,0.7663,90611.3,885,1065,1022,934,24,19,24,5589,8271,13492,0,0,0
2000,2743,0.8968,106842.8,1779,909,961,873,24,22,26,2797,4164,7805,0,0,0
3000,2632,0.9525,105866.9,2712,865,930,837,24,21,28,1937,3044,5937,0,0,0
4000,3120,0.6083,84086.3,738,1127,1153,840,35,28,30,7977,11231,16887,0,0,0
5000,2898,0.7057,94436.9,1183,988,1062,848,40,42,41,5474,7863,13618,0,0,0
6000,2861,0.7787,101337.4,1669,894,1055,912,43,46,43,3516,5602,10572,0,0,0
7000,3495,0.5914,84998.9,892,1319,1182,994,49,43,45,6942,9672,14019,0,0,0
8000,3422,0.6204,86526.7,1034,1202,1231,989,46,45,51,5567,9071,16096,0,0,0
9000,3313,0.6686,90311.8,1247,1146,1246,921,43,44,60,5040,8557,16435,0,0,0
10000,3271,0.6438,80284.4,1018,1222,1186,863,51,48,56,8286,12166,19091,0,0,0
11000,3001,0.6744,65553.6,1088,1102,1138,761,59,45,43,11353,17903,25120,0,0,0
12000,2733,0.6828,53431.7,1162,1200,912,621,51,39,43,14279,23935,33048,0,0,0
13000,2028,0.7692,31526.1,1168,1030,645,353,47,43,40,21964,33289,41031,0,0,0
14000,1441,0.7696,17199.7,1259,875,357,209,29,32,36,27643,38955,45695,0,0,0
15000,1066,0.7514,13508.3,1213,852,188,26,33,37,8,28477,41719,48076,0,0,0
16000,846,0.6655,13814.1,1021,701,104,41,21,36,24,27952,41079,48170,0,0,0
17000,1376,0.6105,18013.6,738,852,352,172,37,56,34,25827,39130,47118,0,0,0
18000,2017,0.5414,27782.8,609,1146,508,363,72,61,89,23181,34219,42559,0,0,0
19000,2693,0.5466,44699.1,707,1307,788,598,87,73,90,17364,26064,34881,0,0,0
20000,3046,0.5062,59755.0,782,1337,996,713,97,89,92,12525,18375,27036,0,0,0
21000,3395,0.5535,70655.8,821,1338,1207,850,86,107,84,9823,13653,21569,0,0,0
22000,3665,0.5383,74838.1,832,1458,1280,927,93,118,112,8436,12227,18417,0,0,0
23000,4435,0.4744,53415.2,524,1603,1643,1189,149,143,131,10751,15726,24465,0,0,0
24000,4503,0.4821,64455.2,628,1571,1639,1293,143,158,133,9271,12102,20769,0,0,0
25000,4633,0.4906,68085.3,678,1645,1623,1365,135,182,135,9209,11210,17876,0,0,0
26000,5048,0.4540,53524.4,480,1844,1744,1460,167,170,166,12230,14979,21125,0,0,0
27000,4577,0.5237,64570.7,629,1648,1677,1252,150,137,141,10168,13229,22048,0,0,0
28000,4372,0.5684,61167.6,713,1622,1592,1158,127,160,128,11150,15567,22062,0,0,0
29000,4178,0.5713,60051.9,717,1585,1491,1102,173,124,115,12686,15807,23436,0,0,0
30000,3707,0.6234,57883.3,881,1448,1254,1005,147,111,115,13632,17920,25982,0,0,0
31000,3199,0.6746,56309.1,1092,1322,1120,757,114,103,95,15580,20275,28199,0,0,0
32000,2528,0.6950,41656.3,1116,1132,853,543,98,93,85,21942,26395,34038,0,0,0
33000,2065,0.6910,29195.6,1057,1022,626,417,85,91,86,26323,32739,39757,0,0,0
34000,1350,0.7474,18465.0,1242,787,386,177,66,74,51,29659,38503,44465,0,0,0
35000,904,0.6560,11935.3,1046,707,166,31,47,55,17,32202,40921,47107,0,0,0
36000,862,0.6392,11216.6,895,740,101,21,33,49,12,31384,41591,48074,0,0,0
37000,1348,0.5460,18292.3,687,905,261,182,57,81,83,26837,38907,46951,0,0,0
38000,2090,0.5340,30352.8,613,1101,617,372,72,102,93,21747,32875,42831,0,0,0
39000,2553,0.5633,46846.4,768,1182,771,600,112,69,97,17607,24728,34327,0,0,0
40000,3100,0.5603,65458.3,901,1323,1008,769,106,59,93,12144,17153,25734,0,0,0
41000,3483,0.5814,71180.0,922,1426,1140,917,112,82,104,10255,13419,21336,0,0,0
42000,4008,0.5661,75754.2,888,1456,1436,1116,110,133,132,8339,11500,19118,0,0,0
43000,4101,0.6284,80905.2,1063,1467,1445,1189,99,139,134,7657,10439,17381,0,0,0
44000,4144,0.6014,78798.8,1020,1444,1502,1198,125,120,121,7483,10155,15816,0,0,0
45000,4080,0.6184,78862.7,984,1476,1479,1125,137,96,109,7248,10314,15491,0,0,0
46000,3975,0.6473,83541.3,1124,1433,1453,1089,117,104,125,6508,9293,15470,0,0,0
47000,3998,0.6051,79327.7,1114,1462,1397,1139,115,111,115,6668,9612,15916,0,0,0
48000,4004,0.6384,78558.0,1044,1431,1483,1090,112,124,115,8247,10384,17535,0,0,0
49000,3820,0.6453,75725.4,1107,1438,1339,1043,118,118,105,9525,12477,18850,0,0,0
50000,3528,0.6338,67488.3,1077,1333,1248,947,98,92,102,11504,15066,22635,0,0,0
51000,3130,0.6578,59093.8,1105,1206,1082,842,100,87,120,14799,20156,26679,0,0,0
52000,2648,0.6884,52134.1,1184,1130,901,617,87,83,114,17377,24460,30348,0,0,0
53000,2155,0.7206,32876.9,1160,1026,686,443,83,91,105,23551,33276,38458,0,0,0
54000,1543,0.7900,19439.1,1214,922,411,210,73,77,79,29082,39426,43858,0,0,0
55000,1026,0.7476,15600.3,1327,791,202,33,34,82,22,29495,41740,46566,0,0,0
56000,838,0.6492,15305.1,1076,681,128,29,18,72,29,28984,41579,46896,0,0,0
57000,1257,0.5442,21009.3,713,811,277,169,48,78,106,27232,38291,44458,0,0,0
58000,1855,0.5035,34213.3,706,906,568,381,69,91,124,22301,31941,39358,0,0,0
59000,2405,0.5451,49916.7,780,998,771,636,89,77,131,18018,23574,31638,0,0,0
60000,3086,0.5561,61179.0,809,1188,1138,760,90,87,115,16145,17823,23536,0,0,0
61000,3484,0.5987,73603.1,937,1343,1191,950,113,121,142,11311,13885,18817,0,0,0
62000,3747,0.5789,75094.6,908,1461,1269,1017,130,113,121,10008,12845,16747,0,0,0
63000,3904,0.5850,78658.5,936,1442,1407,1055,118,110,130,8602,11187,15453,0,0,0
64000,4084,0.5994,78418.3,993,1465,1482,1137,113,104,121,9392,10067,14062,0,0,0
65000,4385,0.6223,80244.7,938,1492,1654,1239,131,107,110,9055,10158,14240,0,0,0
66000,4128,0.6400,80680.7,1065,1514,1505,1109,137,126,86,8407,9931,14175,0,0,0
67000,4054,0.6056,81285.9,1056,1537,1454,1063,123,115,105,8714,10329,14317,0,0,0
68000,4049,0.6090,74028.1,975,1565,1470,1014,103,112,99,10896,12322,16466,0,0,0
69000,3934,0.6116,72109.9,987,1462,1436,1036,113,123,131,11131,13547,17235,0,0,0
70000,3712,0.6624,68934.3,1107,1410,1329,973,92,117,120,13526,16746,18573,0,0,0
71000,3474,0.6632,60093.3,1066,1329,1207,938,90,124,125,18057,21370,21968,0,0,0
72000,2651,0.6839,49088.8,1149,1124,895,632,77,114,108,22159,26473,27153,0,0,0
73000,2073,0.7207,33732.7,1197,952,722,399,59,109,72,27668,33220,33426,0,0,0
74000,1541,0.7365,20476.3,1225,915,399,227,35,95,97,31931,39577,39366,0,0,0
75000,919,0.6453,13718.7,989,720,157,42,29,72,35,33303,42924,43940,0,0,0
76000,973,0.5807,14212.6,796,820,117,36,27,66,36,30676,42761,45717,0,0,0
