step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake
10000,0,1547,23.52,1.17,2.30,1.63,17.81,0.01,1.26,0.005,0.407,656082.3,241369.9,37,55,4.18,1.22,1.33,42.3100,1572.51,7171.9,202.3763,3.7257,5462,43.6380,257,84.4606,596243.2,165.42,11.8770,0.0,0.0000
10000,1,1499,24.59,1.68,2.53,1.93,16.96,0.03,1.37,0.008,0.397,633634.7,208906.4,47,68,4.10,1.36,1.44,35.7683,2140.45,10459.2,188.0182,3.9861,5461,43.6300,212,81.1057,562930.1,81.35,79.3498,0.0,0.0000
10000,2,1273,27.48,2.46,3.16,2.14,17.91,0.04,1.55,0.020,0.372,560299.9,175844.6,38,62,4.28,1.50,1.67,30.2376,1862.06,16436.9,111.4972,3.0945,5461,43.6300,169,73.5280,489164.0,53.21,153.5011,0.0,0.0000
20000,0,1929,18.40,0.77,3.60,1.88,11.97,0.02,1.20,0.005,0.401,543366.7,225185.9,23,129,3.52,1.22,1.21,34.5468,1475.72,8800.1,56.3719,2.7597,5462,27.3971,207,76.7407,520389.2,165.42,4.2986,0.0,0.0000
20000,1,1888,13.44,0.52,1.55,1.46,11.08,0.01,1.13,0.003,0.318,312596.6,119260.6,16,78,3.26,1.15,1.14,17.4709,992.16,15761.9,19.5115,2.1978,5461,27.3921,108,46.0876,292984.2,81.35,19.7177,0.0,0.0000
20000,2,1792,13.17,0.46,1.47,2.04,10.86,0.01,1.12,0.003,0.304,219784.7,78692.0,8,131,3.18,1.10,1.15,11.2238,868.34,25167.7,7.7667,1.8927,5461,27.3921,110,32.8012,201761.4,53.21,32.8173,0.0,0.0000
30000,0,2338,20.08,0.72,4.04,1.68,10.74,0.01,1.22,0.005,0.458,742293.8,445628.8,8,180,3.25,1.23,1.26,44.5999,1855.73,9037.1,190.0122,3.9180,5462,55.0253,127,98.0410,734017.4,165.42,10.0499,0.0,0.0000
30000,1,2410,18.17,0.50,3.67,1.62,10.14,0.01,1.14,0.003,0.440,714402.4,426573.8,7,140,3.14,1.13,1.19,40.8878,1800.90,13346.9,177.3189,3.9035,5461,55.0153,137,94.5695,702913.6,81.35,82.8441,0.0,0.0000
30000,2,1923,19.83,0.58,3.89,2.36,10.94,0.00,1.18,0.003,0.392,601770.6,358777.9,3,175,3.32,1.17,1.23,30.5114,1744.28,21052.9,104.1659,3.8409,5461,55.0153,122,77.5088,579424.8,53.21,150.9399,0.0,0.0000
40000,0,2537,17.63,0.47,4.33,1.04,8.23,0.00,1.14,0.004,0.408,572288.6,341895.3,4,194,3.02,1.15,1.17,31.4625,2034.01,7221.9,55.7274,3.2574,5462,31.2181,221,76.1218,549201.5,165.42,4.1956,0.0,0.0000
40000,1,2433,15.90,0.54,3.85,0.83,8.01,0.00,1.16,0.002,0.367,368885.2,204331.3,4,183,2.94,1.16,1.19,19.8758,2541.00,15132.9,18.6930,2.0616,5461,31.2124,102,50.9484,350657.2,81.35,18.9918,0.0,0.0000
40000,2,2005,14.70,0.36,3.69,0.82,7.53,0.01,1.11,0.005,0.287,235321.1,124580.0,4,205,2.84,1.11,1.14,11.0301,1402.26,28555.9,6.3105,1.9909,5461,31.2124,72,32.5528,216520.6,53.21,31.8515,0.0,0.0000
50000,0,2907,16.38,0.17,3.49,0.05,5.74,0.00,1.08,0.001,0.315,939406.2,1359388.5,4,180,1.93,1.08,1.09,101.6243,3950.48,11839.2,129.1678,4.8858,5462,48.8881,269,165.7111,960201.6,165.42,10.7050,0.0,0.0000
50000,1,2255,18.04,0.26,3.57,0.07,6.38,0.00,1.12,0.004,0.265,865772.2,1222262.8,5,191,2.01,1.13,1.12,89.8626,3061.81,17507.1,122.7345,4.4211,5461,48.8792,220,148.1264,886958.6,81.35,73.6480,0.0,0.0000
50000,2,1940,20.68,0.55,4.15,0.12,6.75,0.01,1.23,0.006,0.257,695595.1,915689.3,5,217,2.16,1.23,1.22,63.8283,1940.09,20885.5,74.2904,4.1112,5461,48.8792,255,115.9199,687917.3,53.21,143.6052,0.0,0.0000
60000,0,2110,21.85,0.45,5.23,0.09,6.16,0.00,1.20,0.001,0.288,580951.5,618569.1,8,193,2.03,1.21,1.21,47.5471,2467.25,9047.1,40.2061,4.4551,5462,24.1658,393,97.4870,546292.4,165.42,3.9454,0.0,0.0000
60000,1,1863,20.35,0.34,4.27,0.22,6.61,0.00,1.15,0.000,0.244,322625.0,330058.1,5,190,2.04,1.15,1.16,25.8758,3080.29,14708.2,11.4545,2.5009,5461,24.1614,167,53.1683,299111.2,81.35,17.1867,0.0,0.0000
60000,2,1567,19.45,0.56,3.95,0.23,6.90,0.01,1.20,0.001,0.209,219042.8,201102.6,4,205,2.22,1.19,1.22,15.1429,1628.93,24956.4,4.7428,2.2135,5461,24.1614,112,35.6156,197160.2,53.21,30.0237,0.0,0.0000
70000,0,2098,28.09,0.81,5.73,0.02,7.79,0.02,1.35,0.013,0.344,642240.6,437283.3,17,190,2.07,1.39,1.28,32.8149,1368.27,5264.6,186.4791,9.1112,5462,48.0203,576,94.0334,568578.8,165.42,11.5447,0.0,0.0000
70000,1,1989,29.48,1.00,6.15,0.01,7.43,0.02,1.41,0.013,0.332,667275.9,473794.0,15,194,1.94,1.44,1.38,38.9785,1249.13,9876.2,166.5559,7.6013,5461,48.0115,494,102.8392,611452.5,81.35,82.0932,0.0,0.0000
70000,2,1722,27.77,0.55,6.14,0.03,7.50,0.01,1.24,0.006,0.280,593739.6,449655.1,13,237,2.01,1.26,1.24,37.3558,1025.03,17272.5,95.7598,5.7261,5461,48.0115,391,91.5971,545139.8,53.21,145.5979,0.0,0.0000
80000,0,1562,27.00,1.19,5.30,0.04,7.52,0.03,1.49,0.021,0.251,496238.9,288335.2,20,194,2.23,1.55,1.41,29.2718,1823.10,5966.5,51.0987,4.8055,5462,24.1121,323,83.6688,450518.7,165.42,4.1571,0.0,0.0000
80000,1,1474,25.67,1.64,4.44,0.09,7.82,0.03,1.57,0.022,0.236,288223.0,165752.2,15,192,2.40,1.61,1.58,16.0944,948.57,10036.6,18.0934,2.6729,5461,24.1077,254,47.7660,262846.9,81.35,17.8098,0.0,0.0000
80000,2,1330,23.73,1.42,4.02,0.20,7.58,0.03,1.52,0.021,0.201,189905.7,104546.3,12,184,2.38,1.59,1.54,9.5045,1362.59,18216.6,7.4561,2.2016,5461,24.1077,132,32.2369,167416.5,53.21,31.1667,0.0,0.0000
90000,0,1701,29.50,1.32,5.34,0.03,8.24,0.04,1.50,0.028,0.290,584499.3,298392.8,17,175,2.35,1.55,1.43,34.9102,1933.01,7440.4,198.9367,8.3789,5462,39.7282,385,91.4437,513413.6,165.42,10.3486,0.0,0.0000
90000,1,1676,30.54,1.42,5.56,0.07,8.07,0.05,1.56,0.032,0.290,586054.6,295858.9,15,193,2.33,1.64,1.44,32.7132,1787.09,9313.1,180.8100,8.2311,5461,39.7209,334,88.1836,512717.6,81.35,78.1531,0.0,0.0000
90000,2,1316,32.78,1.79,5.84,0.02,8.32,0.07,1.67,0.037,0.241,500533.5,253737.0,15,168,2.59,1.80,1.53,26.7360,1274.18,14493.5,114.3864,5.7810,5461,39.7209,278,71.5690,442821.8,53.21,141.7988,0.0,0.0000
100000,0,1620,24.86,1.11,4.62,0.09,7.34,0.04,1.43,0.022,0.243,474212.1,239640.5,22,189,2.29,1.49,1.40,30.3582,2658.59,7211.4,60.3317,4.8105,5462,22.7446,256,76.0562,427133.7,165.42,3.8805,0.0,0.0000
100000,1,1330,24.52,1.36,4.40,0.06,7.59,0.02,1.48,0.014,0.206,293852.3,152875.3,18,185,2.33,1.53,1.49,17.1509,2066.66,10460.7,21.4432,2.9896,5461,22.7404,160,43.1928,264643.8,81.35,17.1344,0.0,0.0000
100000,2,1380,23.82,2.04,3.68,0.18,7.62,0.02,1.69,0.017,0.213,205300.0,89655.3,13,200,2.52,1.77,1.67,9.2831,862.87,16652.0,9.6533,2.6289,5461,22.7404,122,29.2963,179236.6,53.21,31.0340,0.0,0.0000
