step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,3686,0.893,0.721,7.64,59617,46461,4485,354,6061,46396,1566371.9,539969.6,0.321,0.314,0.182,0.184,79,24.20,19.10,2.21,6.33,2.09,6.20,1.74,5.82,16.32,11.26,0.03,0.32,0.060,0.159,1490,0.048,0.057,0.917,0.000,0.026,318548,307281,46,0.291,0.333,0.164,7484551,0.275,3.128,0.055,6.73,95008,330,11.638,0.466,0.175,11751272,1.53,8.76,0.123,0.112,0.009,5.9,18.0,49.3,131.3,82404,0.314,0.00,0.0026,0.031,1021,0.951,0.000,0.726,0.814,4.15,6.05,5.01,0.08,0.027,1.49,1.66,1.51,0.952,0.00016,3.95,97.6609,3790.85,55439.2,140185.7,145.979,126.7087,249.555,0.000,1.000,0.004,102.0,111.308,495.061,460,1766.5,62.98,30.571,225.748,6048.4,143.851,0.134,2.00,18.3799,67748.2,1.0236,0.4755,22.36,1.031,0.134,1.5345,0.0000,0.493,0.088,0.456,0.0000,7.61,1.20,6,17,48,100,107.4747,3.2660,0.6080,0.0000,0.0000,120.4126,100.00,33.5956,482.6655,0.0,0.0000,0.0000
20000,3744,0.815,0.473,7.07,61023,52375,2128,629,5833,34856,745963.5,259319.3,0.255,0.456,0.085,0.205,164,17.58,16.68,0.54,2.92,4.14,10.85,0.30,2.06,10.17,5.89,0.01,0.22,0.086,0.210,1064,0.102,0.112,0.860,0.001,0.027,185124,177089,6,0.842,0.018,0.052,2428195,0.242,2.717,0.033,10.11,51599,652,7.440,0.227,0.220,8750081,1.15,9.83,0.084,0.197,0.003,4.0,13.1,44.5,101.7,56736,0.216,0.00,0.0020,0.063,935,0.721,0.000,0.815,0.674,3.49,4.62,4.95,0.02,0.006,1.11,1.22,1.15,0.722,0.00046,4.09,39.0005,2000.12,69097.8,140185.7,18.440,44.3586,126.972,0.000,1.000,0.039,90.6,60.780,138.721,158,533.7,64.59,6.768,93.659,5039.4,65.255,0.133,2.00,15.7280,58885.7,1.4357,0.7605,15.15,1.098,0.094,0.4655,0.0000,0.519,0.044,0.806,0.0000,7.13,0.61,4,12,36,64,56.5308,2.5384,0.5403,0.0000,0.0000,26.2443,100.00,87.8162,437.4419,0.0,0.0000,0.0000
30000,4065,0.907,0.852,8.20,116755,87837,3824,10402,14371,357176,1384260.4,750752.2,0.240,0.449,0.075,0.236,109,22.78,19.71,0.54,2.46,6.78,10.35,0.44,2.32,8.78,6.67,0.00,0.10,0.173,0.222,2296,0.024,0.060,0.923,0.000,0.017,389739,361287,1,0.461,0.539,0.085,2777043,0.245,3.613,0.061,5.41,102210,663,2.102,0.167,0.320,21208395,1.16,8.78,0.114,0.505,0.002,3.1,14.4,55.9,95.8,67241,0.257,0.00,0.0039,0.061,1007,0.881,0.000,0.872,0.701,3.31,4.40,4.66,0.05,0.022,1.13,1.22,1.16,0.886,0.00055,4.96,90.5564,3735.11,62097.6,140185.7,153.614,128.1823,239.201,0.000,1.000,0.010,82.4,102.834,495.145,286,1098.9,84.25,6.992,226.303,8995.8,142.574,0.135,2.00,14.3924,58504.9,1.4692,0.8611,16.54,1.272,0.219,1.5345,0.0000,0.489,0.068,0.466,0.0000,6.64,0.89,3,12,36,64,91.1792,9.4193,0.5995,0.0000,0.0000,112.5204,100.00,44.3376,539.4424,0.0,0.0000,0.0000
40000,5130,0.854,0.610,9.54,84447,65808,1428,7377,8769,295442,728437.9,438185.8,0.210,0.554,0.112,0.125,153,14.92,13.44,0.47,2.59,3.39,5.83,0.10,1.03,6.29,5.56,0.00,0.03,0.141,0.201,2339,0.032,0.090,0.874,0.001,0.035,208446,186759,7,0.533,0.040,0.020,1506913,0.221,3.072,0.045,7.40,64961,593,1.483,0.184,0.334,14314899,1.18,11.63,0.004,0.479,0.000,3.0,11.0,32.3,118.4,52576,0.201,0.00,0.0023,0.065,1518,0.783,0.000,0.877,0.598,2.75,3.45,4.39,0.03,0.018,1.14,1.23,1.18,0.792,0.00054,2.37,39.3123,3300.71,72745.5,140185.7,13.160,55.8165,130.801,0.000,1.000,0.056,102.8,56.809,143.943,166,541.7,109.00,6.117,104.160,5984.1,66.841,0.134,2.00,10.0261,51434.1,1.5897,0.7756,10.25,1.344,0.356,0.4655,0.0000,0.442,0.106,0.436,0.0000,6.70,0.84,2,8,20,64,49.9241,4.1144,0.4965,0.0000,0.0000,25.4523,100.00,90.0172,435.6475,0.0,0.0000,0.0000
50000,5080,1.169,1.065,17.51,308330,202284,952,76384,28760,1712878,1480590.2,1692095.5,0.124,0.546,0.246,0.084,61,16.29,13.38,0.33,1.74,3.68,5.31,0.03,0.56,5.33,4.97,0.00,0.07,0.148,0.182,2448,0.027,0.060,0.908,0.000,0.031,676427,568743,5,0.340,0.639,0.008,657243,0.217,4.054,0.074,6.90,287521,385,0.988,0.211,0.395,38132096,1.15,9.36,0.154,0.588,0.002,2.2,12.0,32.0,128.0,47572,0.181,0.00,0.0055,0.071,1339,0.800,0.000,0.885,0.546,2.13,3.24,3.47,0.01,0.006,1.14,1.19,1.15,0.820,0.00194,4.38,111.0792,6038.27,74646.4,140185.7,117.720,145.4290,337.291,0.000,1.000,0.001,89.5,127.525,496.662,286,1007.9,86.08,11.475,265.865,10217.1,167.401,0.134,2.00,7.9542,40407.2,1.5256,0.6974,9.36,1.580,0.471,1.5345,0.0000,0.742,0.224,0.821,0.0000,5.64,1.69,2,8,16,64,106.4801,11.1920,0.3988,0.0000,0.0000,107.9529,100.00,56.0999,673.3765,0.0,0.0000,0.0000
60000,4500,0.880,0.930,17.89,104310,73993,374,22925,7598,579997,747024.1,611374.6,0.153,0.633,0.111,0.104,114,17.12,12.57,0.55,3.11,4.32,5.84,0.05,0.76,5.37,4.69,0.00,0.02,0.158,0.197,1569,0.072,0.074,0.896,0.000,0.030,243716,207220,7,0.376,0.288,0.009,262114,0.200,3.942,0.061,9.41,105981,384,1.054,0.208,0.371,14167110,1.22,9.03,0.231,0.446,0.000,3.1,13.4,32.0,92.0,46312,0.177,0.00,0.0031,0.064,1238,0.697,0.000,0.818,0.576,2.24,3.18,4.12,0.00,0.001,1.19,1.25,1.23,0.711,0.00124,2.48,44.5700,3984.18,77216.7,140185.7,4.691,67.4560,135.277,0.000,1.000,0.019,77.5,54.641,141.633,200,716.9,59.73,6.358,112.427,10383.1,66.387,0.136,2.00,9.3694,42162.3,1.4215,0.6663,10.29,1.512,0.472,0.4655,0.0000,0.706,0.216,0.805,0.0000,5.83,1.75,2,10,16,50,46.3520,2.7188,0.5071,0.0000,0.0000,23.5383,100.00,94.9607,397.7446,0.0,0.0000,0.0000
70000,4840,0.957,0.944,22.24,165336,104736,3424,43248,13588,848186,1364189.8,1054757.6,0.122,0.657,0.114,0.107,61,20.76,12.74,0.36,2.31,5.37,5.71,0.04,0.66,5.84,4.59,0.00,0.00,0.182,0.183,1554,0.068,0.081,0.903,0.000,0.016,443126,379289,23,0.286,0.295,0.009,420758,0.257,4.046,0.072,8.66,207660,331,1.244,0.211,0.326,37371226,1.14,6.92,0.369,0.363,0.000,4.0,24.0,32.0,104.3,56202,0.214,0.00,0.0048,0.068,1236,0.894,0.000,0.791,0.629,2.14,3.56,3.81,0.00,0.001,1.12,1.17,1.14,0.903,0.00106,3.34,93.4322,4624.37,57684.5,140185.7,120.861,165.6008,266.078,0.000,1.000,0.004,94.8,105.150,496.547,508,1913.9,145.36,13.962,264.044,8701.6,145.183,0.134,2.00,12.4583,60298.2,1.3800,0.7289,11.61,1.664,0.461,1.5345,0.0000,0.726,0.244,0.761,0.0000,5.35,1.80,3,13,16,52,95.1282,4.8890,0.5184,0.0000,0.0000,105.9126,100.00,45.2628,556.5683,0.0,0.0000,0.0000
80000,4017,1.005,0.775,19.57,84884,62129,1565,16502,5511,395244,730425.9,468820.1,0.118,0.659,0.083,0.141,114,17.95,13.06,0.34,2.16,4.15,5.54,0.18,1.59,6.00,4.59,0.00,0.02,0.146,0.180,1426,0.045,0.088,0.895,0.000,0.017,201125,171329,14,0.431,0.093,0.029,483417,0.257,3.556,0.054,9.31,95564,344,1.186,0.219,0.300,15289769,1.12,7.93,0.271,0.395,0.000,3.0,14.0,32.0,160.0,42894,0.164,0.00,0.0030,0.063,1041,0.754,0.000,0.756,0.582,2.16,3.31,3.87,0.00,0.001,1.09,1.16,1.12,0.764,0.00102,2.47,40.0177,3368.79,67964.3,140185.7,8.528,62.7883,133.185,0.000,1.000,0.016,74.2,55.883,141.806,252,888.7,77.98,7.027,108.336,8276.3,64.851,0.134,2.00,13.4349,53968.2,1.7121,0.6668,10.68,1.559,0.486,0.4655,0.0000,0.666,0.253,0.609,0.0000,5.52,1.62,2,10,16,80,49.7951,2.0064,0.4914,0.0000,0.0000,23.9080,100.00,89.9194,406.3979,0.0,0.0000,0.0000
90000,4830,1.046,0.854,22.94,168508,108286,3343,45111,10955,921890,1411907.8,1105947.4,0.094,0.670,0.088,0.148,59,21.36,13.36,0.30,2.10,4.99,5.48,0.05,0.61,6.52,5.23,0.00,0.05,0.170,0.171,1609,0.101,0.096,0.888,0.000,0.016,455895,386866,22,0.272,0.188,0.011,793667,0.256,3.497,0.066,10.53,229490,291,1.200,0.221,0.321,36356381,1.10,6.18,0.377,0.346,0.001,4.0,24.8,32.0,162.0,57311,0.219,0.00,0.0045,0.061,1382,0.871,0.000,0.777,0.632,2.13,3.52,3.78,0.00,0.003,1.08,1.13,1.11,0.882,0.00120,3.94,97.8672,4506.70,58050.9,140185.7,142.384,137.6618,277.569,0.000,1.000,0.024,98.3,109.983,494.796,443,1515.7,88.74,16.443,238.104,7761.6,146.037,0.134,2.00,12.6146,60928.3,1.3559,0.6678,11.87,1.695,0.459,1.5345,0.0000,0.666,0.266,0.608,0.0000,5.16,1.65,3,14,16,90,101.0900,3.0880,0.4994,0.0000,0.0000,107.8520,100.00,42.9542,552.0361,0.0,0.0000,0.0000
100000,4257,1.066,0.704,19.12,91000,65698,1411,18453,6011,449055,758979.9,512002.2,0.096,0.675,0.074,0.154,109,17.69,12.95,0.23,1.73,4.05,5.31,0.05,0.73,6.12,4.79,0.00,0.09,0.140,0.175,1398,0.054,0.089,0.890,0.000,0.021,214561,181706,18,0.460,0.068,0.008,278601,0.257,3.582,0.047,11.28,103946,323,1.140,0.229,0.299,14848875,1.09,8.88,0.288,0.376,0.002,2.8,12.7,32.0,76.7,44470,0.170,0.00,0.0029,0.078,984,0.709,0.000,0.751,0.580,2.09,3.23,3.60,0.01,0.004,1.09,1.11,1.09,0.720,0.00115,3.29,42.2730,3992.87,68970.1,140185.7,10.495,56.8826,139.590,0.000,1.000,0.016,83.2,58.824,138.310,184,676.0,102.29,7.200,103.334,6617.7,65.817,0.134,2.00,12.5815,53559.7,1.6844,0.6342,10.45,1.546,0.491,0.4655,0.0000,0.735,0.261,0.672,0.0000,5.61,1.70,2,10,16,57,52.1074,1.8293,0.4639,0.0000,0.0000,24.1488,100.00,90.1088,420.2285,0.0,0.0000,0.0000
