step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,2916,0.8186,79044.2,890,1029,1023,864,23,16,31,7372,11359,18255,0,0,0
2000,2808,0.9220,98953.3,1787,970,964,874,27,16,33,3628,5833,11143,0,0,0
3000,2798,0.9267,98313.7,2610,967,977,854,28,15,35,2523,4165,8837,0,0,0
4000,3224,0.6511,75313.9,669,1191,1092,941,24,36,32,9785,12843,20134,0,0,0
5000,3145,0.6976,84623.7,1043,1131,1132,882,30,45,37,6941,9633,18188,0,0,0
6000,3259,0.7192,91208.4,1328,1129,1057,1073,38,46,50,5804,8451,15436,0,0,0
7000,3773,0.6467,77429.3,845,1346,1309,1118,56,78,62,9794,12852,18859,0,0,0
8000,3861,0.6343,76651.5,847,1410,1250,1201,55,61,51,10259,13715,19949,0,0,0
9000,3568,0.6424,77668.0,1020,1282,1239,1047,46,63,52,10182,13943,20681,0,0,0
10000,3686,0.6080,67748.2,868,1287,1378,1021,47,66,58,12690,19089,23660,0,0,0
11000,3481,0.6199,58023.9,863,1381,1174,926,59,69,73,15375,22822,29068,0,0,0
12000,2795,0.6637,46025.2,970,1173,1008,614,72,68,55,19438,28728,35053,0,0,0
13000,2005,0.6953,31441.3,993,969,648,388,61,90,98,23165,36155,41231,0,0,0
14000,1528,0.7186,20535.8,929,973,344,211,46,97,94,25839,41180,47402,0,0,0
15000,1097,0.6436,15828.9,810,878,164,55,31,94,41,26860,43080,50407,0,0,0
16000,1037,0.6152,14623.6,794,805,166,66,38,104,59,25613,42905,51653,0,0,0
17000,1655,0.5251,21253.4,608,992,428,235,62,149,130,23097,39687,50257,0,0,0
18000,2514,0.5171,31377.8,612,1247,762,505,86,167,253,20265,34419,46836,0,0,0
19000,3130,0.5377,44517.6,693,1375,1033,722,114,165,197,16019,27565,41440,0,0,0
20000,3744,0.5403,58885.7,742,1538,1271,935,132,105,167,13855,21016,34226,0,0,0
21000,4013,0.5450,65106.4,814,1566,1337,1110,115,135,144,12306,18447,28513,0,0,0
22000,4558,0.5533,70867.2,759,1552,1678,1328,117,106,135,11727,15740,25062,0,0,0
23000,4720,0.5767,77960.8,841,1704,1685,1331,118,114,120,10110,13090,21751,0,0,0
24000,4754,0.5589,77632.6,863,1746,1596,1412,124,133,122,9307,13467,20284,0,0,0
25000,5005,0.5860,80368.6,799,1676,1717,1612,114,113,147,9738,12695,18606,0,0,0
26000,4833,0.5845,79494.4,839,1729,1662,1442,122,97,132,9694,13208,19012,0,0,0
27000,4545,0.5674,80170.9,914,1689,1545,1311,102,99,109,9886,12658,17670,0,0,0
28000,4684,0.5453,70087.3,749,1773,1591,1320,132,105,126,10191,14549,19759,0,0,0
29000,4516,0.5691,62271.4,701,1684,1600,1232,116,100,96,13335,16561,24126,0,0,0
30000,4065,0.5995,58504.9,751,1568,1490,1007,121,127,99,15582,19519,26997,0,0,0
31000,3680,0.6402,55604.2,863,1508,1269,903,153,110,106,16877,22153,28845,0,0,0
32000,3567,0.6184,41774.6,851,1501,1169,897,147,129,128,20459,28360,35414,0,0,0
33000,2589,0.6408,24401.1,774,1474,718,397,97,126,97,25558,36544,43991,0,0,0
34000,1869,0.6442,16050.8,806,1239,411,219,57,136,71,27327,40920,49496,0,0,0
35000,1347,0.6132,13443.6,755,1138,152,57,30,80,37,26878,42572,52067,0,0,0
36000,1353,0.6135,12545.3,644,1051,207,95,19,131,83,26141,42740,53670,0,0,0
37000,2035,0.5155,19214.2,510,1224,483,328,62,195,224,23177,39404,51947,0,0,0
38000,3287,0.5081,25145.2,429,1710,880,697,136,227,213,21124,35499,48805,0,0,0
39000,4039,0.5031,37526.2,505,1855,1243,941,152,178,195,18319,29049,42607,0,0,0
40000,5130,0.4965,51434.1,547,2077,1535,1518,167,167,212,14515,23431,34800,0,0,0
41000,6904,0.4625,57160.0,464,2645,2390,1869,207,227,263,13009,19438,30039,0,0,0
42000,7413,0.5123,55548.8,465,2557,2706,2150,249,247,291,15178,20293,29800,0,0,0
43000,7596,0.5000,58386.9,486,2874,2603,2119,271,219,253,14775,19492,27575,0,0,0
44000,8067,0.4826,59025.4,445,2895,3049,2123,270,272,290,14927,17748,26343,0,0,0
45000,8844,0.4872,59516.2,424,3098,3197,2549,289,256,328,14696,17674,25428,0,0,0
46000,8735,0.4653,61154.2,427,3234,2989,2512,258,237,262,13248,16709,25059,0,0,0
47000,8088,0.4381,54971.7,381,2999,2942,2147,231,264,234,13714,17347,25359,0,0,0
48000,6514,0.3959,43031.5,303,2361,2392,1761,181,179,211,17125,19601,25882,0,0,0
49000,5983,0.4033,43164.7,309,2237,2299,1447,185,203,212,19442,21077,27407,0,0,0
50000,5080,0.3988,40407.2,351,1950,1791,1339,173,187,199,22027,24165,28455,0,0,0
51000,4476,0.4625,35765.2,398,1839,1553,1084,156,158,143,24370,28444,31941,0,0,0
52000,3324,0.4907,26041.1,438,1479,1047,798,155,120,148,29851,33534,36944,0,0,0
53000,2442,0.5549,19567.5,502,1359,635,448,99,122,148,31888,38660,41100,0,0,0
54000,1641,0.5868,13640.7,620,1138,299,204,67,97,144,32781,41806,45737,0,0,0
55000,1195,0.5456,9242.6,561,958,158,79,29,108,72,32380,44030,49444,0,0,0
56000,1273,0.5350,12137.9,530,967,185,121,21,145,119,29094,43476,50863,0,0,0
57000,1965,0.4702,19324.3,524,1243,410,312,45,205,217,24585,40190,49809,0,0,0
58000,2965,0.4732,20481.3,393,1531,819,615,114,186,227,25245,36763,46935,0,0,0
59000,3895,0.4809,30059.3,389,1813,1157,925,152,155,183,22756,30823,40838,0,0,0
60000,4500,0.5071,42162.3,522,1692,1570,1238,130,160,192,19143,24484,33590,0,0,0
61000,5247,0.5237,50301.7,594,1991,1772,1484,154,189,224,16790,19948,27656,0,0,0
62000,5567,0.5096,57247.4,602,2039,1999,1529,169,186,209,13959,17307,24984,0,0,0
63000,5745,0.5356,62380.7,618,2166,2046,1533,147,197,195,11330,15266,23035,0,0,0
64000,5733,0.5529,67760.6,678,2041,2178,1514,141,225,180,10039,13196,21219,0,0,0
65000,5844,0.5465,68982.8,705,2050,2078,1716,153,216,144,9285,12381,19699,0,0,0
