step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake
10000,0,1222,34.66,1.84,3.26,2.34,24.93,0.03,1.41,0.012,0.453,580338.3,274930.8,30,51,4.97,1.35,1.52,50.4528,2586.53,8285.8,68.0255,2.1180,5462,29.5739,217,77.3318,528276.8,165.42,5.5443,0.0,0.0000
10000,1,1186,34.43,2.47,5.24,2.55,19.15,0.02,1.55,0.008,0.397,553032.8,247439.8,37,48,4.66,1.46,1.69,44.0185,1651.54,12165.6,62.6927,2.0852,5461,29.5685,172,73.8218,496754.9,81.35,40.7168,0.0,0.0000
10000,2,863,40.16,1.68,7.40,2.70,21.52,0.02,1.37,0.012,0.331,432405.5,207883.0,34,56,5.00,1.23,1.51,34.1528,1261.42,19091.2,32.9773,1.7713,5461,29.5685,138,57.3436,376667.6,53.21,74.0578,0.0,0.0000
20000,0,1337,28.85,1.76,6.42,0.60,12.11,0.28,1.49,0.093,0.320,399124.0,231927.6,19,97,3.91,1.48,1.43,33.6513,2852.08,12525.4,6.7959,1.4267,5462,15.6884,67,60.7068,387729.0,165.42,1.9109,0.0,0.0000
20000,1,996,36.73,1.68,9.15,1.21,15.02,0.20,1.46,0.071,0.305,197182.8,102466.7,12,89,4.59,1.44,1.44,14.1394,2183.53,18374.8,1.9975,1.6431,5461,15.6855,76,31.8797,181555.3,81.35,9.3762,0.0,0.0000
20000,2,713,38.19,2.09,8.35,2.10,16.18,0.14,1.61,0.050,0.237,122996.1,70040.6,8,92,4.74,1.50,1.67,8.4631,1195.70,27036.3,0.6165,1.8523,5461,15.6855,96,17.9741,104649.4,53.21,15.1449,0.0,0.0000
30000,0,1448,35.97,4.21,4.95,0.18,8.99,0.65,2.44,0.240,0.303,560722.9,512552.9,15,147,3.51,2.64,1.83,49.3261,1788.49,13631.7,43.3146,1.9653,5462,28.6305,196,98.1844,550560.8,165.42,4.6613,0.0,0.0000
30000,1,1254,34.36,4.04,4.53,0.21,9.51,0.62,2.35,0.229,0.265,586096.1,523420.9,17,111,3.47,2.56,1.82,52.6004,1807.94,17920.0,41.4164,1.7859,5461,28.6252,167,107.1951,579226.1,81.35,37.5865,0.0,0.0000
30000,2,1005,36.20,4.82,4.44,0.23,10.96,0.67,2.59,0.226,0.234,425778.7,370664.4,14,115,3.87,2.82,2.00,37.4776,680.07,25982.5,17.4446,1.7822,5461,28.6252,180,75.5099,411048.1,53.21,68.8158,0.0,0.0000
40000,0,1323,37.19,4.12,3.70,0.11,13.55,0.63,2.29,0.209,0.324,368357.3,206955.2,13,106,3.88,2.53,1.72,28.8369,1959.95,12144.5,5.5966,1.7857,5462,14.6526,99,63.1196,353055.6,165.42,1.7525,0.0,0.0000
40000,1,1008,38.61,3.70,3.92,0.26,15.41,0.58,2.14,0.190,0.270,195119.6,106108.3,9,59,4.05,2.40,1.62,13.4562,1513.65,17152.6,2.3708,2.3408,5461,14.6499,72,29.9160,172490.6,81.35,8.3082,0.0,0.0000
40000,2,769,41.25,3.65,4.38,0.47,16.69,0.66,2.07,0.207,0.222,118214.0,51121.0,9,93,4.20,2.29,1.57,6.0965,1063.26,25733.7,0.8575,2.3924,5461,14.6499,84,17.0307,94518.7,53.21,15.2193,0.0,0.0000
50000,0,1333,41.06,5.69,4.86,0.41,13.03,1.00,2.73,0.328,0.367,518670.9,277255.9,38,98,4.22,3.11,1.87,40.6400,2295.05,11503.7,60.7994,2.1214,5462,28.5178,95,85.0308,503925.2,165.42,3.5630,0.0,0.0000
50000,1,1248,41.27,5.12,4.89,0.64,14.40,0.84,2.55,0.284,0.358,530295.7,298351.5,40,92,4.26,2.91,1.83,43.6432,2255.96,15066.0,54.1287,2.0707,5461,28.5126,114,85.3722,515913.4,81.35,41.7241,0.0,0.0000
50000,2,947,43.39,6.24,6.08,0.21,12.87,1.13,2.89,0.373,0.274,381245.1,201633.2,21,102,4.41,3.39,1.98,28.8145,1257.70,22635.3,27.9652,1.9611,5461,28.5126,90,63.2573,365119.8,53.21,71.0987,0.0,0.0000
60000,0,1188,37.07,4.87,3.89,0.57,12.41,0.69,2.50,0.225,0.297,381325.0,200868.8,13,90,4.03,2.87,1.82,31.9056,2885.39,16145.5,4.3653,1.5495,5462,14.9228,78,64.0657,368711.9,165.42,1.6027,0.0,0.0000
60000,1,1138,37.98,4.11,4.28,0.34,13.49,0.68,2.34,0.234,0.286,209560.3,111298.2,11,87,4.02,2.64,1.66,14.6822,1703.16,17823.2,2.6045,2.4717,5461,14.9201,107,30.5923,185923.0,81.35,8.6963,0.0,0.0000
60000,2,760,40.15,3.57,3.88,0.34,15.99,0.65,2.15,0.230,0.208,124681.4,56902.2,8,115,4.26,2.46,1.52,6.8248,515.01,23536.0,0.8336,2.9134,5461,14.9201,108,16.2123,96200.7,53.21,14.5660,0.0,0.0000
70000,0,1410,37.73,5.55,4.95,0.59,11.18,0.91,2.80,0.316,0.359,568734.7,315002.3,42,92,4.08,3.16,1.96,49.7688,2250.86,13526.4,50.5284,1.4359,5462,28.1201,91,100.7539,563329.3,165.42,5.7037,0.0,0.0000
70000,1,1329,37.76,5.46,4.74,0.48,11.80,0.86,2.77,0.297,0.342,515763.4,275633.8,43,117,4.08,3.15,1.93,39.0320,1744.84,16745.7,59.1880,2.0838,5461,28.1150,127,86.9357,498890.8,81.35,36.3854,0.0,0.0000
70000,2,973,42.05,6.01,4.91,0.82,12.70,0.96,3.00,0.334,0.272,342715.7,175803.5,27,120,4.38,3.36,2.02,21.6361,698.59,18573.0,34.6847,2.4833,5461,28.1150,138,51.6907,321871.8,53.21,67.1231,0.0,0.0000
80000,0,1164,39.34,5.16,4.35,0.69,13.45,0.86,2.60,0.291,0.315,397973.0,216011.4,16,133,4.25,2.92,1.84,32.3337,2234.72,16990.4,3.6144,1.4178,5462,15.6352,51,66.6733,386251.4,165.42,1.5766,0.0,0.0000
80000,1,1110,38.11,4.35,4.22,0.30,14.35,0.81,2.31,0.272,0.294,203911.0,102122.8,10,98,4.15,2.60,1.60,12.9200,1411.78,18220.6,2.3194,2.5065,5461,15.6323,67,28.7361,179847.9,81.35,8.2964,0.0,0.0000
80000,2,853,36.75,3.54,3.59,0.32,15.48,0.73,2.09,0.243,0.224,128054.7,60621.1,7,112,4.20,2.29,1.48,6.4607,819.03,23872.9,1.5184,3.1319,5461,15.6323,78,15.4592,96971.4,53.21,14.9578,0.0,0.0000
