step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest
5000,1,878,16.2,0.3,0.5,0.5,16.3,0.0,1.07,13.0,239,163,12.29,6.11,379,407,92,0.0,1.11,1.07,1.05,3.69,5.91,3.65,26.5,0.914,0.462
5000,2,536,17.0,0.2,0.6,0.0,16.8,0.0,1.02,7.1,157,254,22.65,9.93,371,164,1,0.0,1.01,1.03,1.02,5.00,6.29,7.49,20.4,0.966,0.547
5000,4,115,18.7,0.1,0.3,0.4,20.1,0.0,1.01,6.7,40,200,24.86,9.74,29,84,2,0.1,1.00,1.02,1.01,4.83,5.32,7.70,28.9,0.893,0.327
5000,17,15,9.2,0.1,0.0,0.0,7.0,0.0,1.01,19.1,3,720,43.49,20.33,0,15,0,0.0,1.03,1.00,1.00,2.33,2.13,4.33,28.7,1.263,0.246
5000,3,14,13.0,0.0,0.0,1.5,13.4,0.0,1.00,8.4,4,374,20.88,12.24,0,14,0,0.0,1.00,1.00,1.00,4.36,8.00,4.64,31.7,0.920,0.525
6000,1,817,19.2,0.4,2.0,1.4,16.5,0.0,1.09,12.4,379,141,10.76,7.16,385,367,65,0.1,1.14,1.09,1.07,3.83,5.86,3.97,24.9,0.949,0.439
6000,2,528,16.6,0.1,0.2,0.0,16.4,0.0,1.03,7.6,231,275,23.08,11.34,377,147,4,0.0,1.02,1.04,1.03,4.67,6.18,7.34,19.4,0.978,0.542
6000,4,49,15.8,0.0,0.0,0.0,17.0,0.0,1.00,10.3,24,219,28.71,11.36,14,35,0,0.0,1.00,1.00,1.00,4.06,4.78,6.49,28.9,0.915,0.330
6000,3,11,8.5,0.0,0.0,0.0,9.4,0.0,1.00,14.7,5,211,6.43,6.52,0,11,0,0.0,1.00,1.00,1.00,3.73,7.55,3.27,32.2,0.909,0.564
6000,17,7,10.1,0.3,0.0,0.0,7.7,0.0,1.02,18.3,2,184,7.48,2.83,0,7,0,0.0,1.07,1.00,1.00,2.71,2.29,4.57,29.2,1.228,0.302
7000,1,836,20.6,0.7,2.0,1.1,16.7,0.0,1.19,12.3,383,132,12.11,5.18,385,324,127,0.0,1.24,1.22,1.16,3.86,5.64,4.27,26.8,0.971,0.433
7000,2,419,17.2,0.2,0.6,0.0,16.1,0.0,1.03,7.9,188,223,17.03,8.37,253,157,9,0.0,1.01,1.03,1.03,4.61,6.30,7.19,22.0,1.018,0.541
8000,2,476,18.6,0.3,0.3,0.1,17.0,0.0,1.05,6.9,205,206,15.68,7.94,343,132,1,0.0,1.01,1.09,1.05,4.97,6.50,7.57,18.7,1.037,0.539
8000,1,333,15.5,0.7,0.1,0.3,15.6,0.0,1.21,14.3,94,146,11.53,3.48,89,188,56,0.0,1.28,1.24,1.16,3.43,5.26,3.69,30.9,0.911,0.440
9000,2,300,19.8,0.2,0.1,0.3,18.1,0.0,1.02,7.0,150,195,16.30,7.45,193,107,0,0.0,1.00,1.04,1.02,5.17,6.39,7.33,20.2,1.058,0.524
9000,1,226,15.8,0.5,0.0,0.4,16.2,0.0,1.11,14.0,95,148,11.03,3.62,91,76,59,0.0,1.13,1.15,1.09,3.69,5.18,4.03,29.2,0.910,0.463
10000,1,180,17.8,0.1,0.0,0.4,19.1,0.0,1.03,12.5,69,114,9.10,3.44,61,84,35,0.0,1.04,1.05,1.03,3.91,5.56,4.30,27.9,0.912,0.458
10000,2,113,20.5,0.4,0.3,1.1,17.4,0.0,1.06,3.9,52,190,13.80,6.71,81,32,0,0.0,1.04,1.09,1.07,5.64,7.35,7.62,22.0,1.080,0.501
11000,1,304,17.6,0.3,0.4,0.7,18.1,0.0,1.09,12.9,92,122,8.20,4.14,80,150,74,0.0,1.10,1.10,1.08,3.79,5.29,4.29,31.6,0.911,0.456
11000,2,138,19.2,0.0,0.2,0.7,18.6,0.0,1.00,3.7,53,202,14.49,7.15,98,40,0,0.0,1.00,1.00,1.00,5.80,7.49,7.77,21.0,1.001,0.510
12000,1,232,16.3,0.2,0.0,0.6,17.4,0.0,1.04,12.9,61,116,7.46,3.77,83,108,41,0.0,1.04,1.04,1.03,3.73,5.31,4.26,28.0,0.910,0.455
12000,2,110,20.7,0.2,0.7,0.5,19.0,0.0,1.02,3.4,51,228,17.01,8.98,67,43,0,0.0,1.00,1.02,1.03,6.00,7.35,7.63,22.3,1.021,0.509
12000,32,75,22.4,0.2,0.5,0.3,19.0,0.0,1.03,9.8,33,140,11.98,3.35,48,24,3,0.0,1.00,1.05,1.03,4.25,7.89,3.29,20.5,1.121,0.252
13000,1,190,19.0,0.8,0.1,0.5,18.7,0.0,1.22,12.2,60,128,9.05,3.97,83,99,8,0.0,1.15,1.29,1.24,4.02,5.46,4.45,24.6,0.918,0.459
13000,35,143,19.7,0.1,0.5,0.8,16.5,0.0,1.00,13.2,51,119,8.55,3.00,71,58,14,0.0,1.00,1.00,1.01,3.64,5.43,3.99,25.4,1.133,0.342
13000,2,63,26.5,0.1,0.4,2.6,22.3,0.0,1.01,2.3,23,180,13.86,6.88,49,14,0,0.0,1.00,1.01,1.01,6.75,7.79,7.92,21.7,1.096,0.484
13000,32,52,23.0,0.0,1.9,1.5,19.4,0.0,1.00,9.4,23,118,9.83,2.40,17,31,4,0.0,1.01,1.01,1.00,4.23,7.98,3.40,27.7,1.049,0.303
14000,35,155,18.4,0.2,0.1,0.6,15.5,0.0,1.06,14.1,38,113,9.01,2.25,79,67,9,0.0,1.08,1.04,1.06,3.45,5.10,3.83,25.9,1.132,0.343
14000,1,123,15.3,0.4,0.1,0.5,15.4,0.0,1.14,13.9,28,104,6.88,2.76,45,72,6,0.1,1.12,1.19,1.13,3.67,5.61,3.45,25.6,0.914,0.453
