step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung
10000,1117,1.775,0.698,9.95,86991,84650,18,628,2015,68552,730937.4,381435.1,0.196,0.515,0.136,0.153,92,15.42,7.80,0.12,0.87,0.36,2.60,0.61,2.07,15.51,7.09,0.01,0.19,0.013,0.082,396,0.023,0.030,0.961,0.000,0.009,117697,107024,8,0.317,0.311,0.156,2800923,0.177,1.887,0.055,22.61,43910,158,5.564,0.369,0.242,4853982,1.02,9.38,0.004,0.040,0.002,7.5,14.1,24.4,80.0,18538,0.071,0.00,0.0042,0.071,52,0.743,0.000,0.694,0.324,4.13,5.31,6.32,0.01,0.005,1.01,1.03,1.02,0.746,0.00424,1.77,104.6959,3355.26,114026.2,139958.7,71.938,89.8196,96.660,495.459,0.795,0.366,3.1,4.738,206.622,1272,4524.0,29.61,39.487,119.671,2692.8,75.200,0.137,2.00,10.8942,12168.8,0.8642,0.2615,16.60,0.945,0.178,1.3183,0.0000,0.348,0.129,0.117,59.1286
20000,1202,1.846,0.555,8.95,59470,58159,4,241,981,19923,366902.6,162277.2,0.141,0.583,0.113,0.163,149,15.93,9.33,0.16,1.13,0.95,3.55,0.53,2.37,15.61,7.25,0.00,0.00,0.031,0.107,444,0.054,0.026,0.964,0.000,0.010,55184,48407,5,0.416,0.325,0.116,808259,0.132,1.564,0.041,16.58,25240,139,8.145,0.415,0.201,3116926,1.04,8.47,0.006,0.093,0.000,8.0,13.4,27.1,77.6,20721,0.079,0.00,0.0020,0.075,83,0.635,0.000,0.722,0.105,4.45,4.97,7.31,0.00,0.001,1.02,1.04,1.05,0.637,0.00204,0.88,49.7889,3217.27,116865.7,139958.7,38.564,44.5315,49.647,180.796,0.846,0.368,4.2,2.452,106.882,902,2963.6,19.80,16.090,55.660,2155.8,34.317,0.134,2.00,9.4766,11390.8,0.8096,0.3038,17.24,0.928,0.133,0.6817,0.0000,0.334,0.082,0.028,25.5406
30000,1172,1.820,0.579,10.19,112734,108895,63,1125,2681,66636,741112.9,421935.6,0.038,0.630,0.112,0.221,133,16.43,11.35,0.09,0.76,1.21,5.26,0.44,2.35,14.42,7.20,0.00,0.00,0.030,0.107,490,0.039,0.045,0.946,0.000,0.009,161236,142921,10,0.158,0.573,0.097,1590539,0.150,1.637,0.044,19.78,63304,200,6.332,0.346,0.212,9327447,1.02,9.40,0.002,0.126,0.000,7.6,13.6,27.1,78.4,18944,0.072,0.00,0.0044,0.078,90,0.757,0.000,0.787,0.340,4.13,4.73,7.06,0.02,0.003,1.00,1.03,1.03,0.759,0.00333,2.22,109.7379,3197.35,115571.3,139958.7,74.285,75.3280,102.280,294.377,0.869,0.363,5.6,3.900,201.655,950,2875.2,26.06,16.880,119.706,2580.9,87.426,0.136,2.00,10.5669,12384.4,0.9606,0.4488,16.16,1.012,0.127,1.3183,0.0000,0.361,0.088,0.063,60.1302
40000,1179,1.857,0.580,9.34,60047,58833,2,242,963,17675,395271.2,178181.1,0.038,0.602,0.100,0.261,165,16.69,8.45,0.08,0.85,0.60,4.53,0.14,0.83,14.95,6.57,0.00,0.00,0.015,0.092,361,0.065,0.037,0.951,0.000,0.012,55417,47873,6,0.641,0.170,0.050,549387,0.140,1.607,0.044,18.24,25857,171,10.081,0.347,0.187,3381934,1.02,8.40,0.001,0.052,0.000,9.0,15.4,26.0,77.9,18591,0.071,0.00,0.0022,0.081,91,0.609,0.000,0.658,0.094,4.31,4.77,7.62,0.00,0.001,1.01,1.03,1.02,0.610,0.00272,1.05,53.6249,3164.17,116877.1,139958.7,36.407,42.7022,53.981,182.306,0.875,0.363,4.4,3.202,106.063,1018,3385.9,28.70,16.562,55.995,2274.8,37.890,0.137,1.99,9.3250,10994.2,0.8337,0.3496,15.77,1.051,0.110,0.6817,0.0000,0.356,0.068,0.009,28.4610
50000,1206,1.904,0.563,9.57,107163,101215,14,3556,2351,195102,742710.4,431976.1,0.037,0.605,0.112,0.246,135,18.61,11.99,0.21,1.70,0.66,3.66,0.44,2.25,15.71,7.26,0.00,0.00,0.014,0.077,413,0.050,0.047,0.944,0.000,0.008,146042,126021,10,0.517,0.240,0.076,1137315,0.157,1.700,0.041,22.06,58352,204,2.214,0.257,0.199,7730866,1.05,8.29,0.010,0.081,0.000,9.2,16.1,29.2,112.5,20530,0.078,0.00,0.0039,0.077,139,0.707,0.000,0.738,0.314,4.09,4.99,7.08,0.06,0.010,1.01,1.06,1.06,0.715,0.00501,2.28,99.9780,3419.07,117681.1,139958.7,71.616,74.6414,100.894,316.838,0.875,0.372,6.3,6.039,203.407,812,2383.9,28.11,20.002,120.033,2673.2,85.929,0.134,2.00,8.5410,10300.4,0.7613,0.4115,17.02,1.090,0.206,1.3183,0.0000,0.368,0.087,0.100,61.4942
60000,1327,1.716,0.496,9.21,62961,61419,0,234,1187,17738,402481.6,186815.6,0.034,0.613,0.083,0.270,173,15.24,6.85,0.21,1.29,0.36,2.16,0.28,1.23,14.81,6.14,0.00,0.00,0.015,0.070,421,0.032,0.053,0.933,0.000,0.014,57700,49569,4,0.347,0.329,0.086,526702,0.155,1.546,0.035,18.95,25950,130,10.532,0.385,0.202,3334544,1.06,9.30,0.001,0.052,0.000,8.2,14.4,21.9,62.8,20769,0.079,0.00,0.0020,0.066,121,0.585,0.000,0.658,0.094,4.09,4.40,7.33,0.00,0.002,1.03,1.08,1.07,0.586,0.00260,1.15,54.8294,3349.36,117902.9,139958.7,35.649,41.8846,55.414,186.455,0.826,0.368,5.0,3.451,104.960,705,1840.7,30.43,16.934,55.940,2137.5,38.616,0.134,2.00,8.4672,11235.9,0.7539,0.3260,15.65,0.970,0.122,0.6817,0.0000,0.338,0.066,0.012,29.5801
70000,1300,1.839,0.516,9.37,114819,109407,18,2586,2835,138521,756583.6,465480.1,0.051,0.594,0.110,0.245,139,16.97,7.49,0.08,0.69,0.24,1.97,0.48,2.24,15.43,5.21,0.00,0.00,0.006,0.043,370,0.053,0.049,0.935,0.000,0.015,157188,135701,8,0.187,0.399,0.121,1533955,0.163,1.635,0.036,21.42,61397,202,3.360,0.270,0.242,7850547,1.02,8.82,0.001,0.033,0.000,10.7,16.3,23.8,93.3,21107,0.081,0.00,0.0038,0.071,125,0.708,0.000,0.763,0.315,4.12,4.57,7.21,0.01,0.003,1.00,1.02,1.02,0.712,0.00419,2.55,110.0205,3694.26,115397.8,139958.7,71.077,72.7558,106.350,308.137,0.841,0.365,4.6,5.451,200.898,722,1881.0,60.24,17.995,120.950,2151.7,89.676,0.135,2.00,10.2053,13266.9,0.8378,0.4111,16.24,1.061,0.165,1.3183,0.0000,0.385,0.085,0.092,63.9108
80000,1170,1.997,0.498,8.74,56007,55163,0,76,898,13196,392482.2,181777.9,0.035,0.628,0.090,0.247,172,20.75,9.55,0.08,0.90,0.47,2.73,0.46,1.87,16.79,7.49,0.00,0.00,0.013,0.061,375,0.044,0.052,0.941,0.000,0.007,49452,41566,6,0.399,0.133,0.107,1110851,0.139,1.481,0.038,19.01,22598,172,13.775,0.342,0.168,3011043,1.02,9.14,0.003,0.039,0.000,12.0,19.0,30.7,72.5,20827,0.079,0.00,0.0020,0.081,124,0.561,0.000,0.658,0.077,3.95,4.41,7.09,0.00,0.002,1.01,1.03,1.03,0.562,0.00362,1.12,52.9887,3024.11,117490.8,139958.7,35.575,41.5821,54.171,185.370,0.908,0.370,6.6,4.238,104.384,817,2299.0,23.85,17.023,55.981,2086.0,38.242,0.134,2.00,9.8111,11479.0,0.7844,0.3071,17.80,1.189,0.140,0.6817,0.0000,0.392,0.081,0.073,29.3855
90000,1333,1.897,0.481,8.73,100120,95806,27,2134,1990,134135,741056.0,445185.5,0.026,0.654,0.099,0.220,145,18.91,7.82,0.11,1.13,0.34,1.97,0.51,2.09,14.63,5.29,0.00,0.00,0.012,0.061,386,0.038,0.062,0.923,0.000,0.015,135523,116469,5,0.280,0.272,0.137,1501144,0.155,1.603,0.033,21.48,50982,219,3.319,0.276,0.223,7628726,1.04,10.59,0.002,0.046,0.000,12.2,18.3,25.0,97.7,20782,0.079,0.00,0.0038,0.085,132,0.690,0.000,0.760,0.310,3.68,4.05,6.71,0.00,0.000,1.02,1.05,1.05,0.695,0.00503,2.42,104.3614,3391.02,115218.3,139958.7,70.042,73.6743,102.406,313.393,0.828,0.365,6.0,6.708,201.063,581,1526.2,30.63,18.008,122.054,2153.2,88.982,0.135,2.00,10.3676,13820.0,0.8966,0.4305,15.59,1.237,0.157,1.3183,0.0000,0.392,0.093,0.125,62.9230
100000,1283,1.920,0.487,8.33,55664,54484,0,134,1096,13727,398440.9,183528.3,0.017,0.647,0.085,0.251,171,17.83,7.48,0.06,0.56,0.17,1.31,0.26,1.46,14.79,5.99,0.00,0.03,0.006,0.051,331,0.154,0.056,0.934,0.000,0.010,48696,40027,4,0.657,0.090,0.072,1127934,0.135,1.515,0.035,18.69,21472,171,13.370,0.358,0.180,3204573,1.02,9.76,0.001,0.021,0.001,10.8,16.8,25.5,83.3,19596,0.075,0.00,0.0021,0.083,108,0.561,0.000,0.698,0.065,3.91,4.31,6.96,0.00,0.001,1.01,1.02,1.02,0.561,0.00348,1.05,53.4943,3066.25,116697.0,139958.7,35.471,41.1507,55.010,190.775,0.862,0.364,5.0,4.467,106.394,765,2146.1,30.47,16.738,56.478,2032.1,39.433,0.135,2.00,9.6341,12360.5,0.8600,0.3231,15.27,1.185,0.132,0.6817,0.0000,0.416,0.068,0.093,29.7024
