step,event,lineage,other,size
189000,split,961,883,52
189000,split,962,883,136
189000,split,963,883,10
189000,split,964,883,6
191000,split,972,883,467
191000,extinct,941,0,7
192000,split,981,972,30
192000,extinct,963,0,12
192000,extinct,964,0,6
193000,extinct,932,0,14
194000,split,991,883,30
195000,extinct,981,0,7
196000,extinct,991,0,14
198000,extinct,962,0,8
203000,split,1028,972,146
203000,extinct,883,0,7
208000,split,1038,972,101
209000,split,1043,972,27
212000,split,1058,961,17
212000,extinct,1043,0,24
213000,split,1068,972,6
214000,split,1071,972,5
214000,split,1074,972,9
214000,split,1077,972,96
214000,extinct,1058,0,17
214000,extinct,1068,0,6
215000,split,1088,972,7
215000,extinct,1071,0,5
216000,extinct,1038,0,12
217000,extinct,1028,0,6
217000,extinct,1088,0,14
218000,extinct,1074,0,31
226000,split,1101,972,348
235000,split,1123,961,25
235000,extinct,1077,0,14
237000,split,1124,972,31
240000,split,1128,972,122
242000,merge,1128,972,317
243000,extinct,961,0,24
248000,extinct,1124,0,27
251000,split,1145,972,127
254000,extinct,1145,0,6
256000,extinct,1101,0,11
261000,split,1156,972,6
263000,extinct,1156,0,6
264000,extinct,972,0,6
350000,split,1196,1123,5
351000,extinct,1196,0,5
408000,split,1205,1123,7
409000,split,1206,1205,8
409000,split,1208,1205,25
410000,extinct,1205,0,7
411000,extinct,1206,0,8
411000,extinct,1208,0,25
415000,split,1219,1123,10
418000,extinct,1219,0,14
431000,split,1233,1123,107
432000,split,1242,1232,14
432000,split,1243,1233,40
433000,extinct,1233,0,8
433000,extinct,1242,0,14
435000,extinct,1243,0,21
447000,split,1264,1123,79
449000,extinct,1264,0,16
451000,split,1278,1264,6
452000,extinct,1278,0,6
454000,split,1299,1123,11
455000,extinct,1299,0,11
463000,split,1308,1123,19
464000,split,1309,1123,5
466000,extinct,1309,0,5
468000,split,1310,1123,27
468000,extinct,1308,0,7
471000,extinct,1310,0,14
483000,split,1329,1123,25
484000,merge,1329,1123,25
