step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung
10000,881,2.125,0.776,8.47,106374,101170,15,1772,4041,146877,780458.3,493376.2,0.061,0.596,0.219,0.124,107,22.90,13.09,0.14,1.18,1.10,4.48,1.31,4.38,19.27,10.12,0.00,0.00,0.034,0.109,392,0.031,0.048,0.941,0.000,0.011,152706,136912,2,0.208,0.661,0.210,1726801,0.174,2.105,0.067,22.71,48739,196,3.359,0.302,0.200,6690360,1.03,9.39,0.025,0.137,0.000,9.8,21.6,37.1,90.2,19216,0.073,0.00,0.0046,0.067,65,0.713,0.000,0.718,0.355,4.49,6.42,5.17,0.00,0.001,1.03,1.03,1.03,0.719,0.00599,1.93,115.7318,2978.41,117123.2,140456.7,65.362,85.4279,108.211,521.093,0.910,0.334,5.7,5.274,209.241,1363,5645.6,50.56,38.021,125.991,3447.8,85.804,0.135,1.99,9.4661,8339.6,0.6978,0.3494,21.81,1.070,0.109,1.3183,0.0000,0.402,0.094,0.178,69.7102
20000,1201,1.842,0.549,10.13,54545,52424,0,133,1668,12674,377646.7,156912.1,0.032,0.686,0.133,0.148,152,17.88,9.46,0.08,0.85,0.46,2.47,0.54,2.76,15.29,7.50,0.00,0.00,0.016,0.076,394,0.077,0.048,0.932,0.000,0.020,44065,36312,4,0.848,0.033,0.097,1201010,0.131,1.645,0.041,19.14,21206,162,12.381,0.308,0.188,2497768,1.03,13.71,0.002,0.055,0.000,9.6,15.9,28.0,77.5,19669,0.075,0.00,0.0021,0.092,101,0.494,0.000,0.682,0.063,3.42,5.37,3.83,0.00,0.002,1.02,1.02,1.04,0.495,0.00362,0.79,48.5921,3162.83,119027.6,140456.7,35.625,44.7152,50.237,194.574,0.921,0.336,6.4,4.346,107.854,922,2667.5,37.29,19.427,56.125,2507.7,34.516,0.133,2.01,8.1438,9780.7,0.7487,0.3025,16.38,1.106,0.063,0.6817,0.0000,0.324,0.051,0.002,26.3991
30000,1128,1.969,0.601,10.02,113571,103531,0,6833,3280,270544,751658.4,424184.1,0.028,0.677,0.123,0.171,130,20.27,11.29,0.24,1.68,0.72,3.32,0.58,2.24,16.44,9.12,0.01,0.13,0.024,0.099,483,0.034,0.037,0.942,0.000,0.020,134984,108548,9,0.247,0.378,0.145,1452929,0.141,1.724,0.045,24.29,58054,157,1.568,0.318,0.188,6831066,1.08,11.78,0.004,0.113,0.003,9.4,17.9,33.9,84.6,20293,0.077,0.00,0.0041,0.072,105,0.626,0.000,0.802,0.236,3.73,5.43,4.75,0.01,0.005,1.08,1.07,1.10,0.635,0.00688,1.86,96.1709,3188.39,117592.0,140456.7,70.174,76.1096,101.626,331.069,0.906,0.334,5.5,7.757,207.461,963,2940.0,40.54,24.324,119.668,2916.0,82.213,0.134,2.00,9.1680,10341.5,0.7794,0.3369,17.99,1.135,0.124,1.3183,0.0000,0.294,0.067,0.012,59.9451
40000,1231,1.954,0.566,11.52,59563,57799,1,190,1470,16741,413059.7,173477.4,0.028,0.684,0.137,0.151,165,18.50,9.49,0.29,1.85,0.18,1.03,0.29,1.44,15.92,7.78,0.00,0.00,0.010,0.063,397,0.050,0.058,0.930,0.000,0.011,49113,38895,5,0.526,0.238,0.075,675393,0.143,1.669,0.043,20.15,25254,159,10.362,0.363,0.163,2752693,1.06,12.17,0.005,0.030,0.000,10.0,16.2,29.6,73.8,20538,0.078,0.00,0.0021,0.070,108,0.483,0.000,0.707,0.056,3.55,5.07,4.87,0.01,0.004,1.04,1.09,1.07,0.484,0.00406,0.93,53.2671,3314.09,117866.8,140456.7,34.287,43.2652,55.326,197.144,0.924,0.333,7.1,4.992,107.071,1000,3126.1,59.77,18.964,56.322,2139.3,37.310,0.136,1.99,8.4840,10443.8,0.7510,0.2561,16.68,1.110,0.098,0.6817,0.0000,0.314,0.058,0.002,28.2450
50000,1414,1.792,0.540,11.07,126722,121912,12,195,4420,22797,810768.6,457412.3,0.051,0.630,0.172,0.147,134,16.86,7.72,0.20,1.26,0.16,1.63,0.23,1.69,14.62,6.48,0.00,0.00,0.007,0.059,401,0.041,0.052,0.931,0.000,0.017,147148,115483,11,0.258,0.373,0.040,766861,0.180,1.634,0.038,23.27,67016,168,20.065,0.364,0.204,8270751,1.05,11.84,0.002,0.016,0.000,9.8,14.7,26.9,70.1,21508,0.082,0.00,0.0039,0.061,123,0.665,0.000,0.774,0.205,3.61,4.91,5.21,0.00,0.001,1.04,1.07,1.05,0.666,0.00446,2.19,121.6972,4140.90,115364.1,140456.7,72.727,69.5078,117.212,311.350,0.857,0.328,5.0,6.311,207.846,691,1889.9,41.67,20.724,117.798,1986.4,92.373,0.134,2.00,9.3511,13222.4,0.8731,0.3428,15.21,1.113,0.100,1.3183,0.0000,0.319,0.055,0.004,65.0036
60000,1371,1.721,0.494,11.16,60319,58624,0,32,1706,5977,402841.8,170378.6,0.079,0.618,0.163,0.140,163,15.41,7.98,0.28,1.53,0.16,1.08,0.16,1.60,13.62,6.76,0.00,0.00,0.009,0.061,338,0.077,0.052,0.944,0.000,0.004,50504,39294,7,0.476,0.147,0.028,480118,0.174,1.475,0.037,19.31,25846,109,28.506,0.438,0.152,2767347,1.07,12.93,0.001,0.028,0.000,9.2,13.3,24.3,60.1,19498,0.074,0.00,0.0022,0.077,127,0.505,0.000,0.666,0.050,3.47,5.50,4.09,0.01,0.002,1.06,1.11,1.06,0.505,0.00292,0.99,53.5382,3084.04,117510.2,140456.7,35.207,43.8931,54.538,183.531,0.910,0.332,5.7,4.007,107.068,789,2348.4,26.94,17.858,56.187,2012.9,37.052,0.135,2.01,8.7981,12062.2,0.8749,0.2966,14.22,1.077,0.088,0.6817,0.0000,0.304,0.043,0.002,27.8099
70000,1474,1.728,0.490,10.83,131099,127027,5,164,3800,17524,806244.3,456064.2,0.087,0.593,0.174,0.146,137,16.24,7.74,0.15,1.22,0.12,0.95,0.16,1.43,14.08,6.24,0.00,0.00,0.006,0.043,343,0.079,0.054,0.936,0.000,0.010,149262,115418,8,0.213,0.447,0.049,767876,0.185,1.502,0.035,22.59,64874,159,26.025,0.396,0.214,7998314,1.04,11.76,0.001,0.022,0.000,10.6,14.1,22.4,76.2,21390,0.082,0.00,0.0039,0.060,121,0.651,0.000,0.760,0.190,3.65,5.62,4.56,0.00,0.001,1.02,1.07,1.04,0.652,0.00396,2.38,122.2258,3569.43,115707.8,140456.7,72.871,69.8039,118.103,304.518,0.869,0.330,5.8,5.839,206.907,650,1763.4,35.90,18.990,118.148,1972.5,92.823,0.135,2.01,9.2878,13690.2,0.8728,0.3596,14.51,1.118,0.087,1.3183,0.0000,0.315,0.048,0.003,64.9138
80000,1343,1.836,0.498,11.13,63875,62536,0,74,1396,15706,424945.4,183866.6,0.078,0.619,0.166,0.137,168,17.02,9.11,0.43,2.33,0.26,1.23,0.16,0.86,14.85,6.53,0.00,0.00,0.014,0.073,422,0.077,0.042,0.940,0.000,0.019,54084,41790,5,0.363,0.271,0.076,567747,0.165,1.515,0.037,19.76,27168,167,11.707,0.486,0.148,2874475,1.10,11.20,0.002,0.049,0.000,10.3,14.7,26.6,78.3,21094,0.080,0.00,0.0021,0.068,101,0.499,0.000,0.656,0.052,3.76,5.55,5.01,0.01,0.005,1.06,1.14,1.10,0.500,0.00327,1.06,56.1265,3377.52,117465.7,140456.7,34.546,42.6424,57.847,190.118,0.895,0.334,6.6,4.386,107.276,761,2193.2,27.37,17.900,56.322,1873.7,39.055,0.134,2.00,8.8582,11896.5,0.8073,0.3654,15.71,1.065,0.077,0.6817,0.0000,0.277,0.054,0.001,29.2255
90000,1418,1.832,0.520,10.84,130916,127591,8,160,3082,24244,825843.9,455293.3,0.038,0.625,0.191,0.147,136,16.89,7.96,0.33,2.09,0.23,1.54,0.25,1.53,14.70,5.74,0.00,0.16,0.010,0.059,387,0.052,0.042,0.943,0.000,0.016,151940,115750,8,0.122,0.662,0.074,931827,0.168,1.542,0.040,23.31,66766,125,18.780,0.544,0.205,8439323,1.08,10.96,0.001,0.039,0.001,10.7,14.7,26.2,92.9,21993,0.084,0.00,0.0040,0.074,146,0.653,0.000,0.769,0.200,3.67,5.40,5.18,0.01,0.004,1.05,1.12,1.08,0.653,0.00446,2.34,123.1914,4005.18,115844.3,140456.7,72.618,69.8633,119.562,305.939,0.908,0.329,5.9,6.328,206.710,695,1904.6,31.04,20.012,117.719,1961.5,92.791,0.135,2.00,9.1712,13004.7,0.8177,0.3686,15.51,1.083,0.101,1.3183,0.0000,0.289,0.056,0.000,64.6771
100000,1339,1.838,0.490,10.69,64120,62802,0,27,1370,5291,436090.3,187068.2,0.049,0.659,0.147,0.145,168,17.06,7.60,0.31,2.00,0.19,1.68,0.06,0.44,15.17,5.92,0.00,0.00,0.008,0.060,323,0.063,0.051,0.938,0.000,0.011,55948,44619,5,0.527,0.302,0.031,568944,0.147,1.517,0.036,20.01,28072,98,35.356,0.667,0.162,3217444,1.09,10.31,0.001,0.024,0.000,10.5,15.7,25.6,99.6,21079,0.080,0.00,0.0021,0.083,122,0.525,0.000,0.648,0.065,3.77,5.20,5.71,0.01,0.002,1.06,1.12,1.09,0.525,0.00342,1.06,58.0559,3234.73,117732.3,140456.7,34.196,42.4113,59.089,190.423,0.876,0.335,5.6,4.574,106.915,726,2154.8,45.66,18.120,56.426,1918.3,39.838,0.132,2.01,8.7882,11767.5,0.7647,0.2661,15.74,1.069,0.061,0.6817,0.0000,0.287,0.049,0.000,29.6355
