step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung
110000,1317,1.939,0.559,9.98,128140,124349,11,795,3007,87565,812143.8,446479.2,0.033,0.671,0.163,0.133,135,18.84,9.78,0.58,3.09,0.21,1.11,0.13,0.96,15.96,6.48,0.00,0.03,0.009,0.048,423,0.029,0.044,0.946,0.000,0.010,158337,128384,8,0.165,0.557,0.041,757584,0.154,1.640,0.041,23.60,65778,190,5.099,0.333,0.195,9359181,1.14,9.16,0.001,0.062,0.001,9.7,16.9,27.6,116.4,22222,0.085,0.00,0.0039,0.056,121,0.685,0.000,0.750,0.242,3.98,5.29,6.35,0.01,0.010,1.08,1.20,1.14,0.689,0.00463,2.31,116.7706,4049.77,115642.5,140456.7,72.502,71.4864,114.480,310.501,0.900,0.330,5.2,6.098,205.409,790,2221.8,39.48,20.883,117.579,2201.5,90.041,0.135,2.00,9.5614,12592.4,0.8027,0.3846,16.87,1.090,0.090,1.3183,0.0000,0.285,0.045,0.000,63.3884
120000,1208,1.970,0.538,9.65,61416,60303,0,76,1146,10154,426319.1,181012.2,0.037,0.670,0.173,0.120,169,18.91,9.74,0.53,3.15,0.30,1.96,0.32,1.62,16.51,6.38,0.00,0.00,0.010,0.057,366,0.045,0.038,0.945,0.000,0.017,56116,47213,5,0.626,0.195,0.091,495356,0.129,1.600,0.039,19.33,25979,133,17.827,0.421,0.214,3593751,1.09,7.71,0.001,0.041,0.000,10.4,16.7,26.9,102.8,21346,0.081,0.00,0.0021,0.054,66,0.589,0.000,0.651,0.094,4.36,4.95,7.41,0.01,0.004,1.04,1.15,1.09,0.590,0.00334,1.05,56.6474,3405.27,116313.2,140456.7,35.296,42.7840,57.038,184.931,0.842,0.329,4.5,4.030,105.377,782,2384.7,26.71,17.610,56.016,2259.8,38.725,0.133,2.00,10.3399,12490.6,0.8237,0.2645,17.67,1.057,0.077,0.6817,0.0000,0.255,0.046,0.000,28.5977
130000,1449,1.810,0.565,9.06,115903,112168,36,122,3336,13947,800011.7,426285.8,0.035,0.709,0.186,0.070,136,15.91,7.67,0.28,2.21,0.09,1.17,0.18,1.05,14.27,5.75,0.00,0.00,0.003,0.042,363,0.095,0.040,0.945,0.000,0.014,173372,156884,2,0.890,0.085,0.070,1222387,0.133,1.661,0.042,18.81,61482,133,30.565,0.549,0.208,11936441,1.06,8.40,0.001,0.014,0.000,9.3,14.3,22.9,100.0,21459,0.082,0.00,0.0039,0.050,87,0.807,0.000,0.815,0.359,4.21,4.76,7.71,0.00,0.001,1.03,1.07,1.07,0.808,0.00266,2.18,120.1840,4178.40,112355.0,140456.7,75.207,73.8623,108.111,285.303,0.759,0.320,3.8,3.858,199.818,704,2095.8,33.44,15.597,119.790,2123.7,91.121,0.135,2.00,10.8701,15750.7,0.9667,0.3684,14.81,1.071,0.079,1.3183,0.0000,0.256,0.046,0.000,60.4874
140000,1351,1.876,0.479,8.58,66763,65125,2,36,1698,4718,439654.8,198891.8,0.028,0.687,0.226,0.058,175,16.73,7.15,0.22,1.94,0.11,1.28,0.35,2.07,15.06,5.74,0.00,0.00,0.004,0.051,315,0.102,0.045,0.934,0.001,0.020,66877,59495,3,0.848,0.079,0.060,626649,0.139,1.471,0.032,17.68,25670,149,42.156,0.472,0.190,5127073,1.05,7.81,0.001,0.016,0.000,10.8,15.4,23.4,82.0,21264,0.081,0.00,0.0022,0.053,119,0.702,0.000,0.744,0.126,4.09,4.62,7.69,0.00,0.000,1.02,1.07,1.05,0.703,0.00231,1.24,61.1054,3272.56,115742.8,140456.7,35.056,42.7284,59.759,179.945,0.773,0.328,4.4,3.124,101.098,593,1689.1,25.46,15.083,57.711,2052.4,41.225,0.135,2.00,10.2727,13878.4,0.8652,0.2924,15.74,1.067,0.088,0.6817,0.0000,0.247,0.065,0.001,29.8773
150000,1419,1.796,0.523,8.73,117507,113119,83,50,4187,9084,799396.0,423948.2,0.041,0.692,0.188,0.078,141,15.69,7.12,0.25,1.75,0.13,1.10,0.38,2.17,14.11,5.60,0.00,0.00,0.006,0.050,344,0.089,0.029,0.957,0.000,0.014,177868,162535,4,0.674,0.236,0.068,878842,0.151,1.677,0.037,17.99,59153,40,46.670,0.780,0.240,11959637,1.06,8.55,0.000,0.025,0.000,9.0,14.6,22.4,71.5,21096,0.080,0.00,0.0040,0.058,76,0.813,0.000,0.823,0.365,4.15,4.36,7.76,0.00,0.001,1.03,1.07,1.06,0.813,0.00249,2.39,120.3678,3878.69,111313.5,140456.7,75.800,74.1888,107.210,287.808,0.745,0.320,3.6,3.528,194.090,603,1841.5,44.02,14.271,119.814,1975.8,90.554,0.134,2.00,12.3830,17571.4,1.0746,0.3199,14.87,1.060,0.093,1.3183,0.0000,0.239,0.072,0.011,59.6460
160000,1432,1.787,0.506,8.31,68445,66917,19,47,1449,5331,447982.1,200828.1,0.037,0.714,0.202,0.046,168,15.30,6.22,0.26,1.81,0.15,1.66,0.34,2.36,13.75,5.07,0.00,0.00,0.008,0.077,267,0.118,0.041,0.943,0.000,0.017,69071,61369,2,0.980,0.015,0.091,860973,0.120,1.507,0.036,17.21,24337,112,37.672,0.574,0.164,5648886,1.05,8.53,0.001,0.020,0.000,10.7,14.1,21.7,74.1,20772,0.079,0.00,0.0023,0.066,72,0.721,0.000,0.756,0.134,4.12,4.15,7.87,0.00,0.001,1.04,1.06,1.06,0.721,0.00207,1.23,62.3699,3254.88,114545.3,140456.7,34.787,43.4134,60.643,180.688,0.717,0.328,4.3,2.967,99.052,677,2096.7,29.12,14.491,58.455,2037.2,41.723,0.134,2.01,10.2139,14626.3,0.9225,0.2316,14.51,1.057,0.055,0.6817,0.0000,0.217,0.058,0.000,29.6101
170000,1429,1.788,0.547,8.17,122612,118662,69,107,3777,12659,816199.1,436367.5,0.033,0.740,0.166,0.060,138,15.55,6.81,0.25,1.76,0.16,1.24,0.20,1.59,14.08,5.63,0.00,0.00,0.009,0.069,310,0.115,0.029,0.952,0.000,0.018,182440,166512,2,0.903,0.073,0.043,1274023,0.127,1.668,0.037,18.17,57432,178,34.471,0.626,0.265,14102377,1.05,8.93,0.001,0.020,0.000,9.3,14.4,22.1,76.9,20970,0.080,0.00,0.0041,0.049,71,0.833,0.000,0.845,0.352,4.18,4.30,7.68,0.01,0.002,1.03,1.07,1.06,0.833,0.00240,2.43,123.5559,4017.60,111552.6,140456.7,76.244,73.1334,111.112,283.695,0.701,0.318,3.7,3.425,192.240,661,1913.6,44.92,14.530,119.145,2012.7,91.210,0.134,2.01,11.8527,16937.5,1.0512,0.3568,14.67,1.057,0.071,1.3183,0.0000,0.238,0.060,0.000,60.4549
180000,1289,1.810,0.540,8.12,64836,63480,9,52,1435,7016,426762.0,194461.4,0.033,0.683,0.230,0.054,172,15.52,7.29,0.24,1.96,0.19,1.50,0.28,1.81,13.84,5.78,0.00,0.00,0.010,0.070,276,0.154,0.037,0.948,0.000,0.015,67380,60774,1,0.961,0.039,0.049,509592,0.143,1.634,0.038,16.46,23232,96,27.717,0.558,0.182,5368151,1.05,8.88,0.000,0.021,0.000,10.3,13.3,23.7,79.2,18742,0.071,0.00,0.0024,0.057,69,0.741,0.000,0.759,0.153,4.27,4.31,7.71,0.00,0.001,1.05,1.06,1.06,0.742,0.00199,1.14,59.9148,3368.69,113998.6,140456.7,36.207,42.9330,57.712,176.564,0.732,0.325,3.3,2.571,100.421,733,2371.5,31.90,14.022,57.874,2166.2,40.755,0.134,2.00,11.5401,14875.2,0.9986,0.2218,14.54,1.066,0.065,0.6817,0.0000,0.251,0.067,0.000,29.0782
190000,1100,2.027,0.570,8.22,110397,104659,53,2818,3056,133929,773575.1,423673.9,0.033,0.701,0.189,0.077,140,20.06,15.94,0.34,2.45,1.64,5.38,0.52,2.69,15.38,7.64,0.00,0.03,0.030,0.093,416,0.054,0.039,0.946,0.000,0.015,168903,153369,1,0.788,0.212,0.109,1151917,0.140,1.773,0.041,18.55,51320,238,3.163,0.260,0.220,10924927,1.07,8.85,0.002,0.209,0.001,7.3,15.1,42.4,119.9,19667,0.075,0.00,0.0046,0.063,142,0.800,0.000,0.818,0.376,4.13,4.67,7.17,0.01,0.004,1.05,1.10,1.07,0.804,0.00407,2.33,107.0308,3100.48,117635.0,140456.7,73.646,76.8598,100.789,300.446,0.846,0.333,7.1,4.473,194.576,674,2171.3,30.39,15.602,121.464,3193.2,86.649,0.135,2.00,9.8277,10810.4,0.8732,0.4463,17.88,1.079,0.159,1.3183,0.0000,0.246,0.056,0.000,59.0442
200000,1380,1.764,0.541,8.84,68959,66533,1,735,1410,43111,452453.1,204954.7,0.023,0.706,0.188,0.083,170,14.63,6.24,0.23,1.41,0.07,0.71,0.41,2.17,13.93,5.35,0.00,0.00,0.005,0.052,315,0.090,0.042,0.937,0.000,0.021,67363,58467,1,0.642,0.358,0.095,1089596,0.124,1.553,0.040,19.13,23668,161,4.754,0.309,0.179,4917457,1.05,9.17,0.000,0.012,0.000,9.5,14.0,20.8,74.9,20205,0.077,0.00,0.0024,0.057,93,0.671,0.000,0.761,0.115,3.99,3.84,7.80,0.00,0.000,1.02,1.07,1.07,0.673,0.00275,1.28,59.6679,3614.24,115501.2,140456.7,33.269,42.5682,61.030,194.027,0.824,0.329,3.6,3.798,102.083,774,2190.0,22.52,16.458,58.009,2274.2,41.090,0.134,1.99,9.6001,13248.1,0.8638,0.3197,14.64,1.002,0.076,0.6817,0.0000,0.225,0.060,0.000,30.5564
210000,1305,1.827,0.587,8.54,124772,120528,62,246,4011,19969,808385.1,434980.8,0.026,0.702,0.164,0.108,136,15.53,8.27,0.22,1.34,0.54,2.33,0.60,3.27,13.92,6.27,0.00,0.03,0.024,0.083,401,0.112,0.019,0.964,0.000,0.017,182196,164691,3,0.705,0.246,0.090,1327274,0.143,1.921,0.042,18.17,57645,212,21.783,0.455,0.219,12614463,1.04,8.49,0.001,0.076,0.001,8.3,13.7,25.6,75.7,19941,0.076,0.00,0.0044,0.053,61,0.812,0.000,0.832,0.342,4.25,4.77,7.70,0.01,0.004,1.02,1.06,1.05,0.812,0.00266,2.35,121.7900,4166.44,111164.4,140456.7,74.491,74.6307,110.019,290.681,0.751,0.316,2.9,3.466,195.841,704,2096.1,50.24,14.598,120.984,2471.8,91.290,0.133,2.00,12.9343,16879.2,1.0979,0.4159,15.28,1.020,0.103,1.3183,0.0000,0.261,0.068,0.000,60.6215
220000,1422,1.724,0.510,9.24,67104,65173,17,80,1717,8512,437601.8,198789.1,0.020,0.713,0.174,0.093,173,14.84,6.87,0.16,1.18,0.11,1.79,0.42,2.93,13.76,5.68,0.00,0.19,0.006,0.063,315,0.067,0.024,0.956,0.000,0.020,68751,60596,3,0.897,0.033,0.058,633776,0.142,1.528,0.038,17.19,24649,131,23.354,0.600,0.207,5479791,1.04,8.49,0.001,0.017,0.001,8.5,14.0,22.7,67.0,20538,0.078,0.00,0.0022,0.044,89,0.712,0.000,0.732,0.137,4.20,4.85,7.40,0.00,0.001,1.02,1.05,1.05,0.713,0.00196,1.19,61.0230,3433.41,114269.3,140456.7,34.740,43.4667,59.383,180.489,0.774,0.324,3.5,2.788,100.721,699,2106.0,32.80,14.627,58.571,2032.5,41.541,0.134,2.00,10.5141,14951.1,0.9450,0.3051,14.44,1.033,0.099,0.6817,0.0000,0.243,0.063,0.001,29.8129
230000,1358,1.823,0.542,8.29,116060,111484,69,54,4517,5382,795282.0,428823.1,0.021,0.706,0.154,0.118,139,15.54,6.78,0.11,1.14,0.07,0.84,0.40,2.70,14.52,5.82,0.00,0.00,0.003,0.035,290,0.109,0.024,0.962,0.000,0.013,181689,165375,5,0.615,0.337,0.045,935848,0.166,1.852,0.037,17.70,55560,54,79.677,0.852,0.232,12480356,1.03,7.18,0.001,0.015,0.000,9.2,14.8,21.5,73.5,20507,0.078,0.00,0.0040,0.045,100,0.824,0.000,0.826,0.383,4.51,5.58,7.62,0.00,0.000,1.01,1.03,1.03,0.824,0.00234,2.41,121.1197,4163.38,109662.6,140456.7,74.890,74.8783,106.938,280.861,0.718,0.315,2.7,3.177,194.476,572,1790.0,40.44,14.143,120.990,2112.5,91.046,0.135,2.00,14.0021,19014.8,1.1508,0.3353,15.10,1.041,0.086,1.3183,0.0000,0.267,0.062,0.008,60.1787
240000,1324,1.785,0.518,6.84,66368,64577,20,17,1788,2583,435144.2,205532.1,0.022,0.715,0.176,0.086,177,15.73,7.90,0.30,1.79,0.12,1.50,0.49,3.18,14.55,5.98,0.00,0.00,0.004,0.038,205,0.288,0.027,0.950,0.000,0.023,71970,66704,3,0.926,0.000,0.042,444179,0.144,1.555,0.036,16.69,20376,59,79.571,0.882,0.210,5703372,1.08,7.01,0.002,0.005,0.000,10.1,15.2,21.9,81.5,20468,0.078,0.00,0.0023,0.050,92,0.736,0.000,0.758,0.172,4.41,5.36,7.67,0.00,0.000,1.06,1.09,1.10,0.736,0.00199,1.21,62.1189,3514.36,113786.2,140456.7,34.860,42.7395,59.373,181.848,0.749,0.325,3.3,2.632,100.220,635,1968.7,26.85,13.790,58.931,2090.2,42.424,0.138,2.00,11.6274,15394.7,0.9745,0.2790,15.46,1.017,0.068,0.6817,0.0000,0.273,0.043,0.000,30.6625
250000,1468,1.768,0.539,6.50,108756,103973,113,38,4488,3470,761472.5,405966.3,0.024,0.723,0.150,0.103,145,14.24,5.02,0.18,1.37,0.01,0.15,0.23,2.06,13.55,4.38,0.00,0.03,0.001,0.021,156,0.344,0.027,0.957,0.000,0.016,184841,180928,2,0.999,0.000,0.035,698220,0.148,1.778,0.036,16.35,39122,101,116.993,0.763,0.264,12409819,1.06,7.12,0.000,0.003,0.001,8.9,15.1,16.8,62.1,20515,0.078,0.00,0.0038,0.054,90,0.837,0.000,0.866,0.429,4.28,5.43,7.74,0.00,0.001,1.05,1.05,1.07,0.837,0.00192,2.31,115.6412,3877.46,109876.4,140456.7,75.317,76.7843,100.006,277.652,0.716,0.320,3.0,2.816,191.509,598,1790.2,42.40,12.888,122.019,2295.9,89.726,0.134,2.00,12.7568,18727.0,1.1307,0.3008,13.97,1.016,0.046,1.3183,0.0000,0.287,0.029,0.000,58.3734
260000,1299,1.754,0.518,6.47,67204,65531,9,8,1825,1887,437223.9,206304.5,0.019,0.746,0.166,0.070,179,14.82,6.90,0.42,2.13,0.02,0.63,0.37,2.91,13.93,5.45,0.00,0.03,0.001,0.016,178,0.261,0.025,0.953,0.000,0.022,73228,71171,1,1.000,0.000,0.034,471441,0.154,1.548,0.036,17.36,17953,116,109.329,0.875,0.206,5966247,1.09,6.83,0.000,0.005,0.001,8.6,15.2,17.3,63.0,19149,0.073,0.00,0.0024,0.053,79,0.732,0.000,0.801,0.174,4.33,5.48,7.73,0.00,0.002,1.09,1.10,1.10,0.732,0.00215,1.28,62.1979,3298.02,113066.4,140456.7,33.561,43.2455,59.742,185.711,0.730,0.325,2.9,2.788,99.371,708,2175.6,35.30,14.108,59.487,2077.2,42.591,0.135,2.00,12.5033,16241.8,1.0882,0.2496,14.74,0.995,0.054,0.6817,0.0000,0.279,0.033,0.000,31.1357
270000,1316,1.871,0.544,6.48,108102,103418,110,36,4521,3679,766029.9,409516.6,0.018,0.768,0.126,0.087,145,14.95,5.93,0.25,1.64,0.02,0.39,0.35,2.50,14.22,4.76,0.00,0.00,0.002,0.033,164,0.328,0.020,0.959,0.000,0.021,189955,187165,1,1.000,0.000,0.038,780910,0.144,1.833,0.038,16.33,40967,93,111.312,0.639,0.248,13113398,1.06,6.61,0.002,0.003,0.000,10.1,15.2,17.0,91.7,19540,0.075,0.00,0.0041,0.048,68,0.839,0.000,0.882,0.446,4.42,5.61,7.80,0.00,0.000,1.05,1.07,1.06,0.839,0.00225,2.37,116.1919,4078.11,108361.3,140456.7,74.464,77.0729,100.066,281.814,0.722,0.313,2.5,2.966,190.257,547,1653.5,38.76,12.726,122.835,2345.5,89.960,0.136,2.00,15.4489,20330.8,1.2709,0.3438,14.85,1.004,0.040,1.3183,0.0000,0.283,0.034,0.001,58.6514
