step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest
100000,19.16,17,0,0,0,17,0,1.00,6,0.000,2192,3.18,190.91,67.30,433,1,1,0,1.00,1.00,1.00,4,5,8,27.3,144.672,17,1.127,0.467
100000,14.80,10,0,0,0,10,0,1.00,14,0.000,1690,2.90,96.22,29.77,543,0,1,0,1.00,1.00,1.00,3,3,6,22.3,87.880,10,1.480,0.432
100000,8.17,7,0,0,0,7,0,1.00,20,0.000,1333,2.18,48.48,33.25,543,0,1,0,1.00,1.00,1.00,2,2,4,23.2,61.318,7,1.167,0.434
100000,16.91,16,0,0,0,16,0,1.00,6,0.000,1232,3.22,94.15,35.74,433,1,1,0,1.00,1.00,1.00,4,5,8,29.6,78.848,16,1.057,0.363
100000,14.20,11,0,0,0,11,0,1.00,14,0.000,1170,1.64,63.86,29.68,659,1,0,0,1.00,1.00,1.00,3,3,6,23.7,63.180,11,1.291,0.364
100000,15.67,15,0,0,0,15,0,1.00,6,0.000,1121,2.33,75.16,21.99,433,2,1,0,1.00,1.00,1.00,5,5,8,44.6,69.502,15,1.045,0.376
100000,17.99,13,0,0,0,13,0,1.00,10,0.000,1063,1.82,73.06,24.85,543,0,0,0,1.00,1.00,1.00,6,3,8,7.8,61.654,13,1.384,0.521
100000,15.52,13,0,0,0,13,0,1.00,10,0.000,1041,1.74,72.13,28.29,543,1,0,0,1.00,1.00,1.00,6,3,8,28.7,60.378,13,1.194,0.567
100000,18.29,13,0,0,0,13,0,1.00,10,0.000,1029,3.22,59.35,31.76,543,0,0,0,1.00,1.00,1.00,4,3,8,15.2,59.682,13,1.407,0.490
100000,31.94,27,0,0,0,27,0,1.00,8,0.000,1001,3.80,116.06,23.85,661,2,2,0,1.00,1.00,1.00,3,4,8,57.8,86.086,27,1.183,0.336
100000,16.90,15,0,0,0,15,0,1.00,6,0.000,940,0.14,63.65,28.87,433,2,2,0,1.00,1.00,1.00,4,5,8,50.0,58.280,15,1.127,0.467
100000,15.68,14,0,0,0,14,0,1.00,8,0.000,873,2.72,61.52,25.10,433,1,1,0,1.00,1.00,1.00,3,4,8,24.5,52.380,14,1.120,0.478
100000,18.06,17,0,0,0,17,0,1.00,8,0.000,864,1.94,64.38,24.65,433,1,1,0,1.00,1.00,1.00,3,4,8,34.9,57.024,17,1.062,0.395
100000,15.76,16,0,0,0,16,0,1.00,6,0.000,842,2.37,41.08,39.18,433,0,0,0,1.00,1.00,1.00,4,5,8,4.9,53.888,16,0.985,0.417
100000,15.60,11,0,0,0,11,0,1.00,12,0.000,826,1.00,69.16,8.04,560,0,0,0,1.00,1.00,1.00,3,2,8,22.4,44.604,11,1.418,0.392
100000,13.41,9,0,0,0,9,0,1.00,18,0.000,814,2.85,32.86,20.42,560,1,1,0,1.00,1.00,1.00,2,3,4,35.3,40.700,9,1.490,0.212
100000,11.96,13,0,0,0,13,0,1.00,10,0.000,773,0.53,48.25,14.71,433,0,1,0,1.00,1.00,1.00,6,3,8,15.8,44.834,13,0.920,0.355
